ensemble,mass_MeV,strength_sigma,method,n,Atrue,mean_Ahat,std_Ahat,mean_sigma_A,pull_mean,pull_std,mean_r,std_r,exclusion_count,exclusion_fraction,exclusion_low,exclusion_high,false_positive_count,false_positive_fraction,false_positive_low,false_positive_high,kappa_reference,mean_signal_response
retrained_sidebands,65,0,profiled,3,0.0,-1562.1733472714259,5101.235776288777,6972.204410138176,-0.22409507606271953,0.7317283544888169,-0.22408411132894093,0.7317252502959879,0,0.0,0.0,0.7075982261787133,0,0.0,0.0,0.7075982261787133,2.60724763435522,
retrained_sidebands,65,2,fixed,3,13879.563691916272,19579.60364015691,3503.1758340090832,3349.4499906218784,1.7017788212001292,1.0459149902034603,5.849521520050079,1.0473158085513268,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.60724763435522,1.5409053552875918
retrained_sidebands,65,2,profiled,3,13879.563691916272,20687.928343815085,5037.3280171267925,6972.150022024504,0.9766376562777287,0.7227118817343793,2.9675994042513296,0.7233595812665216,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.60724763435522,1.6030836548590792
retrained_sidebands,65,5,fixed,3,34698.909229790675,34264.33884079267,4800.593068430947,3352.929391138076,-0.12961265347160347,1.4316120385969002,10.23106750781873,1.4348434137662531,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,3,1.0,0.29240177382128674,1.0,2.60724763435522,1.0395666614094996
retrained_sidebands,65,5,profiled,3,34698.909229790675,35955.78340096879,6369.869535395743,6978.044336477952,0.18028186689360412,0.9129619990671743,5.153595684383098,0.9145630012389832,0,0.0,0.0,0.7075982261787133,3,1.0,0.29240177382128674,1.0,2.60724763435522,1.0812431163118306
retrained_sidebands,231,0,fixed,3,0.0,554.2929590319709,1697.0010605450989,1032.8452224422801,0.5363843894952401,1.642595273553971,0.537149712277982,1.6437960442093877,0,0.0,0.0,0.7075982261787133,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,2.079639507076067,
retrained_sidebands,231,0,profiled,3,0.0,233.62152057198014,2440.9646459985174,1805.2198091855846,0.12955346538940962,1.3523211270483264,0.1297118314764064,1.3525012561449672,0,0.0,0.0,0.7075982261787133,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,2.079639507076067,
retrained_sidebands,231,2,fixed,3,3618.7513651547993,2075.8838206638143,2894.4310382821773,1034.2268794352813,-1.4925503953966546,2.798966514719015,2.009831419931839,2.8017160544386854,2,0.6666666666666666,0.09429932405024613,0.9915962413403874,2,0.6666666666666666,0.09429932405024613,0.9915962413403874,2.079639507076067,0.42047400003308993
retrained_sidebands,231,2,profiled,3,3618.7513651547993,3101.9319491724286,2170.068077498048,1807.328304448594,-0.285258105445745,1.2008874146870252,1.717510261878236,1.2032695695236468,0,0.0,0.0,0.7075982261787133,1,0.3333333333333333,0.008403758659612643,0.9057006759497539,2.079639507076067,0.7926243444685377
retrained_sidebands,231,5,fixed,3,9046.878412886996,7462.773771744775,2955.2249984820064,1037.530309416856,-1.5271770098044477,2.848306540735792,7.2133894237747,2.8632260715526323,2,0.6666666666666666,0.09429932405024613,0.9915962413403874,3,1.0,0.29240177382128674,1.0,2.079639507076067,0.7636314425174422
