dataset_set,mass_GeV,mass_MeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,confidence_level,cls_alpha,cls_statistic,cls_calibration,combined_mode,eps2_obs_95_ee_channel,minimal_visible_factor,N_eff_BR,BR_ee_minimal,dimuon_correction_applied,eps2_obs_95_minimal_visible,eps2_obs_90_ee_channel_reference,eps2_obs_90_minimal_visible_reference,eps2_95_over_90,p0_analytic,Z_analytic,p0_source,gp_state_sha256_by_dataset,profile_cache_limit_calls,profile_cache_asimov_fixed_nodes
2015+2016,0.039,39,0.0018664834740185,0.0017496509804898999,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,1.2665982497813463e-05,1,1,1,False,1.2665982497813463e-05,1.1292680637828364e-05,1.1292680637828364e-05,1.1216099085796154,0.053240375871770003,1.6142152202546562,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""73c897099b1369d3cd1c013055c35a1aa4ac0a2f2a071996d8eb85433e08e128"", ""2016"": ""f4d09804e8a009030c988d43d1ce5ac60069b4d4bfdba08e8fc46a7f8214fd14""}",1,23
2015+2016,0.040000000000000001,40,0.0019097267257064,0.0017829184,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,1.1045265807550304e-05,1,1,1,False,1.1045265807550304e-05,9.7200892700444884e-06,9.7200892700444884e-06,1.1363337826114173,0.10648724684017891,1.2454279253797362,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""36d6c571efc0f7878e56add1c44f97c11d78f4cefdf81516361664484416ebf6"", ""2016"": ""d2f2c51ae91fe3b7c3df977f2126a486f181414d33fc419dac110377c2d42c6b""}",1,23
2015+2016,0.041000000000000002,41,0.0019530121102842,0.0018162700852899,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,7.7437601255995472e-06,1,1,1,False,7.7437601255995472e-06,6.5514894532564812e-06,6.5514894532564812e-06,1.1819846739966033,0.41296059839602678,0.21993574569622559,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""09fe335adbfe7cf037828f69e3842991b4664c9cd57bf779a3be74e49aa7738e"", ""2016"": ""d3503e1d1ed4059b5b6e78a18c372807d10e6be2ddc38b5da004606e28993842""}",1,22
2015+2016,0.042000000000000003,42,0.0019963446982921001,0.0018497161774399,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,6.1564220550042031e-06,1,1,1,False,6.1564220550042031e-06,5.0770115567668662e-06,5.0770115567668662e-06,1.2126074534533313,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""7c9cd0053c09557c9728900c3f90345739cf3b040312051649d4b259cd370944"", ""2016"": ""ae52a86ef8581d2c6a5a8da352abd1e41d463b5ef419e194c33bc5d5571faaad""}",1,22
2015+2016,0.042999999999999997,43,0.0020397294269499,0.00188326655089,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,5.1661189681343883e-06,1,1,1,False,5.1661189681343883e-06,4.2592766837872852e-06,4.2592766837872852e-06,1.2129099261851082,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""fcdfd928f90208f8351034a5ae8569b5852f3ff6fdb536577468d5fd3f9b3e16"", ""2016"": ""4fb0070335f2e649d0158fef3a32aaf018731fca6d9eb018f48ffe2e81dd5ccb""}",1,22
2015+2016,0.043999999999999997,44,0.0020831711001578,0.0019169308134400001,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,4.868110484727118e-06,1,1,1,False,4.868110484727118e-06,4.0116806535298649e-06,4.0116806535298649e-06,1.2134840494952366,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""b341e5101610134fde1aa09e0410e69d91977f1189aafc2e34dfb7f9b5ef76f7"", ""2016"": ""2e833ac7cbcdfec8c09ad3fa1f0778a9621925341c0bd14db1020008fb8a08a3""}",1,21
2015+2016,0.044999999999999998,45,0.0021266743884956001,0.0019507183062498999,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,5.6853757028293367e-06,1,1,1,False,5.6853757028293367e-06,4.7206215100686364e-06,4.7206215100686364e-06,1.2043701641199092,0.49990260198329139,0.000244140625,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""36f1e3ecc68c320aee096bba134eeee43f0d9cdfebe5cf1b1ae51335e77b500b"", ""2016"": ""cd8f52407632c6766fc241cc09824c916f4a169cf689d94c95e7526b753f2402""}",1,22
2015+2016,0.045999999999999999,46,0.0021702438292234001,0.0019846381038399002,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,5.1083300607776585e-06,1,1,1,False,5.1083300607776585e-06,4.215577280403488e-06,4.215577280403488e-06,1.2117747394939755,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""132dc71fa396103819bc1e041aaa1c5ab42b370ebc498fe14a6f48c438d2665b"", ""2016"": ""46f48edf54df6400a2c743d385adec0415c3b6766e19ba37d4b77d9a1ec7ed27""}",1,22
2015+2016,0.047,47,0.0022138838262813001,0.0020186990140900001,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,5.9971269163247596e-06,1,1,1,False,5.9971269163247596e-06,4.9789484675808296e-06,4.9789484675808296e-06,1.2044966834610848,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""6a0341d49be07f905c9952418dae124f95e13df622de947886d3f9b364fb1bc6"", ""2016"": ""83f4d90a9ed3eed097164928f8361a852a1a5ee327398fcc62da3413446a1f09""}",1,22
2015+2016,0.048000000000000001,48,0.0022575986502890001,0.00205290957824,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,6.9446561598374628e-06,1,1,1,False,6.9446561598374628e-06,5.9151536029339561e-06,5.9151536029339561e-06,1.1740449405054953,0.34690016060193141,0.39370300678600062,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""af84d12311a3d411fe8bff296d17d61caded4b558649b5d5e7da8ded237a4f8f"", ""2016"": ""17fad25caac0afc446e5a987f7e5a8958b2fc8d29b4c6e6d77aaea1e39e9fcb0""}",1,22
