mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,signal_m66_counts,signal_m78_counts,signal_m80_counts
175.0625,151933.0,152589.24928360217,4415.187492969676,0.0,0.0,0.0
175.6875,149582.0,150051.2635826187,4328.898808742114,0.0,0.0,0.0
176.3124999999999,146925.0,147554.91848663954,4244.289025230726,0.0,0.0,0.0
176.9375,145484.0,145099.5311878191,4161.240618057318,0.0,0.0,0.0
177.5625,142126.0,142684.42765052052,4079.646711667593,0.0,0.0,0.0
178.1875,140480.0,140308.94283643353,3999.416625776214,0.0,0.0,0.0
178.81249999999991,138628.0,137972.4205768735,3920.47506454245,0.0,0.0,0.0
179.4375,136160.0,135674.21367665575,3842.767178459838,0.0,0.0,0.0
180.0625,133012.0,133413.684009257,3766.250792964631,0.0,0.0,0.0
180.6875,131276.0,131190.20229791306,3690.905365744562,0.0,0.0,0.0
181.3125,129671.0,129003.14840663169,3616.723913125803,0.0,0.0,0.0
181.9375,126958.0,126851.91113740856,3543.7145254017355,0.0,0.0,0.0
182.5625,124793.0,124735.88835508209,3471.8970379523703,0.0,0.0,0.0
183.1875,123334.0,122654.48689895868,3401.300882049165,0.0,0.0,0.0
183.8125,120479.0,120607.12266644786,3331.9642832560444,0.0,0.0,0.0
184.4375,119145.0,118593.22061389704,3263.929938294914,0.0,0.0,0.0
185.0625,116300.0,116612.21456113341,3197.2412666190826,0.0,0.0,0.0
185.6874999999999,114491.0,114663.54746955712,3131.9437120422167,0.0,0.0,0.0
186.3125,112586.0,112746.67113484361,3068.0785514306435,0.0,0.0,0.0
186.9375,111212.0,110861.04636083322,3005.680704632248,0.0,0.0,0.0
187.5625,108696.0,109006.1428203137,2944.7803247097722,0.0,0.0,0.0
188.1875,107366.0,107181.439108751,2885.396672363626,0.0,0.0,0.0
188.8125,104820.0,105386.42256685431,2827.5406179458537,0.0,0.0,0.0
189.4375,103959.0,103620.58936553843,2771.2104179297835,0.0,0.0,0.0
190.0625,102501.0,101883.44442269279,2716.393438480847,0.0,0.0,0.0
190.6875,99870.0,100174.50126363838,2663.066580890502,0.0,0.0,0.0
191.3125,97870.0,98493.28209545813,2611.1938238334346,0.0,0.0,0.0
191.9374999999999,96687.0,96839.31766727159,2560.7293677217317,0.0,0.0,0.0
192.5625,95291.0,95212.14710952248,2511.617503573504,0.0,0.0,0.0
193.1875,93038.0,93611.31806826244,2463.7941509731118,0.0,0.0,0.0
193.8125,92175.0,92036.38643570771,2417.1888468674724,0.0,0.0,0.0
194.4375,90465.0,90486.91636571805,2371.724484708879,0.0,0.0,0.0
195.0625,88969.0,88962.48015322266,2327.321846104334,0.0,0.0,0.0
195.6875,87228.0,87462.65813792223,2283.899637318995,0.0,0.0,0.0
196.3125,85406.0,85987.03861320924,2241.375382669138,0.0,0.0,0.0
196.9375,84915.0,84535.21772608414,2199.6708963313145,0.0,0.0,0.0
197.5625,83133.0,83106.7993773944,2158.709024071513,0.0,0.0,0.0
198.1875,81967.0,81701.39507363562,2118.419551205588,0.0,0.0,0.0
198.8124999999999,80748.0,80318.6238995194,2078.738150081422,0.0,0.0,0.0
199.4375,78687.0,78958.11228474359,2039.6078510864104,0.0,0.0,0.0
