mass_MeV,dataset_set,eps2_current,density_current_events_per_GeV,density_2021_full_equivalent_events_per_GeV,density_2015,density_2016,density_2021,projection_scale,eps2_observed_equivalent,babar_eps2_90_logy,current_over_babar,proxy_over_babar
73,2015+2016+2021,8.9322458054873652e-07,3047627994.8770103,19397962361.434467,22008961.537844464,1208915214.8327818,1816703818.5063844,0.39637195705289857,3.5404917507985715e-07,7.2871421872740428e-07,1.2257542910424146,0.48585462720647016
74,2015+2016+2021,1.3894398453086273e-06,3031972898.1721444,19497245216.068489,19779010.383887347,1182719185.7997746,1829474701.9884825,0.39434472024087547,5.4791826708975591e-07,6.4509937127876979e-07,2.1538384738375478,0.8493548304095021
75,2015+2016+2021,1.7936324476854336e-06,3011777758.752214,19557098386.471348,17780421.159552719,1155628378.9572015,1838368958.6354597,0.39242733458832751,7.0387040067633245e-07,7.1837259410463491e-07,2.4967996585685186,0.97981243501309001
76,2015+2016+2021,2.3843112385204307e-06,2988299935.1932139,19587887260.931217,16003052.17205417,1127898291.2724929,1844398591.748667,0.39058745899678399,9.3128206811116995e-07,1.2081029249624269e-06,1.9735994253921576,0.77086318464143577
77,2015+2016+2021,3.0447470441180402e-06,2961363093.4362545,19588513961.404381,14413574.080228267,1099488311.8040116,1847461207.5520144,0.38881685632017826,1.1838489739841315e-06,2.1444989113381918e-06,1.4197941663761831,0.55203990439211559
78,2015+2016+2021,3.7303595678789029e-06,2931482002.125433,19561411501.406002,13018068.842261037,1070693988.918664,1847769944.3645077,0.38711813917080901,1.444089854355304e-06,2.3600208001430579e-06,1.580646902625934,0.61189708763065442
79,2015+2016+2021,4.1418599127285707e-06,2898864488.7238636,19510071444.160244,11752408.010855107,1041422418.9978549,1845689661.7151535,0.38546462430868128,1.596540475199106e-06,1.8789687838719627e-06,2.204326090076655,0.84968972816522215
80,2015+2016+2021,3.9026189083612495e-06,2863661457.2551341,19432407443.444092,10629752.650853964,1012059928.3610625,1840971776.2432175,0.38388180945673761,1.4981444081617946e-06,1.7238886698870699e-06,2.2638462544201916,0.86904939647868118
81,2015+2016+2021,3.507550391398093e-06,2825928052.95399,19332982554.549091,9607107.9908582401,982203778.11923134,1834117166.8439004,0.38232361225486988,1.3410193358053016e-06,1.1572898918585858e-06,3.0308312688751071,1.1587583588513417
82,2015+2016+2021,2.3693916456611577e-06,2786291380.7121291,19216699159.098064,8679181.0448943581,952011335.40213084,1825600864.2651041,0.38077977255626255,9.0221641193156423e-07,5.9756434299257718e-07,3.9650820425384548,1.5098230383247138
83,2015+2016+2021,1.6675718483913278e-06,2745426254.0950913,19086444385.744267,7833089.0709739579,921924483.7297647,1815668681.2943528,0.37926465889821009,6.3245106826839471e-07,3.7929754853338926e-07,4.3964741001866319,1.6674272499620981
84,2015+2016+2021,1.3221588689556129e-06,2702751553.7771516,18935744898.503582,7089301.850271943,891996324.73505414,1803665927.1918254,0.37779992360124165,4.9951151968013464e-07,3.8161226441068101e-07,3.4646655578468009,1.3089503830583746
85,2015+2016+2021,1.4258924495463958e-06,2658876794.0614772,18772842845.781319,6409382.2416356532,862026739.40652561,1790440672.4133158,0.3763432097158721,5.3662494117191775e-07,4.6697330177225816e-07,3.053477456066215,1.1491555066110151
86,2015+2016+2021,1.4294969238380709e-06,2613577503.0223007,18594846505.787205,5820719.1718359934,832060227.98769736,1775696555.8627672,0.37490513829130939,5.3592574191851333e-07,7.2855793072984357e-07,1.9620909519247858,0.73559797967148866
87,2015+2016+2021,1.4429256312202808e-06,2567998586.5119896,18409228005.094421,5279726.5419957405,802582257.90527916,1760136602.0647149,0.37349053624834083,5.3891906777093833e-07,7.6519522060328569e-07,1.8856960843046919,0.70428964172835584
88,2015+2016+2021,1.6837251761833967e-06,2521928457.33114,18214622083.402878,4781778.0477786362,773514054.16427958,1743632625.119082,0.37209711144889096,6.2650927453161697e-07,7.0457144795968343e-07,2.3897153100074839,0.88920616403897579
89,2015+2016+2021,2.1550917797488058e-06,2474877671.7601128,18007750711.790642,4333975.3463038672,744668914.18819463,1725874782.2256141,0.37072095377623476,7.9893768006380051e-07,7.6260690701386749e-07,2.8259536596481638,1.0476402360322083
90,2015+2016+2021,3.1940498774718471e-06,2427546705.5224571,17794342898.170185,3924486.9669355415,716200419.37244081,1707421799.1830809,0.36935401099885423,1.1797351335746256e-06,8.7926811934970757e-07,3.6326233229451268,1.3417239947777688
91,2016+2021,4.0763527549245839e-06,2376407371.8831148,17570297012.221298,0,688197411.84553909,1688209960.037576,0.36776542229711101,1.4991415923468315e-06,1.2162846918229666e-06,3.3514791251832245,1.2325581357929607
92,2016+2021,4.5554520621715629e-06,2329002868.2990856,17343323777.400391,0,660744989.51005173,1668257878.7890339,0.3664534761670899,1.6693612436953073e-06,1.5794429173735149e-06,2.8842144353953034,1.0569304058619093
93,2016+2021,4.5541115233805581e-06,2281194943.4736075,17105894155.448132,0,634006142.14310479,1647188801.3305027,0.36518111465269243,1.6630755223607833e-06,1.5346333837435606e-06,2.9675566631238857,1.0836956500346049
94,2016+2021,3.9220517513773033e-06,2233266171.0580654,16862318941.286386,0,607815863.25491834,1625450307.8031468,0.36392475135951907,1.4273317084391513e-06,1.0852948531289505e-06,3.6138121728577852,1.3151556964672728
95,2016+2021,2.9497179862461881e-06,2185826262.9106655,16617290510.878769,0,582330235.3586539,1603496027.5520115,0.36268342943103549,1.0698138351061754e-06,7.4662689276947608e-07,3.9507256098219932,1.4328627129112592
96,2016+2021,2.0589319970079221e-06,2138602997.1737847,16369756055.603256,0,557363768.45939922,1581239228.7143855,0.36144646513069184,7.4419369226298964e-07,8.3743037416478495e-07,2.4586306641449536,0.88866336261711865
97,2016+2021,1.4889892990531057e-06,2091576909.2434707,16116850842.537546,0,533213138.87746245,1558363770.3660083,0.360244057885105,5.3639954723838896e-07,1.1369140279818762e-06,1.3096762485165168,0.47180308628133122
98,2016+2021,1.276342403677358e-06,2044674092.273809,15857974669.186657,0,509862917.06127018,1534811175.2125387,0.35907749531868638,4.5830583348149742e-07,1.3362314991447342e-06,0.95518059894134455,0.34298385704486067
99,2016+2021,1.2098584613091893e-06,1998194047.5486329,15597454200.212023,0,487165141.69714516,1511028905.8514876,0.35792494832154975,4.330385272404813e-07,1.3192116355797891e-06,0.91710717877155512,0.32825553956713116
100,2016+2021,1.3151682269616618e-06,1952434184.5212328,15339014685.482328,0,465036351.08111089,1487397833.4401219,0.35677093772635682,4.6921380160102216e-07,1.010102360334388e-06,1.3020148042484363,0.46452104264531358
101,2016+2021,1.4119770731409416e-06,1907434240.1088777,15079346510.242067,0,443888432.31630123,1463545807.7925766,0.35565877364256576,5.0218203424472665e-07,6.612978373344245e-07,2.1351605788284038,0.75938859299606098
102,2016+2021,1.3599127947492755e-06,1863162366.5622768,14821121526.408077,0,423389126.57940996,1439773239.9828668,0.35455598237556235,4.8216521688742588e-07,3.8000799781136361e-07,3.5786425616871824,1.268829129029998
103,2016+2021,1.4950564277960351e-06,1819027692.9479547,14556782374.060957,0,403721617.26873195,1415306075.6792226,0.35349799980148888,5.2849945681625753e-07,3.2085042142338758e-07,4.659667957310206,1.6471833026482474
104,2016+2021,1.5383357983931139e-06,1775411010.026392,14291266620.732157,0,384760386.61464036,1390650623.4117515,0.35246345463335194,5.4220714988779256e-07,3.5618858134347192e-07,4.31888016339777,1.5222474225386335
105,2016+2021,1.5336882644702681e-06,1732777474.5600271,14028500105.266697,0,366586071.14817476,1366191403.4118524,0.35145180405166487,5.3901750740094265e-07,4.0459277733103944e-07,3.7906961033449149,1.3322469841321867
106,2016+2021,1.5008724821433343e-06,1690787356.0106359,13765874786.370247,0,349110974.859568,1341676381.151068,0.35046333409996822,5.2600077415084797e-07,4.8847888446787921e-07,3.0725432150016032,1.0768137392956973
107,2016+2021,1.4587402375105871e-06,1649614145.0455666,13504645231.409054,0,332388468.78295684,1317225676.2626097,0.34950194431233783,5.0983254925659168e-07,6.4913823080376432e-07,2.2471950784725339,0.78539904917526726
