dataset,mass_MeV,sigma_x,ell_lower,ell_upper,k_min,k_max,upper_floor_active
2015,34.054441260744987,0.049276544168419978,0.049276544168419978,0.39421235334735982,1,8,False
2015,34.257879656160455,0.049291853599299884,0.049291853599299884,0.39433482879439907,1,8,False
2015,34.46131805157593,0.049306982045039138,0.049306982045039138,0.39445585636031311,1,8,False
2015,34.664756446991397,0.049321932696137605,0.049321932696137605,0.39457546156910084,1,8,False
2015,34.868194842406872,0.049336708668541895,0.049336708668541895,0.39469366934833516,1,8,False
2015,35.071633237822347,0.04935131300580986,0.04935131300580986,0.39481050404647888,1,8,False
2015,35.275071633237822,0.049365748681200472,0.049365748681200472,0.39492598944960378,1,8,False
2015,35.47851002865329,0.049380018599691766,0.049380018599691766,0.39504014879753413,1,8,False
2015,35.681948424068764,0.049394125599931726,0.049394125599931726,0.39515300479945381,1,8,False
2015,35.885386819484239,0.049408072456116336,0.049408072456116336,0.39526457964893069,1,8,False
2015,36.088825214899714,0.049421861879813456,0.049421861879813456,0.39537489503850765,1,8,False
2015,36.292263610315189,0.049435496521717415,0.049435496521717415,0.39548397217373932,1,8,False
2015,36.495702005730656,0.049448978973346325,0.049448978973346325,0.3955918317867706,1,8,False
2015,36.699140401146131,0.049462311768689204,0.049462311768689204,0.39569849414951364,1,8,False
2015,36.902578796561599,0.04947549738578827,0.04947549738578827,0.39580397908630616,1,8,False
2015,37.106017191977081,0.049488538248278147,0.049488538248278147,0.39590830598622517,1,8,False
2015,37.309455587392542,0.049501436726867354,0.049501436726867354,0.39601149381493883,1,8,False
2015,37.512893982808023,0.049514195140780703,0.049514195140780703,0.39611356112624563,1,8,False
2015,37.716332378223491,0.049526815759142195,0.049526815759142195,0.39621452607313756,1,8,False
2015,37.919770773638966,0.049539300802327713,0.049539300802327713,0.3963144064186217,1,8,False
2015,38.123209169054441,0.049551652443261318,0.049551652443261318,0.39641321954609055,1,8,False
2015,38.326647564469909,0.049563872808680021,0.049563872808680021,0.39651098246944017,1,8,False
2015,38.530085959885383,0.049575963980351911,0.049575963980351911,0.39660771184281529,1,8,False
2015,38.733524355300858,0.049587927996260994,0.049587927996260994,0.39670342397008795,1,8,False
2015,38.936962750716326,0.049599766851749827,0.049599766851749827,0.39679813481399862,1,8,False
2015,39.140401146131808,0.049611482500630188,0.049611482500630188,0.39689186000504151,1,8,False
2015,39.343839541547268,0.049623076856257775,0.049623076856257775,0.3969846148500622,1,8,False
2015,39.54727793696275,0.049634551792574033,0.049634551792574033,0.39707641434059227,1,8,False
2015,39.750716332378218,0.049645909145115574,0.049645909145115574,0.39716727316092459,1,8,False
2015,39.954154727793693,0.049657150711994724,0.049657150711994724,0.39725720569595779,1,8,False
2015,40.157593123209168,0.0496682782548441,0.0496682782548441,0.3973462260387528,1,8,False
2015,40.361031518624635,0.049679293499742982,0.049679293499742982,0.39743434799794386,1,8,False
2015,40.56446991404011,0.049690198138104158,0.049690198138104158,0.39752158510483326,1,8,False
2015,40.767908309455585,0.049700993827544337,0.049700993827544337,0.3976079506203547,1,8,False
2015,40.971346704871053,0.049711682192720374,0.049711682192720374,0.397693457541763,1,8,False
2015,41.174785100286535,0.049722264826148166,0.049722264826148166,0.39777811860918533,1,8,False
2015,41.378223495702002,0.049732743288990022,0.049732743288990022,0.39786194631192018,1,8,False
2015,41.581661891117477,0.049743119111824274,0.049743119111824274,0.39794495289459419,1,8,False
2015,41.785100286532952,0.049753393795390899,0.049753393795390899,0.39802715036312719,1,8,False
2015,41.98853868194842,0.049763568811313608,0.049763568811313608,0.39810855049050886,1,8,False
2015,42.191977077363902,0.049773645602805061,0.049773645602805061,0.39818916482244049,1,8,False
2015,42.395415472779362,0.049783625585345881,0.049783625585345881,0.39826900468276705,1,8,False
2015,42.598853868194844,0.049793510147350784,0.049793510147350784,0.39834808117880627,1,8,False
2015,42.802292263610312,0.049803300650809401,0.049803300650809401,0.39842640520647521,1,8,False
2015,43.005730659025787,0.049812998431915112,0.049812998431915112,0.3985039874553209,1,8,False
2015,43.209169054441261,0.049822604801670778,0.049822604801670778,0.39858083841336622,1,8,False
2015,43.412607449856729,0.049832121046479383,0.049832121046479383,0.39865696837183506,1,8,False
2015,43.616045845272204,0.049841548428720461,0.049841548428720461,0.39873238742976369,1,8,False
2015,43.819484240687679,0.049850888187305653,0.049850888187305653,0.39880710549844522,1,8,False
2015,44.022922636103146,0.049860141538223601,0.049860141538223601,0.39888113230578881,1,8,False
2015,44.226361031518621,0.049869309675066198,0.049869309675066198,0.39895447740052958,1,8,False
2015,44.429799426934089,0.049878393769542839,0.049878393769542839,0.39902715015634271,1,8,False
2015,44.633237822349571,0.049887394971979582,0.049887394971979582,0.39909915977583665,1,8,False
2015,44.836676217765039,0.049896314411804532,0.049896314411804532,0.39917051529443626,1,8,False
2015,45.040114613180513,0.049905153198018581,0.049905153198018581,0.39924122558414865,1,8,False
2015,45.243553008595981,0.049913912419659479,0.049913912419659479,0.39931129935727583,1,8,False
2015,45.446991404011456,0.049922593146244143,0.049922593146244143,0.39938074516995314,1,8,False
2015,45.650429799426931,0.049931196428206093,0.049931196428206093,0.39944957142564874,1,8,False
2015,45.853868194842406,0.049939723297321326,0.049939723297321326,0.39951778637857061,1,8,False
2015,46.057306590257873,0.049948174767116882,0.049948174767116882,0.39958539813693505,1,8,False
2015,46.260744985673348,0.049956551833274521,0.049956551833274521,0.39965241466619617,1,8,False
2015,46.464183381088816,0.049964855474022851,0.049964855474022851,0.39971884379218281,1,8,False
2015,46.667621776504298,0.049973086650515697,0.049973086650515697,0.39978469320412557,1,8,False
2015,46.871060171919765,0.049981246307204685,0.049981246307204685,0.39984997045763748,1,8,False
2015,47.07449856733524,0.049989335372199406,0.049989335372199406,0.39991468297759525,1,8,False
2015,47.277936962750715,0.049997354757620016,0.049997354757620016,0.39997883806096013,1,8,False
2015,47.481375358166183,0.050005305359940522,0.050005305359940522,0.40004244287952417,1,8,False
2015,47.684813753581665,0.050013188060322733,0.050013188060322733,0.40010550448258186,1,8,False
2015,47.888252148997125,0.050021003724939117,0.050021003724939117,0.40016802979951294,1,8,False
2015,48.091690544412607,0.050028753205294318,0.050028753205294318,0.40023002564235455,1,8,False
2015,48.295128939828075,0.050036437338532025,0.050036437338532025,0.4002914987082562,1,8,False
2015,48.49856733524355,0.050044056947736504,0.050044056947736504,0.40035245558189203,1,8,False
2015,48.702005730659025,0.050051612842227922,0.050051612842227922,0.40041290273782337,1,8,False
2015,48.905444126074492,0.050059105817846561,0.050059105817846561,0.40047284654277249,1,8,False
2015,49.108882521489967,0.050066536657233929,0.050066536657233929,0.40053229325787143,1,8,False
2015,49.312320916905442,0.05007390613010454,0.05007390613010454,0.40059124904083632,1,8,False
2015,49.51575931232091,0.050081214993512813,0.050081214993512813,0.4006497199481025,1,8,False
2015,49.719197707736392,0.050088463992110643,0.050088463992110643,0.40070771193688515,1,8,False
2015,49.922636103151852,0.050095653858402311,0.050095653858402311,0.40076523086721849,1,8,False
2015,50.126074498567334,0.050102785312989617,0.050102785312989617,0.40082228250391694,1,8,False
