scope_key,scope_label,dataset_set,mass_MeV,n_fit_bins,dimuon_factor,signal_yield_per_eps2_fitted_window,eps2_current_ee_raw,eps2_fixed_ee_raw,eps2_current_display,eps2_fixed_display,fixed_over_current,p0_current,log_p0_current,Z_current,p0_fixed,log_p0_fixed,Z_fixed,signed_r_fixed,Ahat_fixed_window,sigma_A_fixed_window,eps2_hat_fixed_unbounded_ee_raw,eps2_fixed_asimov_ee_raw,eps2_profiled_asimov_ee_raw,eps2_fixed_asimov_display,eps2_profiled_asimov_display,fixed_over_profiled_asimov,fixed_cls_at_limit,inherited_2016_numerical_exception,fixed_background_uncertainty_omitted,conditional_on_frozen_gp,gp_reoptimized,prior_2021_fixed_limit_relative_delta,prior_2021_fixed_r_delta
individual_2015_full,2015 full,2015,44,40,1.0,946331631.4626917,3.7098331384777297e-06,7.741486622675457e-07,3.7098331384777297e-06,7.741486622675457e-07,0.20867479300840067,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-5.276809482779219,-9478.918039428254,1794.3447732500008,-1.0016486529967536e-05,3.125189924470365e-06,7.80031311485889e-06,3.125189924470365e-06,7.80031311485889e-06,0.4006492916953758,0.10000000000001907,False,True,True,False,,
individual_2016_full,2016 full,2016,44,34,1.0,1109408932.652681,9.73162396962856e-06,1.0740482076317002e-05,9.73162396962856e-06,1.0740482076317002e-05,1.103668011612141,0.3318462181410898,-1.1030836157453636,0.4348208958674844,7.280903895488335e-05,-9.527670449000853,3.7984256807562184,3.7984256807562184,8907.684912615516,2346.5218776530064,8.029216865341586e-06,3.4764425455550644e-06,8.209133132442356e-06,3.4764425455550644e-06,8.209133132442356e-06,0.4234847321230815,0.09999999999991685,True,True,True,False,,
individual_2015_full,2015 full,2015,45,42,1.0,897618768.8901477,3.683545528067656e-06,3.853484882735095e-07,3.683545528067656e-06,3.853484882735095e-07,0.1046134723562542,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-11.507697790301401,-20159.605469442642,1747.4781863896485,-2.2458983889528956e-05,3.2161240344120122e-06,8.208796468875204e-06,3.2161240344120122e-06,8.208796468875204e-06,0.3917899592962738,0.1000000000000379,False,True,True,False,,
individual_2016_full,2016 full,2016,45,36,1.0,1242121283.5588267,1.2657851007280056e-05,1.4098492738586752e-05,1.2657851007280056e-05,1.4098492738586752e-05,1.1138140850668983,0.0559608839046586,-2.883102334015486,1.5896143173641142,4.180463000543998e-09,-19.29284383086343,5.761015703210004,5.761015703210004,14322.556969658532,2488.2830188824237,1.1530723415850894e-05,3.29122484281099e-06,7.152863652559113e-06,3.29122484281099e-06,7.152863652559113e-06,0.4601268810196701,0.09999999999977557,True,True,True,False,,
individual_2015_full,2015 full,2015,46,42,1.0,842185463.3812419,4.575335944936353e-06,5.782721029456844e-07,4.575335944936353e-06,5.782721029456844e-07,0.12638899304993628,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-7.743773014041497,-13096.845985598133,1688.3470287087775,-1.5551023563166667e-05,3.307829796662748e-06,8.247652340998349e-06,3.307829796662748e-06,8.247652340998349e-06,0.4010631947008507,0.10000000000757961,False,True,True,False,,
individual_2016_full,2016 full,2016,46,36,1.0,1361271131.1962006,8.265448195405712e-06,1.638397681685329e-06,8.265448195405712e-06,1.638397681685329e-06,0.19822248509113158,0.3725540170708014,-0.9873732394051775,0.3250965048487984,0.5,-0.6931471805599453,0.0,-1.9185235445942972,-4988.586078907115,2599.501188450813,-3.6646528120547558e-06,3.143310869314943e-06,7.340342887149163e-06,3.143310869314943e-06,7.340342887149163e-06,0.4282239832171845,0.10000000000002937,True,True,True,False,,
individual_2015_full,2015 full,2015,47,44,1.0,792779353.8958437,7.24043299558171e-06,1.923701327369387e-06,7.24043299558171e-06,1.923701327369387e-06,0.2656887134434193,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-1.6495346348661928,-2704.5405475146767,1638.9522362403509,-3.4114669286279146e-06,3.4038622120840196e-06,8.526052931070694e-06,3.4038622120840196e-06,8.526052931070694e-06,0.3992307155025562,0.1000000000423453,False,True,True,False,,
individual_2016_full,2016 full,2016,47,36,1.0,1475111694.3249226,7.115966083448559e-06,1.7913318631416976e-06,7.115966083448559e-06,1.7913318631416976e-06,0.25173417665779224,0.4402386550049545,-0.8204383013757817,0.1503641674994847,0.5,-0.6931471805599453,0.0,-1.4866823352472465,-4015.0610501112556,2700.1281346423616,-2.7218691747601718e-06,3.0126938702250943e-06,6.768420742663806e-06,3.0126938702250943e-06,6.768420742663806e-06,0.4451103122527526,0.0999999999833143,True,True,True,False,,
individual_2015_full,2015 full,2015,48,44,1.0,739300189.8655212,1.2699075567649636e-05,1.2247301368415762e-05,1.2699075567649636e-05,1.2247301368415762e-05,0.9644246388780653,0.1534975907284794,-1.8740704076580008,1.021547362973059,4.1194003822723954e-06,-12.399802943477962,4.458882655578586,4.458882655578586,7030.864088587967,1578.5102094310744,9.51016134578145e-06,3.5074466860106635e-06,8.706859020999486e-06,3.5074466860106635e-06,8.706859020999486e-06,0.4028371973809717,0.09999999999983847,False,True,True,False,,
individual_2016_full,2016 full,2016,48,36,1.0,1583569543.1138406,5.718628647816774e-06,1.9006030285419046e-06,5.718628647816774e-06,1.9006030285419046e-06,0.33235293731959775,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-1.1862780053517945,-3310.789996203511,2790.4619376922096,-2.0907133574275257e-06,2.8998807277744804e-06,6.296966143130811e-06,2.8998807277744804e-06,6.296966143130811e-06,0.4605202984834024,0.09999999999985569,True,True,True,False,,
individual_2015_full,2015 full,2015,49,46,1.0,691430467.0749465,1.959028266321166e-05,1.7117965472998575e-05,1.959028266321166e-05,1.7117965472998575e-05,0.8737987995009475,0.0121842869796204,-4.407608109856714,2.251267910387808,4.542448169120887e-11,-23.81496991192145,6.481443875213168,6.481443875213168,9878.804502617291,1526.6294177523678,1.428748800209652e-05,3.6242964542420763e-06,9.095432406497e-06,3.6242964542420763e-06,9.095432406497e-06,0.39847434319375385,0.09999999999990664,False,True,True,False,,
individual_2016_full,2016 full,2016,49,38,1.0,1699920325.3469028,4.754462256862382e-06,2.130390809887669e-06,4.754462256862382e-06,2.130390809887669e-06,0.44808238971983766,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-0.7516332984045946,-2175.5429285700257,2894.138230782854,-1.2797911149900879e-06,2.8013112537850723e-06,6.0224543120143e-06,2.8013112537850723e-06,6.0224543120143e-06,0.4651444591612238,0.09999999999999509,True,True,True,False,,
individual_2015_full,2015 full,2015,50,46,1.0,640811835.9898628,2.4600041512683968e-05,2.532335402629939e-05,2.4600041512683968e-05,2.532335402629939e-05,1.0294028980903336,0.0012433061942815,-6.689981161888306,3.0249658056072275,4.912968567608587e-23,-51.36757878349701,9.81373837369393,9.81373837369393,14348.391068825313,1465.7941445940883,2.2390958254791496e-05,3.749362331019209e-06,9.380444424528862e-06,3.749362331019209e-06,9.380444424528862e-06,0.39969986083122305,0.09999999999987585,False,True,True,False,,
