mass_MeV,width_scale,sigma_template_MeV,eps2_90,epsilon_90,A90_full_template_events,A90_fitted_window_events,limit_ratio_to_nominal,template_fraction_in_fixed_window,signal_yield_per_eps2_total,signal_yield_per_eps2_fitted_window,nominal_saved_eps2_90,cls_at_limit,limit_optimizer_ok,limit_convergence_reason,limit_numerical_method,limit_initial_error
52,1.1,2.2098516000000004,9.333013007778667e-06,0.0030549980372790203,8705.592855878394,8409.796275682143,1.1600782885019283,0.9660222359242866,932774105.0636762,901080526.5858879,8.045157900312727e-06,0.09999998007263217,True,bracket_width,production,
52,1.2,2.4107472,1.0595285462477232e-05,0.0032550400093512262,9883.007915156379,9369.844420011126,1.3169766950132422,0.9480761829242011,932774105.0636762,884340913.0593079,8.045157900312727e-06,0.10000006791110158,True,bracket_width,production,
53,0.8,1.6132783000000002,4.91124835132918e-06,0.0022161336492479825,5306.413989786803,5270.037727210769,0.7676031270783088,0.9931448502423583,1080461343.0617237,1073054618.747693,6.398160947997226e-06,0.09999999187471413,True,bracket_width,production,
53,0.9,1.8149380875,5.614942599914037e-06,0.0023695870104121597,6066.728422717607,5968.578510274591,0.8775869574774717,0.9838216076929567,1080461343.0617237,1062981215.5810764,6.398160947997226e-06,0.10000006536765443,True,bracket_width,production,
53,1.0,2.016597875,6.398160948122541e-06,0.0025294586274779316,6912.965571133553,6703.078661303287,1.0,0.9696386583051,1080461343.0617237,1047657087.0368961,6.398160947997226e-06,0.1000000570830809,True,bracket_width,production,
53,1.1,2.2182576625000006,7.148844345270093e-06,0.0026737322875093708,7724.049962629733,7346.063471234757,1.1173279952214754,0.9510636915577011,1080461343.0617237,1027587553.5176748,6.398160947997226e-06,0.10000000172800351,True,cls_residual,production,
53,1.2,2.4199174500000002,7.955479717911866e-06,0.0028205459964184003,8595.588300715357,7985.339982050101,1.2434009995085071,0.9290044733046987,1080461343.0617237,1003753420.9371442,6.398160947997226e-06,0.09999993934033773,True,bracket_width,production,
54,0.8,1.6195292000000001,4.482857156333174e-06,0.0021172758810162587,5542.045126048837,5502.850676780201,0.715373211244268,0.9929278004099221,1236275199.6724434,1227532014.7120967,6.2664593612279555e-06,0.09999992721751454,True,bracket_width,production,
54,0.9,1.8219703500000002,5.314419886264356e-06,0.002305302558508179,6570.085506034671,6461.0749414514785,0.8480737813754184,0.9834080447685094,1236275199.6724434,1215762976.9056761,6.2664593612279555e-06,0.10000004448911001,True,bracket_width,production,
54,1.0,2.0244115,6.266459361171799e-06,0.0025032897077988795,7747.068297971918,7506.8762734824,1.0,0.9689957522960787,1236275199.6724434,1197945417.151584,6.2664593612279555e-06,0.10000006280393879,True,bracket_width,production,
54,1.1,2.22685265,7.284267573511055e-06,0.002698938230769844,9005.359348909884,8556.77896022856,1.1624215771103206,0.9501873971597118,1236275199.6724434,1174693114.149862,6.2664593612279555e-06,0.10000010402944914,True,bracket_width,production,
54,1.2,2.4292938,8.340417455060152e-06,0.0028879780911669245,10311.051254606022,9567.73807983547,1.3309617080961222,0.9279110193115849,1236275199.6724434,1147153380.6776903,6.2664593612279555e-06,0.10000006541823293,True,bracket_width,production,
55,0.8,1.6259175000000001,4.112855326903127e-06,0.00202801758545214,5752.998476754481,5730.1827581829975,0.7092379852025064,0.9960341170498005,1398784547.3490894,1393237131.561755,5.798976335094624e-06,0.10000006141031595,True,bracket_width,production,
55,0.9,1.8291571875000001,4.9279490794348275e-06,0.0022198984389910337,6893.139022436607,6821.227944263814,0.8497961631221815,0.9895677313429008,1398784547.3490894,1384192051.1577446,5.798976335094624e-06,0.09999997160098678,True,bracket_width,production,
55,1.0,2.032396875,5.798977794074012e-06,0.0024081066824528374,8111.520528771237,7939.963993653889,1.0,0.9788502618579532,1398784547.3490894,1369200620.455515,5.798976335094624e-06,0.09999999801808758,True,cls_residual,production,
55,1.1,2.2356365625000003,6.67133124115203e-06,0.0025828920304867622,9331.75505037068,8994.961712917577,1.1504322792836832,0.9639088964899775,1398784547.3490894,1348300869.4624932,5.798976335094624e-06,0.09999992231501262,True,bracket_width,production,
55,1.2,2.43887625,7.547569453034181e-06,0.0027472840139006706,10557.42352094823,9980.078009588522,1.3015344636682449,0.9453137870036065,1398784547.3490894,1322290317.6566932,5.798976335094624e-06,0.10000007280361754,True,bracket_width,production,
56,0.8,1.6324432,5.100114612531732e-06,0.0022583433336257207,7990.719485102946,7931.895704243591,0.7350437546768002,0.9926384875643526,1566772532.0267456,1555238716.5483997,6.938518394247164e-06,0.09999999165820969,True,bracket_width,production,
56,0.9,1.8364986,5.982621953513818e-06,0.0024459398916395754,9373.40774626564,9212.117827789503,0.8622333491716779,0.9827928195548311,1566772532.0267456,1539812794.3516269,6.938518394247164e-06,0.09999993081174366,True,bracket_width,production,
56,1.0,2.040554,6.9385183944243704e-06,0.002634106754561092,10871.08003334642,10522.870249682084,1.0,0.9679691638184779,1566772532.0267456,1516587497.7196884,6.938518394247164e-06,0.10000004547763532,True,bracket_width,production,
56,1.1,2.2446094,7.920186170787945e-06,0.002814282532154145,12409.130140928643,11772.76772042259,1.1414808926863147,0.9487182088285818,1566772532.0267456,1486425630.2262359,6.938518394247164e-06,0.10000007786219048,True,bracket_width,production,
56,1.2,2.4486648,8.86044078472959e-06,0.002976649254569572,13882.295243163824,12855.172946201836,1.2769931966815322,0.9260120694041728,1566772532.0267456,1450850274.6677024,6.938518394247164e-06,0.09999994067302807,True,bracket_width,production,
57,0.8,1.6391063000000001,5.527537161517517e-06,0.0023510714922174354,9613.658512257196,9572.636828501258,0.7709675943263583,0.9957329788962613,1739230009.919623,1731808678.7630403,7.169610243391224e-06,0.09999988141256781,True,bracket_width,production,
57,0.9,1.8439945875000001,6.282903249414464e-06,0.002506572011615558,10927.41388080315,10806.480754297656,0.8763242402619129,0.9889330515138679,1739230009.919623,1719982040.9943073,7.169610243391224e-06,0.10000007400909851,True,bracket_width,production,
57,1.0,2.0488828750000003,7.16961024327782e-06,0.0026776127881525027,12469.601294535913,12192.659886938112,1.0,0.9777906766177717,1739230009.919623,1700602888.1932418,7.169610243391224e-06,0.1000000982611484,True,bracket_width,production,
57,1.1,2.2537711625000005,8.175307739187037e-06,0.0028592495062843043,14218.740560322241,13683.93223922144,1.140272268893857,0.9623870821165977,1739230009.919623,1673812494.3761673,7.169610243391224e-06,0.09999993853510136,True,bracket_width,production,
57,1.2,2.4586594500000003,9.124661837082574e-06,0.0030207055197557036,15869.88569742233,14970.670334060913,1.2726858960900695,0.9433382583525808,1739230009.919623,1640682208.4321191,7.169610243391224e-06,0.10000000617887274,True,cls_residual,production,
58,0.8,1.6459068000000001,4.614142031112779e-06,0.002148055406900106,8838.075327942855,8796.918641692244,0.7996067136511881,0.9953432523797927,1915432006.285988,1906512322.849047,5.770514369531544e-06,0.09999999758520649,True,cls_residual,production,
58,0.9,1.8516451500000002,5.2170890218823825e-06,0.0022840947926656596,9992.979292156775,9875.28148929732,0.904094277870984,0.9882219506897375,1915432006.285988,1892871953.6654966,5.770514369531544e-06,0.0999999588192155,True,bracket_width,production,
58,1.0,2.0573835000000003,5.770514369549933e-06,0.0024021894949295595,11053.02791616915,10795.845157288142,1.0,0.976731918092346,1915432006.285988,1870863577.4751837,5.770514369531544e-06,0.09999999374445272,True,bracket_width,production,
58,1.1,2.2631218500000005,6.221270149950886e-06,0.0024942474115353685,11916.419964967556,11451.685162514681,1.0781136223799248,0.9610004679409484,1915432006.285988,1840731054.3499038,5.770514369531544e-06,0.10000009013160067,True,bracket_width,production,
58,1.2,2.4688602,6.557481563623332e-06,0.0025607580056739706,12560.410067594417,11827.746282189393,1.1363773042878287,0.9416688005039517,1915432006.285988,1803702559.806204,5.770514369531544e-06,0.09999999465271964,True,cls_residual,production,
59,0.8,1.6528447000000004,3.515602266148498e-06,0.0018749939376297988,7358.722247839913,7323.176855297666,0.7488274306612193,0.9951696243797379,2093161197.071854,2083050442.2562397,4.694809674652309e-06,0.10000004910171846,True,bracket_width,production,
59,0.9,1.8594502875000003,4.1093343018440865e-06,0.0020271493042802956,8601.4991064164,8497.138561493837,0.875293054794027,0.9878671678469729,2093161197.071854,2067765223.598552,4.694809674652309e-06,0.10000000197209137,True,bracket_width,production,
59,1.0,2.066055875,4.694809674699282e-06,0.00216675094893236,9826.993438718071,9592.63166892556,1.0,0.9761512235401387,2093161197.071854,2043241863.588432,4.694809674652309e-06,0.10000007630298229,True,bracket_width,production,
59,1.1,2.272661462500001,5.232751419209155e-06,0.0022875208019183463,10952.992224611278,10516.816869367094,1.1145822262846745,0.9601775162166096,2093161197.071854,2009806319.245438,4.694809674652309e-06,0.1000000639452872,True,bracket_width,production,
59,1.2,2.4792670500000002,5.706512493609202e-06,0.002388830779609389,11944.650522228529,11235.263706340855,1.2154938941107816,0.9406105005276184,2093161197.071854,1968849401.2627463,4.694809674652309e-06,0.10000008496732715,True,bracket_width,production,
60,0.8,1.6599200000000003,2.7310658226724704e-06,0.001652593665325046,6202.009452954026,6172.4041598268195,0.7303876216155869,0.9952264998381928,2270911744.955704,2260071547.373708,3.739200585900289e-06,0.09999999376024479,True,cls_residual,production,
60,0.9,1.86741,3.196650603074304e-06,0.0017879179519973236,7259.311399041172,7171.359976312126,0.8549021454308164,0.9878843298083805,2270911744.955704,2243398127.219546,3.739200585900289e-06,0.10000002936389156,True,bracket_width,production,
60,1.0,2.0749,3.7392005858909093e-06,0.0019337012659381772,8491.394527244916,8288.12661052268,1.0,0.9760618922993104,2270911744.955704,2216550415.026194,3.739200585900289e-06,0.10000000914555764,True,bracket_width,production,
60,1.1,2.2823900000000004,4.353357594427103e-06,0.002086470127854004,9886.090891176618,9489.92852926991,1.164248211463591,0.9599272992462282,2270911744.955704,2179910178.1618686,3.739200585900289e-06,0.09999997770190079,True,bracket_width,production,
60,1.2,2.4898800000000003,5.025101688658598e-06,0.0022416738586731565,11411.562444371553,10728.783478389492,1.3438973313225742,0.9401677930335628,2270911744.955704,2135038083.4290016,3.739200585900289e-06,0.10000005852872708,True,bracket_width,production,
61,0.8,1.6671327,2.4678094004726873e-06,0.00157092628740902,6040.545728743472,6024.192529317113,0.7319072662717423,0.9972927612568938,2447735926.277961,2441109320.745448,3.3717514693123736e-06,0.1000000086951915,True,cls_residual,production,
61,0.9,1.8755242875,2.872621654856216e-06,0.001694881014955391,7031.419227195608,6977.433620316093,0.8519671989401236,0.99232223180909,2447735926.277961,2428942777.2434363,3.3717514693123736e-06,0.09999996499766606,True,bracket_width,production,
61,1.0,2.0839158749999998,3.371751469340434e-06,0.0018362329561742523,8253.157205985082,8117.597901751553,1.0,0.9835748549494219,2447735926.277961,2407531508.6433334,3.3717514693123736e-06,0.10000005459046145,True,bracket_width,production,
61,1.1,2.2923074625,3.967825797592815e-06,0.0019919402093418405,9712.189753980438,9428.904455148584,1.176784776005149,0.9708319847523827,2447735926.277961,2376340327.4581447,3.3717514693123736e-06,0.09999998930418041,True,bracket_width,production,
61,1.2,2.5006990499999997,4.649158797473169e-06,0.0021561908072972504,11379.913015546319,10861.436570022146,1.3788557192747708,0.9544393314064991,2447735926.277961,2336215440.936405,3.3717514693123736e-06,0.10000006652372331,True,bracket_width,production,
62,0.8,1.6744828,2.8476658974679486e-06,0.0016875028585066007,7468.196972591633,7429.727130163065,0.6700323903351267,0.9948488446984255,2622567829.755629,2609058575.5756445,4.2500421450269414e-06,0.1000000833950766,True,bracket_width,production,
62,0.9,1.88379315,3.4768801016674427e-06,0.0018646394025836315,9118.353902550516,9000.874101850492,0.8180813231988693,0.9871161174532649,2622567829.755629,2588778973.866212,4.2500421450269414e-06,0.10000003497271083,True,bracket_width,production,
62,1.0,2.0931035,4.250042145042639e-06,0.002061563034457748,11146.02380469443,10865.27258429913,1.0,0.9748115359060102,2622567829.755629,2556509374.141776,4.2500421450269414e-06,0.09999994097894395,True,bracket_width,production,
62,1.1,2.30241385,5.172300942396674e-06,0.0022742693205503772,13564.71005734424,12997.229638587587,1.216999918090173,0.9581649429764697,2622567829.755629,2512852555.049726,4.2500421450269414e-06,0.09999991973597289,True,bracket_width,production,
62,1.2,2.5117242,6.217035186961621e-06,0.002493398320959092,16304.59647778432,15292.284999125064,1.4628173026974178,0.9379125095160392,2622567829.755629,2459739174.5821342,4.2500421450269414e-06,0.10000002633329934,True,bracket_width,production,
63,0.8,1.6819703000000001,3.42259957607388e-06,0.0018500269122566516,9561.203167186977,9507.592811997132,0.6534513294419566,0.9943929279346525,2793550035.4834933,2777886399.116384,5.237726853987156e-06,0.09999993963212378,True,bracket_width,production,
63,0.9,1.8922165875,4.276885974577309e-06,0.0020680633391115728,11947.694966039295,11784.105586051295,0.8165538398053239,0.9863078710619082,2793550035.4834933,2755300388.202643,5.237726853987156e-06,0.09999997673074515,True,bracket_width,production,
63,1.0,2.102462875,5.237726854112852e-06,0.0022886080603967233,14631.852039159803,14246.028039107237,1.0,0.9736312259705763,2793550035.4834933,2719887545.857941,5.237726853987156e-06,0.10000006877859642,True,bracket_width,production,
63,1.1,2.3127091625000005,6.262641256195029e-06,0.0025025269741193656,17495.00170346401,16736.413969059307,1.195679238461505,0.9566397450390357,2793550035.4834933,2672420993.698718,5.237726853987156e-06,0.10000006582321387,True,bracket_width,production,
63,1.2,2.5229554500000004,7.290961956482887e-06,0.0027001781342131646,20367.66703224157,19066.043314605053,1.3920088159537685,0.9360936274352839,2793550035.4834933,2615024386.1377096,5.237726853987156e-06,0.10000001432343442,True,bracket_width,production,
64,0.8,1.6895952000000003,5.3159045729319356e-06,0.0023056245515980993,15727.828363739,15636.238998021056,0.6784119697836424,0.9941766044491491,2958636323.87676,2941407014.27171,7.83580598492397e-06,0.10000016880036784,True,bracket_width,production,
