mass_MeV,nominal_r,r_min_across_widths,r_max_across_widths,best_excess_gain_same_mass,best_deficit_gain_same_mass
140,-0.7626964652117469,-0.8657859439168409,-0.6014100414145711,0.0,0.103089478705094
141,-0.7959874015654568,-1.021639401869112,-0.6153808903696036,0.0,0.22565200030365518
142,-0.57862095566179,-0.6601266346445126,-0.5161925573464986,0.0,0.08150567898272265
143,-0.3806875379202559,-0.3902467803968893,-0.3522695848179376,0.0,0.009559242476633423
144,-0.36021263525213987,-0.4370240279014542,-0.2925187787931832,0.0,0.07681139264931436
145,-0.09113952978225899,-0.1036616321324536,-0.03849339770394169,0.0,0.012522102350194603
146,-0.11004880711014253,-0.18600255325062107,-0.048330903430674366,0.0,0.07595374614047853
147,0.005409794874550864,-0.058257345252192276,0.05145346933869985,0.04604367446414898,0.058257345252192276
148,0.08310218383178077,0.02554684046938368,0.12920368443482252,0.04610150060304176,0.0
149,-0.012959015651455286,-0.13646390869554062,0.11054462659726251,0.11054462659726251,0.12350489304408534
150,0.05031844299472926,0.015438878665783572,0.11829904460214853,0.06798060160741927,0.0
151,0.0414018160767216,0.029381185651399137,0.10015331674645708,0.05875150066973548,0.0
152,0.013577818907699542,-0.06458661676079429,0.10993256821232147,0.09635474930462193,0.06458661676079429
153,0.07395970159706669,-0.11584260414036364,0.25402001986491585,0.18006031826784916,0.11584260414036364
154,0.11261791831052982,-0.08579415590795077,0.24602386451120367,0.13340594620067386,0.08579415590795077
155,0.45223075496367543,0.1394116722066624,0.7213087354508416,0.2690779804871662,0.0
156,0.7984185136303131,0.48081018365153017,1.0768239560596966,0.2784054424293835,0.0
157,1.0515727214118074,0.8351723386608335,1.2292273420239903,0.17765462061218296,0.0
158,1.279149683281466,1.198713500607854,1.3238966671108243,0.04474698382935838,0.0
159,1.4263433837575905,1.3377212974151054,1.4685448949735695,0.04220151121597904,0.0
160,1.487912780724953,1.3667345223018814,1.587389586581337,0.09947680585638397,0.0
161,1.4028346867972712,1.2840956743847052,1.521527085298541,0.11869239850126978,0.0
162,1.145478257158149,1.0063224985530888,1.2584721867053408,0.11299392954719178,0.0
163,0.88501538926015,0.8659300751988998,0.8876498706966442,0.0026344814364942515,0.0
164,0.5720835842105161,0.4524261412751227,0.6698854953686119,0.09780191115809578,0.0
165,0.19604986239202019,0.01559827426265946,0.32779881749722456,0.13174895510520437,0.0
166,-0.11718088767152193,-0.32436255058109714,0.041980298155624964,0.041980298155624964,0.2071816629095752
167,-0.5651423328596075,-0.6190968085828612,-0.5636794255650422,0.0,0.053954475723253736
168,-0.9281444406239434,-1.0566409775597625,-0.8115862329748961,0.0,0.12849653693581908
169,-1.3009466461329298,-1.5858939968212236,-0.9780746501845831,0.0,0.2849473506882938
170,-1.4500125345970851,-1.6406430924644142,-1.1059424190945404,0.0,0.19063055786732908
171,-1.6244949142738074,-1.7703767613315526,-1.2921028464655377,0.0,0.1458818470577452
172,-1.7815691469620871,-1.866112151992267,-1.5377125217129353,0.0,0.08454300503017986
173,-1.7778013415832148,-1.7778013415832148,-1.7198443050250196,0.0,0.0
174,-1.5851136543563384,-1.7657777669528127,-1.3813354232748034,0.0,0.1806641125964743
175,-1.2337826563040948,-1.6032305706874683,-0.8841556189353486,0.0,0.36944791438337354
176,-0.8957026029536194,-1.2342678337415929,-0.6514705249994405,0.0,0.3385652307879735
177,-0.37315233347726817,-0.647251296589843,-0.24635854734648413,0.0,0.27409896311257487
178,0.18110565653276306,0.07184675325054256,0.25124232251977313,0.07013666598701007,0.0
179,0.7366735624530732,0.6983588274654773,0.7935491326504074,0.056875570197334135,0.0
180,1.093551570058727,0.865201049576236,1.3563439734375484,0.26279240337882137,0.0
181,1.5650821521329998,1.3964072733048651,1.804836638592407,0.23975448645940722,0.0
182,1.5702468326939325,1.249533345615566,1.893995409823498,0.3237485771295654,0.0
183,1.545635704708398,1.241697064636738,1.8079709202057197,0.26233521549732175,0.0
184,1.3095887230497103,1.0133829752522476,1.5091208923269406,0.19953216927723028,0.0
185,1.018403405048674,0.8185637043715949,1.109468341983868,0.09106493693519391,0.0
186,0.7026741277665334,0.6530898504518164,0.7027518659856634,7.773821913004131e-05,0.0
187,0.2472847772927842,0.18429698586713264,0.28419526047657234,0.036910483183788145,0.0
188,-0.16217384435242815,-0.2833322165037097,0.0,0.0,0.12115837215128156
189,-0.5591683666750122,-0.7122915598834005,-0.3284983100818614,0.0,0.1531231932083883
190,-0.8517774783013622,-1.0616944779743707,-0.5592537428850441,0.0,0.20991699967300848
191,-1.0279695178793125,-1.2644109259897693,-0.746367010035798,0.0,0.23644140811045689
192,-1.1668070754073714,-1.3668522723523198,-0.9671704659017312,0.0,0.20004519694494838
193,-1.1664308674406114,-1.3054540346824115,-1.0641351487374706,0.0,0.13902316724180008
194,-1.0289918132591627,-1.1018400113246203,-0.983638669685785,0.0,0.07284819806545761
195,-0.8587119579079197,-0.9058384618611051,-0.8173440949124422,0.0,0.047126503953185406
196,-0.6871910918429441,-0.8420348041379426,-0.5074475150498443,0.0,0.1548437122949985
197,-0.44675060254725046,-0.599799340440722,-0.21506209982003605,0.0,0.15304873789347156
198,-0.18449006531104833,-0.2770121297676584,0.03888365813491775,0.03888365813491775,0.09252206445661004
199,0.11360211804616603,0.11360211804616603,0.22004542632256893,0.1064433082764029,0.0
200,0.22037314331107755,0.19791050114983239,0.2912742694271618,0.07090112611608423,0.0
201,0.33815261297946625,0.3198791456740232,0.33815261297946625,0.0,0.0
202,0.4551643568208128,0.3654332664881286,0.4551643568208128,0.0,0.0
203,0.7493017045319731,0.4815544871258349,0.9154383542362952,0.16613664970432207,0.0
204,0.9115448088722482,0.6118855966229051,1.1023063752011304,0.1907615663288822,0.0
205,1.137452632578059,0.8073814813838327,1.3878926291908935,0.25043999661283456,0.0
206,1.2283561342232172,0.9932790856535084,1.382742047535642,0.1543859133124248,0.0
207,1.314038022660429,1.1733391833611073,1.3920928730257673,0.07805485036533844,0.0
208,1.4116574932249393,1.3300708736944622,1.4608795440112246,0.049222050786285276,0.0
209,1.4085039142940867,1.4019848595421023,1.4085039142940867,0.0,0.0
210,1.3066061554198243,1.2059503456107714,1.3898183138419065,0.08321215842208218,0.0
211,1.0786868649237784,0.8512614094113824,1.2666451763564701,0.1879583114326917,0.0
212,0.8848216942206208,0.6501267043745792,1.0901926603301744,0.20537096610955352,0.0
213,0.5950154071303692,0.3404132083968517,0.8170122972640335,0.2219968901336643,0.0
214,0.3690448414698759,0.22289967197331612,0.5173058495425318,0.1482610080726559,0.0
215,-0.012158105076160872,-0.15544821541284218,0.13065946311439525,0.13065946311439525,0.14329011033668132
216,-0.32944541875100297,-0.38166680456072943,-0.2556174350122783,0.0,0.05222138580972646
217,-0.6374057269981884,-0.6445854799980398,-0.6003254457335878,0.0,0.007179752999851408
218,-0.8551390417504957,-0.9633398110934747,-0.6965131893819232,0.0,0.10820076934297895
219,-1.1328342567196135,-1.2492380144305029,-0.9922916590467494,0.0,0.1164037577108894
220,-1.269892036817298,-1.4323665136952592,-1.0726858819812541,0.0,0.16247447687796135
221,-1.349930574587886,-1.5161001011372301,-1.1551213942348582,0.0,0.16616952654934414
222,-1.4392518015309042,-1.5238008554889182,-1.3548870624961147,0.0,0.08454905395801404
223,-1.3948829939227128,-1.42679608689916,-1.3596335636524004,0.0,0.03191309297644729
224,-1.246767776582825,-1.252041611244749,-1.2164617141152478,0.0,0.005273834661924104
225,-1.011528385693103,-1.02479785679176,-0.9264791067558911,0.0,0.013269471098656949
226,-0.8551352909195492,-0.8617798448971618,-0.7773864772689738,0.0,0.006644553977612544
227,-0.7299654904873365,-0.8385069098979766,-0.5543620168731074,0.0,0.1085414194106401
228,-0.5909070920660318,-0.78309857058243,-0.3462425108127216,0.0,0.19219147851639828
229,-0.40497446177608326,-0.607482922420925,-0.15630853271864512,0.0,0.2025084606448418
230,-0.28973477389366753,-0.538334129819955,-0.022693754264139852,0.0,0.24859935592628746
231,-0.23285811220661246,-0.5371987493889419,0.05628212567696106,0.05628212567696106,0.3043406371823294
232,-0.11586967818581187,-0.34457663823146334,0.1104682878918944,0.1104682878918944,0.22870696004565147
233,-0.1637246877456742,-0.44896869334004597,0.09030953204416106,0.09030953204416106,0.2852440055943718
234,-0.06912651133480323,-0.22207288279257942,0.0864366643055687,0.0864366643055687,0.15294637145777618
235,-0.06324337897494889,-0.16683860319379754,0.04175268671676396,0.04175268671676396,0.10359522421884865
236,-0.056802321517876814,-0.09274177010800329,-0.013417048971088056,0.0,0.035939448590126474
237,0.04356204428359169,-0.038175428839512575,0.16143968433433858,0.11787764005074688,0.038175428839512575
238,0.08261626403148191,-0.07404995848302302,0.2673078689709192,0.18469160493943726,0.07404995848302302
239,0.05677755838044564,-0.11511969921839715,0.21612086017762944,0.1593433017971838,0.11511969921839715
240,0.03344308868835117,-0.12526687802352673,0.1406682927990017,0.10722520411065053,0.12526687802352673
241,0.12095475679929703,-0.06605628302128753,0.2787116194397911,0.1577568626404941,0.06605628302128753
242,0.27428925550629446,0.008136698297483147,0.5022602366355556,0.22797098112926117,0.0
243,0.3150073078609663,0.11807859498269042,0.48166028034481934,0.16665297248385302,0.0
244,0.5310281823387923,0.26545308664689754,0.8148906090814487,0.2838624267426564,0.0
245,0.611109328801694,0.4114414062720199,0.802605553660266,0.19149622485857198,0.0
246,0.7350995061138437,0.5733128265320462,0.884339552091407,0.14924004597756335,0.0
247,0.9769865469571264,0.7631811628833797,1.2202962456669582,0.24330969870983177,0.0
248,1.0662190339353517,0.9051646647695154,1.2213348981588599,0.1551158642235082,0.0
249,1.184763033380136,1.0410719009991087,1.2974467453473988,0.11268371196726279,0.0
250,1.342141373733242,1.169856981951867,1.4834563323746752,0.14131495864143329,0.0
