scenario,upper_factor,mass_MeV,selected_rows,exact_upper_bound_rows,exact_upper_bound_fraction,near_upper_bound_rows,near_upper_bound_fraction,exact_lower_bound_rows,exact_lower_bound_fraction,near_lower_bound_rows,near_lower_bound_fraction,exact_boundary_ratio,near_boundary_fractional_window
2021_1pct_x100,15,50,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,15,70,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,15,90,19,4,0.21052631578947367,7,0.3684210526315789,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,15,110,20,20,1.0,20,1.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,15,130,20,19,0.95,19,0.95,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,15,150,20,19,0.95,19,0.95,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,15,170,20,19,0.95,19,0.95,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,15,190,19,19,1.0,19,1.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,15,210,20,18,0.9,19,0.95,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,15,230,20,11,0.55,16,0.8,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,15,250,20,5,0.25,5,0.25,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,50,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,70,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,90,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,110,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,130,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,150,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,170,20,0,0.0,1,0.05,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,190,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,210,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,230,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,20,250,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,50,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,70,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,90,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,110,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,130,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,150,19,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,170,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,190,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,210,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,230,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,25,250,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
