mass_GeV,mass_MeV_scaled_21_dimuon,dataset_set_scaled_21_dimuon,sigma_mass_res_GeV_scaled_21_dimuon,sigma_mass_res_min_GeV_scaled_21_dimuon,N_eff_dimuon_scaled_21_dimuon,BR_ee_minimal_scaled_21_dimuon,eps2_obs_scaled_21_dimuon,eps2_med_scaled_21_dimuon,eps2_lo1_scaled_21_dimuon,eps2_hi1_scaled_21_dimuon,eps2_lo2_scaled_21_dimuon,eps2_hi2_scaled_21_dimuon,mass_MeV_v2_dimuon,dataset_set_v2_dimuon,sigma_mass_res_GeV_v2_dimuon,sigma_mass_res_min_GeV_v2_dimuon,N_eff_dimuon_v2_dimuon,BR_ee_minimal_v2_dimuon,eps2_obs_v2_dimuon,eps2_med_v2_dimuon,eps2_lo1_v2_dimuon,eps2_hi1_v2_dimuon,eps2_lo2_v2_dimuon,eps2_hi2_v2_dimuon,mass_MeV,eps2_obs_scaled_21_over_v2,eps2_obs_scaled_21_minus_v2,eps2_obs_scaled_21_minus_v2_frac,eps2_obs_scaled_over_unscaled,eps2_obs_scaled_minus_unscaled,eps2_obs_scaled_minus_unscaled_frac,eps2_med_scaled_21_over_v2,eps2_med_scaled_21_minus_v2,eps2_med_scaled_21_minus_v2_frac,eps2_med_scaled_over_unscaled,eps2_med_scaled_minus_unscaled,eps2_med_scaled_minus_unscaled_frac,eps2_lo1_scaled_21_over_v2,eps2_lo1_scaled_21_minus_v2,eps2_lo1_scaled_21_minus_v2_frac,eps2_lo1_scaled_over_unscaled,eps2_lo1_scaled_minus_unscaled,eps2_lo1_scaled_minus_unscaled_frac,eps2_hi1_scaled_21_over_v2,eps2_hi1_scaled_21_minus_v2,eps2_hi1_scaled_21_minus_v2_frac,eps2_hi1_scaled_over_unscaled,eps2_hi1_scaled_minus_unscaled,eps2_hi1_scaled_minus_unscaled_frac,eps2_lo2_scaled_21_over_v2,eps2_lo2_scaled_21_minus_v2,eps2_lo2_scaled_21_minus_v2_frac,eps2_lo2_scaled_over_unscaled,eps2_lo2_scaled_minus_unscaled,eps2_lo2_scaled_minus_unscaled_frac,eps2_hi2_scaled_21_over_v2,eps2_hi2_scaled_21_minus_v2,eps2_hi2_scaled_21_minus_v2_frac,eps2_hi2_scaled_over_unscaled,eps2_hi2_scaled_minus_unscaled,eps2_hi2_scaled_minus_unscaled_frac,dataset_set_match
0.03,30.0,2015+2021,0.0016943158563779,0.0015043442127557,1.0,1.0,9.96304881514785e-06,8.675909471200153e-06,6.5417480819931264e-06,1.2519887993112252e-05,5.587023710052361e-06,1.717820317653884e-05,30.0,2015+2021,0.0015058871063779,0.0015043442127557,1.0,1.0,1.005986574972762e-05,8.592582902369827e-06,6.470939322583341e-06,1.2457431222084624e-05,5.531958669135424e-06,1.6962178691991157e-05,30.0,0.9903759218076652,-9.681693457976979e-08,-0.009624078192334795,0.9903759218076652,-9.681693457976979e-08,-0.009624078192334795,1.0096974995501464,8.332656883032642e-08,0.009697499550146427,1.0096974995501464,8.332656883032642e-08,0.009697499550146427,1.0109425781760408,7.080875940978557e-08,0.01094257817604083,1.0109425781760408,7.080875940978557e-08,0.01094257817604083,1.0050136155612004,6.245677102762834e-08,0.005013615561200391,1.0050136155612004,6.245677102762834e-08,0.005013615561200391,1.0099539863202815,5.506504091693681e-08,0.00995398632028155,1.0099539863202815,5.506504091693681e-08,0.00995398632028155,1.0127356566907104,2.1602448454768262e-07,0.012735656690710417,1.0127356566907104,2.1602448454768262e-07,0.012735656690710417,True
0.031,31.0,2015+2021,0.0017228570858107,0.0015575632966214,1.0,1.0,1.6248566445112676e-05,8.428524563868959e-06,6.379787725517392e-06,1.2175337564234662e-05,5.294812160221192e-06,1.637806993335385e-05,31.0,2015+2021,0.0015340419983107,0.0015105207,1.0,1.0,1.6755291404598766e-05,8.312499190420477e-06,6.3076341537088125e-06,1.2028424996780136e-05,5.383547865924558e-06,1.6467137307943732e-05,31.0,0.969757317419916,-5.067249594860904e-07,-0.030242682580084,0.969757317419916,-5.067249594860904e-07,-0.030242682580084,1.0139579410223813,1.1602537344848178e-07,0.013957941022381348,1.0139579410223813,1.1602537344848178e-07,0.013957941022381348,1.0114390863595273,7.215357180857951e-08,0.011439086359527284,1.0114390863595273,7.215357180857951e-08,0.011439086359527284,1.0122137825603812,1.4691256745452527e-07,0.012213782560381192,1.0122137825603812,1.4691256745452527e-07,0.012213782560381192,0.9835172440343619,-8.873570570336591e-08,-0.016482755965638085,0.9835172440343619,-8.873570570336591e-08,-0.016482755965638085,0.9945912047173545,-8.906737458988067e-08,-0.005408795282645484,0.9945912047173545,-8.906737458988067e-08,-0.005408795282645484,True
0.032,32.0,2015+2021,0.0017514841902436,0.0016107823804872,1.0,1.0,1.7820902696270616e-05,8.272333922051547e-06,6.2437811017700285e-06,1.1915997402856025e-05,5.30945508900576e-06,1.6349567166895716e-05,32.0,2015+2021,0.0015622655902436,0.0015137488,1.0,1.0,1.864748117459244e-05,8.08803882333292e-06,6.16523682933003e-06,1.1707617202842306e-05,5.21432817143491e-06,1.601756327091767e-05,32.0,0.9556734515196588,-8.265784783218225e-07,-0.04432654848034123,0.9556734515196588,-8.265784783218225e-07,-0.04432654848034123,1.0227861293379257,1.842950987186277e-07,0.022786129337925676,1.0227861293379257,1.842950987186277e-07,0.022786129337925676,1.0127398629792026,7.854427243999873e-08,0.012739862979202599,1.0127398629792026,7.854427243999873e-08,0.012739862979202599,1.0177986857960413,2.0838020001371828e-07,0.01779868579604127,1.0177986857960413,2.0838020001371828e-07,0.01779868579604127,1.0182433698922084,9.512691757084967e-08,0.018243369892208428,1.0182433698922084,9.512691757084967e-08,0.018243369892208428,1.0207274908400612,3.3200389597804587e-07,0.020727490840061202,1.0207274908400612,3.3200389597804587e-07,0.020727490840061202,True
0.033,33.0,2015+2021,0.0017801971696764,0.0016640014643529,1.0,1.0,1.2979892456770076e-05,8.33786813906039e-06,6.2875886611532045e-06,1.1919551933745453e-05,5.242528079631297e-06,1.636303499716992e-05,33.0,2015+2021,0.0015905578821764,0.0015171143,1.0,1.0,1.291509830441908e-05,8.131137738322728e-06,6.137668825080493e-06,1.1656236166101266e-05,5.224287683953371e-06,1.6073514637267992e-05,33.0,1.0050169306360468,6.479415235099665e-08,0.005016930636046801,1.0050169306360468,6.479415235099665e-08,0.005016930636046801,1.0254245355804668,2.0673040073766174e-07,0.025424535580466756,1.0254245355804668,2.0673040073766174e-07,0.025424535580466756,1.0244261853067227,1.4991983607271142e-07,0.024426185306722692,1.0244261853067227,1.4991983607271142e-07,0.024426185306722692,1.0225901194769855,2.63315767644187e-07,0.022590119476985526,1.0225901194769855,2.63315767644187e-07,0.022590119476985526,1.0034914608041117,1.8240395677926406e-08,0.003491460804111668,1.0034914608041117,1.8240395677926406e-08,0.003491460804111668,1.0180122621863077,2.895203599019268e-07,0.018012262186307693,1.0180122621863077,2.895203599019268e-07,0.018012262186307693,True
0.034,34.0,2015+2021,0.0018089960241093,0.0017172205482186,1.0,1.0,7.10121572264033e-06,8.144588065335936e-06,6.136365642288043e-06,1.1676873105396733e-05,5.200094557797194e-06,1.593277844080744e-05,34.0,2015+2021,0.0016189188741093,0.0015206172,1.0,1.0,6.826505857875996e-06,7.946678696799151e-06,6.007492643494031e-06,1.1397358272330388e-05,5.095138050239516e-06,1.5582387668694978e-05,34.0,1.0402416507776655,2.7470986476433404e-07,0.040241650777665505,1.0402416507776655,2.7470986476433404e-07,0.040241650777665505,1.024904664714392,1.9790936853678462e-07,0.02490466471439201,1.024904664714392,1.9790936853678462e-07,0.02490466471439201,1.021452044378877,1.2887299879401148e-07,0.021452044378877044,1.021452044378877,1.2887299879401148e-07,0.021452044378877044,1.0245245280869102,2.7951483306634423e-07,0.02452452808691019,1.0245245280869102,2.7951483306634423e-07,0.02452452808691019,1.0205993452037565,1.049565075576786e-07,0.020599345203756503,1.0205993452037565,1.049565075576786e-07,0.020599345203756503,1.0224863339022425,3.5039077211246146e-07,0.022486333902242528,1.0224863339022425,3.5039077211246146e-07,0.022486333902242528,True
0.035,35.0,2015+2016+2021,0.0017643244377781,0.00161721180625,1.0,1.0,5.730679007446743e-06,8.302294456111749e-06,6.302039962785775e-06,1.1955748628545872e-05,5.3246230337405065e-06,1.655835364863178e-05,35.0,2015+2016+2021,0.0016373029794447,0.0015242575,1.0,1.0,5.3131921436392585e-06,8.009111535186147e-06,6.05524247388746e-06,1.15967674168302e-05,5.134391588309003e-06,1.5818815587853997e-05,35.0,1.0785755253190463,4.1748686380748426e-07,0.07857552531904632,1.0785755253190463,4.1748686380748426e-07,0.07857552531904632,1.0366061728117495,2.9318292092560106e-07,0.03660617281174949,1.0366061728117495,2.9318292092560106e-07,0.03660617281174949,1.0407576558597944,2.467974888983158e-07,0.040757655859794406,1.0407576558597944,2.467974888983158e-07,0.040757655859794406,1.0309552825207728,3.5898121171567084e-07,0.030955282520772842,1.0309552825207728,3.5898121171567084e-07,0.030955282520772842,1.0370504357058898,1.9023144543150392e-07,0.03705043570588984,1.0370504357058898,1.9023144543150392e-07,0.03705043570588984,1.046750533038998,7.395380607777845e-07,0.0467505330389979,1.046750533038998,7.395380607777845e-07,0.0467505330389979,True
0.036,36.0,2015+2016+2021,0.00179465054073,0.00165024890624,1.0,1.0,5.037370568894592e-06,8.144680981664074e-06,6.147094327075124e-06,1.1711193367896294e-05,5.19476004025085e-06,1.5874206105954092e-05,36.0,2015+2016+2021,0.0016673142740633,0.0015280352,1.0,1.0,4.769968316128619e-06,7.800648487439827e-06,5.919674376400881e-06,1.142021989885348e-05,5.033050302005451e-06,1.5596386381753084e-05,36.0,1.0560595448531198,2.6740225276597305e-07,0.056059544853119814,1.0560595448531198,2.6740225276597305e-07,0.056059544853119814,1.044103063325849,3.4403249422424767e-07,0.04410306332584901,1.044103063325849,3.4403249422424767e-07,0.04410306332584901,1.0384176453321259,2.2741995067424276e-07,0.03841764533212588,1.0384176453321259,2.2741995067424276e-07,0.03841764533212588,1.0254787973979405,2.909734690428146e-07,0.025478797397940456,1.0254787973979405,2.909734690428146e-07,0.025478797397940456,1.032129569255639,1.6170973824539904e-07,0.03212956925563892,1.032129569255639,1.6170973824539904e-07,0.03212956925563892,1.0178130829411896,2.778197242010078e-07,0.01781308294118955,1.0178130829411896,2.778197242010078e-07,0.01781308294118955,True
0.037,37.0,2015+2016+2021,0.0018250475720352,0.00168332704129,1.0,1.0,5.279397170676277e-06,8.212797982816576e-06,6.202702821969962e-06,1.1818024839560324e-05,5.267485489842978e-06,1.6203332309488053e-05,37.0,2015+2016+2021,0.0016973850470352,0.0015319503,1.0,1.0,4.945285716827816e-06,7.86649138582179e-06,5.947775985230639e-06,1.1436793851342191e-05,5.053858295857408e-06,1.5539980843186234e-05,37.0,1.0675616077573733,3.3411145384846173e-07,0.0675616077573733,1.0675616077573733,3.3411145384846173e-07,0.0675616077573733,1.0440230059387028,3.4630659699478617e-07,0.044023005938702786,1.0440230059387028,3.4630659699478617e-07,0.044023005938702786,1.0428608672169817,2.549268367393228e-07,0.04286086721698168,1.0428608672169817,2.549268367393228e-07,0.04286086721698168,1.0333337291179199,3.81230988218133e-07,0.033333729117919875,1.0333337291179199,3.81230988218133e-07,0.033333729117919875,1.0422701194769703,2.1362719398557008e-07,0.04227011947697035,1.0422701194769703,2.1362719398557008e-07,0.04227011947697035,1.0426867621650047,6.633514663018192e-07,0.042686762165004666,1.0426867621650047,6.633514663018192e-07,0.042686762165004666,True
0.038,38.0,2015+2016+2021,0.0018555192675737,0.00171645741904,1.0,1.0,7.198511928980858e-06,8.008024503991806e-06,6.032394708233031e-06,1.1568172537450024e-05,5.137357898521866e-06,1.560552291003462e-05,38.0,2015+2016+2021,0.0017275190342404,0.0015360028,1.0,1.0,6.737168286797683e-06,7.628355914713973e-06,5.831273729165956e-06,1.1000388261426966e-05,4.936262152778878e-06,1.4991005094929828e-05,38.0,1.068477381378054,4.6134364218317495e-07,0.06847738137805393,1.068477381378054,4.6134364218317495e-07,0.06847738137805393,1.0497706967952962,3.79668589277833e-07,0.04977069679529622,1.0497706967952962,3.79668589277833e-07,0.04977069679529622,1.0344900597036184,2.0112097906707532e-07,0.0344900597036184,1.0344900597036184,2.0112097906707532e-07,0.0344900597036184,1.0516149305396794,5.67784276023058e-07,0.05161493053967936,1.0516149305396794,5.67784276023058e-07,0.05161493053967936,1.04073846556747,2.0109574574298828e-07,0.04073846556747007,1.04073846556747,2.0109574574298828e-07,0.04073846556747007,1.040992435878274,6.145178151047913e-07,0.04099243587827406,1.040992435878274,6.145178151047913e-07,0.04099243587827406,True
0.039,39.0,2015+2016+2021,0.0018860692743457,0.00174965098049,1.0,1.0,1.2385715145787452e-05,8.05721162740875e-06,6.123692694937127e-06,1.1580276931559223e-05,5.204093119031551e-06,1.5912014112285782e-05,39.0,2015+2016+2021,0.001757719882679,0.0015401927,1.0,1.0,1.1888400654792695e-05,7.668886197780259e-06,5.768318374144371e-06,1.106442011771252e-05,4.893861312065287e-06,1.5067754514969304e-05,39.0,1.0418319087180385,4.973144909947565e-07,0.041831908718038546,1.0418319087180385,4.973144909947565e-07,0.041831908718038546,1.0506364835275417,3.8832542962849164e-07,0.05063648352754169,1.0506364835275417,3.8832542962849164e-07,0.05063648352754169,1.0616079588092204,3.5537432079275596e-07,0.06160795880922043,1.0616079588092204,3.5537432079275596e-07,0.06160795880922043,1.0466230320575853,5.158568138467038e-07,0.046623032057585334,1.0466230320575853,5.158568138467038e-07,0.046623032057585334,1.0633920307879223,3.1023180696626425e-07,0.06339203078792233,1.0633920307879223,3.1023180696626425e-07,0.06339203078792233,1.0560308834655976,8.442595973164782e-07,0.05603088346559759,1.0560308834655976,8.442595973164782e-07,0.05603088346559759,True
