mass_MeV,dataset,bin_center_GeV,bin_center_MeV,observed_events,gp_mean_events,joint_profiled_background_events,independent_profiled_background_events,shared_signal_events,shared_total_events,independent_signed_signal_events,independent_signed_total_events,in_fitted_window,bin_width_MeV
66,2015,0.018375,18.375,54719.0,55032.76237117995,55032.76237117995,55032.76237117995,0.0,55032.76237117995,0.0,55032.76237117995,False,0.25000000000000366
66,2015,0.018625,18.625,61080.0,61004.723316116346,61004.723316116346,61004.723316116346,0.0,61004.723316116346,0.0,61004.723316116346,False,0.24999999999999675
66,2015,0.018875,18.875,66658.0,67106.18293065067,67106.18293065067,67106.18293065067,0.0,67106.18293065067,0.0,67106.18293065067,False,0.25000000000000366
66,2015,0.019125,19.125,73015.0,73298.37934567653,73298.37934567653,73298.37934567653,0.0,73298.37934567653,0.0,73298.37934567653,False,0.24999999999999675
66,2015,0.019375,19.375,79172.0,79543.81980777111,79543.81980777111,79543.81980777111,0.0,79543.81980777111,0.0,79543.81980777111,False,0.2500000000000002
66,2015,0.019625,19.625,85833.0,85806.77641069378,85806.77641069378,85806.77641069378,0.0,85806.77641069378,0.0,85806.77641069378,False,0.2500000000000002
66,2015,0.019875,19.875,92070.0,92053.69880244417,92053.69880244417,92053.69880244417,0.0,92053.69880244417,0.0,92053.69880244417,False,0.2500000000000002
66,2015,0.020125,20.125,98345.0,98253.54303848956,98253.54303848956,98253.54303848956,0.0,98253.54303848956,0.0,98253.54303848956,False,0.2500000000000002
66,2015,0.020375,20.375,104919.0,104378.01612499026,104378.01612499026,104378.01612499026,0.0,104378.01612499026,0.0,104378.01612499026,False,0.2500000000000002
66,2015,0.020625,20.625,110863.0,110401.73693471907,110401.73693471907,110401.73693471907,0.0,110401.73693471907,0.0,110401.73693471907,False,0.2500000000000002
66,2015,0.020875,20.875,116400.0,116302.31607880253,116302.31607880253,116302.31607880253,0.0,116302.31607880253,0.0,116302.31607880253,False,0.2500000000000002
66,2015,0.021125,21.125,122490.0,122060.36003976318,122060.36003976318,122060.36003976318,0.0,122060.36003976318,0.0,122060.36003976318,False,0.2500000000000002
66,2015,0.021375,21.375,127261.0,127659.40685674963,127659.40685674963,127659.40685674963,0.0,127659.40685674963,0.0,127659.40685674963,False,0.2500000000000002
66,2015,0.021625000000000002,21.625000000000004,132891.0,133085.80252322656,133085.80252322656,133085.80252322656,0.0,133085.80252322656,0.0,133085.80252322656,False,0.2500000000000002
66,2015,0.021875,21.875,138213.0,138328.52921197875,138328.52921197875,138328.52921197875,0.0,138328.52921197875,0.0,138328.52921197875,False,0.2500000000000002
66,2015,0.022125000000000002,22.125000000000004,143708.0,143378.99643293812,143378.99643293812,143378.99643293812,0.0,143378.99643293812,0.0,143378.99643293812,False,0.2500000000000002
66,2015,0.022375000000000003,22.375000000000004,148084.0,148230.80715795446,148230.80715795446,148230.80715795446,0.0,148230.80715795446,0.0,148230.80715795446,False,0.24999999999999675
66,2015,0.022625000000000003,22.625000000000004,152817.0,152879.50956550977,152879.50956550977,152879.50956550977,0.0,152879.50956550977,0.0,152879.50956550977,False,0.2500000000000002
66,2015,0.022875000000000003,22.875000000000004,157682.0,157322.34500093476,157322.34500093476,157322.34500093476,0.0,157322.34500093476,0.0,157322.34500093476,False,0.25000000000000366
66,2015,0.023125,23.125,161333.0,161558.0004371419,161558.0004371419,161558.0004371419,0.0,161558.0004371419,0.0,161558.0004371419,False,0.24999999999999675
66,2015,0.023375000000000003,23.375000000000004,165737.0,165586.3731055108,165586.3731055108,165586.3731055108,0.0,165586.3731055108,0.0,165586.3731055108,False,0.25000000000000366
