dataset_set,mass_GeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,cls_alpha,eps2_obs,p0_analytic,Z_analytic,eps2_lo2,eps2_lo1,eps2_med,eps2_hi1,eps2_hi2,eps2_mean,ul_eps2_obs,toy_eps2_uls_q02,toy_eps2_uls_q16,toy_eps2_uls_q50,toy_eps2_uls_q84,toy_eps2_uls_q97,toy_eps2_uls_mean,p_strong,p_weak,p_two,meta,cls_statistic,cls_calibration,combined_mode,global_method,bands_refit_gp_on_toy,bands_train_exclude_nsigma,bands_refit_restarts,bands_refit_optimize,mass_MeV,observed_source,expected_band_source,dimuon_threshold_GeV,dimuon_threshold_MeV,N_eff_dimuon,BR_ee_minimal,eps2_obs_ee_channel,eps2_obs_dimuon,eps2_lo2_ee_channel,eps2_lo2_dimuon,eps2_lo1_ee_channel,eps2_lo1_dimuon,eps2_med_ee_channel,eps2_med_dimuon,eps2_hi1_ee_channel,eps2_hi1_dimuon,eps2_hi2_ee_channel,eps2_hi2_dimuon,eps2_mean_ee_channel,eps2_mean_dimuon,ul_eps2_obs_ee_channel,ul_eps2_obs_dimuon,toy_eps2_uls_q02_ee_channel,toy_eps2_uls_q02_dimuon,toy_eps2_uls_q16_ee_channel,toy_eps2_uls_q16_dimuon,toy_eps2_uls_q50_ee_channel,toy_eps2_uls_q50_dimuon,toy_eps2_uls_q84_ee_channel,toy_eps2_uls_q84_dimuon,toy_eps2_uls_q97_ee_channel,toy_eps2_uls_q97_dimuon,toy_eps2_uls_mean_ee_channel,toy_eps2_uls_mean_dimuon
2016+2021,0.206,0.0062457998,0.0041673532,0.1,4.7495427341064735e-05,0.5,0.0,3.995165860085422e-05,4.689852193736864e-05,6.211284519387142e-05,8.98258365756444e-05,0.0001226557145528,6.765650132864927e-05,4.7495427341064735e-05,3.995165860085422e-05,4.689852193736864e-05,6.211284519387142e-05,8.98258365756444e-05,0.0001226557145528,6.765650132864927e-05,0.1747,0.8253,0.3494,"[{'key': '2016', 'sigma': 0.008324246400000002, 'dens': 331381.81818181823}, {'key': '2021', 'sigma': 0.0041673532, 'dens': 517773.91304347833}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,206.0,combined_combined.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,4.7495427341064735e-05,4.7495427341064735e-05,3.995165860085422e-05,3.995165860085422e-05,4.689852193736864e-05,4.689852193736864e-05,6.211284519387142e-05,6.211284519387142e-05,8.98258365756444e-05,8.98258365756444e-05,0.0001226557145528,0.0001226557145528,6.765650132864927e-05,6.765650132864927e-05,4.7495427341064735e-05,4.7495427341064735e-05,3.995165860085422e-05,3.995165860085422e-05,4.689852193736864e-05,4.689852193736864e-05,6.211284519387142e-05,6.211284519387142e-05,8.98258365756444e-05,8.98258365756444e-05,0.0001226557145528,0.0001226557145528,6.765650132864927e-05,6.765650132864927e-05
2016+2021,0.207,0.00627138635,0.0041946263,0.1,4.936902403237953e-05,0.5,0.0,4.089431217648671e-05,4.821367160623376e-05,6.391268813430527e-05,9.272006622377013e-05,0.0001271597038044,6.972699800291275e-05,4.936902403237953e-05,4.089431217648671e-05,4.821367160623376e-05,6.391268813430527e-05,9.272006622377013e-05,0.0001271597038044,6.972699800291275e-05,0.1878,0.8122,0.3756,"[{'key': '2016', 'sigma': 0.008348146400000003, 'dens': 319854.54545454547}, {'key': '2021', 'sigma': 0.0041946263000000004, 'dens': 490017.39130434784}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,207.0,combined_combined.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,4.936902403237953e-05,4.936902403237953e-05,4.089431217648671e-05,4.089431217648671e-05,4.821367160623376e-05,4.821367160623376e-05,6.391268813430527e-05,6.391268813430527e-05,9.272006622377013e-05,9.272006622377013e-05,0.0001271597038044,0.0001271597038044,6.972699800291275e-05,6.972699800291275e-05,4.936902403237953e-05,4.936902403237953e-05,4.089431217648671e-05,4.089431217648671e-05,4.821367160623376e-05,4.821367160623376e-05,6.391268813430527e-05,6.391268813430527e-05,9.272006622377013e-05,9.272006622377013e-05,0.0001271597038044,0.0001271597038044,6.972699800291275e-05,6.972699800291275e-05
2016+2021,0.208,0.0062970416,0.0042220368,0.1,5.055816002719661e-05,0.5,0.0,4.141768067267022e-05,4.8717116239644e-05,6.372963314384577e-05,9.237470389875068e-05,0.0001296031216659,6.997760995945133e-05,5.055816002719661e-05,4.141768067267022e-05,4.8717116239644e-05,6.372963314384577e-05,9.237470389875068e-05,0.0001296031216659,6.997760995945133e-05,0.2068,0.7932,0.4136,"[{'key': '2016', 'sigma': 0.008372046400000003, 'dens': 308254.54545454547}, {'key': '2021', 'sigma': 0.0042220368, 'dens': 476452.1739130435}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,208.0,combined_combined.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,5.055816002719661e-05,5.055816002719661e-05,4.141768067267022e-05,4.141768067267022e-05,4.8717116239644e-05,4.8717116239644e-05,6.372963314384577e-05,6.372963314384577e-05,9.237470389875068e-05,9.237470389875068e-05,0.0001296031216659,0.0001296031216659,6.997760995945133e-05,6.997760995945133e-05,5.055816002719661e-05,5.055816002719661e-05,4.141768067267022e-05,4.141768067267022e-05,4.8717116239644e-05,4.8717116239644e-05,6.372963314384577e-05,6.372963314384577e-05,9.237470389875068e-05,9.237470389875068e-05,0.0001296031216659,0.0001296031216659,6.997760995945133e-05,6.997760995945133e-05
2016+2021,0.209,0.00632276555,0.0042495847,0.1,5.295968565266572e-05,0.5,0.0,4.272593210814175e-05,5.0077932268591896e-05,6.55945307265185e-05,9.546327959097912e-05,0.0001299944311941,7.187698762575729e-05,5.295968565266572e-05,4.272593210814175e-05,5.0077932268591896e-05,6.55945307265185e-05,9.546327959097912e-05,0.0001299944311941,7.187698762575729e-05,0.2303,0.7697,0.4606,"[{'key': '2016', 'sigma': 0.008395946400000003, 'dens': 296142.85714285745}, {'key': '2021', 'sigma': 0.0042495847, 'dens': 451130.4347826087}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,209.0,combined_combined.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,5.295968565266572e-05,5.295968565266572e-05,4.272593210814175e-05,4.272593210814175e-05,5.0077932268591896e-05,5.0077932268591896e-05,6.55945307265185e-05,6.55945307265185e-05,9.546327959097912e-05,9.546327959097912e-05,0.0001299944311941,0.0001299944311941,7.187698762575729e-05,7.187698762575729e-05,5.295968565266572e-05,5.295968565266572e-05,4.272593210814175e-05,4.272593210814175e-05,5.0077932268591896e-05,5.0077932268591896e-05,6.55945307265185e-05,6.55945307265185e-05,9.546327959097912e-05,9.546327959097912e-05,0.0001299944311941,0.0001299944311941,7.187698762575729e-05,7.187698762575729e-05
2016+2021,0.21,0.0063485582,0.00427727,0.1,5.512350529073473e-05,0.5,0.0,4.331427061107864e-05,5.084122392676612e-05,6.797616084737744e-05,9.755517200572822e-05,0.000134446247215,7.368332555298765e-05,5.512350529073473e-05,4.331427061107864e-05,5.084122392676612e-05,6.797616084737744e-05,9.755517200572822e-05,0.000134446247215,7.368332555298765e-05,0.2602,0.7398,0.5204,"[{'key': '2016', 'sigma': 0.008419846400000004, 'dens': 287107.1428571426}, {'key': '2021', 'sigma': 0.00427727, 'dens': 433866.6666666671}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,210.0,combined_combined.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,5.512350529073473e-05,5.512350529073473e-05,4.331427061107864e-05,4.331427061107864e-05,5.084122392676612e-05,5.084122392676612e-05,6.797616084737744e-05,6.797616084737744e-05,9.755517200572822e-05,9.755517200572822e-05,0.000134446247215,0.000134446247215,7.368332555298765e-05,7.368332555298765e-05,5.512350529073473e-05,5.512350529073473e-05,4.331427061107864e-05,4.331427061107864e-05,5.084122392676612e-05,5.084122392676612e-05,6.797616084737744e-05,6.797616084737744e-05,9.755517200572822e-05,9.755517200572822e-05,0.000134446247215,0.000134446247215,7.368332555298765e-05,7.368332555298765e-05
2021,0.211,0.0043050927,0.0043050927,0.1,6.868540140214881e-05,0.5,0.0,4.934165543038839e-05,5.784751640969512e-05,7.62896381823862e-05,0.0001104886850278,0.000152286171542,8.330087570363868e-05,6.868540140214881e-05,4.934165543038839e-05,5.784751640969512e-05,7.62896381823862e-05,0.0001104886850278,0.000152286171542,8.330087570363868e-05,0.3794,0.6206,0.7588,"[{'key': '2021', 'sigma': 0.0043050927, 'dens': 414747.82608695654}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,211.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,6.868540140214881e-05,6.868540140214881e-05,4.934165543038839e-05,4.934165543038839e-05,5.784751640969512e-05,5.784751640969512e-05,7.62896381823862e-05,7.62896381823862e-05,0.0001104886850278,0.0001104886850278,0.000152286171542,0.000152286171542,8.330087570363868e-05,8.330087570363868e-05,6.868540140214881e-05,6.868540140214881e-05,4.934165543038839e-05,4.934165543038839e-05,5.784751640969512e-05,5.784751640969512e-05,7.62896381823862e-05,7.62896381823862e-05,0.0001104886850278,0.0001104886850278,0.000152286171542,0.000152286171542,8.330087570363868e-05,8.330087570363868e-05
2021,0.212,0.0043330528,0.0043330528,0.1,7.325600109159817e-05,0.5,0.0,4.967317298466645e-05,5.82562305307308e-05,7.666281924442643e-05,0.0001111003367865,0.0001532971011566,8.391858487049777e-05,7.325600109159817e-05,4.967317298466645e-05,5.82562305307308e-05,7.666281924442643e-05,0.0001111003367865,0.0001532971011566,8.391858487049777e-05,0.4487,0.5513,0.8974,"[{'key': '2021', 'sigma': 0.0043330528, 'dens': 399533.33333333296}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,212.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.1200730784532984,0.8927988889625786,7.325600109159817e-05,8.205207465784456e-05,4.967317298466645e-05,5.563758378147857e-05,5.82562305307308e-05,6.525123546964068e-05,7.666281924442643e-05,8.586795995401348e-05,0.0001111003367865,0.0001244404962416533,0.0001532971011566,0.00017170395601043964,8.391858487049777e-05,9.399494769534282e-05,7.325600109159817e-05,8.205207465784456e-05,4.967317298466645e-05,5.563758378147857e-05,5.82562305307308e-05,6.525123546964068e-05,7.666281924442643e-05,8.586795995401348e-05,0.0001111003367865,0.0001244404962416533,0.0001532971011566,0.00017170395601043964,8.391858487049777e-05,9.399494769534282e-05
2021,0.213,0.0043611503,0.0043611503,0.1,8.02213865458155e-05,0.4863113590938486,0.0343190699718232,5.060904561243857e-05,5.992617187499216e-05,8.003721985786979e-05,0.0001153986111879,0.0001568310052279,8.671648754740532e-05,8.02213865458155e-05,5.060904561243857e-05,5.992617187499216e-05,8.003721985786979e-05,0.0001153986111879,0.0001568310052279,8.671648754740532e-05,0.5028,0.4972,0.9944,"[{'key': '2021', 'sigma': 0.0043611503, 'dens': 380266.66666666634}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,213.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.1872173917589186,0.8423057200319924,8.02213865458155e-05,9.524022529820708e-05,5.060904561243857e-05,6.008393913140747e-05,5.992617187499216e-05,7.114539347152485e-05,8.003721985786979e-05,9.50215794032953e-05,0.0001153986111879,0.0001370032381871002,0.0001568310052279,0.00018619249697359675,8.671648754740532e-05,0.0001029513221685253,8.02213865458155e-05,9.524022529820708e-05,5.060904561243857e-05,6.008393913140747e-05,5.992617187499216e-05,7.114539347152485e-05,8.003721985786979e-05,9.50215794032953e-05,0.0001153986111879,0.0001370032381871002,0.0001568310052279,0.00018619249697359675,8.671648754740532e-05,0.0001029513221685253
