method,threshold,gp_p,gp_low,gp_high,direct_p,direct_low,direct_high
fixed,1.2000000000000002,0.99037,0.9899323152322119,0.990793382390852,0.988,0.9791323204089636,0.9937844744404047
fixed,1.3,0.97664,0.9759685828381098,0.9772975528365626,0.971,0.958615280883598,0.9804940626756153
fixed,1.4000000000000001,0.95393,0.9530021423544951,0.9548446722395382,0.946,0.9301259944229326,0.9591766488743693
fixed,1.5,0.91924,0.9180373004814051,0.9204305318390558,0.899,0.8786331764880317,0.9169798860881977
fixed,1.6,0.87097,0.8694929254869073,0.8724363133570391,0.844,0.8200028150110137,0.8659508761108912
fixed,1.7000000000000002,0.811475,0.8097538157427423,0.8131871518461414,0.774,0.7467913971040485,0.7995847203178666
fixed,1.8,0.74224,0.7403170381891235,0.7441559385673333,0.697,0.6674670123954286,0.7253680121243787
fixed,1.9000000000000001,0.666525,0.6644538951354123,0.6685912774213035,0.616,0.5850500048195575,0.6462648624488311
fixed,2.0,0.58719,0.5850285170685612,0.5893489555259979,0.53,0.49851631792397866,0.5613065880589612
fixed,2.1,0.508185,0.5059913819439266,0.5103783808002934,0.466,0.43472107888772776,0.49747962978973714
fixed,2.2,0.43165,0.4294777682255424,0.4338242130403709,0.401,0.3704534785094144,0.43213115259133117
fixed,2.3000000000000003,0.361355,0.3592491447043127,0.36346487439752717,0.334,0.30479300743097343,0.3641880865639165
fixed,2.4000000000000004,0.29676,0.2947583486519386,0.29876754343552464,0.256,0.22920178638441296,0.28424283010100637
fixed,2.5,0.23974,0.23787023632810778,0.24161730968723852,0.192,0.16802331747153554,0.2178048177562843
fixed,2.6,0.190535,0.18881584087265182,0.1922631331806321,0.146,0.12468203828937678,0.169425375453854
fixed,2.7,0.148755,0.14719805962834312,0.15032212801422462,0.115,0.09588337997326378,0.13641556786283288
fixed,2.8000000000000003,0.11525,0.11385361216711966,0.11665754997196452,0.094,0.0766289929273778,0.11380243871897451
fixed,2.9000000000000004,0.08797,0.08673209701429509,0.0892198601492221,0.075,0.05944612821126317,0.09310844696149911
fixed,3.0,0.06673,0.06564008726538229,0.0678324908009466,0.063,0.04874692755658053,0.07988804187335452
fixed,3.1,0.049325,0.04838000114119818,0.050283088217519756,0.05,0.03733539760466178,0.06539048791549364
fixed,3.2,0.03598,0.03516801182634928,0.03680547273970714,0.037,0.026182708843737343,0.05064112305992485
fixed,3.3000000000000003,0.02602,0.025326687098982455,0.026727096347115852,0.028,0.018684686195537575,0.04021488737384331
fixed,3.4000000000000004,0.01864,0.018051735955196397,0.019242273782219366,0.021,0.013045192290387683,0.0319223351804155
fixed,3.5,0.013165,0.012670030494580613,0.013674153231870765,0.014,0.00767450156502078,0.023378156010314503
fixed,3.6,0.00916,0.008747100907051289,0.009587217923009473,0.011,0.005503594192313586,0.019596628222016514
fixed,3.7,0.006485,0.006137884610720512,0.006846533310236304,0.008,0.00345997616532931,0.015702049176074682
fixed,3.8000000000000003,0.00438,0.004095290768432387,0.004679217544937262,0.003,0.0006190999316495711,0.008742023238478303
