method,mass_MeV,asimov_r,response_sd,toy_r_mean,toy_r_sd,z_mean,z_sd,z_skew,z_excess_kurtosis,normality_KS,normality_p,normality_holm_p
fixed,46,1.2786203504600109,3.254126800757005,1.413644715218849,3.2227827361358194,0.04149327086068907,0.9903679031149327,0.06018422155550734,-0.22204984102478864,0.021166721150035706,0.7531047642463241,1.0
fixed,47,2.029382680500367,3.3865751731253373,2.116959625463798,3.230448128703823,0.025860032772463168,0.9538982492813143,-0.04861376658930015,-0.09438998748326233,0.02476381820044138,0.5632803677321934,1.0
fixed,48,2.14550864080463,3.270842468778553,2.028381986094259,3.2849031021107997,-0.035809323080640436,1.004298780349852,-0.0024187229212806103,-0.01063601200513542,0.032628512349088035,0.23236439177041335,1.0
fixed,49,1.9480483522060124,3.4143016585612758,1.8544557632872112,3.4424869319417906,-0.02741192732168821,1.008255062440028,0.07849727638711074,0.20208219493746205,0.03874224985009522,0.09680461507431826,1.0
fixed,50,1.0777840074711493,3.3195972131130853,0.8368352064915443,3.3308980035199127,-0.07258374601225961,1.0034042655422735,-0.008806320119982548,-0.3009717736629538,0.0423340218127759,0.053929499767141675,1.0
fixed,51,0.17201659465619681,3.454081336468822,0.025759836106170865,3.3964684975570956,-0.042343171541972764,0.9833203583530474,0.02279121678526453,0.12886521760773384,0.03215987604704895,0.24691461477994647,1.0
fixed,52,-0.1677266577824744,3.268251801601518,-0.36212358062017247,3.1271124963782944,-0.059480399503624284,0.9568150455377821,0.00020560369688145053,-0.12111792698897927,0.038976101442307454,0.09333403072372348,1.0
fixed,53,-0.6075911614711083,3.330051303743877,-0.7085777807535749,3.230436185781469,-0.030325844880807237,0.9700860110321984,-0.004187365054327487,-0.1132694218853918,0.03211965852358312,0.24819414394680162,1.0
fixed,54,-1.1622629937674394,3.2214541910253587,-1.1981769081343618,3.1572560502257216,-0.011148354822792443,0.9800716890594049,-0.011584061668522225,0.03278114420026457,0.017010728466008707,0.9295983368594005,1.0
fixed,55,-1.5413742757091358,3.3121933081015005,-1.467532813908319,3.2834732512616336,0.02229382615447092,0.9913289913455176,-0.079949910953595,-0.051093503349820324,0.032760296623966734,0.22839114311910935,1.0
fixed,56,-1.6377375442899154,3.2228018398670613,-1.4166778846867791,3.174540137939997,0.06859238345608448,0.9850249241731055,-0.0337522807473797,0.11029856308087194,0.03862380245923608,0.09860313767451323,1.0
fixed,57,-1.4561028502804032,3.1320772307577296,-1.2305714352046528,3.019992198768998,0.07200697762525755,0.9642138351864282,0.0086856655211429,0.0021575083856801847,0.04354033530974977,0.04379739950726713,1.0
