mass_MeV,A90,Ahat,Ahat_bounded,sigma_A,signed_r,Z0,p0_fixed_mass,p_signed,cls,q_obs,q_asimov,cls_branch,max_score,max_iterations,boundary_fits,min_lambda,min_background,n_profiles,n_cls_evaluations,monotonicity_error,nll_null,nll_free,n_bins,nuisance_rank,zero_bins,ok,status,calibration,cov_load,cov_load_over_poisson,prior_relative_error,feature_rank,density_observed,K_counts_per_epsilon2,branching_factor,epsilon2_90,epsilon2_90_fixed_density
157,20056.26017488728,1409.7214055364871,1409.7214055364871,11654.661764180541,0.12095804884692959,0.12095804884692959,0.45186213165913752,0.45186213165913752,0.10000000000012957,2.5595676762415271,2.9612744106590965,interior,1.5818611154294615e-07,2,0,1993942.8985598986,1993702.3364259298,22,10,0,0.011302504692052484,0.0039870799016243821,27,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.7047406302352496e-11,5.6862571916352712e-14,26,3972879065.4900451,19208129528.103695,1,1.044154775484134e-06,1.044154775484134e-06
158,20042.317154245764,1756.8603048358864,1756.8603048358864,11509.461409373958,0.15264539499975024,0.15264539499975024,0.43933896221554414,0.43933896221554414,0.10000000000007032,2.5238925777960026,3.03225758754244,interior,1.5644926310010021e-07,2,0,1928422.1305421083,1928209.061431824,22,10,0,0.017660577133625011,0.0060102688263101219,27,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6520289666181794e-11,4.5549623726714611e-14,26,3869231927.5880852,18826167903.035316,1,1.0645988741561352e-06,1.0645988741561352e-06
159,19856.518233804531,1774.6180014712277,1774.6180014712277,11389.258851838273,0.15581560276906223,0.15581560276906223,0.43808918580629308,0.43808918580629308,0.099999999999992345,2.5203806266989424,3.0394528587698946,interior,1.558673292656465e-07,2,0,1896513.0548854624,1896245.7229229114,22,10,0,0.017519072129481769,0.0053798210963386713,27,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.639237139876636e-11,4.3581056345376931e-14,26,3767730970.856504,18448331221.7178,1,1.0763314033753352e-06,1.0763314033753352e-06
160,19671.392940193153,1748.2860374790878,1748.2860374790878,11286.954820817477,0.15489494118296765,0.15489494118296765,0.43845207093305782,0.43845207093305782,0.099999999999990916,2.5213992168980792,3.0373620255033749,interior,1.5524581420400807e-07,2,0,1834153.9618904446,1833917.8160041966,22,10,0,0.017402889894592537,0.0054066684925550305,27,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6120419343070304e-11,4.107508859724102e-14,26,3669108132.5427208,18078424159.16098,1,1.0881143603561795e-06,1.0881143603561795e-06
161,19618.183331702006,1804.4692103393916,1804.4692103393916,11232.238497533393,0.16065148422448794,0.16065148422448794,0.43618395147578304,0.43618395147578304,0.10000000000001237,2.515041050814153,3.0504664531002357,interior,1.6009185066501175e-07,2,0,1773803.247393905,1773593.5225025502,22,10,0,0.019680041085888188,0.0067755913941227397,28,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.7063002123888596e-11,4.5149934526385502e-14,26,3572899579.6330681,17714412929.183308,1,1.1074701380242957e-06,1.1074701380242957e-06
162,19346.865680697501,1639.1081478200083,1639.1081478200083,11132.570619842336,0.14723586531147492,0.14723586531147492,0.44147292632421709,0.44147292632421709,0.10000000000004443,2.5299073214070504,3.0200230974996867,interior,1.5950770948514048e-07,2,0,1715422.2586077584,1715238.021812055,22,10,0,0.016722487892697351,0.0058832878756879571,28,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6826573374470645e-11,5.2384819515670974e-14,26,3479348015.6328759,17357731371.931427,1,1.1145964450160022e-06,1.1145964450160022e-06
163,19140.123010807729,1632.1396206893189,1632.1396206893189,11009.43033037816,0.14824974426078677,0.14824974426078677,0.44107283763148319,0.44107283763148319,0.10000000000007796,2.52877698316829,3.0223138320727214,interior,1.5864349678373912e-07,2,0,1686975.7746560669,1686745.1164838539,22,10,0,0.017911700165304661,0.0069227068286103208,28,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6629944974556369e-11,4.6410474484663699e-14,26,3387637713.0545478,17004530341.021351,1,1.1255896297608715e-06,1.1255896297608715e-06
164,18918.853550361287,1574.7156070463461,1574.7156070463461,10897.393075363892,0.14450437233621663,0.14450437233621663,0.44255110203244274,0.44255110203244274,0.10000000000004834,2.5329567079118678,3.0138626380191509,interior,1.576383501511458e-07,2,0,1631400.3839796071,1631196.586431569,22,10,0,0.017457558978977411,0.0070168021668354464,28,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6304275571797811e-11,4.2704301766414921e-14,26,3299170809.0147657,16662061264.462252,1,1.1354449638660521e-06,1.1354449638660521e-06
165,18694.49210424006,1342.0880260368456,1342.0880260368456,10852.329870125835,0.1236685498304009,0.1236685498304009,0.45078885702981364,0.45078885702981364,0.10000000000011841,2.5564713983707139,2.9672874148078816,interior,1.627334409448622e-07,2,0,1577628.683317909,1577448.6358188207,22,10,0,0.014760278532116264,0.0071133234235390887,29,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.733680000672576e-11,4.1619643946550494e-14,26,3212067774.9155145,16321073572.68335,1,1.1454204909368899e-06,1.1454204909368899e-06
166,18262.851636163447,1095.5296978898125,1095.5296978898125,10685.832669259496,0.10252194870533056,0.10252194870533056,0.45917119604554907,0.45917119604554907,0.10000000000019107,2.5808034614442277,2.9207571576938891,interior,1.5638547679053261e-07,2,0,1551445.6795130237,1551224.1284089088,22,10,0,0.011034061303765424,0.0057786863205962092,28,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.5957844288147874e-11,4.1279196911645876e-14,26,3127908828.7514839,15989771291.326588,1,1.1421584026076631e-06,1.1421584026076631e-06
167,17980.436816791651,709.3940309680288,709.3940309680288,10662.956743438448,0.066528934601544992,0.066528934601544992,0.4734783611261193,0.4734783611261193,0.10000000000047271,2.623302737019086,2.843268241395994,interior,1.6199655883397668e-07,2,0,1500266.4159486641,1500070.5184654288,22,10,0,0.0063873183729147645,0.0041742688033064388,29,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.7095918413948482e-11,6.8148631577716824e-14,26,3045526853.5537891,15662424203.378973,1,1.1479983292058068e-06,1.1479983292058068e-06
168,17664.602728045775,436.75067752222094,436.75067752222094,10574.753666588595,0.041301303383243379,0.041301303383243379,0.48352784700449192,0.48352784700449192,0.10000000000090903,2.6539202589022004,2.7902114208922093,interior,1.6155464455103186e-07,2,0,1450749.7494770484,1450577.1258796987,24,11,0,0.0035269723881160321,0.0026740735575386766,29,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6908897956436065e-11,6.5254238827628844e-14,26,2965604116.0406232,15342726220.995993,1,1.1513340245798282e-06,1.1513340245798282e-06
169,17376.576603744837,230.62319543730339,230.62319543730339,10477.450989645402,0.022011430648416583,0.022011430648416583,0.49121941870439328,0.49121941870439328,0.10000000000145144,2.677797030317389,2.7503324824524134,interior,1.6137786973402513e-07,2,0,1426627.9867337563,1426415.3771135691,22,10,0,0.002191863435344664,0.0019496118957496376,29,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6891015812778623e-11,7.2392014035887099e-14,26,2887281719.367763,15026434538.040134,1,1.156400512693494e-06,1.156400512693494e-06
170,17087.793901607034,81.569388713135794,81.569388713135794,10357.772578569015,0.0078751923824890834,0.0078751923824890834,0.4968582852665171,0.4968582852665171,0.10000000000207672,2.6955544485991894,2.7214812858221329,interior,1.701915671066534e-07,2,0,1379498.6353568803,1379310.5139985771,22,10,0,0.0020594758804208515,0.0020284665528902445,29,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6473499881789519e-11,7.3765358943138357e-14,26,2811519022.7439137,14718719389.808029,1,1.1609565648380707e-06,1.1609565648380707e-06
171,16882.150756985127,-82.318292591918308,0,10293.841295631153,-0.0079968425586111145,0,0.5,0.50319024460388762,0.10000000000216211,2.7156910073824556,2.6894620300688787,deficit,1.6425565485533866e-07,2,0,1333890.3770573842,1333722.794321649,22,10,0,0.0022499674846437247,0.0022179927391901178,30,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.7350499018111973e-11,7.443210365346646e-14,26,2737329195.3295541,14414620658.753704,1,1.1711824512518782e-06,1.1711824512518782e-06
172,16660.275136749962,-210.45872146614471,0,10206.437478371363,-0.020620152105645138,0,0.5,0.5082256675862642,0.10000000000162823,2.731596586427667,2.6642748079301075,deficit,1.6373596589680517e-07,2,0,1289758.5272910008,1289609.2763007581,22,10,0,0.0017373632297172515,0.0015247678932872807,30,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.7137043367641348e-11,7.8097022628387257e-14,26,2665173024.258635,14116724323.266031,1,1.1801799592623523e-06,1.1801799592623523e-06
173,16380.036802999031,-345.40771152309009,0,10085.80581426917,-0.034246795291666597,0,0.5,0.51365982441970626,0.10000000000116185,2.7486076754234889,2.6373633697146515,deficit,1.8166234204072818e-07,2,0,1268261.2198995312,1268076.9957161448,24,11,0,0.0020486010855734439,0.0014621795916987851,30,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6918704688166729e-11,7.8065561783726632e-14,26,2594952379.6490588,13824695472.405499,1,1.1848388874600579e-06,1.1848388874600579e-06
174,16142.421880084779,-460.95329439505713,0,9983.7074999350934,-0.046170498799519906,0,0.5,0.51841282203136563,0.10000000000083606,2.7633606572171749,2.614046675584766,deficit,1.6160058913250452e-07,2,0,1226258.7006444957,1226094.3164023247,22,10,0,0.0025177431902255396,0.0014518857105273052,30,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6573639841710872e-11,8.8091129260701261e-14,26,2526517379.3757648,13537909802.084625,1,1.1923865734132088e-06,1.1923865734132088e-06
175,15971.87348182499,-582.39111832605556,0,9924.3265066052209,-0.058683101018598638,0,0.5,0.52339774021357521,0.10000000000061375,2.7787098417726415,2.5898101412234196,deficit,1.6604281660725917e-07,2,0,1185617.3094987937,1185470.0798130555,22,10,0,0.0033724550556658859,0.0016506018830863595,31,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.7436489487324074e-11,8.0347244695546597e-14,26,2459770332.8814611,13256005812.539461,1,1.204878279905133e-06,1.204878279905133e-06
176,15652.259512606912,-678.53186321359124,0,9764.8785311093689,-0.069486848742783186,0,0.5,0.52769894973343912,0.10000000000044655,2.7918530625480309,2.569075281232168,deficit,1.5953775966970341e-07,2,0,1165821.5364654423,1165641.6202167275,22,10,0,0.0039345434657327046,0.0015203323916314895,30,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6022610367328668e-11,7.0166689585191549e-14,26,2394851663.8550491,12979900530.264317,1,1.205884396117801e-06,1.205884396117801e-06
177,15453.908333848292,-839.78415928312245,0,9702.4923353183858,-0.086553252752258988,0,0.5,0.53448668735829086,0.10000000000029655,2.8124138731402595,2.5366729928825889,deficit,1.6365005683915967e-07,2,0,1127136.785035027,1126975.1652290977,24,11,0,0.0058578063369868726,0.0021120735559886587,31,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.678675195658338e-11,6.8228162289829042e-14,26,2331693568.362123,12709393290.04953,1,1.2159438284081983e-06,1.2159438284081983e-06
178,15264.025855711365,-903.07406037341889,0,9609.7339600082578,-0.093974696595400337,0,0.5,0.53743537152098153,0.1000000000002282,2.821277788603533,2.5227173322243042,deficit,1.6283125359173312e-07,2,0,1089704.9294211511,1089560.2710913313,24,11,0,0.0067556065088854814,0.0023399847087867071,31,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6480379438031425e-11,6.1462051705742734e-14,26,2269890656.6766539,12442424595.262623,1,1.226772622879551e-06,1.226772622879551e-06
179,15118.314156989129,-888.33994415966117,0,9515.7996504207986,-0.093353977418756812,0,0.5,0.53718882425709702,0.10000000000021962,2.8205381856354981,2.5238814823731408,deficit,1.6244879463833684e-07,2,0,1071469.4267780469,1071292.5166412413,24,11,0,0.0063696237987930452,0.0020121412488421668,31,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.639054146820974e-11,6.9601336394810911e-14,26,2210038795.9118361,12182404244.802599,1,1.240995935875226e-06,1.240995935875226e-06
180,14921.988391034047,-966.99662671841304,0,9424.5460940974226,-0.10260377076741975,0,0.5,0.54086127500082137,0.10000000000016047,2.8315254536268943,2.5065930810204655,deficit,1.6163293614646079e-07,2,0,1035836.3948914994,1035677.5353459782,22,10,0,0.0077034306046119237,0.0024396637167653137,31,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6080679161470252e-11,7.681452186554248e-14,26,2151504668.9650536,11926001947.477808,1,1.2512146532216398e-06,1.2512146532216398e-06
181,14976.618704292887,-818.53862845884487,0,9404.5098765588482,-0.087036618384278452,0,0.5,0.53467879736241253,0.10000000000027598,2.8129944309211452,2.5357586972802655,deficit,1.6727207974298608e-07,2,0,1001351.4700844673,1001207.800334784,24,11,0,0.0057965453219000831,0.0020088588520148242,32,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.717045484764131e-11,8.3745058675395144e-14,26,2094614845.2853127,11675159705.362543,1,1.2827763458699364e-06,1.2827763458699364e-06
182,14686.488261096696,-1009.2400668913386,0,9296.3488435895524,-0.10856274174232303,0,0.5,0.54322534309243176,0.1000000000001241,2.838567211998174,2.4955194699474257,deficit,1.6579802974980851e-07,2,0,967984.70155136485,967856.03166722949,22,10,0,0.0090282293386141493,0.0031352948913089861,32,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6745323999789482e-11,6.5186110924005884e-14,26,2039024466.7077031,11428096604.840897,1,1.285121115871173e-06,1.285121115871173e-06
183,14563.069935492253,-968.62353093900379,0,9206.7456874787385,-0.10520772386279242,0,0.5,0.54189450900871894,0.10000000000018547,2.8346073615909457,2.50174595282492,deficit,1.6538985203595757e-07,2,0,951726.75765914784,951569.69472387119,22,10,0,0.0087937092040249465,0.0032593766238301551,32,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6643632613731043e-11,5.5770194444927082e-14,26,1985256703.3400786,11187881011.522026,1,1.3016825903398715e-06,1.3016825903398715e-06
184,14410.147317662098,-983.96620163208047,0,9119.1762140701758,-0.10790045714275938,0,0.5,0.54296267275359544,0.1000000000001546,2.837786465077377,2.4967469902589601,deficit,1.6464162966300933e-07,2,0,919956.60625857324,919815.21702021686,22,10,0,0.0094184085966296481,0.0035971542708214208,32,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6384517268000198e-11,5.6277567341291031e-14,26,1932346165.0285299,10949211138.383682,1,1.3160900027898556e-06,1.3160900027898556e-06
185,14400.941124382904,-896.37307163549383,0,9082.2503865678118,-0.098694774649524114,0,0.5,0.53930969108209947,0.10000000000020111,2.8268944400513543,2.5138784392596865,deficit,1.6967518035038154e-07,2,0,889207.77641078003,889079.83203881048,22,10,0,0.0087131059782005124,0.0038427767066403383,33,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.7365676551032917e-11,6.4749767001349229e-14,26,1881310215.1846883,10717962174.055851,1,1.3436267912236299e-06,1.3436267912236299e-06
186,14360.895491464829,-657.58238986867423,0,8971.8980334283933,-0.073293414867736148,0,0.5,0.52921368410891023,0.100000000000422,2.796463360513127,2.5618061046863643,deficit,1.6460350971136961e-07,2,0,874228.92975006951,874074.00665568316,22,10,0,0.00496844771145445,0.0022824853799674068,32,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6272949262474097e-11,7.8147232916177874e-14,26,1831311153.9074173,10489509067.650948,1,1.3690722224315548e-06,1.3690722224315548e-06
187,14404.075369057247,-516.9891713712509,0,8947.1153617372111,-0.057782684549148484,0,0.5,0.52303913457017759,0.1000000000006452,2.7776129001576928,2.591541458148753,deficit,1.7002195984439084e-07,2,0,844949.17269277805,844808.37772707362,22,10,0,0.0035731960252795405,0.0019037767084263389,33,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.7330858829748663e-11,7.8198734664977821e-14,26,1782754530.2751613,10266283032.672579,1,1.403046781704351e-06,1.403046781704351e-06
188,14341.058968204761,-413.0957916761725,0,8870.873949325387,-0.046567593805607134,0,0.5,0.51857106980276046,0.1000000000008496,2.7638528369994368,2.6132691613514263,deficit,1.6959066084787366e-07,2,0,816611.71705887921,816484.533778677,22,10,0,0.0025439453402115171,0.0014596749437895073,33,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.7157201270319227e-11,9.4123499162053855e-14,26,1735253196.0346668,10046175950.029665,1,1.4275142143177788e-06,1.4275142143177788e-06
189,14298.169123593047,-344.23216386826078,0,8819.5668696762295,-0.039030464365279051,0,0.5,0.51556694996939223,0.10000000000099082,2.7545451572962629,2.6279768145978259,deficit,1.7415837816336932e-07,2,0,789181.93606703612,789066.75479601789,22,10,0,0.0024357381420188244,0.0016740495677341656,34,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.8086273311921569e-11,8.0177406026845093e-14,26,1689346419.4218006,9832423990.30653,1,1.4541855739428193e-06,1.4541855739428193e-06
190,14043.783557577886,-302.66822293229825,0,8649.6249964331782,-0.034992027713141763,0,0.5,0.51395695102746464,0.10000000000112672,2.7495368952215808,2.6358941442949582,deficit,1.6651958434366065e-07,2,0,775817.07333766937,775678.92815375782,24,11,0,0.0030844887645248634,0.0024722677627862229,33,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6483844714101918e-11,7.3507378541339564e-14,26,1644203403.690963,9620313434.8274612,1,1.4598051978989142e-06,1.4598051978989142e-06
191,14053.852034709389,-173.4602857536602,0,8608.1191702280594,-0.020150729929377803,0,0.5,0.50803843414249972,0.10000000000160172,2.7310107786673425,2.6652020407291497,deficit,1.7126118212473784e-07,2,0,749692.60206648719,749567.01044621668,24,11,0,0.0024354427332041271,0.0022324167748607659,34,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.7418188264669831e-11,7.1868798344252502e-14,26,1600508948.2981246,9413942726.666296,1,1.4928763051531966e-06,1.4928763051531966e-06
192,13929.877184725294,-62.932261002318718,0,8491.775682146128,-0.0074109595985598466,0,0.5,0.50295651805904806,0.10000000000214879,2.7149523404617151,2.6906323172090802,deficit,1.6908470557019939e-07,2,0,724404.15299027658,724290.99446029786,22,10,0,0.0029147517647655674,0.0028872906036798243,34,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6897299925421124e-11,5.9970321331933731e-14,26,1557855285.8431449,9211034709.9132538,1,1.5123031910555551e-06,1.5123031910555551e-06
193,13846.506145125853,68.446225729681231,68.446225729681231,8392.1115695697226,0.0081560273990571586,0.0081560273990571586,0.49674625190408872,0.49674625190408872,0.10000000000207085,2.6952023709616193,2.7220468240621907,interior,1.6816006076503243e-07,2,0,712079.43792926893,711943.04388629552,22,10,0,0.0028511662071047219,0.0028179058156376363,34,5,0,True,converged,fixed-mass asymptotic reference,1e-10,1.6718182459342301e-11,5.5770497892607364e-14,26,1516318308.6678653,9012136599.2602253,1,1.5364287916211195e-06,1.5364287916211195e-06
