mass_MeV,eps2_observed,expected_median,p0_local_asymptotic,selected_scope_key
239,1.5335222957824639e-05,1.4597302353960421e-05,0.47736116932273093,individual_2021_10pct
240,1.5582413399606394e-05,1.6112284597566296e-05,0.48666058011622482,individual_2021_10pct
241,1.6368779030929009e-05,1.5862117494528431e-05,0.45186342322633982,individual_2021_10pct
242,1.7767234060014186e-05,1.5931318346067674e-05,0.39193117043320241,individual_2021_10pct
243,1.8530970777911485e-05,1.6329937781259171e-05,0.37637803916401458,individual_2021_10pct
244,2.0609692230117302e-05,1.69049399394634e-05,0.29769962371415332,individual_2021_10pct
245,2.1715395215388876e-05,1.7322046434696336e-05,0.27056360821596043,individual_2021_10pct
246,2.3329809487619679e-05,1.818402525594703e-05,0.231139449866956,individual_2021_10pct
247,2.62280652034108e-05,1.8545242687070228e-05,0.16428790630531651,individual_2021_10pct
248,2.7800817599385911e-05,1.9946950177198449e-05,0.14316232032231241,individual_2021_10pct
249,2.9713014296251179e-05,1.9812567529876748e-05,0.1180555739781146,individual_2021_10pct
250,3.2240162081329515e-05,1.9298097252326632e-05,0.089775080315595196,individual_2021_10pct
