mass_MeV,eps2_observed,expected_median,p0_local_asymptotic,selected_scope_key
53,4.8208466609116962e-06,4.2765482962925697e-06,0.33386391479953631,all_2015_2016_2021
54,4.1450885193592825e-06,3.8453302881227385e-06,0.44413201021373833,all_2015_2016_2021
55,3.0349586474526652e-06,3.9768748122330794e-06,0.5,all_2015_2016_2021
56,3.2260515227308679e-06,3.6777334775051888e-06,0.5,all_2015_2016_2021
57,2.7045464283974757e-06,3.7335315083176749e-06,0.5,all_2015_2016_2021
58,2.3511732787447849e-06,3.5244847086921596e-06,0.5,all_2015_2016_2021
59,2.1316282311782747e-06,3.4349146073891414e-06,0.49986225840519072,all_2015_2016_2021
60,2.0117266602985972e-06,3.3803532296754956e-06,0.5,all_2015_2016_2021
61,2.0676880408453202e-06,3.3344296886442083e-06,0.5,all_2015_2016_2021
62,2.5999139101415995e-06,3.189270543173649e-06,0.5,all_2015_2016_2021
63,3.157580846576684e-06,2.9466806382886078e-06,0.43270470160021951,all_2015_2016_2021
64,5.1090311085636093e-06,2.9126012792136856e-06,0.049116795886439503,all_2015_2016_2021
65,6.4715173667918211e-06,2.7469547895335595e-06,0.0052224867521402001,all_2015_2016_2021
66,6.6356509848003622e-06,2.7322436447478016e-06,0.002844895053562,all_2015_2016_2021
67,5.3866932153029558e-06,2.5964890745521338e-06,0.019797203873920002,all_2015_2016_2021
68,3.7484556326456616e-06,2.6142475636999183e-06,0.15468434141639381,all_2015_2016_2021
69,2.0508788261056015e-06,2.485191718474763e-06,0.5,all_2015_2016_2021
70,1.3440019481071201e-06,2.5759177339004134e-06,0.5,all_2015_2016_2021
71,9.5875451440762274e-07,2.4273634725938615e-06,0.5,all_2015_2016_2021
72,8.0042910099618919e-07,2.3556932063457566e-06,0.5,all_2015_2016_2021
73,8.9322458054873652e-07,2.3634685977610835e-06,0.5,all_2015_2016_2021
74,1.3894398453086273e-06,2.2531425414933333e-06,0.5,all_2015_2016_2021
75,1.7936324476854336e-06,2.3737929578685995e-06,0.5,all_2015_2016_2021
76,2.3843112385204307e-06,2.2132403550649469e-06,0.43418954954741662,all_2015_2016_2021
77,3.0447470441180402e-06,2.2193047478064203e-06,0.18812348396915901,all_2015_2016_2021
78,3.7303595678789029e-06,2.0729271342676705e-06,0.063099522192666804,all_2015_2016_2021
79,4.1418599127285707e-06,2.1469755764022774e-06,0.0311304781958761,all_2015_2016_2021
80,3.9026189083612495e-06,2.2041099629633061e-06,0.048749892184723101,all_2015_2016_2021
81,3.507550391398093e-06,2.0852613551997671e-06,0.083987820425694498,all_2015_2016_2021
82,2.3693916456611577e-06,2.1708679396537816e-06,0.3957622986964634,all_2015_2016_2021
83,1.6675718483913278e-06,2.0522521692786212e-06,0.5,all_2015_2016_2021
84,1.3221588689556129e-06,2.1338733132035468e-06,0.5,all_2015_2016_2021
85,1.4258924495463958e-06,2.1374737246367547e-06,0.5,all_2015_2016_2021
86,1.4294969238380709e-06,1.9822528111916917e-06,0.5,all_2015_2016_2021
87,1.4429256312202808e-06,2.1202298732145106e-06,0.5,all_2015_2016_2021
88,1.6837251761833967e-06,1.9998462848268169e-06,0.5,all_2015_2016_2021
89,2.1550917797488058e-06,2.1339943102993932e-06,0.43198979729826348,all_2015_2016_2021
90,3.1940498774718471e-06,2.05978956093702e-06,0.1060444580309973,all_2015_2016_2021
91,4.0763527549245839e-06,2.0973813380921888e-06,0.023618434860171102,pair_2016_2021
92,4.5554520621715629e-06,2.1302444111240507e-06,0.0078888423595228005,pair_2016_2021
93,4.5541115233805581e-06,2.098978312097883e-06,0.0088544250944544,pair_2016_2021
94,3.9220517513773033e-06,1.9563472020727179e-06,0.031136774780630198,pair_2016_2021
95,2.9497179862461881e-06,2.0845511365256633e-06,0.15788607001228111,pair_2016_2021
96,2.0589319970079221e-06,2.0433117770663589e-06,0.48183274266861692,pair_2016_2021
97,1.4889892990531057e-06,1.9494769036181578e-06,0.5,pair_2016_2021
98,1.276342403677358e-06,2.0922767819643519e-06,0.5,pair_2016_2021
99,1.2098584613091893e-06,1.9534983384670698e-06,0.5,pair_2016_2021
100,1.3151682269616618e-06,1.958668214195674e-06,0.5,pair_2016_2021
101,1.4119770731409416e-06,2.0780918642859403e-06,0.5,pair_2016_2021
102,1.3599127947492755e-06,1.9968837937695191e-06,0.5,pair_2016_2021
103,1.4950564277960351e-06,2.0734328380227842e-06,0.5,pair_2016_2021
104,1.5383357983931139e-06,1.9957513743819522e-06,0.5,pair_2016_2021
105,1.5336882644702681e-06,2.099953264230454e-06,0.49986225840519072,pair_2016_2021
106,1.5008724821433343e-06,2.101750393944946e-06,0.5,pair_2016_2021
107,1.4587402375105871e-06,2.1209526656106398e-06,0.5,pair_2016_2021
108,1.4386729397256801e-06,2.0301507354210916e-06,0.49986225840519072,pair_2016_2021
109,1.54127354051186e-06,2.0979647643621982e-06,0.49990260198329128,pair_2016_2021
110,1.6220233574755432e-06,2.1681914906403354e-06,0.49990260198329128,pair_2016_2021
111,1.660552066759613e-06,2.0503026495284688e-06,0.5,pair_2016_2021
112,1.6252212005335621e-06,2.1279782149752184e-06,0.49990260198329128,pair_2016_2021
113,1.6931800447671812e-06,2.0296283946883408e-06,0.5,pair_2016_2021
114,1.8847176070371661e-06,2.1585129137641473e-06,0.5,pair_2016_2021
115,1.9268947580164366e-06,2.1399326184543425e-06,0.5,pair_2016_2021
116,2.128761145621545e-06,2.0955099080486858e-06,0.5,pair_2016_2021
117,2.4413350497526076e-06,2.0774227186218952e-06,0.36211833171676833,pair_2016_2021
118,2.7970337914065342e-06,2.083731486023546e-06,0.24280394093497421,pair_2016_2021
119,3.3392976830380404e-06,2.213222908196271e-06,0.116401515801647,pair_2016_2021
120,3.6210627263916079e-06,2.2444474533533332e-06,0.0772104479167183,pair_2016_2021
121,3.9876946860771642e-06,2.2357132170823757e-06,0.047324677355706203,pair_2016_2021
122,3.923120893574014e-06,2.1918563890620297e-06,0.052076353887938902,pair_2016_2021
123,3.9267122780214849e-06,2.1674441265266757e-06,0.055268142959905002,pair_2016_2021
124,3.677936563085066e-06,2.3266780153021024e-06,0.084424772482491597,pair_2016_2021
125,3.4558853666899929e-06,2.2491173584340924e-06,0.1182006325254502,pair_2016_2021
126,3.3733236832248373e-06,2.2740179281030665e-06,0.1375108783799272,pair_2016_2021
127,3.0191746372759202e-06,2.2765070795534167e-06,0.22442590139350721,pair_2016_2021
128,2.9138493950749341e-06,2.3354832696566781e-06,0.25672814320604642,pair_2016_2021
