window,mass_GeV,draw_count,summary_scope,quantile_method,eps2_up_mean,eps2_up_median,eps2_up_q16,eps2_up_q84,eps2_up_min,eps2_up_max,p0_analytic_mean,p0_analytic_median,p0_analytic_q16,p0_analytic_q84,p0_analytic_min,p0_analytic_max,Z_analytic_mean,Z_analytic_median,Z_analytic_q16,Z_analytic_q84,Z_analytic_min,Z_analytic_max,A_hat_mean,A_hat_median,A_hat_q16,A_hat_q84,A_hat_min,A_hat_max,sigma_A_mean,sigma_A_median,sigma_A_q16,sigma_A_q84,sigma_A_min,sigma_A_max
window_3p0,0.165,10,pointwise descriptive statistics across ten conditional draws,numpy linear,3.407109172700929e-06,3.403839467886645e-06,3.3825591479027204e-06,3.434078971371967e-06,3.368116846600749e-06,3.4575670726423484e-06,0.40920948456966,0.4110797969274521,0.40177469920981057,0.4164054806758742,0.3940757112327028,0.4190471775520795,0.22962581421837905,0.2247690017852736,0.21109871066533817,0.2487630013594828,0.2043316288229255,0.2687118625195177,713.0165530547341,698.3315263008377,655.7452463673104,772.9658903914979,633.2514386760419,834.4158953999665,3101.641484437637,3102.1805530617767,3095.6446816444713,3106.538561084298,3092.340920794879,3110.973510956206
window_3p0,0.166,10,pointwise descriptive statistics across ten conditional draws,numpy linear,1.7229822335999196e-05,3.0417548474791636e-06,3.0234830794380245e-06,5.809936652862555e-06,2.997946198627489e-06,0.0001400307785632,0.4281986390347563,0.4999756504956414,0.3777877634431468,0.5,0.0003548548916121,0.5,0.39637170996398613,6.103515625e-05,0.0,0.3234475887558584,0.0,3.3858004230236487,16093.484873346402,-353.5388284839875,-411.8662366920145,1907.1716145430498,-464.5175160332189,160237.39242657603,13863.975616550651,3083.156948009456,3077.1342020009165,4847.976204045095,3072.024112682645,107758.71913446646
window_3p0,0.167,10,pointwise descriptive statistics across ten conditional draws,numpy linear,2.6938328443224338e-06,2.6917323066834583e-06,2.677312463408972e-06,2.712356038727406e-06,2.663122171178879e-06,2.7249040130218035e-06,0.49998539029738487,0.5,0.4999513009912829,0.5,0.4999513009912829,0.5,3.662109375e-05,0.0,0.0,0.0001220703125,0.0,0.0001220703125,-1661.1239746898732,-1669.6843743502207,-1724.364330401191,-1591.072591733609,-1769.1735104041156,-1530.036002905442,3046.2274722272336,3046.3986514858425,3040.913800767563,3050.71885090168,3037.485950760966,3055.200979319092
window_3p0,0.168,10,pointwise descriptive statistics across ten conditional draws,numpy linear,2.5279972103737885e-06,2.5280573747385117e-06,2.5127109590130677e-06,2.544031858591574e-06,2.499673378244968e-06,2.5532029234321796e-06,0.49998824301928524,0.5,0.49997272855511843,0.5,0.4999311292015692,0.5,2.9470380400060004e-05,0.0,0.0,6.835937499999995e-05,0.0,0.0001726334915006,-2546.9261571965576,-2556.2576258329736,-2614.3167302189254,-2471.8311078400975,-2670.837625213725,-2413.0490032597945,3012.111389967089,3012.137800719206,3007.016553891367,3016.472289529166,3003.6217466063003,3020.9344043692886
window_3p0,0.169,10,pointwise descriptive statistics across ten conditional draws,numpy linear,2.3924842998733256e-06,2.3943124128353636e-06,2.3772636511147497e-06,2.4064689164991875e-06,2.3667366610506856e-06,2.413211351369915e-06,0.49999026019825654,0.5,0.49997272855511843,0.5,0.4999513009912829,0.5,2.44140625e-05,0.0,0.0,6.835937499999995e-05,0.0,0.0001220703125,-3460.8008066132024,-3470.4548722329732,-3531.6394533358066,-3381.7137587759025,-3597.2142351409407,-3325.2102278794414,2978.994307076023,2979.0108703249475,2973.9830196258617,2983.2984505295176,2970.6439149348403,2987.7573260431473
window_3p0,0.17,10,pointwise descriptive statistics across ten conditional draws,numpy linear,3.3062842933543673e-06,2.3721420047729455e-06,2.349782510609437e-06,2.385071633223322e-06,2.3398675761266674e-06,1.1766445468642545e-05,0.4871682934573882,0.5,0.4999400047890432,0.5,0.3718005043810303,0.5,0.03273831254868012,0.0,0.0,0.000150385692740336,0.0,0.3270884216828006,-3159.485742436384,-3849.4161392897468,-3927.017976161216,-3730.835600573443,-4006.288373746152,3086.7204149854274,3591.9318791468954,2960.7201894186533,2955.512157379426,2967.597589612441,2952.058767856923,9277.607588411527
window_3p0,0.171,10,pointwise descriptive statistics across ten conditional draws,numpy linear,2.3291329661663744e-06,2.3342911512450123e-06,2.310239815853593e-06,2.344395924994337e-06,2.3012915758373153e-06,2.346992988753115e-06,0.49999311292015686,0.5,0.5,0.5,0.4999311292015692,0.5,1.726334915006e-05,0.0,0.0,0.0,0.0,0.0001726334915006,-4165.153081783059,-4156.8772108572,-4257.342574474465,-4077.6231654300714,-4334.059103725048,-4031.747237465991,2917.194417099121,2917.2149519934405,2911.993672391048,2921.638068650277,2908.612217031221,2926.194070487118
window_3p0,0.172,10,pointwise descriptive statistics across ten conditional draws,numpy linear,2.2798604388613027e-06,2.284685305381109e-06,2.262095831048206e-06,2.2945303724903324e-06,2.2545611574135096e-06,2.295009548606964e-06,0.49998824301928513,0.5,0.49997272855511843,0.5,0.4999311292015692,0.5,2.9470380400060004e-05,0.0,0.0,6.835937499999995e-05,0.0,0.0001726334915006,-4758.8001516554195,-4745.273052411877,-4855.873399309853,-4672.313098688809,-4929.885496400321,-4630.595674472636,2895.914852765051,2895.7097407114616,2891.2045300339128,2900.035092374994,2887.856113305828,2904.5241307219785
window_3p0,0.173,10,pointwise descriptive statistics across ten conditional draws,numpy linear,2.303627011493313e-06,2.308743782499671e-06,2.284518919241217e-06,2.3181445326170674e-06,2.2774237870899574e-06,2.3209162496678686e-06,0.49999513009912827,0.5,0.5,0.5,0.4999513009912829,0.5,1.220703125e-05,0.0,0.0,0.0,0.0,0.0001220703125,-4711.459423202227,-4685.682239423605,-4818.237164561915,-4625.052700910742,-4887.570547536289,-4591.236935527384,2866.5021182250794,2866.1841052985446,2862.018632755074,2870.470895321173,2858.6758252384434,2874.894799745572
window_3p0,0.174,10,pointwise descriptive statistics across ten conditional draws,numpy linear,2.4208323392574767e-06,2.4270579062968524e-06,2.3970659187134035e-06,2.4379576443484773e-06,2.389682505180294e-06,2.443328346114001e-06,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-4075.152942297945,-4040.772039966299,-4195.151308946175,-3980.4044717655047,-4259.096166041289,-3964.57296308824,2849.8616549808476,2849.5522798797933,2845.164842899234,2854.004877880804,2841.742184061785,2858.5108913364143
