draw_index,mass_GeV,eps2_up_ratio_3p0_over_2p25eq2p5,delta_log10_eps2_up_3p0_minus_2p25eq2p5,delta_p0_3p0_minus_2p25eq2p5,delta_Z_3p0_minus_2p25eq2p5,delta_A_hat_3p0_minus_2p25eq2p5,scope
4,0.117,0.999247225342894,-0.0003270489922444497,0.0,0.0,-17.101512735799588,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.118,0.9989517791312491,-0.00045547530019884874,0.0,0.0,-18.37129234296515,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.119,0.998748375705568,-0.0005439139835168305,0.0012990628702626017,-0.0032615750009499025,-18.53082944498368,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.12,0.9987255419207387,-0.0005538431111666853,0.001499410958077374,-0.003906962708585315,-18.50513051648636,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.121,0.9987644192311937,-0.0005369376931341208,0.0013520803008966187,-0.0038046120642161174,-17.531652096127345,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.122,0.998871436647933,-0.0004904056152641445,0.0011359671414828965,-0.0035056430916355907,-16.095966491699073,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.123,0.9989514128877595,-0.0004556345246564675,0.0011982370182886948,-0.003586910271344723,-14.97096233326647,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.124,0.9991015604087523,-0.00039036274174364394,0.0010208926066237467,-0.0029053016416928923,-12.814386793717858,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.125,0.9993361533281317,-0.00028840068393432006,0.0008039068844933883,-0.0022712384524081197,-9.974354880636383,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.126,0.9995538965499635,-0.00019378349366583336,0.0006454038278391749,-0.001726295851296189,-7.290246940077623,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.127,0.9997791883688062,-9.590786214275226e-05,0.0004118774770950906,-0.0011157736277604413,-4.507414261151098,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.128,1.000004787026969,2.078974421060309e-06,0.0001757427679024981,-0.0004749448617700214,-1.8297412671411166,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.129,1.0002609565822351,0.00011331721888740987,-6.106724040688682e-05,0.0001707316515620061,1.2729169375504625,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.13,3.474216130742216,0.5408568323807996,-0.044086516555171706,0.12326054503569489,5814.1609018111585,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.131,1.0006294174631576,0.0002732665407148005,-0.0004756410105614117,0.0012200325560218217,5.392469916763389,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.132,4.013094512042102,0.6034793878860985,-0.1509066712068859,0.3877694469841048,5906.392735119309,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.133,1.000900808916928,0.00039104024203329146,0.0,0.0,9.444696836621006,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.134,1.0009382324556584,0.0004072781473096754,0.0,0.0,10.90237779153199,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.135,1.0008929466615757,0.000387628767593462,0.0,0.0,11.796531873155345,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.136,1.0008627830581818,0.0003745403709283224,0.0,0.0,12.025758636141745,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.137,1.0009344549125174,0.00040563911586488643,0.0,0.0,12.997352693108496,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.138,1.0010072353281199,0.000437216591927303,0.0,0.0,13.023763443447024,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.139,1.0010522803384265,0.0004567592671200771,-9.739801670860526e-05,0.000244140625,12.807797678272891,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.14,1.0010902497718561,0.0004732315363762396,0.0,0.0,12.3146793515034,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.141,1.0010477219451217,0.0004547816585533937,0.0,0.0,11.368894947656827,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.142,1.001013620449387,0.0004399868157474174,0.0,0.0,10.20308915144426,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.143,1.0009771903784384,0.00042418116998366173,0.0,0.0,8.88111691601182,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.144,1.0008715491411553,0.0003783441338978122,6.887079843082011e-05,-0.0001726334915006,7.285038067388548,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.145,1.0007420929050728,0.0003221673294673266,-0.0006180406272501271,0.0015550810097728907,5.873341408458714,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.146,1.0005540739660255,0.00024056462686505853,-0.00041876430434401035,0.00105364882011591,3.9369666421903275,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.147,1.0003537288897797,0.00015359534096770489,-0.00015576745073120346,0.0003919935841934924,1.7997906766447613,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.148,1.0001710136904778,7.42639522091082e-05,1.2103073684321952e-05,-3.0342388632000755e-05,0.007860506681169,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
