mass_GeV,paired_draw_count,summary_scope,eps2_up_ratio_3p0_over_2p25eq2p5_mean,eps2_up_ratio_3p0_over_2p25eq2p5_median,eps2_up_ratio_3p0_over_2p25eq2p5_q16,eps2_up_ratio_3p0_over_2p25eq2p5_q84,delta_log10_eps2_up_3p0_minus_2p25eq2p5_mean,delta_log10_eps2_up_3p0_minus_2p25eq2p5_median,delta_log10_eps2_up_3p0_minus_2p25eq2p5_q16,delta_log10_eps2_up_3p0_minus_2p25eq2p5_q84,delta_p0_3p0_minus_2p25eq2p5_mean,delta_p0_3p0_minus_2p25eq2p5_median,delta_p0_3p0_minus_2p25eq2p5_q16,delta_p0_3p0_minus_2p25eq2p5_q84,delta_Z_3p0_minus_2p25eq2p5_mean,delta_Z_3p0_minus_2p25eq2p5_median,delta_Z_3p0_minus_2p25eq2p5_q16,delta_Z_3p0_minus_2p25eq2p5_q84,delta_A_hat_3p0_minus_2p25eq2p5_mean,delta_A_hat_3p0_minus_2p25eq2p5_median,delta_A_hat_3p0_minus_2p25eq2p5_q16,delta_A_hat_3p0_minus_2p25eq2p5_q84
0.06,10,pointwise descriptive paired differences across ten conditional draws,0.9009475489125245,0.891763355211803,0.8149450451462643,0.9397228424938794,-0.0476599689693372,-0.04977114676165284,-0.08909160674526828,-0.027055181025626006,0.08449331015166707,0.09663385125383728,0.007983372865474875,0.16300941952606696,-0.31113244115002814,-0.31246775537146454,-0.5591072050727629,-0.19725853825289327,-1889.6984026101586,-1898.2698269066104,-3416.5577677247884,-1194.0241945594826
0.061,10,pointwise descriptive paired differences across ten conditional draws,0.9592542486911274,0.9469724630201586,0.9180998695572209,0.9836422261709251,-0.01857944502456128,-0.023663703420102156,-0.0371226125836489,-0.007164344676262822,0.029525709581646388,0.0383756304538126,0.0015169713870690723,0.07503989064621833,-0.11282115067347562,-0.159155790339233,-0.23891844063309278,-0.0196761373378912,-792.9658564211187,-971.9862485880624,-1526.9836507671878,-341.7505378958953
0.062,10,pointwise descriptive paired differences across ten conditional draws,1.0326526081290166,1.0292590035311466,1.0111163809706214,1.0584902829484115,0.013861248274478743,0.012515010947958594,0.004801145633411359,0.024684651429793616,-0.019693666887614647,-0.005877039017326953,-0.049454128927347164,0.0,0.05983969738916075,0.03831199423944415,0.0,0.13364503504459582,578.1962150746558,638.2925492919951,100.27349824782134,996.3821273860392
0.063,10,pointwise descriptive paired differences across ten conditional draws,1.0926618330181792,1.0919587911476627,1.0502888881844374,1.1538052120953806,0.03776926895215142,0.03817874968440993,0.02130797213926666,0.06212293160920712,-0.048157507905245714,-0.040398525391128606,-0.09510826793193194,0.0,0.1600878738155065,0.16417174856275107,0.0,0.2992349000368749,1631.5313491117533,1661.2369286962448,1079.6441441040906,2663.4016533708127
0.064,10,pointwise descriptive paired differences across ten conditional draws,1.1476543239007782,1.1700465572624528,1.0397887858821122,1.2442889580722654,0.057900618658902836,0.06817275948998702,0.016943213609285586,0.09492003192352168,-0.09593334571203603,-0.10708419679573483,-0.17804115392498884,-4.285512735178635e-05,0.29862879581422497,0.3566041996985667,0.00010742187499999999,0.5368149007739307,2576.1882626286365,2860.284026490156,1515.4415799306992,4077.678780315651
0.065,10,pointwise descriptive paired differences across ten conditional draws,1.1588250609884327,1.1795674717345923,1.0097106718542237,1.2708023335271028,0.06171128745298145,0.07171011397226668,0.004118633794770118,0.10405656160247026,-0.11379115609742536,-0.15048754327481223,-0.18734512439116507,0.0008895652628764766,0.3653474032776752,0.42655611241687297,-0.0022298153322675447,0.6547339553526985,2692.5884314928708,2964.5826679160655,429.72383203462743,4479.540657954137
0.066,10,pointwise descriptive paired differences across ten conditional draws,1.0776994105949824,1.0731751499307873,0.9923914541878371,1.1677189342332175,0.03122948571836508,0.030568985089626466,-0.0033431908136414288,0.06728056677250246,-0.057269769605934405,-0.03943106635964855,-0.13036561135524402,5.454288935681891e-05,0.19200784300298307,0.12158535351238942,-0.00013671875,0.4442057652402487,1289.359500557734,1412.268490215088,-132.77574502667085,2856.29494688291
0.067,10,pointwise descriptive paired differences across ten conditional draws,1.030820849790466,1.0226632548823957,0.9938822023147103,1.082407786335969,0.012672313400424785,0.009701685973519947,-0.002668093426456366,0.034358316808982,-0.016416659304037077,0.0,-0.05421194032480315,0.0018351802961763973,0.06069693108987404,0.0,-0.007390419296735762,0.17991745355475255,608.419013098063,589.7963037482357,-67.50713044460335,1606.1016818786945
0.068,10,pointwise descriptive paired differences across ten conditional draws,0.9671202012669864,0.9675300553024115,0.9542744434059386,0.9772977106674654,-0.014557883467289479,-0.014336202752372351,-0.020328436700320474,-0.009974062218279515,0.024294031267173295,0.019716459314888996,0.004019496586482417,0.04131735504716824,-0.07763408386105702,-0.07714193299865196,-0.1418912707633937,-0.01028745080466092,-661.2629168243827,-690.6758807663778,-866.9386827139731,-478.3349350513652
0.069,10,pointwise descriptive paired differences across ten conditional draws,0.9236376055734283,0.9390509176143175,0.8700345102855004,0.9524670273428517,-0.03548646935775786,-0.027314672646448823,-0.06056629447253371,-0.021161101877368936,0.03731139608073384,0.031032348411202046,0.0,0.07277512737985706,-0.1059391810687332,-0.08899428592471509,-0.19613061352761277,0.0,-1745.314737986307,-1317.1914634515883,-3319.01347383735,-871.9903147482745
0.07,10,pointwise descriptive paired differences across ten conditional draws,0.924244239507986,0.9244949768437143,0.8332907873080476,0.9736797937609785,-0.03607789895933822,-0.03416969564024974,-0.07932093122891672,-0.011597396705651238,0.02180576306597402,0.0,-5.454288935681895e-05,0.024171389763100706,-0.04045208272159186,0.0,-0.07812392657912351,0.0001367187499999999,-2260.732533952848,-1931.2836656971772,-4893.96987337809,-646.3991761667671
0.071,10,pointwise descriptive paired differences across ten conditional draws,0.9583149876601169,0.9511857519715212,0.8781680815078341,0.9948753140856453,-0.01993661971380565,-0.021825350205269878,-0.056424633799456385,-0.0022357206771472364,-0.014047366170074982,0.0,0.0,0.0,0.039190944022690126,0.0,0.0,0.0,-1865.7230384348543,-1649.621134162926,-4438.607523429339,-217.80673410342672
0.072,10,pointwise descriptive paired differences across ten conditional draws,0.9793425543186494,0.9783629928032513,0.940211749287654,1.003244287790717,-0.00946043494641744,-0.009566504209216564,-0.026791404187307216,0.0014056743651343587,-1.9479603341721054e-05,0.0,-5.454288935681895e-05,0.0,4.8828125e-05,0.0,0.0,0.0001367187499999999,-1010.718883488135,-800.9061270195916,-2619.2480533133476,63.61657161248583
0.073,10,pointwise descriptive paired differences across ten conditional draws,0.9975563251105853,0.9920705711633204,0.9888845025689953,1.0152303074069389,-0.0010965826242013144,-0.0034574494333372563,-0.004855507378467685,0.006563841321916221,1.9479603341721054e-05,0.0,0.0,9.739801670860526e-05,-4.8828125e-05,0.0,-0.000244140625,0.0,-97.95560912197398,-282.6069457372437,-412.1495356297994,399.84876332485373
0.074,10,pointwise descriptive paired differences across ten conditional draws,1.0181492853172958,1.0167184520176886,0.9846195384380277,1.0428749228987872,0.007614699305895378,0.007198823018925715,-0.006735697624625026,0.01821652890025671,2.351396115178317e-05,0.0,0.0,9.739801670860526e-05,-5.894076080012001e-05,0.0,-0.000244140625,0.0,497.10084916541746,426.0346243165559,-554.8997808998629,1556.1277851284267
0.075,10,pointwise descriptive paired differences across ten conditional draws,1.0400010507623534,1.0441347128917602,0.9759077351634323,1.0938068920375412,0.01623938576876931,0.018756504091686388,-0.010601273953848108,0.03864079176816484,-0.012576604063426672,0.0,-9.739801670860526e-05,0.0,0.03206344730999678,0.0,0.0,0.000244140625,744.5696126142018,857.333516486578,-667.7781065520983,2169.4493757578966
0.076,10,pointwise descriptive paired differences across ten conditional draws,1.3168546594181512,1.0698763533681852,0.9568460831119354,1.2428561764511041,0.07699513110528597,0.029324000234562053,-0.01916188063582016,0.09436985513007709,-0.059800293236599876,-0.010373556162633746,-0.16153799038298694,0.0,0.1684932468405322,0.02601421665287135,0.0,0.4826026170812395,1840.0094877218348,1186.6191834864903,-880.1067251789406,3792.4357459687603
0.077,10,pointwise descriptive paired differences across ten conditional draws,1.048030837237417,1.0498048181079493,0.9733296201138069,1.131265907621366,0.018975463119915048,0.021103532671183256,-0.011751276715341596,0.053442259262917194,-0.03511305403367587,-0.0403271866416426,-0.09580756707834079,0.019710941461489533,0.1309741592641638,0.13194145530934825,-0.05473453519903249,0.3508056676106823,751.5132122997792,865.466342441028,-482.18299618383287,2223.3199636189215
0.078,10,pointwise descriptive paired differences across ten conditional draws,1.1710785375286672,1.0293962525127047,0.9945998569506147,1.4723780097790127,0.05648718455214237,0.012568330986266307,-0.0023545505384203126,0.1574826219423949,0.0638396343638889,0.001351472770319856,-0.03905018231488132,0.22308568721076535,-0.16865935080840766,-0.00523477559326585,-0.6563583524213735,0.15370997208562376,-3389.201994897144,-22.45433922302732,-9743.375661612336,982.6835289535378
0.079,10,pointwise descriptive paired differences across ten conditional draws,1.0246202860957383,1.0220818835204395,1.000377657223457,1.0587312685727892,0.010362766702103876,0.009464714117510376,0.0001638058915968443,0.02477180576788676,-0.010622685483284402,-0.009976447000707253,-0.0287627971211783,-0.0001361030832914223,0.06335593940405525,0.0584916836093724,0.001065640942227501,0.1471843693342637,414.8035562257229,364.27119871203195,9.963851014843637,975.9405006794921
0.08,10,pointwise descriptive paired differences across ten conditional draws,1.0143098293798576,1.019464120642486,0.9975372971835167,1.0258008502541347,0.006128394401973036,0.008371944598652536,-0.0010721198819893375,0.0110599606556897,-0.007381959748429701,-0.010410015968373557,-0.013879692780318111,0.0021207291930618118,0.03931527631036215,0.05274829265309722,-0.00818507006794926,0.07260681653588942,257.4237784305411,342.2551122003433,-51.47374572153306,473.71025614629383
