mass_GeV,epsilon_90,mass_MeV,eps2_90
1.449,0.00078259,1449,6.124471081e-07
1.4502,0.00081316,1450.2,6.612291856e-07
1.4514,0.00082189,1451.4,6.755031721e-07
1.4526,0.00077448,1452.6,5.998192704e-07
1.4538,0.00073972,1453.8,5.471856784e-07
1.455,0.00067311,1455,4.530770721e-07
1.4562,0.00061139,1456.2,3.737977321e-07
1.4574,0.00057571,1457.4,3.314420041e-07
1.4586,0.00056083,1458.6,3.145302889e-07
1.4598,0.00056365,1459.8,3.177013225e-07
1.461,0.00056768,1461,3.222605824e-07
1.4621,0.00056037,1462.1,3.140145369e-07
1.4633,0.000564,1463.3,3.18096e-07
1.4645,0.00056397,1464.5,3.180621609e-07
1.4657,0.00058305,1465.7,3.399473025e-07
1.4669,0.00063206,1466.9,3.994998436e-07
1.4681,0.00070805,1468.1,5.013348025e-07
1.4693,0.00078881,1469.3,6.222212161e-07
1.4705,0.00082276,1470.5,6.769340176e-07
1.4717,0.00082958,1471.7,6.882029764e-07
1.4729,0.00079415,1472.9,6.306742225e-07
1.4741,0.00076014,1474.1,5.778128196e-07
1.4753,0.00075648,1475.3,5.722619904e-07
1.4766,0.00075719,1476.6,5.733366961e-07
1.4777,0.0007549,1477.7,5.6987401e-07
1.479,0.00073254,1479,5.366148516e-07
1.4802,0.00070668,1480.2,4.993966224e-07
1.4814,0.00069937,1481.4,4.891183969e-07
1.4826,0.00069976,1482.6,4.896640576e-07
1.4838,0.00074079,1483.8,5.487698241e-07
1.485,0.00078991,1485,6.239578081e-07
1.4862,0.00086222,1486.2,7.434233284e-07
1.4874,0.00090815,1487.4,8.247364225e-07
1.4886,0.00093554,1488.6,8.752350916e-07
1.4898,0.00092635,1489.8,8.581243225e-07
1.4911,0.00091621,1491.1,8.394407641e-07
1.4923,0.00088407,1492.3,7.815797649e-07
1.4935,0.0008794,1493.5,7.7334436e-07
1.4947,0.0008705,1494.7,7.5777025e-07
1.4959,0.000863,1495.9,7.44769e-07
1.4971,0.00085661,1497.1,7.337806921e-07
1.4983,0.00084418,1498.3,7.126398724e-07
1.4996,0.00080055,1499.6,6.408803025e-07
1.5008,0.00075007,1500.8,5.626050049e-07
1.502,0.00073681,1502,5.428889761e-07
1.5032,0.00073794,1503.2,5.445554436e-07
1.5044,0.00075588,1504.4,5.713545744e-07
1.5056,0.00080637,1505.6,6.502325769e-07
1.5068,0.00089138,1506.8,7.945583044e-07
1.5081,0.0010062,1508.1,1.01243844e-06
1.5093,0.001082,1509.3,1.170724e-06
1.5105,0.0011023,1510.5,1.21506529e-06
1.5118,0.0010933,1511.8,1.19530489e-06
1.513,0.0010528,1513,1.10838784e-06
1.5142,0.0010221,1514.2,1.04468841e-06
1.5154,0.00099963,1515.4,9.992601369e-07
1.5166,0.00096539,1516.6,9.319778521e-07
1.5179,0.00095065,1517.9,9.037354225e-07
1.5191,0.00091044,1519.1,8.289009936e-07
1.5203,0.00087629,1520.3,7.678841641e-07
1.5216,0.00086532,1521.6,7.487787024e-07
1.5228,0.00084291,1522.8,7.104972681e-07
1.524,0.00082776,1524,6.851866176e-07
1.5253,0.00080017,1525.3,6.402720289e-07
1.5265,0.00077565,1526.5,6.016329225e-07
1.5277,0.00078783,1527.7,6.206761089e-07
1.529,0.00079878,1529,6.380494884e-07
1.5302,0.00082342,1530.2,6.780204964e-07
1.5314,0.00086174,1531.4,7.425958276e-07
1.5326,0.0009421,1532.6,8.8755241e-07
1.5339,0.00099514,1533.9,9.903036196e-07
1.5351,0.0010165,1535.1,1.03327225e-06
1.5363,0.0009963,1536.3,9.9261369e-07
1.5376,0.00096071,1537.6,9.229637041e-07
1.5388,0.00090212,1538.8,8.138204944e-07
1.5401,0.00084779,1540.1,7.187478841e-07
1.5413,0.0008535,1541.3,7.2846225e-07
1.5425,0.00084332,1542.5,7.111886224e-07
1.5438,0.00084943,1543.8,7.215313249e-07
1.545,0.00086765,1545,7.528165225e-07
1.5463,0.00087461,1546.3,7.649426521e-07
1.5475,0.00085168,1547.5,7.253588224e-07
1.5487,0.00079953,1548.7,6.392482209e-07
1.55,0.00072935,1550,5.319514225e-07
1.5512,0.00068159,1551.2,4.645649281e-07
1.5525,0.00064686,1552.5,4.184278596e-07
1.5537,0.0006812,1553.7,4.6403344e-07
1.555,0.00081247,1555,6.601075009e-07
1.5562,0.00096367,1556.2,9.286598689e-07
1.5575,0.0010337,1557.5,1.06853569e-06
1.5587,0.00097386,1558.7,9.484032996e-07
1.56,0.00086739,1560,7.523654121e-07
1.5612,0.00077477,1561.2,6.002685529e-07
1.5625,0.00068283,1562.5,4.662568089e-07
1.5637,0.00062166,1563.7,3.864611556e-07
1.565,0.00058469,1565,3.418623961e-07
1.5662,0.00058091,1566.2,3.374564281e-07
1.5675,0.00060036,1567.5,3.604321296e-07
1.5687,0.00063776,1568.7,4.067378176e-07
1.57,0.00069741,1570,4.863807081e-07
1.5713,0.00077854,1571.3,6.061245316e-07
1.5725,0.00087757,1572.5,7.701291049e-07
1.5738,0.00096636,1573.8,9.338516496e-07
1.575,0.0010029,1575,1.00580841e-06
1.5763,0.000991,1576.3,9.82081e-07
1.5776,0.00096018,1577.6,9.219456324e-07
1.5788,0.00093205,1578.8,8.687172025e-07
1.5801,0.00091935,1580.1,8.452044225e-07
1.5813,0.00092483,1581.3,8.553105289e-07
1.5826,0.00095193,1582.6,9.061707249e-07
1.5839,0.00098788,1583.9,9.759068944e-07
1.5851,0.00099512,1585.1,9.902638144e-07
1.5864,0.00099218,1586.4,9.844211524e-07
1.5877,0.00097304,1587.7,9.468068416e-07
1.5889,0.0009104,1588.9,8.2882816e-07
1.5902,0.00085085,1590.2,7.239457225e-07
1.5915,0.0007636,1591.5,5.8308496e-07
1.5927,0.00074098,1592.7,5.490513604e-07
1.594,0.00077277,1594,5.971734729e-07
1.5953,0.00084594,1595.3,7.156144836e-07
1.5966,0.00093537,1596.6,8.749170369e-07
1.5978,0.00096608,1597.8,9.333105664e-07
1.5991,0.00093303,1599.1,8.705449809e-07
1.6004,0.00088847,1600.4,7.893789409e-07
1.6017,0.0008513,1601.7,7.2471169e-07
1.6029,0.00082226,1602.9,6.761115076e-07
1.6042,0.00080323,1604.2,6.451784329e-07
1.6055,0.0008183,1605.5,6.6961489e-07
1.6068,0.00086713,1606.8,7.519144369e-07
1.608,0.00093267,1608,8.698733289e-07
1.6093,0.00097082,1609.3,9.424914724e-07
1.6106,0.00096347,1610.6,9.282744409e-07
1.6119,0.00090825,1611.9,8.249180625e-07
1.6132,0.00085138,1613.2,7.248479044e-07
1.6144,0.00078347,1614.4,6.138252409e-07
1.6157,0.00074564,1615.7,5.559790096e-07
1.617,0.00072467,1617,5.251466089e-07
1.6183,0.00071524,1618.3,5.115682576e-07
1.6196,0.00069608,1619.6,4.845273664e-07
1.6209,0.00068239,1620.9,4.656561121e-07
1.6222,0.00068087,1622.2,4.635839569e-07
1.6234,0.00065976,1623.4,4.352832576e-07
1.6247,0.00065534,1624.7,4.294705156e-07
1.626,0.00065477,1626,4.287237529e-07
1.6273,0.00069807,1627.3,4.873017249e-07
1.6286,0.00073946,1628.6,5.468010916e-07
1.6299,0.00076626,1629.9,5.871543876e-07
1.6312,0.00078402,1631.2,6.146873604e-07
1.6325,0.00080192,1632.5,6.430756864e-07
1.6338,0.00083017,1633.8,6.891822289e-07
1.6351,0.00086052,1635.1,7.404946704e-07
1.6364,0.00091673,1636.4,8.403938929e-07
1.6377,0.00094284,1637.7,8.889472656e-07
1.6389,0.00094122,1638.9,8.858950884e-07
1.6402,0.00092163,1640.2,8.494018569e-07
1.6415,0.0008947,1641.5,8.0048809e-07
1.6428,0.00094157,1642.8,8.865540649e-07
1.6441,0.00098353,1644.1,9.673312609e-07
1.6454,0.0010104,1645.4,1.02090816e-06
1.6467,0.00099152,1646.7,9.831119104e-07
1.648,0.00094398,1648,8.910982404e-07
1.6493,0.00092383,1649.3,8.534618689e-07
1.6506,0.00093049,1650.6,8.658116401e-07
1.652,0.00098086,1652,9.620863396e-07
1.6533,0.0010775,1653.3,1.16100625e-06
1.6546,0.0011515,1654.6,1.32595225e-06
1.6559,0.0011665,1655.9,1.36072225e-06
1.6572,0.0010932,1657.2,1.19508624e-06
1.6585,0.00096167,1658.5,9.248091889e-07
1.6598,0.00083245,1659.8,6.929730025e-07
1.6611,0.00078843,1661.1,6.216218649e-07
1.6624,0.00080677,1662.4,6.508778329e-07
1.6637,0.0008829,1663.7,7.7951241e-07
1.665,0.00095395,1665,9.100206025e-07
1.6663,0.0010146,1666.3,1.02941316e-06
1.6676,0.0010308,1667.6,1.06254864e-06
1.669,0.0010153,1669,1.03083409e-06
