scope_key,mass_MeV,truth,method,n,observed_signed_r,null_signed_r_mean,null_signed_r_sd,null_signed_r_skew,null_signed_r_excess_kurtosis,null_signed_r_q05,null_signed_r_q50,null_signed_r_q95,direct_tail_count,direct_tail_fraction,direct_tail_ci95_low,direct_tail_ci95_high,signal_bias_sigma,linearized_zero_noise_bias_sigma,linearized_sampling_sd_sigma,raw_local_rejection_count,calibrated_local_rejection_count,observed_q0_is_zero,source_toy_ledger
individual_2015_full,64,gp,fixed,500,4.10343109515952,0.19735491259508053,3.0519998439915916,-0.014191157857918411,-0.0025872630656662565,-4.785163139949744,0.14989073979768835,5.371130666173639,47,0.094,0.06988623391878117,0.1230376078895607,0.0847625058002867,-0.0232576904700018,1.3106951892987473,159,22,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m064/validation_toys.csv.gz
individual_2015_full,64,gp,profiled,500,2.4812565975207033,-0.01063774003497734,0.9716460138572434,-0.039935576338064556,0.0620508235849635,-1.6260090989557086,0.026469517368516098,1.604974096445937,2,0.004,0.00048478617629000073,0.014374078562200309,-0.0118305511068791,-0.0768689221262606,0.9659459446706796,23,17,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m064/validation_toys.csv.gz
individual_2015_full,64,stress,fixed,500,4.10343109515952,0.7247784059962553,3.112118957749929,-0.0727583948339347,0.08153040687051272,-4.2150590376509705,0.7448114615121375,5.755513153050243,74,0.148,0.11803282506874803,0.18220039527232693,0.3158827196635094,0.3373561841162732,1.3287349767687195,192,22,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m064/validation_toys.csv.gz
individual_2015_full,64,stress,profiled,500,2.4812565975207033,0.2597221715927317,1.0036805118200647,0.009493334522439075,-0.26155638663627423,-1.3681970136708985,0.2871470936409757,1.939513951052352,6,0.012,0.004416172285801644,0.025934927265336975,0.2614683758988712,0.2683925779118677,0.9782052853955154,44,31,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m064/validation_toys.csv.gz
individual_2016_full,64,gp,fixed,500,-0.365098168024871,1.3702898378786172,2.397362604772087,-0.21519919729898612,-0.05133181636029471,-2.8559704554554766,1.4393073670148597,5.046013648599413,500,1.0,0.9926493899480923,1.0,0.6990903967696009,0.5939234151505138,1.2285837373516848,241,0,True,study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2016_batch001/individual_2016_full/m064/validation_toys.csv.gz
individual_2016_full,64,gp,profiled,500,-0.4406994193021684,0.39007113826834927,0.9620876395527986,-0.04328317738831547,-0.16659230726921104,-1.210987418563606,0.4222701165370756,1.8845760370471665,500,1.0,0.9926493899480923,1.0,0.3898417993098668,0.3606728205887174,0.9790197900738572,49,0,True,study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2016_batch001/individual_2016_full/m064/validation_toys.csv.gz
individual_2016_full,64,stress,fixed,500,-0.365098168024871,27.277158754222224,2.465893880091605,-0.09235775442310262,0.027816887335521567,22.950207651686494,27.364937176804553,31.044336235299244,500,1.0,0.9926493899480923,1.0,13.890233376347794,13.934732253273804,1.2232836103406168,500,21,True,study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2016_batch001/individual_2016_full/m064/validation_toys.csv.gz
individual_2016_full,64,stress,profiled,500,-0.4406994193021684,9.136788938224498,1.0329161372747677,-0.1440822472906195,-0.03571905335871861,7.317070020406188,9.167625801933038,10.751672956198451,500,1.0,0.9926493899480923,1.0,9.099425597252823,9.081075572584984,0.9762967795790848,500,30,True,study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2016_batch001/individual_2016_full/m064/validation_toys.csv.gz
individual_2021_10pct,64,gp,fixed,500,6.27668532359732,1.5386824830319608,2.586639524329238,-0.0797841062895969,-0.0012483508479590455,-3.1547342852762252,1.584923283061384,5.686693038477506,17,0.034,0.0199286000462063,0.0538803507360769,0.7395203867818024,0.7188761567278211,1.219807053799422,245,4,False,study_results/v4p9p13_calibration_20260905/derived/individual_2021_10pct/m064/validation_toys.csv.gz
individual_2021_10pct,64,gp,profiled,500,2.0149329344663633,0.44228825796375043,1.0060636450668974,0.12338817974421679,0.34103748988331617,-1.1577400441152883,0.41492656036405284,2.2359644560072205,33,0.066,0.04586335711058773,0.09144289861086634,0.4419397989932789,0.4325160322794402,0.976646319238978,57,13,False,study_results/v4p9p13_calibration_20260905/derived/individual_2021_10pct/m064/validation_toys.csv.gz
