dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma,source_csv,source_sha256_pending
2021,0.057,0.002048882875,0.05239001353125,0.06160998646875,990712198.9884846,1.64,0.053639832085,0.060360167915,0.0067203358299999,0.0,1.0,8000,0.000125,True,5674.169770292116,3.2628708304852004e-06,0.5,0.0,-14904.228119263693,5787.083319798539,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.53**2 * RBF(length_scale=0.331),0.0388457919743114,0.5297153451042469,0.1434475935717297,0.3314302378237129,0.0353143563402831,72.68398148046673,1654.9457246669788,401,20,381,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.3851416865738,18.959498587400432,258.53861710091496,161.7614368628626,runs/functional_form/attempt_02/results_single.csv,False
2021,0.058,0.0020573835,0.053370887125,0.062629112875,1071829864.4825622,1.64,0.05462589106,0.06137410894,0.00674821788,0.0,1.0,8000,0.000125,True,7656.200933124777,3.999257773109957e-06,0.4999311292015692,0.0001726334915006,-4760.1228340824755,5908.8767991679715,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.57**2 * RBF(length_scale=0.327),0.0383432349203511,0.5228622943684247,0.1415917786595051,0.3266578734411521,0.0348574862912283,73.40081847136618,1651.922886804594,401,21,380,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.37124010354567,18.63689240258374,254.13944185341464,158.77344862596212,runs/functional_form/attempt_01/results_single.csv,False
2021,0.058,0.0020573835,0.053370887125,0.062629112875,1071829864.4825622,1.64,0.05462589106,0.06137410894,0.00674821788,0.0,1.0,8000,0.000125,True,7656.057312986977,3.999182752357825e-06,0.5,0.0,-4760.542067191122,5908.853675036217,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.57**2 * RBF(length_scale=0.327),0.0383432349203511,0.5228622943684247,0.1415917786595051,0.3266594408797567,0.0348574862912283,73.39607338712446,1651.922886715486,401,21,380,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.371285070603577,18.63689240258374,254.13944185341464,158.77421048616202,runs/functional_form/attempt_02/results_single.csv,False
2021,0.059,0.002066055875,0.0543513742812499,0.0636486257187499,1151233300.2195165,1.64,0.055611668365,0.0623883316349999,0.0067766632699999,0.0,1.0,8000,0.000125,True,14066.63771883964,6.725039964500081e-06,0.1685845489775324,0.9597737468396018,5757.11551754804,6005.3529563367565,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.1**2 * RBF(length_scale=0.322),0.0378605893261601,0.516280763538548,0.139809491685398,0.3220259664339198,0.0344187175692365,65.61602193082767,1654.4885509749113,401,23,378,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.35612914066696,18.325055863341635,249.88712540920412,155.8650810612369,runs/functional_form/attempt_01/results_single.csv,False
2021,0.059,0.002066055875,0.0543513742812499,0.0636486257187499,1151233300.2195165,1.64,0.055611668365,0.0623883316349999,0.0067766632699999,0.0,1.0,8000,0.000125,True,14066.637693864868,6.725039952560033e-06,0.1685840175173594,0.959775858332753,5757.130226215366,6005.354905299522,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.1**2 * RBF(length_scale=0.322),0.0378605893261601,0.516280763538548,0.139809491685398,0.3220258639256964,0.0344187175692365,65.61641490661154,1654.48854960305,401,23,378,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.356126162397269,18.325055863341635,249.88712540920412,155.8650314458201,runs/functional_form/attempt_02/results_single.csv,False
2021,0.06,0.0020749,0.055331475,0.064668525,1228324226.4934309,1.64,0.056597164,0.063402836,0.006805672,0.0,1.0,8000,0.000125,True,22201.266844756086,9.782129566474898e-06,0.0082302304134387,2.3985426193213764,14443.10059659184,6025.97678221665,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.99**2 * RBF(length_scale=0.32),0.0373968740379758,0.5099573732451246,0.1380971094990222,0.3201778204838713,0.0339971582163416,63.86234092404656,1658.8098527022196,402,25,377,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.417781875956011,18.023458498229218,245.77443406676204,154.31000071515317,runs/functional_form/attempt_01/results_single.csv,False
2021,0.06,0.0020749,0.055331475,0.064668525,1228324226.4934309,1.64,0.056597164,0.063402836,0.006805672,0.0,1.0,8000,0.000125,True,22201.2668334791,9.782129561506132e-06,0.0082301014098865,2.3985483597473984,14443.119998275988,6025.970456824092,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.99**2 * RBF(length_scale=0.32),0.0373968740379758,0.5099573732451246,0.1380971094990222,0.320177792179887,0.0339971582163416,63.86002354278651,1658.809853578564,402,25,377,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.4177810434163,18.023458498229218,245.77443406676204,154.3099870740214,runs/functional_form/attempt_02/results_single.csv,False
2021,0.061,0.002083915875,0.05631118928125,0.06568881071875,1301256009.228961,1.64,0.057582377965,0.064417622035,0.0068352440699999,0.0,1.0,8000,0.000125,True,29598.547273374264,1.2108706007733697e-05,0.0003007514112905,3.4309358519002853,21474.052904796477,6265.273699381112,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.78**2 * RBF(length_scale=0.32),0.0369511713028735,0.5038796086755482,0.136451243073103,0.3195830161276949,0.0335919739117032,60.5343544303402,1654.3841003076398,401,26,375,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.51367183624641,17.731604114236877,241.7946015577755,153.35696606644208,runs/functional_form/attempt_01/results_single.csv,False
2021,0.061,0.002083915875,0.05631118928125,0.06568881071875,1301256009.228961,1.64,0.057582377965,0.064417622035,0.0068352440699999,0.0,1.0,8000,0.000125,True,29598.30932417943,1.2108608663197883e-05,0.0003007309765927,3.430954284293358,21473.946690345245,6265.2102376578,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.78**2 * RBF(length_scale=0.32),0.0369511713028735,0.5038796086755482,0.136451243073103,0.3195870308509246,0.0335919739117032,60.53534679192706,1654.384100191358,401,26,375,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.513791350605413,17.731604114236877,241.7946015577755,153.35889259489645,runs/functional_form/attempt_02/results_single.csv,False
2021,0.062,0.0020931035,0.057290517125,0.066709482875,1370705246.1825335,1.64,0.05856731026,0.06543268974,0.0068653794799999,0.0,1.0,8000,0.000125,True,31242.017641093353,1.1937770648611064e-05,0.0001122968362675,3.689615014857628,23177.49505951676,6288.447842399074,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.04**2 * RBF(length_scale=0.325),0.0365226217287332,0.4980357508463617,0.1348687188919183,0.3249677514039671,0.0332023833897574,64.67912444959357,1654.939471182135,401,28,373,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.78748265114654,17.449028071824063,237.9412918885099,155.25641775667907,runs/functional_form/attempt_01/results_single.csv,False
