lane,mass_GeV,n_attempt_rows,n_finite_attempt_rows,branch_multiplicity,lml_spread,selected_lml,selected_const_opt,selected_ls_opt,selected_source,selected_state_reproducing_attempt_count,selected_at_kernel_bound,review_status
functional_form,0.117,2,2,1,7.681701390538365e-07,1616.460503229985,75.1637602581927,0.3212564945131815,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.118,2,2,1,8.644860827189405e-07,1617.7522359340437,75.10309112907495,0.3209470088818956,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.119,2,2,1,3.4448567021172494e-07,1620.1191793348908,75.42765071524559,0.3214304940585162,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.12,2,2,1,1.4090132935962174e-06,1614.873012449788,75.53188907463007,0.3216624696022896,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.121,2,2,1,3.284958438598551e-08,1619.1479112925103,76.34027640052852,0.3220075089656111,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.122,2,2,1,3.860782271658536e-07,1620.2128336344354,74.95868893711545,0.3208557902581979,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.123,2,2,1,9.469943051954033e-07,1615.700984336799,76.56293770464787,0.3220467512848269,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.124,2,2,1,1.0843850759556517e-06,1622.03398033032,75.83058352854282,0.3214080996813057,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.125,2,2,1,7.134212864912115e-08,1617.7491530536654,73.2133302857107,0.3191475249282567,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.126,2,2,1,6.900593234604457e-07,1616.6951384634012,73.40783924864613,0.3197000416157539,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.127,2,2,1,1.421451543137664e-07,1616.6842840216175,73.49281231578725,0.3198759576896905,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.128,2,2,1,2.6330098990001716e-07,1616.6924587010058,74.9869051385943,0.3208994331908181,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.129,2,2,1,3.1157469493336976e-08,1611.7032023396946,74.60918908305197,0.3205473312968391,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.13,2,2,1,7.336316230066586e-07,1617.3342503143076,75.01356460460714,0.3208811800126566,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.131,2,2,1,4.2939791455864906e-07,1610.5998061885357,76.60262782084361,0.3221448113498999,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.132,2,2,1,1.3530764135794016e-06,1609.9020705269595,78.80875085760688,0.3236942927028863,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.133,2,2,1,6.02976797381416e-07,1607.0227297764277,76.43069032630119,0.3219935866679581,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.134,2,2,1,8.693805284565315e-07,1608.7824917086973,75.21755457924783,0.3212710360325304,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.135,2,2,1,7.447797543136403e-07,1603.570032023982,76.0894907780607,0.3217324282807081,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.136,2,2,1,1.7237198335351422e-07,1608.8306709789058,77.76849275055083,0.3227356337567956,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.137,2,2,1,1.2455052456061821e-06,1604.8853956882222,77.14312825829803,0.3222237560823731,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.138,2,2,1,2.411872856100672e-06,1604.01639210209,76.66580566548053,0.3221332403541672,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.139,2,2,1,1.2793016139767133e-06,1604.1548132487164,76.87335726011061,0.3222189285083235,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.14,2,2,1,1.0145458873012103e-06,1603.8382221723532,78.06759535779882,0.3228960184513159,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.141,2,2,1,1.1096199159510434e-07,1601.183440087846,76.2847454035307,0.321512086490213,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.142,2,2,1,3.132704478048254e-07,1606.1855902205712,76.26427264790745,0.3217211108350444,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.143,2,2,1,1.8240825738757849e-06,1606.7400941511914,77.04112097061638,0.3223978470061173,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.144,2,2,1,1.9016074475075584e-06,1601.5762236486944,76.4211948159905,0.3220503746323758,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
