dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma,source_csv,source_sha256_pending,selected_source,selected_state_reproducing_attempt_count,reproducing_sources,all_attempt_sources,attempt_row_count,finite_attempt_row_count,branch_multiplicity,attempt_lml_spread,optimizer_repair_applied,review_status,interpolated
2021,0.06,0.0020749,0.055331475,0.064668525,1228324226.4934309,1.64,0.056597164,0.063402836,0.006805672,0.0,1.0,8000,0.000125,True,22201.2668334791,9.782129561506132e-06,0.0082301014098865,2.3985483597473984,14443.119998275988,6025.970456824092,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.99**2 * RBF(length_scale=0.32),0.0373968740379758,0.5099573732451246,0.1380971094990222,0.320177792179887,0.0339971582163416,63.86002354278651,1658.809853578564,402,25,377,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.4177810434163,18.023458498229218,245.77443406676204,154.3099870740214,runs/functional_form/attempt_02/results_single.csv,False,runs/functional_form/attempt_02/results_single.csv,2,runs/functional_form/attempt_02/results_single.csv|runs/functional_form/attempt_01/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,8.763443020143313e-07,False,stable_reproduced,False
2021,0.061,0.002083915875,0.05631118928125,0.06568881071875,1301256009.228961,1.64,0.057582377965,0.064417622035,0.0068352440699999,0.0,1.0,8000,0.000125,True,29598.547273374264,1.2108706007733697e-05,0.0003007514112905,3.4309358519002853,21474.052904796477,6265.273699381112,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.78**2 * RBF(length_scale=0.32),0.0369511713028735,0.5038796086755482,0.136451243073103,0.3195830161276949,0.0335919739117032,60.5343544303402,1654.3841003076398,401,26,375,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.51367183624641,17.731604114236877,241.7946015577755,153.35696606644208,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,1.1628185347944964e-07,False,stable_reproduced,False
2021,0.062,0.0020931035,0.057290517125,0.066709482875,1370705246.1825335,1.64,0.05856731026,0.06543268974,0.0068653794799999,0.0,1.0,8000,0.000125,True,31242.017641093353,1.1937770648611064e-05,0.0001122968362675,3.689615014857628,23177.49505951676,6288.447842399074,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.04**2 * RBF(length_scale=0.325),0.0365226217287332,0.4980357508463617,0.1348687188919183,0.3249677514039671,0.0332023833897574,64.67912444959357,1654.939471182135,401,28,373,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.78748265114654,17.449028071824063,237.9412918885099,155.25641775667907,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,1.282865696339286e-06,False,stable_reproduced,False
2021,0.063,0.002102462875,0.05826945853125,0.06773054146875,1435904664.160817,1.64,0.059551960885,0.066448039115,0.0068960782299999,0.0,1.0,8000,0.000125,True,28413.308218665978,1.0199422183288332e-05,0.0007687428244343,3.167513512429769,20219.214309398645,6386.112468635467,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.11**2 * RBF(length_scale=0.325),0.0361104197174945,0.4924148143294715,0.133346562087477,0.3252246042333716,0.0328276542886314,65.84363992914984,1654.5793386520884,401,29,372,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.907031473339243,17.17529481584524,234.20856567061688,154.68744209496285,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,8.6798445408931e-07,False,stable_reproduced,False
2021,0.064,0.002111994,0.0592480135,0.0687519865,1496453831.1465535,1.64,0.06053632984,0.06746367016,0.00692734032,0.0,1.0,8000,0.000125,True,17933.250587114217,6.080448895195342e-06,0.0742464851378395,1.4448751045489048,9351.018482561834,6475.486451476966,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.3**2 * RBF(length_scale=0.322),0.0357138093206567,0.4870064907362281,0.1318819811349368,0.3220461016507521,0.0324670993824152,68.9681947465625,1653.904677891962,401,31,370,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.919152242629298,16.909995634768247,230.59084956502153,152.4843828395119,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,2.065173021037481e-06,False,stable_reproduced,False
2021,0.065,0.002121696875,0.06022618203125,0.06977381796875,1551605140.2623928,1.64,0.061520417125,0.068479582875,0.0069591657499999,0.0,1.0,8000,0.000125,True,9703.129502205613,3.12418816894645e-06,0.5,0.0,-2195.577432875444,6602.950231073734,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.15**2 * RBF(length_scale=0.319),0.0353320804721528,0.4818010973475384,0.1304723539415717,0.3194735092716499,0.0321200731565025,66.34114676440741,1648.8060870872755,400,32,368,416,16,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.946226078472488,16.652746623927047,227.08290850809607,150.57452977190715,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,6.465154456236633e-07,False,stable_reproduced,False
2021,0.066,0.0021315715,0.061203964125,0.070796035875,1601730350.026453,1.64,0.06250422274,0.06949577726,0.0069915545199999,0.0,1.0,8000,0.000125,True,7015.589767675841,2.155017333696993e-06,0.5,0.0,-12136.62061082854,6528.731943050137,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.28**2 * RBF(length_scale=0.319),0.0349645655591176,0.4767895303516045,0.1291152151834926,0.3193948053961669,0.0317859686901069,68.59311435550995,1654.983667629684,401,34,367,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.048295476222972,16.403186831461046,223.67982042901423,149.84006184928205,runs/functional_form/attempt_02/results_single.csv,False,runs/functional_form/attempt_02/results_single.csv,2,runs/functional_form/attempt_02/results_single.csv|runs/functional_form/attempt_01/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,3.4007894100795966e-07,False,stable_reproduced,False
2021,0.067,0.002141617875,0.06218135978125,0.07181864021875,1646804477.5132818,1.64,0.063487746685,0.070512253315,0.00702450663,0.0,1.0,8000,0.000125,True,6248.324548047047,1.8389361895390392e-06,0.5,0.0,-19852.826725044728,6646.273879113014,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.08**2 * RBF(length_scale=0.318),0.034610636295701,0.4719632222141046,0.1278082447614374,0.3176382529682701,0.0314642148142736,65.24937834008594,1650.090486148538,400,35,365,416,16,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.095222615381283,16.16097656810088,220.37695320137564,148.31696012449004,runs/functional_form/attempt_02/results_single.csv,False,runs/functional_form/attempt_02/results_single.csv,2,runs/functional_form/attempt_02/results_single.csv|runs/functional_form/attempt_01/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,7.847634151403327e-07,False,stable_reproduced,False
2021,0.068,0.002151836,0.063158369,0.072841631,1687190823.3082795,1.64,0.06447098896,0.07152901104,0.00705802208,0.0,1.0,8000,0.000125,True,6095.368563461012,1.7252291027570985e-06,0.5,0.0,-22538.640044754367,6713.196376933909,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.8**2 * RBF(length_scale=0.314),0.0342697008691363,0.4673141027609495,0.1265492572619316,0.3139195838206662,0.0311542735173966,60.85081355901457,1650.4340097237275,400,37,363,416,16,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.076292860604587,15.92579586415336,217.1699436020912,145.88453015037683,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,8.282140697701834e-07,False,stable_reproduced,False
2021,0.069,0.002162225875,0.06413499178125,0.07386500821875,1722476719.5096557,1.64,0.065453949565,0.072546050435,0.00709210087,0.0,1.0,8000,0.000125,True,6432.127429833887,1.757406022356381e-06,0.5,0.0,-17340.061853530286,6588.233771581432,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.08**2 * RBF(length_scale=0.319),0.0339412013307978,0.4628345636017883,0.1253361923231284,0.3187030307858616,0.0308556375734525,65.36094329024239,1654.1839555665667,401,39,362,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.328842825794208,15.697343058942815,214.05467807649293,147.39580839853818,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,1.4561192074324936e-07,False,stable_reproduced,False
