scenario,background_toy_index,mass_GeV,mass_MeV,upper_factor,attempt,optimizer_seed,optimizer_seed_namespace,seed_includes_upper_factor,optimizer_restarts,background_only,fit_ok,error,gp_lml,ell_opt,ell_lo,ell_hi,ell_init,sigma_x,ell_over_sigma_x,ell_lo_over_sigma_x,ell_hi_over_sigma_x,ell_over_ell_hi,ell_over_ell_lo,ell_mass_delta_GeV,kernel_constant_opt,kernel_constant_lo,kernel_constant_hi,kernel_constant_init,n_blind,blind_lo,blind_hi,sigma_mass_GeV,support_lo_GeV,support_hi_GeV,ell_at_lower_exact,ell_at_upper_exact,ell_near_lower,ell_near_upper,constant_at_lower_exact,constant_at_upper_exact,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,training_counts_sha256,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,evaluated_attempt_count,maximum_lml_candidate_attempt,matches_maximum_lml_branch,selected_maximum_lml_reproduced_branch,maximum_lml_branch_replicates
2021_1pct_x10,9,0.17,170,20,2,1120150866,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1568.7522881958994,0.3937056726342555,0.026191094099248028,0.47620171089541863,0.11167920048193762,0.02381008554477093,16.535248136507406,1.1,20.0,0.8267624068253704,15.032043760461278,0.08201890629680655,87.16070378194648,1e-08,1e+18,1.0,30,0.160783353125,0.17921664687500002,0.0040962875,0.04,0.3,False,False,False,False,False,False,0,,386,193,193,0.04,0.3,0.0006250000000000006,0c5dc66a66673c3b364cd0dfb26a16104fa4ae70f66c762b9edad53d09ccff48,True,-0.018059491896883,-1.8544515259184984e-06,3,0,True,False,3
2021_1pct_x10,9,0.17,170,25,2,1120150866,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1568.7522855950979,0.39370732711800743,0.026191094099248028,0.5952521386192733,0.12486114197521989,0.02381008554477093,16.5353176231856,1.1,25.0,0.6614127049274239,15.032106930168723,0.08201932325833712,87.1666812359878,1e-08,1e+18,1.0,30,0.160783353125,0.17921664687500002,0.0040962875,0.04,0.3,False,False,False,False,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.36853818773546987. Increasing the bound and calling fit again may find a better value.,386,193,193,0.04,0.3,0.0006250000000000006,0c5dc66a66673c3b364cd0dfb26a16104fa4ae70f66c762b9edad53d09ccff48,True,-0.015543468178965058,-1.5960954556939711e-06,3,0,True,False,3
2021_1pct_x10,9,0.19,190,15,0,1500692961,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1558.1178406006625,0.3655427705841774,0.026806469842839676,0.3655427705841774,0.09898945022542965,0.02436951803894516,15.0,1.1,15.0,1.0,13.636363636363637,0.08384625691094569,51.488205443484915,1e-08,1e+18,1.0,34,0.179454053125,0.200545946875,0.0046870875,0.04,0.3,False,True,False,True,False,False,0,,382,223,159,0.04,0.3,0.0006250000000000006,0cabfb210033bac62e6724a3b1a189bd532fce9c4a555537652139f0db577b3f,True,-0.0020235328441241965,-3.479606536302979e-07,3,1,True,False,3
2021_1pct_x10,9,0.19,190,20,0,1500692961,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1558.9149627444926,0.3860152744722377,0.026806469842839676,0.4873903607789032,0.11430317146916974,0.02436951803894516,15.840086531680397,1.1,20.0,0.7920043265840199,14.400078665163997,0.08951035679538018,78.29811904638143,1e-08,1e+18,1.0,34,0.179454053125,0.200545946875,0.0046870875,0.04,0.3,False,False,False,False,False,False,0,,382,223,159,0.04,0.3,0.0006250000000000006,0cabfb210033bac62e6724a3b1a189bd532fce9c4a555537652139f0db577b3f,True,-0.004045960705367632,-7.407179505029355e-07,3,0,True,True,3
2021_1pct_x10,9,0.19,190,25,0,1500692961,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1558.9149585009186,0.3860365964753451,0.026806469842839676,0.609237950973629,0.12779483072443903,0.02436951803894516,15.840961477301946,1.1,25.0,0.6336384590920778,14.400874070274496,0.08951631657961336,78.31579716431585,1e-08,1e+18,1.0,34,0.179454053125,0.200545946875,0.0046870875,0.04,0.3,False,False,False,False,False,False,0,,382,223,159,0.04,0.3,0.0006250000000000006,0cabfb210033bac62e6724a3b1a189bd532fce9c4a555537652139f0db577b3f,True,-0.004025207652255687,-7.369711850201283e-07,3,2,True,False,3
2021_1pct_x10,9,0.19,190,15,1,3758147732,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1558.1178408157994,0.3655427705841774,0.026806469842839676,0.3655427705841774,0.09898945022542965,0.02436951803894516,15.0,1.1,15.0,1.0,13.636363636363637,0.08384625691094569,51.48608507144875,1e-08,1e+18,1.0,34,0.179454053125,0.200545946875,0.0046870875,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.36853818773546987. Increasing the bound and calling fit again may find a better value.,382,223,159,0.04,0.3,0.0006250000000000006,0cabfb210033bac62e6724a3b1a189bd532fce9c4a555537652139f0db577b3f,True,-0.002332074738037278,-4.0101773832048585e-07,3,1,True,True,3
2021_1pct_x10,9,0.19,190,20,1,3758147732,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1558.9149621066217,0.3860150533451416,0.026806469842839676,0.4873903607789032,0.11430317146916974,0.02436951803894516,15.840077457758797,1.1,20.0,0.7920038728879398,14.400070416144361,0.08951029498807346,78.30527610773288,1e-08,1e+18,1.0,34,0.179454053125,0.200545946875,0.0046870875,0.04,0.3,False,False,False,False,False,False,0,,382,223,159,0.04,0.3,0.0006250000000000006,0cabfb210033bac62e6724a3b1a189bd532fce9c4a555537652139f0db577b3f,True,-0.0035449112946734198,-6.489837437192924e-07,3,0,True,False,3
2021_1pct_x10,9,0.19,190,25,1,3758147732,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1558.9149606400692,0.38601443341806985,0.026806469842839676,0.609237950973629,0.12779483072443903,0.02436951803894516,15.840052019132118,1.1,25.0,0.6336020807652847,14.400047290120106,0.0895101217121285,78.28918721349051,1e-08,1e+18,1.0,34,0.179454053125,0.200545946875,0.0046870875,0.04,0.3,False,False,False,False,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.35583663472444016. Increasing the bound and calling fit again may find a better value.,382,223,159,0.04,0.3,0.0006250000000000006,0cabfb210033bac62e6724a3b1a189bd532fce9c4a555537652139f0db577b3f,True,-0.004507589772698235,-8.252340992341978e-07,3,2,True,False,3
2021_1pct_x10,9,0.19,190,15,2,320763931,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1558.1178406158451,0.3655427705841774,0.026806469842839676,0.3655427705841774,0.09898945022542965,0.02436951803894516,15.0,1.1,15.0,1.0,13.636363636363637,0.08384625691094569,51.48823707540584,1e-08,1e+18,1.0,34,0.179454053125,0.200545946875,0.0046870875,0.04,0.3,False,True,False,True,False,False,0,,382,223,159,0.04,0.3,0.0006250000000000006,0cabfb210033bac62e6724a3b1a189bd532fce9c4a555537652139f0db577b3f,True,-0.0020505299531779512,-3.526029902610607e-07,3,1,True,False,3
2021_1pct_x10,9,0.19,190,20,2,320763931,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1558.9149612479218,0.3860166444701012,0.026806469842839676,0.4873903607789032,0.11430317146916974,0.02436951803894516,15.840142749364363,1.1,20.0,0.7920071374682182,14.40012977214942,0.08951073972423411,78.29882091193616,1e-08,1e+18,1.0,34,0.179454053125,0.200545946875,0.0046870875,0.04,0.3,False,False,False,False,False,False,0,,382,223,159,0.04,0.3,0.0006250000000000006,0cabfb210033bac62e6724a3b1a189bd532fce9c4a555537652139f0db577b3f,True,-0.0038841243207068327,-7.110931716516523e-07,3,0,True,False,3
2021_1pct_x10,9,0.19,190,25,2,320763931,v4p8_rigid_length_scan_common_v1,False,12,True,True,,1558.9149612991714,0.38601518993587336,0.026806469842839676,0.609237950973629,0.12779483072443903,0.02436951803894516,15.840083062741693,1.1,25.0,0.6336033225096677,14.400075511583356,0.08951033316659182,78.29810465853271,1e-08,1e+18,1.0,34,0.179454053125,0.200545946875,0.0046870875,0.04,0.3,False,False,False,False,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.35583663472444016. Increasing the bound and calling fit again may find a better value.,382,223,159,0.04,0.3,0.0006250000000000006,0cabfb210033bac62e6724a3b1a189bd532fce9c4a555537652139f0db577b3f,True,-0.00406263397630461,-7.437701697115804e-07,3,2,True,True,3
2021_1pct_x10,9,0.21,210,15,0,203325383,v4p8_rigid_length_scan_common_v1,False,12,True,True,,855.3892235433491,0.10212417674180256,0.027655357796407824,0.3771185154055612,0.10212417674180257,0.025141234360370746,4.0620192023179795,1.1,15.0,0.270801280154532,3.692744729379981,0.02257940822289238,1.0,1e-08,1e+18,1.0,38,0.197970178125,0.22202982187499998,0.0053465875,0.04,0.3,False,False,False,False,False,False,0,,378,253,125,0.04,0.3,0.0006250000000000006,b604c11be68bf8a33fb4e11293c3864a7c57972d91ad0c7a5b916b3d02dd31ef,True,-1.0216447132437387e-05,-8.830533360799276e-11,3,1,False,False,2
