mass_MeV,functional_mean_fractional__A_hat,functional_mean_fractional__sigma_A,functional_mean_fractional__p0_analytic,functional_mean_fractional__Z_analytic,functional_mean_fractional__eps2_up,functional_mean_fractional__lml,functional_mean_fractional__const_opt,functional_mean_fractional__ls_opt,functional_mean_fractional__signed_Ahat_over_sigma,gp_mean_fractional__A_hat,gp_mean_fractional__sigma_A,gp_mean_fractional__p0_analytic,gp_mean_fractional__Z_analytic,gp_mean_fractional__eps2_up,gp_mean_fractional__lml,gp_mean_fractional__const_opt,gp_mean_fractional__ls_opt,gp_mean_fractional__signed_Ahat_over_sigma,functional_poisson_draw__A_hat,functional_poisson_draw__sigma_A,functional_poisson_draw__p0_analytic,functional_poisson_draw__Z_analytic,functional_poisson_draw__eps2_up,functional_poisson_draw__lml,functional_poisson_draw__const_opt,functional_poisson_draw__ls_opt,functional_poisson_draw__signed_Ahat_over_sigma,gp_poisson_draw__A_hat,gp_poisson_draw__sigma_A,gp_poisson_draw__p0_analytic,gp_poisson_draw__Z_analytic,gp_poisson_draw__eps2_up,gp_poisson_draw__lml,gp_poisson_draw__const_opt,gp_poisson_draw__ls_opt,gp_poisson_draw__signed_Ahat_over_sigma,functional_mean_minus_gp_mean__A_hat,functional_draw_minus_functional_mean__A_hat,gp_draw_minus_gp_mean__A_hat
65,-2839.9928846526195,6603.0581581091974,0.5,0,3.035034646474063e-06,1648.8060879914001,66.3402065114918,0.31947361425322462,-0.43010266101697625,-4.7910568661219779,6603.4964643971525,0.5,0,3.48184596130134e-06,1648.8060883716289,66.343976221585919,0.31946971920092959,-0.00072553334312406019,-2195.5774328754442,6602.9502310737344,0.5,0,3.12418816894645e-06,1648.8060870872755,66.341146764407412,0.31947350927164991,-0.33251461180836611,-5125.820977491564,6602.7621195272641,0.5,0,2.7735650834204884e-06,1648.8060873762972,66.340974259005932,0.31947352321809358,-0.77631465206542316,-2835.2018277864977,644.41545177717535,-5121.0299206254422
66,-6366.8759712844931,6523.8592615895404,0.5,0,2.5048388177636517e-06,1655.2942340305688,68.849783872659003,0.31993164404013169,-0.9759370513663107,1243.3231960330022,6507.6761297802159,0.4240722595950509,0.19148641970417071,3.5155023448747441e-06,1655.8004632189256,69.270545759552149,0.32136602120347618,0.19105486678160688,-12136.620610828541,6528.7319430501366,0.5,0,2.1550173336969931e-06,1654.9836676296841,68.593114355509954,0.31939480539616688,-1.8589552637014031,-2026.5385975990041,6488.1367229452926,0.5,0,2.9384047121114249e-06,1655.304942720981,69.767592892330882,0.32298424587092822,-0.31234523625745297,-7610.1991673174953,-5769.7446395440475,-3269.8617936320061
67,-9024.39934087242,6646.2342094191172,0.5,0,2.2652978388557647e-06,1650.3017362067417,65.245340795724005,0.317744825489295,-1.3578214454258835,918.15745264555517,6622.2438216264181,0.44671691457999418,0.1339604748465231,3.3672554092640776e-06,1650.5854528000366,66.200962023453457,0.31963883215074163,0.13864748525977053,-19852.826725044728,6646.2738791130141,0.5,0,1.8389361895390392e-06,1650.090486148538,65.24937834008594,0.31763825296827009,-2.9870611843781267,-1022.8592436550172,6613.7047600597853,0.5,0,3.0211482057342747e-06,1649.4420693535451,66.260180622992706,0.32015743236622179,-0.1546575301988187,-9942.5567935179752,-10828.427384172308,-1941.0166963005722
68,-8383.3147770195665,6660.7305560593159,0.5,0,2.2287733396860951e-06,1651.6607811013655,64.549253539846561,0.31791182152952829,-1.2586179108225903,1084.0173878042269,6638.2893834458891,0.4120261698979682,0.22233598664724641,3.2809353781367116e-06,1651.8610190477025,65.457336770820575,0.31958925023407531,0.1632976999326777,-22538.640044754367,6713.1963769339091,0.5,0,1.7252291027570985e-06,1650.4340097237275,60.850813559014568,0.3139195838206662,-3.35736343453256,670.51934086863412,6628.0128207627449,0.45790485252834939,0.105713454458658,3.203573894126341e-06,1650.5854386405629,65.770859252426348,0.32024578575304818,0.1011644604500737,-9467.3321648237943,-14155.325267734801,-413.49804693559281
69,-6676.5636712025635,6579.3610104017916,0.5,0,2.2303381688716647e-06,1658.0763822918827,65.123134924766759,0.31931903426530278,-1.0147738755552549,-241.04335581889683,6569.519254963845,0.5,0,2.9103070414942246e-06,1658.4261931689755,64.829068904298865,0.3199848337954308,-0.036691171220294021,-17340.061853530286,6588.2337715814319,0.5,0,1.757406022356381e-06,1654.1839555665667,65.360943290242389,0.3187030307858616,-2.6319742824438359,298.73716645509103,6545.6976470445534,0.47740169918574438,0.056675867100473801,2.9904706149234594e-06,1656.3569423817601,66.928836242904637,0.32194666998763638,0.045638705385357019,-6435.5203153836665,-10663.498182327723,539.7805222739878
70,-4390.9170798706436,6677.0796349512902,0.5,0,2.372550222057583e-06,1652.1071452559993,66.585616636103282,0.31974346500604051,-0.65761041052832614,-2007.8604599430389,6671.9406945748478,0.49990260198329139,0.000244140625,2.6179383651758619e-06,1652.6618291969551,65.563007532554678,0.3199784280687975,-0.30094099331183949,-9947.1640255490565,6677.6227037414519,0.49990260198329139,0.000244140625,2.0099753728982846e-06,1647.2888636043319,68.30095321833133,0.31987930545560561,-1.4896265432869831,-1221.4022644301419,6648.160393568005,0.5,0,2.708903061280013e-06,1650.6807894855808,68.207243929721514,0.32203769858438941,-0.1837203364726023,-2383.0566199276045,-5556.2469456784129,786.45819551289696
71,-3983.7804547989767,6566.4572065011916,0.5,0,2.3008252329192875e-06,1658.8163509504509,69.104765121415468,0.32205133086417181,-0.60668642610733714,-5652.4456174319967,6568.5343773053419,0.5,0,2.1585874741286703e-06,1659.981973849963,66.270540563606986,0.32150894709175099,-0.86053376487782662,-3674.4745297355471,6567.6376260113202,0.5,0,2.3306357657468766e-06,1653.5528354210021,71.175911269132058,0.32216751339671051,-0.55948192317777756,-4135.7625377651193,6545.3145654860764,0.5,0,2.2761706234186691e-06,1657.3807353013378,69.546283444577142,0.32379092194777898,-0.63186612291688748,1668.6651626330199,309.30592506342964,1516.6830796668773
72,-3485.6924317168937,6641.5537041663847,0.49990260198329139,0.000244140625,2.3179123768823592e-06,1652.8109806328264,69.671511386371833,0.3215720616367243,-0.52483087346417845,-8102.3388838187138,6640.4007998697434,0.5,0,1.9815383505608641e-06,1654.1234390072559,66.451701920812866,0.32128446196458849,-1.220158109127637,1195.9789701829168,6646.1760045500714,0.42827433988011659,0.1807692762677624,2.9307013603212932e-06,1647.7563311510833,69.951161023545978,0.32119747176937719,0.17994993953878616,-5595.391176761912,6621.6412535985,0.5,0,2.1346208724159891e-06,1651.6152122405599,69.510043373261666,0.32322750463873962,-0.8450157540203681,4616.6464521018206,4681.67140189981,2506.9477070568018
73,-1254.2202872849698,6635.945934479776,0.5,0,2.5000016765337116e-06,1653.5084416988536,67.92870101965039,0.31870042285264849,-0.18900399425621514,-7403.8010128634323,6625.1874449540919,0.45899440306572847,0.1029674482480369,1.9677757426596776e-06,1654.6194374234767,65.269114220010849,0.31944740567167779,-1.1175232511349322,7236.6111400599912,6668.8205668884721,0.13881046811534531,1.0856792225141427,4.0016988825525494e-06,1645.0097357374136,68.224707062295039,0.31555766088678761,1.0851410781676554,-4737.4648851959582,6606.8574871394685,0.5,0,2.1365223025731076e-06,1651.6377272562925,67.222950871981126,0.32137136851258408,-0.71705268267366695,6149.5807255784621,8490.8314273449614,2666.3361276674741
74,-161.93307505417064,6577.935135245627,0.5,0,2.5683661246155585e-06,1655.0670288582207,70.693346443373883,0.32081274463039128,-0.024617615060766922,-6149.2593429452863,6563.9881498102413,0.5,0,1.9846954200697885e-06,1656.7292341879568,68.00844451477424,0.32193020738612271,-0.93681755704008329,8753.2159070283542,6633.5823962350523,0.093616832533890901,1.318806935387524,4.2152561067629496e-06,1644.8211775087659,69.318634912253785,0.31521177320149502,1.3195307428451206,-3953.3690831280528,6541.7323287073177,0.49990260198329139,0.000244140625,2.1397015398213651e-06,1653.312268477933,69.343448608782552,0.32434021674507968,-0.60433060915368575,5987.326267891116,8915.1489820825245,2195.8902598172335
