mass_MeV,muon_central_eps2,electron_Rb_central_eps2
13.220437540584316,4.4730830779638641e-07,2.9992993598237191e-07
13.322412295296212,4.4824056261320153e-07,3.0450021035555979e-07
13.425173623868968,4.491804192108897e-07,3.0914099168227146e-07
13.528727593475185,4.5012794584005232e-07,3.1385337149300581e-07
13.633080318086122,4.5108321145463222e-07,3.1863845822434913e-07
13.738237958832631,4.5204628572026414e-07,3.2349737748078016e-07
13.844206724368942,4.5301723902273977e-07,3.2843127230053517e-07
13.950992871239229,4.5399614247658102e-07,3.334413034255878e-07
14.058602704247006,4.5498306793373023e-07,3.3852864957580916e-07
14.167042576827361,4.5597808799235339e-07,3.436945077273749e-07
14.276318891422097,4.5698127600576234e-07,3.4894009339548346e-07
14.386438099857708,4.5799270609145447e-07,3.542666409214513e-07
14.497406703726323,4.5901245314027362e-07,3.5967540376425512e-07
14.609231254769567,4.6004059282569223e-07,3.6516765479658885e-07
14.721918355265384,4.6107720161321888e-07,3.7074468660550569e-07
14.835474658417835,4.6212235676993038e-07,3.7640781179771352e-07
14.949906868749949,4.6317613637413144e-07,3.8215836330960316e-07
15.065221742499512,4.6423861932514424e-07,3.8799769472207132e-07
15.181426088018004,4.653098853532285e-07,3.9392718058022352e-07
15.298526766172564,4.663900150296356e-07,3.9994821671802709e-07
15.41653069075106,4.6747908977679701e-07,4.0606222058798981e-07
15.535444828870293,4.6857719187864915e-07,4.1227063159594658e-07
15.655276201387343,4.6968440449109879e-07,4.1857491144102845e-07
15.776031883314108,4.7080081165262754e-07,4.2497654446089921e-07
15.897719004234986,4.7192649829504065e-07,4.3147703798233375e-07
16.020344748727847,4.7306155025436033e-07,4.3807792267722999e-07
16.143916356788203,4.7420605428186592e-07,4.4478075292413202e-07
16.268441124256686,4.7536009805528402e-07,4.515871071753522e-07
16.393926403249772,4.7652377019012893e-07,4.584985883297775e-07
16.520379602593913,4.7769716025119828e-07,4.6551682411145256e-07
16.647808188262907,4.7888035876422255e-07,4.7264346745401994e-07
16.776219683818731,4.8007345722767476e-07,4.798801968911189e-07
16.905621670855741,4.8127654812473842e-07,4.8722871695282784e-07
17.036021789448295,4.8248972493544035e-07,4.9469075856824618e-07
17.16742773860182,4.8371308214894624e-07,5.0226807947430942e-07
17.299847276707421,4.849467152760266e-07,5.0996246463094106e-07
17.433288221999881,4.8619072086168948e-07,5.1777572664262238e-07
17.567758453019305,4.8744519649798722e-07,5.2570970618650411e-07
17.703265909076261,4.8871024083699948e-07,5.3376627244713569e-07
17.839818590720544,4.8998595360399012e-07,5.4194732355793646e-07
17.977424560213521,4.9127243561074815e-07,5.502547870494979e-07
18.116091942004143,4.9256978876910808e-07,5.5869062030482948e-07
18.255828923208654,4.9387811610465756e-07,5.6725681102165713e-07
18.396643754093912,4.9519752177063263e-07,5.7595537768187559e-07
18.538544748564551,4.9652811106200413e-07,5.8478837002827687e-07
18.681540284653806,4.9786999042975552e-07,5.9375786954865732e-07
18.825638805018194,4.9922326749536121e-07,6.0286598996742349e-07
18.970848817435943,5.0058805106546028e-07,6.1211487774480941e-07
19.117178895309372,5.0196445114673536e-07,6.2150671258382931e-07
19.264637678170992,5.0335257896099429e-07,6.3104370794507375e-07
19.413233872193643,5.0475254696046235e-07,6.4072811156948351e-07
19.562976250704523,5.0616446884328375e-07,6.5056220600922036e-07
19.713873654703157,5.0758845956923957e-07,6.605483091667526e-07
19.86593499338338,5.0902463537568094e-07,6.7068877484229563e-07
20.019169244659395,5.1047311379368608e-07,6.8098599328972829e-07
20.173585455695768,5.1193401366443758e-07,6.9144239178111451e-07
20.329192743441642,5.1340745515583042e-07,7.0206043517997297e-07
20.486000295168985,5.1489355977930924e-07,7.1284262652342096e-07
20.644017369015042,5.1639245040693927e-07,7.2379150761333588e-07
20.803253294528925,5.1790425128871596e-07,7.3490965961666787e-07
20.963717473222449,5.1942908807011454e-07,7.4619970367505257e-07
21.125419379125244,5.2096708780988643e-07,7.5766430152386654e-07
21.288368559344057,5.2251837899810004e-07,7.6930615612086046e-07
21.452574634626465,5.2408309157443801e-07,7.8112801228453742e-07
21.618047299928886,5.2566135694674705e-07,7.931326573424125e-07
21.784796324988989,5.272533080098485e-07,8.0532292178931196e-07
21.952831554902495,5.2885907916461242e-07,8.1770167995586808e-07
22.122162910704493,5.3047880633729808e-07,8.3027185068736615e-07
22.292800389955119,5.3211262699916696e-07,8.4303639803310154e-07
22.464754067329892,5.3376068018636976e-07,8.5599833194641873e-07
22.63803409521449,5.3542310652011376e-07,8.6916070899558311e-07
22.81265070430419,5.3710004822711291e-07,8.8252663308566909e-07
22.988614204207888,5.3879164916032748e-07,8.9609925619162271e-07
23.165934984056818,5.4049805481999215e-07,9.0988177910268087e-07
23.344623513117902,5.4221941237494642e-07,9.238774521783123e-07
23.524690341411887,5.4395587068425895e-07,9.3808957611587215e-07
23.706146100336245,5.4570758031916243e-07,9.5252150273014034e-07
23.88900150329285,5.4747469358529653e-07,9.6717663574493549e-07
24.073267346320517,5.4925736454526539e-07,9.8205843159698392e-07
24.258954508732408,5.5105574904151456e-07,9.9717040025224106e-07
24.446073953758411,5.5287000471953296e-07,1.0125161060348563e-06
24.63463672919233,5.5470029105138097e-07,1.0280991684689648e-06
24.824653968044249,5.565467693595563e-07,1.0439232631335319e-06
25.016136889197789,5.5840960284119564e-07,1.0599921225304226e-06
25.209096798072515,5.6028895659262133e-07,1.0763095369659202e-06
25.403545087291398,5.6218499763423772e-07,1.0928793554458933e-06
25.599493237353503,5.6409789493578126e-07,1.1097054865848345e-06
25.796952817311748,5.6602781944193073e-07,1.1267918995289618e-06
25.995935485455984,5.679749440982814e-07,1.1441426248936268e-06
26.196452990001337,5.6993944387769234e-07,1.1617617557152366e-06
26.398517169781808,5.7192149580700685e-07,1.1796534484179187e-06
26.602139954949259,5.7392127899415751e-07,1.1978219237951511e-06
26.807333367677835,5.7593897465565686e-07,1.216271468006606e-06
