current_profile_backbone,mass_MeV,datasets_three,observed_three_ee,observed_three_minimal,scale_three,projected_three_minimal,density_2015,density_2016,density_2021,dimuon_factor,archived_three_ee,parent_replay_relative_error,three_cls,three_max_score,datasets_four,density_2019,observed_four_ee,observed_four_minimal,scale_four,projected_four_minimal,max_score,cls,standalone_2019_replay_ratio,standalone_2019_ee,covariance_load_2019
True,119,2016+2021,3.3421232110242444e-06,3.3421232110242444e-06,0.33969449070362923,1.1353008420376587e-06,0,179331145.11552608,1030627124.2421679,1,3.3392976830380404e-06,0.00084614438555630223,0.10000000000025369,1.4848954221768906e-07,2016+2021+2019,52709906.240559407,2.7298294552942249e-06,2.7298294552942249e-06,0.28308278433868678,7.7276772297444984e-07,1.4426493710750776e-07,0.09999999999316575,0.81583290328614344,4.6003247051941653e-06,9.9999999999999995e-08
True,120,2016+2021,3.6211909936894365e-06,3.6211909936894365e-06,0.33900838678090461,1.2276141169961968e-06,0,170002759.75588045,1008026180.837055,1,3.6210627263916084e-06,3.5422556172060027e-05,0.099999999982289298,1.4832788264307339e-07,2016+2021+2019,52014391.287223689,2.8947597515479401e-06,2.8947597515479401e-06,0.28214478001422394,8.1674135329452313e-07,1.4389820712779056e-07,0.10000000184267011,0.78263566478985491,4.2748261731088676e-06,9.9999999999999995e-08
True,121,2016+2021,3.992507645226533e-06,3.992507645226533e-06,0.33835202736227088,1.3508730560217636e-06,0,161162617.73958611,985440224.16998494,1,3.9876946860771642e-06,0.0012069527705249605,0.099999999385036967,1.5491289162561372e-07,2016+2021+2019,51287614.986202024,3.1857123120370853e-06,3.1857123120370853e-06,0.28124419845261744,8.9596310569950477e-07,1.5783059614804529e-07,0.1000000000002524,0.77804986067931792,4.2164621157890248e-06,9.9999999999999995e-08
True,122,2016+2021,3.9224886843776676e-06,3.9224886843776676e-06,0.33771538756606029,1.32468478626809e-06,0,152787288.92293963,963312661.48753405,1,3.923120893574014e-06,-0.00016114955758361749,0.099999999595107456,1.4621202470976868e-07,2016+2021+2019,50608121.249044336,3.128798670935667e-06,3.128798670935667e-06,0.28032753232279006,8.7708841055822079e-07,1.4170211093400553e-07,0.10000000000426457,0.77809483522509237,4.2182847327506338e-06,9.9999999999999995e-08
True,123,2016+2021,3.9295121345270963e-06,3.9295121345270963e-06,0.33708166547199009,1.3245664947987885e-06,0,144730605.34559986,941612336.13428807,1,3.9267122780214849e-06,0.00071302817914187244,0.099999999697050534,1.5154475341283558e-07,2016+2021+2019,49931872.720486805,3.1829330147739295e-06,3.1829330147739295e-06,0.27941511117793399,8.893595821949741e-07,1.4691681848866267e-07,0.10000000000175861,0.80276051486676581,4.4933089334387367e-06,9.9999999999999995e-08
True,124,2016+2021,3.6785107099943157e-06,3.6785107099943157e-06,0.33647536001432171,1.2377282154618756e-06,0,137112311.82620385,920037116.66870344,1,3.677936563085066e-06,0.00015610571291868602,0.099999999992290367,1.498129844623719e-07,2016+2021+2019,49198731.424607545,3.0516812871329523e-06,3.0516812871329523e-06,0.27856490602157286,8.5009131095798341e-07,1.4539648685030215e-07,0.10000000027970371,0.84510316668554275,4.9552228940949607e-06,9.9999999999999995e-08
True,125,2016+2021,3.4501346091817757e-06,3.4501346091817757e-06,0.33589349748418179,1.1588777806692872e-06,0,129885888.30832367,898531012.94332087,1,3.4558853666899929e-06,-0.0016640475299460888,0.10000000000005101,1.4159866301710622e-07,2016+2021+2019,48470948.623069875,2.9567363542904459e-06,2.9567363542904459e-06,0.27771983447283377,8.2114433089335256e-07,1.375826874649988e-07,0.10000000225299246,0.8918873129815561,5.5959840207720065e-06,9.9999999999999995e-08
True,126,2016+2021,3.3719239002257255e-06,3.3719239002257255e-06,0.33532574407820021,1.1306928908182583e-06,0,123046125.7311347,877660484.04004693,1,3.3733236832248373e-06,-0.00041495662158741453,0.10000000000040037,1.5076825454762854e-07,2016+2021+2019,47770577.230111629,2.9723303953954066e-06,2.9723303953954066e-06,0.27687815630886292,8.2297335981787376e-07,1.4190424568738536e-07,0.10000000297290124,0.93347942173922183,6.2675243270950163e-06,9.9999999999999995e-08
True,127,2016+2021,3.0193026847957562e-06,3.0193026847957562e-06,0.33476902280915799,1.0107690093541424e-06,0,116515661.42976207,857126402.64378405,1,3.0191746372759202e-06,4.2411432003675031e-05,0.099999999997901573,1.4632112854684465e-07,2016+2021+2019,47087566.501698829,2.7130517033605126e-06,2.7130517033605126e-06,0.27603178749300589,7.4888851123954672e-07,1.403383722564655e-07,0.099999999790711169,0.95708989487555174,6.7521490959903171e-06,9.9999999999999995e-08
True,128,2016+2021,2.9142180409683134e-06,2.9142180409683134e-06,0.33423357913027052,9.7402952619884466e-07,0,110341516.93502316,836870911.28478515,1,2.9138493950749341e-06,0.0001265150813911653,0.099999999959532612,1.4396729386412233e-07,2016+2021+2019,46336371.737763099,2.6602705586151893e-06,2.6602705586151893e-06,0.27526357176866345,7.3227557583543461e-07,1.4013804916501726e-07,0.099999999108625504,0.97351296941125653,7.186386296649104e-06,9.9999999999999995e-08
True,129,2016+2021,2.9841107991784104e-06,2.9841107991784104e-06,0.33371901334341475,9.9585451160924805e-07,0,104476552.7610954,816661383.882061,1,2.9843553100196118e-06,-8.1930874779034824e-05,0.099999999986929183,1.4246090240810361e-07,2016+2021+2019,45624077.484397076,2.7313284396886581e-06,2.7313284396886581e-06,0.274465184656429,7.4965456455650364e-07,1.3863788450585446e-07,0.099999999686889066,0.97630108558938955,7.3146671822164341e-06,9.9999999999999995e-08
True,130,2016+2021,2.814132281655036e-06,2.814132281655036e-06,0.33321828819524751,9.3772034164807722e-07,0,98901422.651386708,796778619.46469724,1,2.8146456728469141e-06,-0.00018239993645763342,0.099999999207110765,1.4785433899433542e-07,2016+2021+2019,44915283.755673394,2.5395136627316537e-06,2.5395136627316537e-06,0.27367645390606626,6.9500509386240497e-07,1.4381305168953418e-07,0.10000000466913583,0.96255721434569275,6.9304187855362841e-06,9.9999999999999995e-08
True,131,2016+2021,2.437133823696784e-06,2.437133823696784e-06,0.33272919523688177,8.1090557584321541e-07,0,93651566.275890812,777717056.78161037,1,2.436801282789529e-06,0.00013646615733642342,0.10000000000028623,1.4177211671295709e-07,2016+2021+2019,44183929.507182389,2.193164910243937e-06,2.193164910243937e-06,0.2729477799362397,5.9861949328514502e-07,1.3788988151297588e-07,0.10000000000020773,0.95380961684224208,6.7758954046589692e-06,9.9999999999999995e-08
True,132,2016+2021,2.1995676207526357e-06,2.1995676207526357e-06,0.33226188984363103,7.3083249451012981e-07,0,88682834.668356121,758729637.44514835,1,2.1989981341495469e-06,0.00025897548262765469,0.099999999999644748,1.4675181714274288e-07,2016+2021+2019,43434567.987489901,1.9463753373547733e-06,1.9463753373547733e-06,0.27224475774884455,5.2989048220647581e-07,1.4267907011422665e-07,0.10000000136068959,0.92887874197141063,6.3081422683060315e-06,9.9999999999999995e-08
True,133,2016+2021,2.0433402295162244e-06,2.0433402295162244e-06,0.3318063644619117,6.7799329291454658e-07,0,83962435.832517311,740120080.29325974,1,2.0422131218848311e-06,0.00055190499919666181,0.099999995135010664,1.4387801305915104e-07,2016+2021+2019,42692505.959170572,1.7738379207322805e-06,1.7738379207322805e-06,0.27155181225899899,4.8168890202858541e-07,1.7244317684905752e-07,0.09999999879325408,0.89713219670830868,5.8126230137842445e-06,9.9999999999999995e-08
True,134,2016+2021,1.8578464528668997e-06,1.8578464528668997e-06,0.33136960454629888,6.1563384439424866e-07,0,79501335.139411792,721731213.31488729,1,1.8573054039235512e-06,0.00029130854958236974,0.099999999330079151,1.450790417800718e-07,2016+2021+2019,41970556.227674834,1.6173017808121899e-06,1.6173017808121899e-06,0.27085257903052357,4.3805035840364017e-07,1.3877867244271869e-07,0.10000000013286055,0.89219984974578592,5.7579645887136689e-06,9.9999999999999995e-08
True,135,2016+2021,1.6567952880992113e-06,1.6567952880992113e-06,0.33094915280497772,5.48314996967713e-07,0,75305196.174746469,703839749.13368249,1,1.655663925481393e-06,0.00068332866374998247,0.10000000040902275,1.5880143910962374e-07,2016+2021+2019,41229913.286022849,1.4535360781766783e-06,1.4535360781766783e-06,0.27020096378286795,3.9274684921650858e-07,1.379202831941484e-07,0.099999999674674961,0.89038945825056326,5.7781115025692479e-06,9.9999999999999995e-08
True,136,2016+2021,1.5914860245958202e-06,1.5914860245958202e-06,0.33054253777938525,5.2605382941032758e-07,0,71346997.506362766,686424779.2721926,1,1.5907734015812739e-06,0.00044797267407026276,0.10000000425605131,1.4676550241787822e-07,2016+2021+2019,40576278.254527725,1.4242272305329897e-06,1.4242272305329897e-06,0.26948439677438946,3.8380701608984205e-07,1.4266407410978843e-07,0.099999999985172644,0.91738844697788391,6.1929217921051201e-06,9.9999999999999995e-08
True,137,2016+2021,1.5679302388054492e-06,1.5679302388054492e-06,0.33014732429884008,5.1764797302886041e-07,0,67566701.312240809,669116428.58808208,1,1.5675814915111881e-06,0.00022247474606551521,0.10000000789023031,1.4012753468684025e-07,2016+2021+2019,39847041.258003175,1.4553130770369852e-06,1.4553130770369852e-06,0.26884847949123497,3.91258707945104e-07,1.9418512864355364e-07,0.099999999992901739,0.96457713489339747,7.2088852948664316e-06,9.9999999999999995e-08
True,138,2016+2021,1.5913804481391283e-06,1.5913804481391283e-06,0.32976402873303706,5.2478002782534489e-07,0,63994955.082066268,652262296.79822278,1,1.590509772269745e-06,0.00054741937746216607,0.10000000713660727,1.4460471708943601e-07,2016+2021+2019,39161647.070095122,1.5662527665589442e-06,1.5662527665589442e-06,0.2681894775508083,4.2005251117595136e-07,1.406894616362564e-07,0.10000000331455666,1.0000146243916961,9.3125387244532986e-06,9.9999999999999995e-08
True,139,2016+2021,1.6531708960272503e-06,1.6531708960272503e-06,0.32939691175045699,5.4454938774711211e-07,0,60635664.967507623,635785521.24486268,1,1.6527034788838416e-06,0.00028281972500265873,0.10000000242096477,1.4387431246376536e-07,2016+2021+2019,38487179.377352104,1.7384542679943951e-06,1.7384542679943951e-06,0.2675410320954611,4.6510784910997976e-07,1.4009506354994983e-07,0.1000000000222933,1.0000047834271495,1.2299540420877406e-05,9.9999999999999995e-08
True,140,2016+2021,1.7776183681765304e-06,1.7776183681765304e-06,0.32904024251724184,5.8490797896790925e-07,0,57466465.951726526,619834689.86792099,1,1.7771560546176197e-06,0.00026014235368321259,0.10000000009811953,1.4331878950279986e-07,2016+2021+2019,37816771.190161243,2.0402871428357093e-06,2.0402871428357093e-06,0.26691701500946746,5.4458735392790248e-07,1.3975678858635376e-07,0.10000000000587483,1.0000015248042555,1.6847585158430012e-05,9.9999999999999995e-08
True,141,2016+2021,1.661546457885427e-06,1.661546457885427e-06,0.32869022637734424,5.461340813788355e-07,0,54436959.963065363,604132627.27865243,1,1.6612964611061975e-06,0.00015048294213726443,0.10000000319713215,1.4132850179038314e-07,2016+2021+2019,37136659.513458639,2.0467994355254918e-06,2.0467994355254918e-06,0.26631221287617335,5.4508768698849623e-07,1.3793817021934274e-07,0.10000000000280392,0.99999899144974114,2.1143356936466072e-05,9.9999999999999995e-08
True,142,2016+2021,1.8143765311977244e-06,1.8143765311977244e-06,0.32835668892020092,5.957626702386044e-07,0,51595375.114411771,588792286.69093752,1,1.8114389201516313e-06,0.0016217003032303889,0.10000000009042018,1.4660029323820822e-07,2016+2021+2019,36471984.117842652,2.3976671783401473e-06,2.3976671783401473e-06,0.26571395609581633,6.3709363135785372e-07,1.4332017816975906e-07,0.10000000000012477,1.0000002812087085,2.4724702831844501e-05,9.9999999999999995e-08
True,143,2016+2021,1.9593721420322569e-06,1.9593721420322569e-06,0.32803554817995678,6.4274371470008752e-07,0,48905520.180874035,573696429.08264983,1,1.9675870890540734e-06,-0.0041751376940402096,0.1000000000000352,1.8878446517156533e-07,2016+2021+2019,35781318.834264778,2.6966959548301515e-06,2.6966959548301515e-06,0.26516039107428901,7.1505695399121623e-07,1.8878446406134231e-07,0.10000000000001481,1.0000000246386871,2.6987001051521017e-05,9.9999999999999995e-08
True,144,2016+2021,2.1705133411341673e-06,2.1705133411341673e-06,0.3277257223590897,7.113330526132363e-07,0,46376415.528010361,559083772.41707778,1,2.1732755352301019e-06,-0.001270982004424992,0.10000000007373792,1.4468770226372385e-07,2016+2021+2019,35118367.282074422,3.0241698913767119e-06,3.0241698913767119e-06,0.26460507938150452,8.0021071417089079e-07,1.6072694686286582e-07,0.099999998688532432,1.0000009023630732,2.7771180536288988e-05,9.9999999999999995e-08
