dataset,mass_MeV,rebin_factor,bin_width_MeV,observed_r,stress_r,max_score,baseline_replay_error,status
2016,126,10,0.50000000000000044,0.55026654060375657,0.21511302743181787,9.7591388525941625e-08,0,exact_fit
2016,127,10,0.50000000000000044,-0.62959163774841065,-0.46041411288451212,7.4129080651630375e-10,0,exact_fit
2016,128,10,0.50000000000000044,-0.75938466411686556,-1.0585758337204703,3.2003075176034734e-08,0,exact_fit
2016,129,10,0.50000000000000044,-0.73844005781448796,-1.1300539936051768,5.0605283581639515e-08,0,exact_fit
2016,130,10,0.50000000000000044,-0.65271008988600598,-0.9263146277689488,2.0306250979318374e-08,0,exact_fit
2016,131,10,0.50000000000000044,-0.73417104891852114,-1.3221009061272659,1.7505650362625857e-07,0,exact_fit
2016,132,10,0.50000000000000044,-0.73939220264588346,-1.3955636117226358,8.681109298080969e-08,0,exact_fit
2016,133,10,0.50000000000000044,-0.73930270463256442,-1.5649628228669903,1.5099785022343326e-07,0,exact_fit
2016,134,10,0.50000000000000044,-0.79199815213025038,-1.5545088276036199,1.6476224407036e-07,0,exact_fit
2016,135,10,0.50000000000000044,-0.95590619783346142,-1.4669073195824676,1.7781490524448884e-07,0,exact_fit
2016,136,10,0.50000000000000044,-1.1983182677951358,-1.3621596052735956,1.1785657449969733e-07,0,exact_fit
2016,137,10,0.50000000000000044,-1.2422625231381248,-1.3705727770987621,1.3459262215853585e-07,0,exact_fit
2016,138,10,0.50000000000000044,-1.7640199441303268,-1.0166240503176567,9.8192060649093804e-08,0,exact_fit
2016,139,10,0.50000000000000044,-1.6841308095611474,-1.1455420440258579,1.9110299803726249e-07,0,exact_fit
2016,140,10,0.50000000000000044,-1.4521976302734256,-1.2655672442849042,1.8538240068033396e-07,0,exact_fit
2016,141,10,0.50000000000000044,-2.3295510077256751,-0.38140262967043936,1.5479270781826315e-09,0,exact_fit
2016,142,10,0.50000000000000044,-2.3250235958227004,-0.37949779286081431,1.6043425199452344e-09,0,exact_fit
2016,143,10,0.50000000000000044,-2.3028282915431859,-0.3173068456198882,1.3895995398804928e-07,0,exact_fit
2016,144,10,0.50000000000000044,-1.1238053054445825,-0.81317590087822744,1.6774415023679268e-07,0,exact_fit
2016,145,10,0.50000000000000044,-2.221961932501257,-0.2354910056114134,2.9938448248278959e-10,0,exact_fit
2016,146,10,0.50000000000000044,-2.0739746245335922,-0.19579226503324423,1.4498917344507589e-10,0,exact_fit
2016,147,10,0.50000000000000044,-1.9779184745260612,-0.13330259676993805,2.9595518744041094e-11,0,exact_fit
2016,148,10,0.50000000000000044,-1.6156974313899395,-0.15906026466512124,6.8852108042749549e-11,0,exact_fit
2016,149,10,0.50000000000000044,-0.28182636420011303,-0.22567367430092147,4.1131927752680042e-08,0,exact_fit
2016,150,10,0.50000000000000044,-0.090702508661456946,-0.096730036625109012,6.9935298663281742e-09,0,exact_fit
2016,151,10,0.50000000000000044,0.27599622828027015,0.3148839110768557,3.6862618513211487e-10,0,exact_fit
2016,152,10,0.50000000000000044,0.54098703685441674,0.53371569292033649,4.0717237706489051e-08,0,exact_fit
2016,153,10,0.50000000000000044,0.76285982060404478,0.56265159579200152,1.8342136830218347e-07,0,exact_fit
2016,154,10,0.50000000000000044,0.84988395524054661,0.49896560028788012,7.0192630818866064e-08,0,exact_fit
2016,155,10,0.50000000000000044,1.0200377129543019,0.60140441295011782,1.2365395374303034e-07,0,exact_fit
2016,156,10,0.50000000000000044,1.3438499641229069,0.69143809560816483,6.139770486468521e-08,0,exact_fit
2016,157,10,0.50000000000000044,1.4568581762234507,0.94425385405762963,9.6311101871471294e-08,0,exact_fit
2016,158,10,0.50000000000000044,1.6569064892356822,0.98005399311130792,1.2966621076859752e-07,0,exact_fit
2016,159,10,0.50000000000000044,1.7277736003410706,1.0760687620897711,1.1546319456101628e-14,0,exact_fit
2016,160,10,0.50000000000000044,1.9299330054915973,1.0133318704075054,1.1102230246251565e-13,0,exact_fit
2016,161,10,0.50000000000000044,1.9146155700900465,1.0846004755354755,2.1510571102112408e-14,0,exact_fit
2016,162,10,0.50000000000000044,2.018134349058168,1.0382854459875499,4.8405723873656825e-14,0,exact_fit
2016,163,10,0.50000000000000044,1.8242320767247393,1.1426275396510532,2.3314683517128287e-14,0,exact_fit
2016,164,10,0.50000000000000044,1.4612525673537291,1.1175472466965588,1.9079872592975278e-07,0,exact_fit
2016,165,10,0.50000000000000044,1.241643620385531,1.0762519923088594,1.524054988044643e-07,0,exact_fit
2016,166,10,0.50000000000000044,1.0288232023619384,0.95165346079927771,1.8204695706458551e-07,0,exact_fit
2016,167,10,0.50000000000000044,1.0040313616306402,1.0278261967277593,1.9191685352026866e-07,0,exact_fit
2016,168,10,0.50000000000000044,0.99476543566311881,1.0179976934494426,4.5963233219481481e-14,0,exact_fit
2016,169,10,0.50000000000000044,0.76041997463110267,0.96216234450592841,4.0856207306205761e-14,0,exact_fit
2016,170,10,0.50000000000000044,0.022487637864155485,0.59092070724117396,7.5411310529460707e-10,0,exact_fit
2016,171,10,0.50000000000000044,-0.32324176434161256,0.36752522545232919,1.9282190377722941e-07,0,exact_fit
2016,172,10,0.50000000000000044,-0.73388603800963759,0.10215005016673744,1.1345951893282358e-07,0,exact_fit
2016,173,10,0.50000000000000044,-1.0488403835580313,-0.15277080573796659,3.0053398658580477e-10,0,exact_fit
2016,174,10,0.50000000000000044,-1.2542446581680868,-0.26368219416042338,7.8435247186092738e-10,0,exact_fit
2016,175,10,0.50000000000000044,-1.1591080482858469,-0.20521313330693422,8.1672204554905647e-09,0,exact_fit
2016,176,10,0.50000000000000044,-1.424574235331306,-0.46413520095357924,1.9444813614821754e-07,0,exact_fit
2016,177,10,0.50000000000000044,-1.381463090595074,-0.32690545689326106,2.272312968343293e-08,0,exact_fit
2016,178,10,0.50000000000000044,-1.4162219755267988,-0.6350234070697296,1.7970818100288e-07,0,exact_fit
2016,179,10,0.50000000000000044,-1.3459345105025262,-0.58358573991995022,3.4340523091813679e-08,0,exact_fit
2016,180,10,0.50000000000000044,-1.279321257784982,-0.7813106124454654,7.6378923352660166e-08,0,exact_fit
2016,39,20,1.0000000000000009,-1.0289697835557696,7.0097700137785264,1.927543031854384e-07,0,exact_fit
2016,40,20,1.0000000000000009,-0.73090320961469857,-0.069967248215867917,7.4922318904491192e-09,0,exact_fit
2016,41,20,1.0000000000000009,-0.72376882574864021,-6.5280300841039551,1.5808725017940617e-07,0,exact_fit
2016,42,20,1.0000000000000009,-0.11183133515418286,-9.0234238621936029,2.6271501640806605e-08,0,exact_fit
2016,43,20,1.0000000000000009,0.40985606942893787,-8.4233664413230702,2.1201773670043167e-08,0,exact_fit
2016,44,20,1.0000000000000009,0.5784764625161074,-5.7456204912721986,3.3888508443880028e-08,0,exact_fit
2016,45,20,1.0000000000000009,1.6295427995437148,-2.843072118962596,3.5784882224110248e-08,0,exact_fit
2016,46,20,1.0000000000000009,0.46970526415646974,2.337673215390311,6.5789869996280004e-08,0,exact_fit
2016,47,20,1.0000000000000009,0.16620083383892972,5.419956626581989,3.7008363040769154e-10,0,exact_fit
2016,48,20,1.0000000000000009,-0.31768227496024426,7.2466058780760774,2.0279640189357906e-09,0,exact_fit
2016,49,20,1.0000000000000009,-0.61152814688643375,7.652523929183821,1.1649903264299155e-11,0,exact_fit
2016,50,20,1.0000000000000009,-0.73591521977079977,6.4915965432764935,3.1527058741431802e-11,0,exact_fit
2016,51,20,1.0000000000000009,-0.50595457553635792,4.2468744050130445,3.8220954179379873e-11,0,exact_fit
2016,52,20,1.0000000000000009,0.11254286745299674,1.3758235251079085,1.1010328604399433e-07,0,exact_fit
2016,53,20,1.0000000000000009,0.54329647555705796,-1.4007363698864363,2.4602319959043939e-08,0,exact_fit
2016,54,20,1.0000000000000009,0.86556351567220202,-4.0721845922798821,3.5940236897680222e-10,0,exact_fit
2016,55,20,1.0000000000000009,0.5493986725045179,-6.3340159200207147,3.0905861203578411e-11,0,exact_fit
2016,56,20,1.0000000000000009,0.56376161862504515,-6.8650016979088289,3.5905595163754356e-10,0,exact_fit
