mass_MeV,mass_GeV,dataset_set,includes_2016,sigma_mass_res_min_GeV,v4_k8_eps2_obs_ee,v4p1_k12_eps2_obs_ee,v4_k8_p0_local_asymptotic,v4p1_k12_p0_local_asymptotic,v4_k8_Z_local_asymptotic,v4p1_k12_Z_local_asymptotic,minimal_visible_factor,v4_k8_eps2_obs_minimal_visible,v4p1_k12_eps2_obs_minimal_visible,observed_limit_ratio_k12_over_k8,observed_limit_fractional_change,delta_Z_k12_minus_k8,p0_ratio_k12_over_k8
29,0.029,2015,False,0.0014511251288901,8.39795864481337e-06,8.39795864481337e-06,0.2958487354012595,0.2958487354012595,0.5363778004489851,0.5363778004489851,1.0,8.39795864481337e-06,8.39795864481337e-06,1.0,0.0,0.0,1.0
30,0.03,2015,False,0.0015043442127557,1.023124658847981e-05,1.023124658847981e-05,0.1291357096850267,0.1291357096850267,1.1304861780495934,1.1304861780495934,1.0,1.023124658847981e-05,1.023124658847981e-05,1.0,0.0,0.0,1.0
31,0.031,2015,False,0.0015575632966214,8.58777369557878e-06,8.58777369557878e-06,0.2476290026147326,0.2476290026147326,0.6819698664427923,0.6819698664427923,1.0,8.58777369557878e-06,8.58777369557878e-06,1.0,0.0,0.0,1.0
32,0.032,2015,False,0.0016107823804872,6.499028153551335e-06,6.499028153551335e-06,0.5,0.5,0.0,0.0,1.0,6.499028153551335e-06,6.499028153551335e-06,1.0,0.0,0.0,1.0
33,0.033,2015,False,0.0016640014643529,5.039214999647856e-06,5.039214999647856e-06,0.5,0.5,0.0,0.0,1.0,5.039214999647856e-06,5.039214999647856e-06,1.0,0.0,0.0,1.0
34,0.034,2015,False,0.0017172205482186,4.503084940491807e-06,4.503084940491807e-06,0.5,0.5,0.0,0.0,1.0,4.503084940491807e-06,4.503084940491807e-06,1.0,0.0,0.0,1.0
35,0.035,2015,False,0.0017704396320843,4.3090932589142466e-06,4.3090932589142466e-06,0.5,0.5,0.0,0.0,1.0,4.3090932589142466e-06,4.3090932589142466e-06,1.0,0.0,0.0,1.0
36,0.036,2015,False,0.0018236587159499,5.397785863597617e-06,5.397785863597617e-06,0.5,0.5,0.0,0.0,1.0,5.397785863597617e-06,5.397785863597617e-06,1.0,0.0,0.0,1.0
37,0.037,2015,False,0.0018768777998156,7.58231184821308e-06,7.58231184821308e-06,0.3755955047231654,0.3755955047231654,0.3170693125655567,0.3170693125655567,1.0,7.58231184821308e-06,7.58231184821308e-06,1.0,0.0,0.0,1.0
38,0.038,2015,False,0.0019300968836813,1.2192184480002685e-05,1.2192184480002685e-05,0.0542722481465808,0.0542722481465808,1.604769700720564,1.604769700720564,1.0,1.2192184480002685e-05,1.2192184480002685e-05,1.0,0.0,0.0,1.0
39,0.039,2015+2016,True,0.00174965098049,1.1566255887954842e-05,1.1292680637828364e-05,0.0500434529359424,0.05324037587177,1.6444324545281783,1.6142152202546562,1.0,1.1566255887954842e-05,1.1292680637828364e-05,0.9763471210755954,-0.023652878924404597,-0.030217234273522076,1.0638829406899597
40,0.04,2015+2016,True,0.0017829184,1.1025471545125462e-05,9.720089270044488e-06,0.0581302683022414,0.1064872468401789,1.5706647696053853,1.2454279253797362,1.0,1.1025471545125462e-05,9.720089270044488e-06,0.8816030434854186,-0.11839695651458138,-0.325236844225649,1.8318726190374894
41,0.041,2015+2016,True,0.00181627008529,8.503483932935989e-06,6.551489453256481e-06,0.1948798317979118,0.4129605983960268,0.8600532975980734,0.2199357456962256,1.0,8.503483932935989e-06,6.551489453256481e-06,0.7704476782605568,-0.22955232173944318,-0.6401175519018478,2.1190525186016287
42,0.042,2015+2016,True,0.00184971617744,6.234714327378149e-06,5.077011556766866e-06,0.473352436277867,0.5,0.0668452840364191,0.0,1.0,6.234714327378149e-06,5.077011556766866e-06,0.814313421622619,-0.185686578377381,-0.0668452840364191,1.0562953978470502
43,0.043,2015+2016,True,0.00188326655089,4.736412365201531e-06,4.259276683787285e-06,0.4999311292015692,0.5,0.0001726334915006,0.0,1.0,4.736412365201531e-06,4.259276683787285e-06,0.8992622169218697,-0.1007377830781303,-0.0001726334915006,1.0001377605722228
44,0.044,2015+2016,True,0.00191693081344,4.197601677564138e-06,4.011680653529865e-06,0.5,0.5,0.0,0.0,1.0,4.197601677564138e-06,4.011680653529865e-06,0.9557077973767719,-0.04429220262322808,0.0,1.0
45,0.045,2015+2016,True,0.00195071830625,3.982806437388696e-06,4.720621510068636e-06,0.5,0.4999026019832914,0.0,0.000244140625,1.0,3.982806437388696e-06,4.720621510068636e-06,1.1852500452328494,0.18525004523284938,0.000244140625,0.9998052039665828
46,0.046,2015+2016,True,0.00198463810384,3.9966190406024924e-06,4.215577280403488e-06,0.5,0.5,0.0,0.0,1.0,3.9966190406024924e-06,4.215577280403488e-06,1.0547858671483454,0.054785867148345435,0.0,1.0
47,0.047,2015+2016,True,0.00201869901409,4.376912418118959e-06,4.97894846758083e-06,0.5,0.5,0.0,0.0,1.0,4.376912418118959e-06,4.97894846758083e-06,1.1375481142756345,0.13754811427563451,0.0,1.0
48,0.048,2015+2016,True,0.00205290957824,4.945492254080357e-06,5.915153602933956e-06,0.5,0.3469001606019314,0.0,0.3937030067860006,1.0,4.945492254080357e-06,5.915153602933956e-06,1.1960697336152057,0.19606973361520574,0.3937030067860006,0.6938003212038628
49,0.049,2015+2016,True,0.00208727807089,5.7808992147260935e-06,6.509851303404665e-06,0.4291231432967415,0.2415644392892493,0.1786070141076039,0.7012790608631767,1.0,5.7808992147260935e-06,6.509851303404665e-06,1.1260966610214653,0.12609666102146533,0.5226720467555728,0.5629256847659831
50,0.05,2015+2016+2021,True,0.0019941875,9.0431797336707e-06,8.808475984655486e-06,0.0407104535664646,0.0300157633663908,1.74250048233748,1.8805619873210484,1.0,9.0431797336707e-06,8.808475984655486e-06,0.9740463248627763,-0.025953675137223686,0.1380615049835685,0.7372986723762863
51,0.051,2015+2016+2021,True,0.002001485875,1.0909552861461728e-05,9.79987199337942e-06,0.0053212186620698,0.0086216185747851,2.554225284864187,2.3814797848747125,1.0,1.0909552861461728e-05,9.79987199337942e-06,0.8982835610062183,-0.10171643899378169,-0.17274549998947464,1.620233845348415
52,0.052,2015+2016+2021,True,0.002008956,9.455463330046686e-06,8.16887898700869e-06,0.0140551765312253,0.0311571419772408,2.195742866985762,1.864052842683549,1.0,9.455463330046686e-06,8.16887898700869e-06,0.8639321735879818,-0.1360678264120182,-0.33169002430221295,2.2167734363222964
53,0.053,2015+2016+2021,True,0.002016597875,8.094972058789077e-06,6.409133080032729e-06,0.0350744058546535,0.1049034973116522,1.8109485793741629,1.2540963287315596,1.0,8.094972058789077e-06,6.409133080032729e-06,0.791742458588729,-0.20825754141127095,-0.5568522506426032,2.9908845140917513
54,0.054,2015+2016+2021,True,0.0020244115,6.096750549075007e-06,4.533445048288226e-06,0.1471647288791266,0.3428113610235296,1.048671234728602,0.4048024577641039,1.0,6.096750549075007e-06,4.533445048288226e-06,0.7435838176085515,-0.2564161823914485,-0.6438687769644982,2.329439694106982
55,0.055,2015+2016+2021,True,0.002032396875,3.970997004712659e-06,3.0339045073039063e-06,0.4998622584051908,0.4998622584051908,0.0003452669830012,0.0003452669830012,1.0,3.970997004712659e-06,3.0339045073039063e-06,0.7640158135862002,-0.2359841864137998,0.0,1.0
56,0.056,2015+2016+2021,True,0.002040554,2.893672799823447e-06,2.5575514240834826e-06,0.5,0.5,0.0,0.0,1.0,2.893672799823447e-06,2.5575514240834826e-06,0.8838426460101252,-0.11615735398987481,0.0,1.0
57,0.057,2015+2016+2021,True,0.002048882875,2.3808632793878816e-06,2.152429009189448e-06,0.5,0.5,0.0,0.0,1.0,2.3808632793878816e-06,2.152429009189448e-06,0.9040540159629981,-0.09594598403700194,0.0,1.0
58,0.058,2015+2016+2021,True,0.0020573835,2.192844365494002e-06,2.04884077574132e-06,0.5,0.5,0.0,0.0,1.0,2.192844365494002e-06,2.04884077574132e-06,0.9343302278909149,-0.06566977210908509,0.0,1.0
59,0.059,2015+2016+2021,True,0.002066055875,2.0789715585293425e-06,1.997579847592649e-06,0.5,0.5,0.0,0.0,1.0,2.0789715585293425e-06,1.997579847592649e-06,0.9608500123040309,-0.03914998769596911,0.0,1.0
60,0.06,2015+2016+2021,True,0.0020749,2.089923852837896e-06,2.061670565277622e-06,0.5,0.5,0.0,0.0,1.0,2.089923852837896e-06,2.061670565277622e-06,0.9864811880481155,-0.013518811951884535,0.0,1.0
61,0.061,2015+2016+2021,True,0.002083915875,2.270807681383731e-06,2.328319699922855e-06,0.5,0.5,0.0,0.0,1.0,2.270807681383731e-06,2.328319699922855e-06,1.0253266795821645,0.025326679582164502,0.0,1.0
62,0.062,2015+2016+2021,True,0.0020931035,2.789349492460826e-06,3.0381449391717667e-06,0.5,0.4663616455466762,0.0,0.0844190129527987,1.0,2.789349492460826e-06,3.0381449391717667e-06,1.0891947916112326,0.08919479161123256,0.0844190129527987,0.9327232910933524
