upper_factor,mass_MeV,mass_GeV,A_up,A_up_ratio_to_k8,eps2_up,eps2_up_ratio_to_k8,A_eps2_ratio_difference,p0_analytic,Z_analytic,delta_Z_to_k8,lml,delta_lml_to_k8,ls_lo,ls_hi,ls_opt,sigma_x,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_opt_over_ls_hi,at_upper_boundary,n_train,blind_lo,blind_hi,sigma_val,row_source,row_source_sha256,row_source_kind,optimizer_repair_applied,review_status,branch_multiplicity,selected_repair_reproduced,repair_reproduction_pending,delta_lml_selected_minus_raw
8,103,0.1029999999999999,5497.990081076359,1.0,4.404230814591265e-06,1.0,0.0,0.5,0.0,0.0,2159.060205485923,0.0,0.0368243479697851,0.3273275375092019,0.3273275375092019,0.0409159421886502,0.9000000000000001,8.0,7.999999999999998,1.0,True,642,0.0933210693802974,0.1126789306197024,0.00430174694209,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,104,0.104,5588.290735398142,1.0,4.6520101005813715e-06,1.0,0.0,0.5,0.0,0.0,2163.0393627830417,0.0,0.0368761070513174,0.3277876182339341,0.3277876182339341,0.0409734522792417,0.9,8.0,8.0,1.0,True,642,0.0942130793753599,0.1137869206246399,0.00434974249984,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,a56e71628b94169ba0cb858d13f8e09a16131ff7ee7c63d0dd39a221afff32ff,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,105,0.105,5834.641930665188,1.0,5.049336318068842e-06,1.0,0.0,0.5,0.0,0.0,2155.3158113666545,0.0,0.0369284877491887,0.3282532244372333,0.3282532244372334,0.0410316530546541,0.9,8.0,8.000000000000002,1.0000000000000004,True,640,0.0951046489359374,0.1148953510640625,0.0043979338062499,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
8,106,0.106,6268.79308549236,1.0,5.642868327968746e-06,1.0,0.0,0.5,0.0,0.0,2158.501587678875,0.0,0.0369814158575828,0.3287236965118474,0.3287236965118474,0.0410904620639808,0.9,8.0,8.0,1.0,True,640,0.0959957936407599,0.11600420635924,0.00444631393744,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,107,0.107,6574.244126949755,1.0,6.157457866054535e-06,1.0,0.0,0.5,0.0,0.0,2161.7891377841825,0.0,0.0370348178045041,0.329198380484481,0.329198380484481,0.0411497975605601,0.9,8.0,8.0,1.0,True,640,0.0968865296684973,0.1171134703315025,0.00449487570289,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,108,0.108,7255.197907836162,1.0,7.074900106991727e-06,1.0,0.0,0.5,0.0,0.0,2156.4348107062674,0.0,0.0370886206234218,0.3296766277637495,0.3296766277637495,0.0412095784704685,0.9000000000000001,8.0,8.0,1.0,True,638,0.0977768737977599,0.11822312620224,0.00454361164544,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
8,109,0.109,8077.978471145608,1.0,8.2055455204162e-06,1.0,0.0,0.4418759075190594,0.1462148093409801,0.0,2156.598999544211,0.0,0.037142751926443,0.3301577949017158,0.3301577949017158,0.0412697243627144,0.8999999999999999,8.0,8.0,1.0,True,638,0.0986668434070974,0.1193331565929025,0.0045925140412899,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
8,110,0.11,10002.696132905285,1.0,1.0585632318132648e-05,1.0,0.0,0.2188510032812862,0.7760795684280616,0.0,2153.664562300146,0.0,0.0371971398788955,0.3306412433679604,0.3306412433679604,0.041330155420995,0.9000000000000001,8.0,8.0,1.0,True,636,0.0995564564749999,0.120443543525,0.0046415748999999,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
8,111,0.111,11326.937218152216,1.0,1.2495943510436024e-05,1.0,0.0,0.1154589915721435,1.1979975182435116,0.0,2153.4501855416784,0.0,0.0372517131752485,0.3311263393355439,0.3311263393355439,0.0413907924169429,0.8999999999999999,8.0,8.0,1.0,True,636,0.1004457315798975,0.1215542684201025,0.00469078596449,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
8,112,0.112,12533.46638219364,1.0,1.4422076777273738e-05,1.0,0.0,0.059271275861481,1.5609203221213117,0.0,2144.7357213658297,0.0,0.0373064010162698,0.3316124534779554,0.3316124534779553,0.0414515566847444,0.9,8.0,7.999999999999998,0.9999999999999997,True,634,0.1013346879001599,0.12266531209984,0.00474013871104,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
