lower_factor,upper_factor,mass_MeV,mass_GeV,A_up_upper_over_lower,eps2_up_upper_over_lower,A_eps2_ratio_difference,delta_Z_upper_minus_lower,delta_lml_upper_minus_lower,lower_at_upper_boundary,upper_at_upper_boundary
10,12,55,0.055,1.0001084863449663,1.0001084863449663,0.0,0.0002555512343630495,6.871537152619567e-07,False,False
10,12,56,0.056,0.9999689438836196,0.9999689438836196,0.0,-7.839900270356637e-05,4.459184310690034e-07,False,False
10,12,57,0.057,1.0000082592295514,1.0000082592295512,2.220446049250313e-16,0.0,8.597185114922468e-07,False,False
10,12,58,0.058,0.9999999998359795,0.9999999998359799,-3.3306690738754696e-16,0.0,4.042612999910489e-08,False,False
10,12,59,0.059,0.9999950783340892,0.9999950783340893,-1.1102230246251565e-16,0.0,5.928477548877709e-07,False,False
10,12,60,0.06,0.9999999763775274,0.9999999763775274,0.0,0.0,-1.3161625247448683e-06,False,False
10,12,61,0.061,1.0000399087000529,1.0000399087000524,4.440892098500626e-16,-0.000244140625,-4.1568455344531685e-09,False,False
10,12,62,0.062,1.0000101895932025,1.0000101895932025,0.0,0.0,-2.7001628950529266e-06,False,False
10,12,63,0.063,1.0000052001222144,1.0000052001222144,0.0,0.0,-3.5259472497273237e-07,False,False
10,12,64,0.064,1.000000000566108,1.0000000005661078,2.220446049250313e-16,0.0,-7.716507752775215e-07,False,False
10,12,65,0.065,1.0108875896048313,1.0108875896048315,-2.220446049250313e-16,0.03562321029301119,0.002769875274680089,True,False
10,12,66,0.066,1.0000137960531692,1.0000137960531692,0.0,4.96541346572954e-05,4.6588047553086653e-07,True,False
10,12,67,0.067,0.9999699025905314,0.9999699025905313,1.1102230246251565e-16,-0.00015591499977873902,-7.989733603608329e-07,False,False
10,12,68,0.068,0.9999999984312933,0.9999999984312931,2.220446049250313e-16,6.142630224914569e-06,1.138996594818309e-07,False,False
10,12,69,0.069,0.9999903024187483,0.9999903024187483,0.0,-2.502298730266972e-05,-1.1105807971034665e-06,False,False
10,12,70,0.07,0.9999587411897816,0.9999587411897817,-1.1102230246251565e-16,-9.146950884586502e-05,-1.3247804417915177e-06,False,False
10,12,71,0.071,1.000039687092298,1.000039687092298,0.0,7.908128883660215e-05,-1.206670276587829e-06,False,False
10,12,72,0.072,0.7784297955980488,0.7784297955980489,-1.1102230246251565e-16,0.0,0.1173457018821864,True,False
10,12,73,0.073,0.8119973327419444,0.8119973327419443,1.1102230246251565e-16,-0.000244140625,0.7509444509905734,True,False
10,12,74,0.074,0.9846700753332532,0.9846700753332531,1.1102230246251565e-16,0.0,0.006235306562302867,True,False
10,12,75,0.075,0.96835671206083,0.9683567120608298,1.1102230246251565e-16,0.0,0.031025696382130263,True,False
10,12,76,0.076,0.9549510382255267,0.9549510382255266,1.1102230246251565e-16,0.0,0.07047146334707577,True,False
10,12,77,0.077,0.8915922326842776,0.8915922326842775,1.1102230246251565e-16,0.0,0.48269103899610855,True,False
10,12,78,0.078,0.8960489320065962,0.8960489320065961,1.1102230246251565e-16,0.0,0.7329403908279346,True,False
10,12,79,0.079,0.9658116640676939,0.9658116640676937,2.220446049250313e-16,0.0,0.09552024641243406,True,False
10,12,80,0.08,0.9979995399495328,0.9979995399495326,2.220446049250313e-16,0.0,0.001276617384974088,True,False
10,12,81,0.081,1.0000000003206428,1.0000000003206428,0.0,0.0,-8.649340088595636e-07,False,False
10,12,82,0.082,0.9999999998217055,0.9999999998217055,0.0,0.0,-2.811084414133802e-07,False,False
10,12,83,0.083,1.0000080136477636,1.0000080136477636,0.0,2.592670734699598e-05,1.0393732736702077e-06,False,False
10,12,84,0.084,1.0000963660980924,1.0000963660980924,0.0,0.000244140625,-1.134538706537569e-06,False,False
10,12,85,0.085,1.475538884999994,1.4755388849999937,2.220446049250313e-16,1.2952661999635728,0.8041683247129185,True,False
10,12,86,0.086,1.4736629978702833,1.4736629978702833,0.0,1.3767249496165648,1.9007661285463655,True,False
10,12,87,0.087,1.3847841407403425,1.384784140740343,-4.440892098500626e-16,1.2654979628678114,1.8699148424625491,True,False
10,12,88,0.088,1.2814906918043225,1.2814906918043225,0.0,1.1069645270706918,1.6872476747389555,True,False
10,12,89,0.089,1.1838929299187682,1.1838929299187684,-2.220446049250313e-16,0.8921660627725245,0.760223177482203,True,False
10,12,90,0.09,1.1200120337351367,1.120012033735137,-2.220446049250313e-16,0.699057258003239,0.6871696335397246,True,False
10,12,91,0.091,1.0691805711975122,1.0691805711975124,-2.220446049250313e-16,0.5154885615761362,0.6428197336595076,True,False
10,12,92,0.092,1.023090432808929,1.0230904328089288,2.220446049250313e-16,0.23170931369477898,0.1594965071049046,True,False
10,12,93,0.093,0.9979278244991788,0.9979278244991788,0.0,0.041522391004760184,0.04825899666275291,True,False
10,12,94,0.094,0.9468402614430222,0.9468402614430222,0.0,-0.046524832538554994,0.11331642338745951,True,False
10,12,95,0.095,0.8978441354193909,0.897844135419391,-1.1102230246251565e-16,-0.18680169210321812,0.12866437474121994,True,False
10,12,96,0.096,0.8796834310686479,0.8796834310686478,1.1102230246251565e-16,0.0,0.1055676090900306,True,False
10,12,97,0.097,0.8876446985692139,0.8876446985692138,1.1102230246251565e-16,0.0,0.06606573981662223,True,False
10,12,98,0.098,0.8572184720882465,0.8572184720882465,0.0,0.0,1.01011643249376,True,False
10,12,99,0.099,0.8572062469241177,0.8572062469241176,1.1102230246251565e-16,0.0,1.141179238146833,True,False
10,12,100,0.1,0.8525070169987735,0.8525070169987734,1.1102230246251565e-16,0.0,1.833785597257247,True,False
10,12,101,0.101,0.8531314275317987,0.8531314275317987,0.0,7.150713349939999e-05,2.0878860345383146,True,False
10,12,102,0.102,0.8511741479768645,0.8511741479768645,0.0,-0.0001726334915006,2.575478844256395,True,False
10,12,103,0.103,0.8520143872709126,0.8520143872709126,0.0,0.0,3.1507668635240407,True,False
