dataset,study,mass_GeV,inj_nsigma,n_toys,pull_mean_correct,pull_mean_ratio_of_means,delta_z_mean,abs_definition_delta_ratio,abs_definition_delta_deltaZ,sigma_ratio_mean
2016,fixed_lslb1p0,0.045,3.0,10,-87.17123350475877,-87.16155066016009,-86.99798788146538,0.009682844598685847,0.173245623293397,0.9455339666210382
2016,fixed_lslb1p0,0.045,5.0,10,-87.66533964629204,-87.65621052350296,-87.38440634672902,0.009129122789076405,0.28093329956301716,0.9469316062711777
2016,fixed_lslb1p0,0.06,0.0,10,21.510003863574227,21.51246257635891,21.51000386357423,0.00245871278468357,3.552713678800501e-15,1.0113991720355184
2016,fixed_lslb1p0,0.06,1.0,10,21.154629202173147,21.157053269129698,21.14290066205548,0.002424066956550064,0.011728540117665887,1.0119008850199969
2016,fixed_lslb1p0,0.06,2.0,10,20.796495107019748,20.799086847499787,20.77207890732431,0.002591740480038851,0.024416199695437513,1.012392306864474
2016,fixed_lslb1p0,0.06,3.0,10,20.459386822702758,20.461642249773018,20.421291948965113,0.002255427070259941,0.038094873737644974,1.012894640434678
2016,fixed_lslb1p0,0.06,5.0,10,19.579956782715293,19.58213532603155,19.511683168951137,0.002178543316258441,0.06827361376415553,1.0138767337608414
2016,fixed_lslb1p0,0.075,0.0,10,-2.4702579539531677,-2.4683337250871418,-2.4702579539531677,0.0019242288660259455,0.0,0.9987144938567074
2016,fixed_lslb1p0,0.075,1.0,10,-2.8188448835512867,-2.816997325708842,-2.8180154611742667,0.0018475578424448358,0.0008294223770199949,0.9992052356256036
2016,fixed_lslb1p0,0.075,2.0,10,-3.0425626269024972,-3.040809857063062,-3.0419139949182963,0.0017527698394350644,0.0006486319842009536,0.9997096706899992
2016,fixed_lslb1p0,0.075,3.0,10,-3.5046802126736907,-3.502696919679436,-3.505157684631031,0.001983292994254704,0.0004774719573403807,1.0001932720327875
2016,fixed_lslb1p0,0.075,5.0,10,-4.0110210234315735,-4.009197402431166,-4.0167642500867355,0.0018236210004074493,0.005743226655162026,1.0011839390579202
2016,fixed_lslb1p0,0.09,0.0,10,5.057049194931921,5.060943886029789,5.05704919493192,0.003894691097867664,1.7763568394002505e-15,1.0032887435468714
2016,fixed_lslb1p0,0.09,1.0,10,4.759175612361963,4.762963112886446,4.755422737422077,0.0037875005244831783,0.003752874939885409,1.0038672969668347
2016,fixed_lslb1p0,0.09,2.0,10,4.3973344084716,4.401284524200621,4.388668749108308,0.003950115729020709,0.008665659363292555,1.0044521754981526
2016,fixed_lslb1p0,0.09,3.0,10,3.848871358810115,3.8524490359563104,3.8342481834645286,0.0035776771461955015,0.014623175345586326,1.0049983408314067
2016,fixed_lslb1p0,0.09,5.0,10,3.058239103749665,3.06164493938057,3.028152163173039,0.0034058356309052407,0.030086940576625754,1.0061538813447861
2016,fixed_lslb1p0,0.105,0.0,10,-5.28904294686553,-5.280579276728703,-5.289042946865532,0.008463670136826806,1.7763568394002505e-15,0.9960161945285038
2016,fixed_lslb1p0,0.105,1.0,10,-5.524660683498143,-5.5165310532751075,-5.521249118179907,0.00812963022303581,0.003411565318236498,0.9967693919197117
2016,fixed_lslb1p0,0.105,2.0,10,-5.94295663461502,-5.9347742972340365,-5.937627943110842,0.008182337380983284,0.005328691504177918,0.9975122151787001
2016,fixed_lslb1p0,0.105,3.0,10,-6.245601243658031,-6.237692753085962,-6.239928200027257,0.00790849057206966,0.005673043630774366,0.9982817889399035
2016,fixed_lslb1p0,0.105,5.0,10,-7.137440071004806,-7.1300839822995705,-7.135405526148141,0.0073560887052357415,0.0020345448566656543,0.9997619065008652
2016,fixed_lslb1p0,0.12,0.0,10,-1.8541139052257827,-1.8439779225409771,-1.8541139052257827,0.010135982684805533,0.0,0.9982446675415069
2016,fixed_lslb1p0,0.12,1.0,10,-2.2503132071338796,-2.2402783143859306,-2.249414137329611,0.010034892747948998,0.0008990698042685707,0.9992817893931789
2016,fixed_lslb1p0,0.12,2.0,10,-2.5637643480793018,-2.554080900737724,-2.5640354350290298,0.009683447341577889,0.0002710869497279944,1.0003156830604873
2016,fixed_lslb1p0,0.12,3.0,10,-2.8152317908708695,-2.8057594478495673,-2.818762195181372,0.009472343021302176,0.003530404310502444,1.0013578775546468
2016,fixed_lslb1p0,0.12,5.0,10,-3.461924687420308,-3.4530661998676164,-3.478089650441383,0.008858487552691585,0.016164963021075174,1.0034217387435274
2016,fixed_lslb1p0,0.15,0.0,10,-2.6699716988660507,-2.653757693973786,-2.6699716988660502,0.016214004892264544,4.440892098500626e-16,0.9948591581434696
2016,fixed_lslb1p0,0.15,1.0,10,-3.0022047194002295,-2.985759962400186,-2.998504814036231,0.016444757000043442,0.003699905363998557,0.9969122136736249
2016,fixed_lslb1p0,0.15,2.0,10,-3.2919237836409665,-3.2765316617603615,-3.288720851616901,0.015392121880605014,0.003202932024065408,0.9989973956917376
2016,fixed_lslb1p0,0.15,3.0,10,-3.5903397033002578,-3.574063896603736,-3.5914149933008837,0.016275806696521844,0.0010752900006258947,1.0009575853757413
2016,fixed_lslb1p0,0.15,5.0,10,-4.204285571220683,-4.189334677507396,-4.226933372174672,0.014950893713287172,0.02264780095398944,1.0051473658368162
2016,fixed_lslb1p0,0.18,0.0,10,0.3072841227013055,0.37039892068048175,0.30728412270130534,0.06311479797917624,1.6653345369377348e-16,1.0034499506824273
2016,fixed_lslb1p0,0.18,1.0,10,0.15807316198785698,0.2186592253734212,0.15244179067270097,0.060586063385564215,0.0056313713151560085,1.007388118409973
