dataset,mass_GeV,inj_nsigma,toy_index,delta_abs_pull_profiled_minus_fixed,pull_correct_fixed1p0,pull_correct_profiled0p5,A_hat_fixed1p0,A_hat_profiled0p5,sigma_A_fixed1p0,sigma_A_profiled0p5,strength_fixed1p0,strength_profiled0p5
2015,0.045,1.0,7,-5.9483403857049435,7.253965490050215,-1.3056251043452711,14646.926743274404,-21103.50901209934,1775.164453358727,68131.32330440724,1769.9450594463435,67850.45708639876
2015,0.045,1.0,8,-3.091484928543761,3.294914619173139,-0.20342969062937782,7616.019228909992,52709.43124371223,1773.8859252293666,66983.28478123833,1771.2165611262828,66335.82014409905
2015,0.045,1.0,1,-13.819964429610154,-15.696075594290095,-1.876111164679941,-26050.678299799907,-57688.77991899402,1773.2098781491306,64894.75959235354,1781.757992170776,64061.00308144117
2015,0.045,1.0,6,-13.57982671318071,-13.98100122995315,-0.4011745167724412,-23028.06785400656,38757.23706521168,1774.5417455396662,65955.63929148678,1781.8024729867232,65216.958786391326
2015,0.045,1.0,5,-31.11203366518375,-31.37467318636756,-0.2626395211838118,-53829.49736676306,48567.42787990176,1772.7719668603293,66629.34187299499,1790.6437274337886,66066.92632621767
2015,0.045,2.0,2,-50.70130014336465,51.61521838215927,-0.9139182387946208,95163.1082483637,68184.73854842204,1776.1417119047746,65741.70749542466,3487.165910736539,128267.28407799167
2015,0.045,2.0,9,-26.419858679219463,27.033800863762192,-0.613942184542728,51539.16923449701,89788.71911270311,1776.3932990943931,66673.53359600304,3516.50653105763,130722.41397981618
2015,0.045,2.0,3,-20.640273776871908,22.60026629705179,-1.9599925201798798,43655.51755721485,449.3828012125693,1775.8282483751068,68268.15513684535,3521.326246110407,134254.4562359091
2015,0.045,2.0,4,-11.208055724331038,13.009492577053495,-1.8014368527224573,26626.744717076817,11014.10553289941,1775.262310937144,66584.26408105073,3531.482860617208,130961.4526599084
2015,0.045,2.0,0,-4.864311242179806,8.464724381486167,-3.6004131393063616,18557.155884196425,-110158.58459509288,1774.5800515453443,67925.82483294202,3535.8248549815708,134402.44763165392
2015,0.045,2.0,7,-4.522467134131455,6.915860885559934,-2.3933937514284795,15820.780896434471,-28459.27523945336,1775.757346881259,68588.87690931468,3539.8901188926875,135700.91417279752
2015,0.045,2.0,8,-1.753104540980105,2.9653405200619942,-1.2122359790818893,8804.257124756661,50885.76172729216,1774.441743504753,67466.9618557668,3542.4331222525657,132671.6402881981
2015,0.045,2.0,1,-13.3310550725134,-15.986808246655707,-2.655753174142307,-24793.965214349988,-46285.54421889816,1773.8050498368657,65671.59632148668,3563.515984341552,128122.00616288236
2015,0.045,2.0,6,-12.663786010319889,-14.15672633282783,-1.4929403225079407,-21566.09849545252,31047.55387721036,1775.1069598027798,66570.88846566649,3563.6049459734463,130433.91757278264
2015,0.045,2.0,5,-30.644405438401147,-31.624102381341366,-0.9796969429402183,-52499.1461331653,66186.97922088913,1773.344675898882,67313.54415951294,3581.2874548675773,132133.85265243534
2015,0.045,3.0,2,-49.41628839211328,51.17026451854127,-1.7539761264279954,96145.2825500186,75664.183539205,1776.706345752256,66555.49116025829,5230.748866104809,192400.9261169875
2015,0.045,3.0,9,-25.56719491597461,27.04280346864813,-1.4756085526735188,53330.56907183798,96893.01988300464,1777.0276417888651,67220.13159045826,5274.759796586445,196083.62096972423
