mass_GeV,datasets,n_datasets,eps2_up,p0_analytic,Z_analytic,cls_statistic,cls_calibration,signal_model,global_method
0.107,2016+2021,2,2.3753256842431014e-06,0.3153388245543214,0.48077327103017536,tilde_q_mu,asymptotic,default,sidak_approx
0.108,2016+2021,2,2.142336534947283e-06,0.4284839163690052,0.18023531790735964,tilde_q_mu,asymptotic,default,sidak_approx
0.109,2016+2021,2,1.9926995352240962e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.11,2016+2021,2,1.846680381441541e-06,0.49990260198329145,0.000244140625,tilde_q_mu,asymptotic,default,sidak_approx
0.111,2016+2021,2,1.7385779074398e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.112,2016+2021,2,1.6249326570120235e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.113,2016+2021,2,1.6140005882941717e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.114,2016+2021,2,1.6118680971841507e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.115,2016+2021,2,1.5928857067886392e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.116,2016+2021,2,1.6114237193014056e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.117,2016+2021,2,1.6874822861254196e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.118,2016+2021,2,1.8245153911212135e-06,0.49990260198329145,0.000244140625,tilde_q_mu,asymptotic,default,sidak_approx
0.119,2016+2021,2,1.9643685900987555e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.12,2016+2021,2,2.112153771895901e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.121,2016+2021,2,2.313791270066032e-06,0.40587538491775205,0.23816803290542746,tilde_q_mu,asymptotic,default,sidak_approx
0.122,2016+2021,2,2.530059176686304e-06,0.3221180993141909,0.4617840380264691,tilde_q_mu,asymptotic,default,sidak_approx
0.123,2016+2021,2,2.5308192100125738e-06,0.33283985319039655,0.43208490352412754,tilde_q_mu,asymptotic,default,sidak_approx
0.124,2016+2021,2,2.536824297922045e-06,0.33162956912824004,0.43541787465245846,tilde_q_mu,asymptotic,default,sidak_approx
0.125,2016+2021,2,2.6956177398420856e-06,0.2892322196472893,0.5556290922239496,tilde_q_mu,asymptotic,default,sidak_approx
0.126,2016+2021,2,2.618317534750502e-06,0.317362685980133,0.4750864276558828,tilde_q_mu,asymptotic,default,sidak_approx
0.127,2016+2021,2,2.7509923240261717e-06,0.27020225903621,0.612201396011361,tilde_q_mu,asymptotic,default,sidak_approx
0.128,2016+2021,2,2.8580878084201983e-06,0.24948086187504254,0.6761243092749734,tilde_q_mu,asymptotic,default,sidak_approx
0.129,2016+2021,2,3.0583833071038703e-06,0.2062023878455378,0.8196690897123005,tilde_q_mu,asymptotic,default,sidak_approx
0.13,2016+2021,2,3.083185327495249e-06,0.19995320916518516,0.8417883781836261,tilde_q_mu,asymptotic,default,sidak_approx
0.131,2016+2021,2,2.9386822714004938e-06,0.25931861069318596,0.645447513228193,tilde_q_mu,asymptotic,default,sidak_approx
0.132,2016+2021,2,2.6697095418529573e-06,0.34023329078696907,0.4118265202750047,tilde_q_mu,asymptotic,default,sidak_approx
0.133,2016+2021,2,2.484179204694824e-06,0.42282548401006975,0.19467042287812647,tilde_q_mu,asymptotic,default,sidak_approx
0.134,2016+2021,2,2.299692326660321e-06,0.49990260198329145,0.000244140625,tilde_q_mu,asymptotic,default,sidak_approx
0.135,2016+2021,2,2.1141918724352337e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.136,2016+2021,2,2.003160738178413e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.137,2016+2021,2,2.0051672846970003e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.138,2016+2021,2,2.0772854229819533e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.139,2016+2021,2,2.105738945833313e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.14,2016+2021,2,2.165722403640626e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.141,2016+2021,2,2.1434866779354477e-06,0.4999311292015692,0.00017263349150062197,tilde_q_mu,asymptotic,default,sidak_approx
0.142,2016+2021,2,2.2033950228912594e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.143,2016+2021,2,2.2824266601693868e-06,0.4999311292015692,0.00017263349150062197,tilde_q_mu,asymptotic,default,sidak_approx
0.144,2016+2021,2,2.3227715179796588e-06,0.4999311292015692,0.00017263349150062197,tilde_q_mu,asymptotic,default,sidak_approx
0.145,2016+2021,2,2.3822817870908216e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.146,2016+2021,2,2.3740082321394956e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.147,2016+2021,2,2.3690168892044867e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.148,2016+2021,2,2.3395238462451437e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.149,2016+2021,2,2.317828155321936e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.15,2016+2021,2,2.3192350375895715e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.151,2016+2021,2,2.3684778931077316e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.152,2016+2021,2,2.338406010052803e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.153,2016+2021,2,2.4107733063748127e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.154,2016+2021,2,2.5885934214037597e-06,0.4999311292015692,0.00017263349150062197,tilde_q_mu,asymptotic,default,sidak_approx
0.155,2016+2021,2,2.8377970509589458e-06,0.4999311292015692,0.00017263349150062197,tilde_q_mu,asymptotic,default,sidak_approx
0.156,2016+2021,2,3.3023946431916697e-06,0.35677036861969136,0.3671049471643135,tilde_q_mu,asymptotic,default,sidak_approx
0.157,2016+2021,2,3.819432386646846e-06,0.2308500565505212,0.7360502573766803,tilde_q_mu,asymptotic,default,sidak_approx
0.158,2016+2021,2,4.288952881123868e-06,0.1533004399655178,1.0223804285511873,tilde_q_mu,asymptotic,default,sidak_approx
0.159,2016+2021,2,4.73346591041076e-06,0.09876734371458784,1.2886071759252227,tilde_q_mu,asymptotic,default,sidak_approx
0.16,2016+2021,2,5.024902150385132e-06,0.07727007545335574,1.4236764604668068,tilde_q_mu,asymptotic,default,sidak_approx
0.161,2016+2021,2,4.929944402599617e-06,0.08841440054851513,1.3505837750090017,tilde_q_mu,asymptotic,default,sidak_approx
0.162,2016+2021,2,4.8536565513501594e-06,0.10359243492440151,1.261344180886536,tilde_q_mu,asymptotic,default,sidak_approx
0.163,2016+2021,2,4.6300672423873155e-06,0.13857437926691307,1.0867467239037403,tilde_q_mu,asymptotic,default,sidak_approx
0.164,2016+2021,2,4.198196834458808e-06,0.2205467411112949,0.7703480137807639,tilde_q_mu,asymptotic,default,sidak_approx
0.165,2016+2021,2,1.0846076760148054e-05,0.32817827445607595,0.44494908545181794,tilde_q_mu,asymptotic,default,sidak_approx
0.166,2016+2021,2,3.4181661157734755e-06,0.4371829661995623,0.15811531549884816,tilde_q_mu,asymptotic,default,sidak_approx
0.167,2016+2021,2,2.973887168234943e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.168,2016+2021,2,2.74968587220946e-06,0.4999513009912829,0.0001220703125,tilde_q_mu,asymptotic,default,sidak_approx
0.169,2016+2021,2,2.5823544207639207e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.17,2016+2021,2,2.5246478718701477e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.171,2016+2021,2,2.465908411905451e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.172,2016+2021,2,2.3954863407437718e-06,0.4999513009912829,0.0001220703125,tilde_q_mu,asymptotic,default,sidak_approx
0.173,2016+2021,2,2.4084363190167423e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.174,2016+2021,2,2.521421380165457e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.175,2016+2021,2,2.6937006034159363e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.176,2016+2021,2,2.9006054978248675e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.177,2016+2021,2,3.319479181990362e-06,0.4999513009912829,0.0001220703125,tilde_q_mu,asymptotic,default,sidak_approx
0.178,2016+2021,2,4.041590761301071e-06,0.3983653929970859,0.25758036364021347,tilde_q_mu,asymptotic,default,sidak_approx
0.179,2016+2021,2,4.807044578017174e-06,0.24387762618750847,0.6938835311946572,tilde_q_mu,asymptotic,default,sidak_approx
0.18,2016+2021,2,5.624482933478071e-06,0.137556039574461,1.091365517448044,tilde_q_mu,asymptotic,default,sidak_approx
