mass_GeV,mass_MeV,dataset_set,wide_support_eps2_obs_ee_channel,narrow_support_eps2_obs_ee_channel,N_eff_BR,wide_support_eps2_obs_minimal_visible,narrow_support_eps2_obs_minimal_visible,wide_over_narrow_observed_ratio_ee_channel,wide_over_narrow_observed_ratio_minimal_visible,wide_relative_change,wide_tightening_percent,source_wide_table,source_narrow_table,source_narrow_sha256,input_fraction_match_validated,ratio_interpretation
0.039,39,2015+2016,1.1566255887954842e-05,1.4075257947103466e-05,1,1.1566255887954842e-05,1.4075257947103466e-05,0.82174379549008914,0.82174379549008914,-0.17825620450991086,17.825620450991085,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.040000000000000001,40,2015+2016,1.1025471545125462e-05,1.3718817734780436e-05,1,1.1025471545125462e-05,1.3718817734780436e-05,0.80367505117975968,0.80367505117975968,-0.19632494882024032,19.632494882024034,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.041000000000000002,41,2015+2016,8.5034839329359889e-06,1.4149265535527664e-05,1,8.5034839329359889e-06,1.4149265535527664e-05,0.60098412257402523,0.60098412257402523,-0.39901587742597477,39.901587742597478,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.042000000000000003,42,2015+2016,6.2347143273781492e-06,7.6508413700229754e-06,1,6.2347143273781492e-06,7.6508413700229754e-06,0.81490571112957555,0.81490571112957555,-0.18509428887042445,18.509428887042446,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.042999999999999997,43,2015+2016,4.7364123652015311e-06,2.0988289843842775e-06,1,4.7364123652015311e-06,2.0988289843842775e-06,2.2566928513191979,2.2566928513191979,1.2566928513191979,-125.66928513191979,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.043999999999999997,44,2015+2016,4.1976016775641378e-06,4.1944149000848823e-06,1,4.1976016775641378e-06,4.1944149000848823e-06,1.0007597668697941,1.0007597668697941,0.00075976686979406516,-0.075976686979406516,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.044999999999999998,45,2015+2016,3.9828064373886964e-06,3.8877382831481902e-06,1,3.9828064373886964e-06,3.8877382831481902e-06,1.0244533318131492,1.0244533318131492,0.024453331813149237,-2.4453331813149237,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.045999999999999999,46,2015+2016,3.9966190406024924e-06,3.973601208630116e-06,1,3.9966190406024924e-06,3.973601208630116e-06,1.0057926879834809,1.0057926879834809,0.0057926879834808709,-0.57926879834808709,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.047,47,2015+2016,4.3769124181189593e-06,4.4115519993728235e-06,1,4.3769124181189593e-06,4.4115519993728235e-06,0.99214798300942875,0.99214798300942875,-0.0078520169905712534,0.78520169905712534,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.048000000000000001,48,2015+2016,4.9454922540803567e-06,4.9181726583127257e-06,1,4.9454922540803567e-06,4.9181726583127257e-06,1.0055548264905778,1.0055548264905778,0.0055548264905778133,-0.55548264905778133,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
