mass_GeV,mass_MeV,dataset_set,dataset,band_lml,reviewed_lml,delta_lml,band_ls_opt,reviewed_ls_opt,delta_ls_opt,band_const_opt,reviewed_const_opt,delta_const_opt,band_sigma_val,reviewed_sigma_val,delta_sigma_val,band_integral_density,reviewed_integral_density,delta_integral_density,band_state_sha256,coordinate_closure_pass,lml_closure_pass,metadata_json_closure_pass,fixed_reviewed_state_closure_pass,reviewed_selected_attempt,reviewed_row_source,review_status,branch_multiplicity,interpolated
0.12,120,2016+2021,2021,1613.2488812658817,1613.2488812658817,0,0.3022909245066554,0.3022909245066554,0,54.308249216713513,54.308249216713513,0,0.0029198499999999999,0.0029198499999999001,9.9746599868666408e-17,1008026180.837055,1008026180.837055,0,016ab662983c41861df328613bf77de4913678ee3f59b45a2cdb288b733d4c8e,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
0.121,121,2016+2021,2016,2127.6883415667858,2127.6883431519568,-1.5851710486458614e-06,0.33593145514559802,0.33593145514559802,0,39.186448598818899,39.186448598818899,0,0.0051891507220899998,0.0051891507220899,9.9746599868666408e-17,161162617.73958611,161162617.73958611,0,df22be22dce0568f257bf48830d92feb2609f7f44fedb14b98456762e85be500,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.121,121,2016+2021,2021,1617.2561177811031,1617.2561197426894,-1.9615863493527286e-06,0.30181878525395822,0.30181878525395822,0,54.117406516953494,54.117406516953494,0,0.002939170875,0.002939170875,0,985440224.16998625,985440224.16998625,0,18dc056748fa47e2dc310d870a491564b09975b6b626535bbde39fc00a3e9a3c,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.122,122,2016+2021,2016,2130.5755483297003,2130.5755483297003,0,0.3363940019153091,0.3363940019153091,0,39.304580674508415,39.304580674508415,0,0.0052393928238400004,0.0052393928238400004,0,152787288.92293981,152787288.92293981,0,bb34df659dfaa3341f3333cd99320cf788e53e9547323444a5cb1400ff099eea,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.122,122,2016+2021,2021,1618.3615514167,1618.36155207812,-6.6142001742264256e-07,0.29997870748139083,0.29997870748139083,0,52.926895971687649,52.926895971687649,0,0.0029586635,0.0029586635,0,963312661.48753583,963312661.48753583,0,560151a1d34ac3fee25915229c0e7d950106fd50ff77e7647006c4fac1b911c7,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.123,123,2016+2021,2016,2126.0434374619745,2126.0434394358363,-1.9738617993425578e-06,0.33685089240822907,0.33685089240822907,0,39.4583278281143,39.4583278281143,0,0.0052896652484900001,0.0052896652484900001,0,144730605.34559995,144730605.34559995,0,5d6abbff0bc21f769eb4cc5a15bcb0d691a0254b1e2c719f90f434404a786db0,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.123,123,2016+2021,2021,1613.6787811923186,1613.6787822727829,-1.0804642442963086e-06,0.30104584143866592,0.30104584143866592,0,53.694054227215624,53.694054227215624,0,0.0029783278750000002,0.0029783278750000002,0,941612336.13428891,941612336.13428891,0,d0f450693b36f7fc5d9d1d27b89760837bad17a691343868d0d13c4dc4d36895,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.124,124,2016+2021,2016,2127.354490431444,2127.3544912076686,-7.7622462413273752e-07,0.3373015386610802,0.3373015386610802,0,39.604518988101496,39.604518988101496,0,0.0053399562726400007,0.0053399562726399001,1.0061396160665481e-16,137112311.82620376,137112311.82620376,0,20beb6317b58b99044be1422e842cab8fd77dd3da1fcf42df7c18548a481b26e,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
0.124,124,2016+2021,2021,1620.0168321022738,1620.0168321022738,0,0.29964704887288901,0.29964704887288901,0,52.798981353735932,52.798981353735932,0,0.0029981640000000002,0.0029981640000000002,0,920037116.66870213,920037116.66870213,0,1f3e4bb5fa68fa31035e762a64876d66a4bde983ffdf2bacd8542834708ede70,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
0.125,125,2016+2021,2016,2121.9287804228152,2121.9287823721352,-1.9493199943099171e-06,0.33774535531467348,0.33774535531467348,0,39.77367496729439,39.77367496729439,0,0.0053902539062499998,0.0053902539062499,9.9746599868666408e-17,129885888.30832364,129885888.30832364,0,014ef606b987c255cb8ebf7da6a6654410dae3750898bd44819cae95d4a2f227,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
0.125,125,2016+2021,2021,1615.8873608795002,1615.8873612933394,-4.1383918869541958e-07,0.2959806464571334,0.2959806464571334,0,50.647863106859461,50.647863106859461,0,0.0030181718750000005,0.003018171875,4.3368086899420177e-19,898531012.94332087,898531012.94332075,1.1920928955078125e-07,db4b71b5c68811b61be8ca7507c09ad2c545e27e4ab1702e41623ca873aa04f4,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.126,126,2016+2021,2016,2120.1782627764396,2120.1782627764396,0,0.33818175950977292,0.33818175950977292,0,39.986830394682514,39.986830394682514,0,0.0054405458926399999,0.0054405458926399001,9.9746599868666408e-17,123046125.73113462,123046125.73113462,0,646f863e14a1a1534d3388328dce558e94b0934637197f9434b4e8aa09c56603,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
0.126,126,2016+2021,2021,1615.0147959960686,1615.0147965823269,-5.8625823839975055e-07,0.29821107870284158,0.29821107870284158,0,51.799564113805559,51.799564113805559,0,0.0030383515000000005,0.0030383515000000001,4.3368086899420177e-19,877660484.04004693,877660484.04004693,0,73e7d6e4eb525f0e001bb4e50ed3f15df569e7def7c009973abcdd78af7590a1,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.127,127,2016+2021,2016,2124.7426025905597,2124.7426039560551,-1.3654953363584355e-06,0.33861017078728378,0.33861017078728378,0,40.25792893724919,40.25792893724919,0,0.0054908197084900003,0.0054908197084900003,0,116515661.42976207,116515661.42976208,-1.4901161193847656e-08,cee8c6e70a2bfb86d3bcf0ab30f04bcd2b247ed089a40a09f18e6bde7776c4e8,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.127,127,2016+2021,2021,1615.0503681459541,1615.0503699689752,-1.8230211935588159e-06,0.29871862838356728,0.29871862838356728,0,52.075884535456623,52.075884535456623,0,0.0030587028750000004,0.0030587028749999002,1.0018028073766061e-16,857126402.64378405,857126402.64378405,0,da771adb51e894705cf52bd827dd65f1c1faed8f06d78e82a0742312561ed6b0,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.128,128,2016+2021,2016,2117.5731081021677,2117.5731081021677,0,0.33903001099249153,0.33903001099249153,0,40.575201662719238,40.575201662719238,0,0.0055410625638400018,0.0055410625638400001,1.7347234759768071e-18,110341516.9350232,110341516.9350232,0,ca144ef21f57c7ee6f4183d136754f60c9bbf1b2975f0a4ccb1f070142d39635,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.128,128,2016+2021,2021,1614.8606540919673,1614.8606549535973,-8.6163004198169801e-07,0.29900782917612451,0.29900782917612451,0,52.318849282445143,52.318849282445143,0,0.003079226,0.003079226,0,836870911.28478515,836870911.28478515,0,fee26f9072a983b91dbca70f0fd9735b51c4f7a0ca24627f5f4ca71fb4bdf3ba,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.129,129,2016+2021,2016,2119.8126076603644,2119.8126084355863,-7.7522190622403286e-07,0.33944070418307948,0.33944070418307948,0,40.587339920879856,40.587339920879856,0,0.0055912614020900003,0.0055912614020900003,0,104476552.76109548,104476552.76109548,0,bc8afc0cc8de3053c08603d765e9a342d13e7cc19436f9bedfbdf1cda39bebc0,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.129,129,2016+2021,2021,1609.9017437895454,1609.9017460987984,-2.3092529772839043e-06,0.29839573194935132,0.29839573194935132,0,51.944222130789555,51.944222130789555,0,0.0030999208750000003,0.0030999208749999002,1.0018028073766061e-16,816661383.882061,816661383.882061,0,5470ccc2038ccb58c8a6d2093843be78e3530f3d23194b0cc2738a944ec310d4,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13,130,2016+2021,2016,2110.8857053799948,2110.8857053799948,0,0.33984167654076991,0.33984167654076991,0,40.514316784523515,40.514316784523515,0,0.0056414029000000001,0.0056414029000000001,0,98901422.651386663,98901422.651386663,0,0af21d55a6003e4c220f690cd485638a1a41d3ed1028d3ac144e27181e51fe98,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13,130,2016+2021,2021,1615.5032132642873,1615.5032132642873,0,0.29890466552656692,0.29890466552656692,0,52.241123963958223,52.241123963958223,0,0.0031207875000000005,0.0031207875,4.3368086899420177e-19,796778619.46469724,796778619.46469724,0,aa4d14d8fe9ba5427441bfce618dfb18ba68feffbf989fa7879f706e9b0d570c,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.13100000000000001,131,2016+2021,2016,2113.5965859045291,2113.5965872084694,-1.3039402801950928e-06,0.3402323562863056,0.3402323562863056,0,40.75991073030962,40.75991073030962,0,0.005691473467690002,0.0056914734676900003,1.7347234759768071e-18,93651566.275890842,93651566.275890842,0,b7849acdc8f64840f6b4cc2637afa4e152f7c273e6afab66c5c55f1bab7f3211,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
