mass_GeV,mass_MeV,dataset_set,eps2_observed_2015,eps2_observed_2016,eps2_observed_2021,best_active_individual_dataset,best_active_individual_eps2,combined_observed_eps2,combined_over_best_active_individual_epsilon
0.09,90.0,2015+2016+2021,7.731171150995219e-05,1.5800618784867795e-05,6.4153109868319245e-06,2021,6.4153109868319245e-06,5.733640015602405e-06,0.9453798778930169
0.091,91.0,2016+2021,,1.8383131056037333e-05,7.308765746502523e-06,2021,7.308765746502523e-06,6.906281106660628e-06,0.9720757396865453
0.092,92.0,2016+2021,,2.123453253940366e-05,8.346064781716273e-06,2021,8.346064781716273e-06,8.293772641105138e-06,0.9968623352148296
0.093,93.0,2016+2021,,2.2406495936623266e-05,9.336864557514984e-06,2021,9.336864557514984e-06,9.333594964449308e-06,0.9998248941422976
0.094,94.0,2016+2021,,2.2305804210883208e-05,9.272538645202428e-06,2021,9.272538645202428e-06,9.221195852968751e-06,0.997227616732401
0.095,95.0,2016+2021,,2.141896024000864e-05,8.875283558606858e-06,2021,8.875283558606858e-06,8.678327899456733e-06,0.9888420106756791
0.096,96.0,2016+2021,,2.152578292272849e-05,8.661124552528031e-06,2021,8.661124552528031e-06,8.469341537587072e-06,0.9888665383735618
0.097,97.0,2016+2021,,2.1119173122414705e-05,8.804908499928181e-06,2021,8.804908499928181e-06,8.495464797872271e-06,0.982270607299867
0.098,98.0,2016+2021,,1.857245845161674e-05,8.808662945701e-06,2021,8.808662945701e-06,8.660278142125073e-06,0.9915415641687513
0.099,99.0,2016+2021,,1.6332846505762776e-05,9.254267392026186e-06,2021,9.254267392026186e-06,7.90918322768902e-06,0.9244742020700486
0.1,100.0,2016+2021,,1.5859988619106974e-05,9.141009990944798e-06,2021,9.141009990944798e-06,7.671285233727311e-06,0.916087534683553
0.101,101.0,2016+2021,,1.5520086392611608e-05,9.34340382548648e-06,2021,9.34340382548648e-06,7.66829361796402e-06,0.9059345169299715
0.102,102.0,2016+2021,,1.6090910557678103e-05,8.674748455704874e-06,2021,8.674748455704874e-06,7.263907128555686e-06,0.9150750122641755
0.103,103.0,2016+2021,,1.6557585758235242e-05,8.00101959765765e-06,2021,8.00101959765765e-06,6.82843776371688e-06,0.9238213837253876
0.104,104.0,2016+2021,,1.712278391720655e-05,7.7236316087815e-06,2021,7.7236316087815e-06,6.709586016261119e-06,0.9320454417318326
0.105,105.0,2016+2021,,1.8092848154983047e-05,7.266556624587899e-06,2021,7.266556624587899e-06,6.487116104095771e-06,0.9448470345553724
0.106,106.0,2016+2021,,1.940156776983686e-05,6.904100392733942e-06,2021,6.904100392733942e-06,6.33654126378508e-06,0.9580156081996415
0.107,107.0,2016+2021,,1.9916474213371764e-05,6.793432835998263e-06,2021,6.793432835998263e-06,6.278272377726688e-06,0.9613365037736771
0.108,108.0,2016+2021,,2.12878365312656e-05,6.70647867321041e-06,2021,6.70647867321041e-06,6.295678105779899e-06,0.9688889065805707
