mass_GeV,mass_MeV,dataset_set,density_meta_terms,density_current_samples,density_full_campaign_scale,campaign_scale_sqrt_current_over_full,current_candidate_eps2_observed,current_candidate_eps2_expected_median,projected_full_campaign_eps2_observed_equivalent,projected_full_campaign_eps2_expected_median,campaign_scale_2015,campaign_scale_2016,campaign_scale_2021
0.078,78.0,2015+2016+2021,2015:13040962.962962965;2016:109517809.52380957;2021:163237292.30769244,285796064.79446495,17431948288.970303,0.12804279859420306,1.124095739949154e-05,7.38033589748296e-06,1.439323644309112e-06,9.449988628789776e-07,1.0,10.0,100.0
0.079,79.0,2015+2016+2021,2015:11754148.148148162;2016:106504454.54545459;2021:163110400.00000012,281369002.69360286,17387838693.602707,0.1272082635418926,1.1248773251608177e-05,7.343817889128085e-06,1.430936912313565e-06,9.341943214438708e-07,1.0,10.0,100.0
0.08,80.0,2015+2016+2021,2015:10668642.857142869;2016:103509363.63636367;2021:162742171.42857128,276920177.92207783,17319979422.077908,0.12644556901872672,1.0674622979793806e-05,7.250908946058623e-06,1.349758776740404e-06,9.168453075873586e-07,1.0,10.0,100.0
0.081,81.0,2015+2016+2021,2015:9626428.5714285634;2016:100491909.09090912;2021:162242953.84615397,272361291.50849164,17238840904.095917,0.1256951908273422,1.0282236854145208e-05,7.2845540720893585e-06,1.2924277235137128e-06,9.156334141833647e-07,1.0,10.0,100.0
0.082,82.0,2015+2016+2021,2015:8731999.9999999925;2016:97378000.00000003;2021:161241846.15384629,267351846.15384632,17106696615.38463,0.12501396136387335,9.707933771624932e-06,7.264950426934975e-06,1.2136272574489605e-06,9.082202319833042e-07,1.0,10.0,100.0
0.083,83.0,2015+2016+2021,2015:7943929.8245614041;2016:94319130.434782639;2021:160783138.46153831,263046198.72088236,17029449080.32622,0.12428414126623019,8.56315254381393e-06,7.252643619307652e-06,1.064264060439649e-06,9.013885841356552e-07,1.0,10.0,100.0
0.084,84.0,2015+2016+2021,2015:7454037.7358490583;2016:91246434.782608613;2021:159466707.69230783,258167180.21076548,16866589154.792719,0.12371913716006509,7.463292501541672e-06,7.187876694478913e-06,9.233521086639194e-07,8.892779026538719e-07,1.0,10.0,100.0
0.085,85.0,2015+2016+2021,2015:7109840.0000000019;2016:88184000.00000003;2021:158361142.85714272,253654982.85714275,16725064125.714272,0.1231509604601754,6.144023413268039e-06,7.165102439201844e-06,7.566423844337642e-07,8.823892471832526e-07,1.0,10.0,100.0
0.086,86.0,2015+2016+2021,2015:6697652.1739130458;2016:85109916.666666687;2021:157220799.99999985,249028368.84057957,16579876818.840565,0.12255576978485902,5.425810105738035e-06,7.224400149217533e-06,6.649643342151922e-07,8.85391921521205e-07,1.0,10.0,100.0
0.087,87.0,2015+2016+2021,2015:6310476.1904761931;2016:82107833.333333254;2021:155847657.14285725,244265966.6666667,16412154523.809534,0.12199686821802577,5.150397038968326e-06,7.143997742483288e-06,6.28332308833529e-07,8.715453511396074e-07,1.0,10.0,100.0
0.088,88.0,2015+2016+2021,2015:6023692.3076923024;2016:79077499.999999925;2021:154023657.14285725,239124849.45054948,16199164406.593416,0.12149713813329786,5.043231190701463e-06,7.1040418422743015e-06,6.127381566148119e-07,8.631207530155286e-07,1.0,10.0,100.0
0.089,89.0,2015+2016+2021,2015:5688228.5714285756;2016:76167000.000000015;2021:152607753.84615344,234462982.41758204,16028133613.186771,0.120947157335055,5.295449005713461e-06,7.164777221952635e-06,6.404695040537865e-07,8.665594379341236e-07,1.0,10.0,100.0
0.09,90.0,2015+2016+2021,2015:5366838.7096774243;2016:73288000.000000015;2021:151104228.57142869,229759067.2811061,15848669695.852545,0.12040372484887173,5.733640015602405e-06,7.17002941596399e-06,6.903516148210726e-07,8.632982489580447e-07,1.0,10.0,100.0
0.091,91.0,2016+2021,2016:70441759.99999994;2021:149501784.61538473,219943544.61538467,15654596061.538473,0.11853174470989643,6.906281106660628e-06,7.80085145694399e-06,8.186135490294786e-07,9.246485334143086e-07,1.0,10.0,100.0
0.092,92.0,2016+2021,2016:67648880.000000015;2021:147861257.14285702,215510137.14285702,15462614514.285702,0.11805717511025365,8.293772641105138e-06,7.154663587622175e-06,9.791393690155802e-07,8.446593720188668e-07,1.0,10.0,100.0
0.093,93.0,2016+2021,2016:64917000.000000015;2021:145558857.14285702,210475857.14285702,15205055714.285702,0.11765411881866461,9.333594964449308e-06,7.187301253757306e-06,1.0981358909526087e-06,8.456155956950992e-07,1.0,10.0,100.0
0.094,94.0,2016+2021,2016:62248538.461538404;2021:144400571.42857152,206649109.89010993,15062542527.472538,0.11712986060301264,9.221195852968751e-06,7.1515005256205975e-06,1.080077384851308e-06,8.376542596683122e-07,1.0,10.0,100.0
0.095,95.0,2016+2021,2016:59603384.615384623;2021:142029714.28571439,201633098.90109903,14799005274.725285,0.11672520623586902,8.678327899456733e-06,7.08533235967475e-06,1.012979613846583e-06,8.270368809327116e-07,1.0,10.0,100.0
0.096,96.0,2016+2021,2016:57034592.592592545;2021:139631428.57142889,196666021.16402143,14533488783.068815,0.11632678512654696,8.469341537587072e-06,7.2066688522286685e-06,9.852112732062301e-07,8.383286190513831e-07,1.0,10.0,100.0
0.097,97.0,2016+2021,2016:54557703.703703657;2021:138362285.71428558,192919989.41798925,14381805608.465595,0.11581955915832046,8.495464797872271e-06,7.124468226725897e-06,9.839409877345965e-07,8.251527692568544e-07,1.0,10.0,100.0
0.098,98.0,2016+2021,2016:52177851.85185191;2021:135741371.42857131,187919223.28042322,14095915661.37565,0.11546196865578728,8.660278142125073e-06,7.18820800335947e-06,9.99932763396445e-07,8.299646471751704e-07,1.0,10.0,100.0
