scenario,mass_GeV,mass_MeV,inj_nsigma,n_generated,raw_n,raw_pull_mean,raw_pull_width,raw_pull_median,raw_pull_mad_scaled,raw_pull_trimmed_mean_10pct,raw_pull_mean_ci90_low,raw_pull_mean_ci90_high,raw_pull_width_ci90_low,raw_pull_width_ci90_high,raw_max_leave_one_out_mean_change,accepted_n,accepted_pull_mean,accepted_pull_width,accepted_pull_median,accepted_pull_mad_scaled,accepted_pull_trimmed_mean_10pct,accepted_pull_mean_ci90_low,accepted_pull_mean_ci90_high,accepted_pull_width_ci90_low,accepted_pull_width_ci90_high,accepted_max_leave_one_out_mean_change,n_excluded,sample_size_eligible,accepted_nominal_Z_residual_mean,accepted_upper_boundary_fraction,accepted_lower_boundary_fraction,accepted_constant_lower_boundary_fraction,accepted_constant_upper_boundary_fraction,accepted_pull_identity_max_abs_residual,accepted_ls_at_lower_fraction,accepted_ls_at_upper_fraction,accepted_const_at_lower_fraction,accepted_const_at_upper_fraction,accepted_min_y_train,accepted_max_y_train,accepted_max_n_zero_train,accepted_median_recovery,accepted_recovery_q16,accepted_recovery_q84
2021_10pct,0.12,120.0,3.0,20,20,-0.407685413881275,0.6846326854947652,-0.37698734376366827,0.5592106953558007,-0.3769341291676347,-0.672395801096929,-0.142975026665621,0.543547365391037,0.938227750795136,0.08961492431006851,20,-0.41739331995319456,0.6807393392880347,-0.37699282269583223,0.5592315182105645,-0.38906894562966426,-0.6805983610120208,-0.15418827889436842,0.5404563384534402,0.9328922686716559,0.0891041475323105,0,True,-0.41837877670021745,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,4267.0,1158680.0,0,0.874277032300349,0.7177163968843729,1.0515116949533754
2021_10pct,0.12,120.0,5.0,20,20,-0.4411195906828265,0.6911345276694288,-0.4389444384980651,0.5019445155520904,-0.420368969113862,-0.7083438881983174,-0.17389529316733565,0.5487093438637312,0.947137942915384,0.08838313560808447,20,-0.4411227058062529,0.6911371576637084,-0.4389444384980651,0.5019685944197426,-0.42036961563364117,-0.7083480201981198,-0.17389739141438604,0.5487114318833247,0.9471415470868906,0.08838473783507039,0,True,-0.44328199945844177,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4267.0,1158680.0,0,0.9121428169832042,0.8226187262560587,1.0206218448267703
2021_10pct,0.18,180.0,0.0,20,20,0.06217936992032782,1.020415472611725,0.038876197901700646,1.0750576452613263,0.081482994682718,-0.3323600387272303,0.4567187785678859,0.810133891491796,1.3983879736229372,0.10118521596897134,20,0.06217657479565728,1.020410855816562,0.038876416125780244,1.0750621132009122,0.08148180098900093,-0.33236104878720674,0.45671419837852134,0.810130226100265,1.3983816467188421,0.10118505766601674,0,True,0.06217657479565728,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4267.0,1158680.0,0,,,
2021_10pct,0.18,180.0,1.0,20,20,0.03596575512387131,1.0137251264615652,0.033671447977643154,1.0515140560070924,0.060248613488165154,-0.35598685894385207,0.42791836919159465,0.8048222549010812,1.3892194536946652,0.10036310490170905,20,0.03596861337921727,1.0137243250591679,0.033677126005748806,1.0515056377500263,0.060250906092272516,-0.3559836908295943,0.4279209175880288,0.8048216186472608,1.389218355444487,0.10036274789500774,0,True,0.03566315829617787,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4267.0,1158680.0,0,1.0336877831884452,-0.16062887340809,1.9087604721206926
2021_10pct,0.18,180.0,3.0,20,20,0.019061637024389965,1.0068247453331047,0.06070108786428165,1.0859824381811838,0.04146669585306176,-0.37022297331060144,0.40834624735938135,0.7993438661796045,1.3797630996482524,0.09956334222156135,20,0.019065809085755503,1.0068207673366993,0.06070108786428165,1.0858960503917712,0.041472273221120265,-0.37021726317343095,0.40834888134494196,0.7993407079467134,1.3797576481606166,0.09956378403882463,0,True,0.0162977826025525,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4267.0,1158680.0,0,1.0202527099889827,0.6124703556443363,1.2960236600802002
2021_10pct,0.18,180.0,5.0,20,20,-0.024321892931276456,1.044877429814561,-0.021934633441191002,1.0738813562211607,-0.004906937769695863,-0.4283194158354391,0.3796756299728862,0.8295548637468689,1.4319108941213619,0.1017502636491503,20,-0.0243356753914863,1.0448808602464694,-0.02189110218275845,1.0737919888179601,-0.004923943240073808,-0.428334524657913,0.3796631738749404,0.8295575872543285,1.4319155952209175,0.10174943019873922,0,True,-0.03203078723862949,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4267.0,1158680.0,0,0.9956150158274073,0.7600099944144867,1.172468789574536
2021_10pct,0.21,210.0,0.0,20,20,0.07727963967004477,0.970576857850749,-0.0258592039045117,1.1473475846429644,0.006391247894148591,-0.2979898753671379,0.4525491547072274,0.7705657430203418,1.3300886177484168,0.11025041971111844,20,0.1356725846974354,0.9268667870462898,0.030300613541031852,1.144568981844567,0.07124339424347298,-0.2226966128220255,0.4940417822168963,0.735863202037143,1.2701878822345591,0.10717740422982408,0,True,0.1356725846974354,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,4267.0,1158680.0,0,,,
2021_10pct,0.21,210.0,1.0,20,20,0.12370564204025569,0.9278337694507829,0.050974141410572146,1.1302246915113723,0.06089585179872691,-0.23503743521376552,0.4824487192942769,0.7366309140518884,1.2715130449760523,0.10723179931494534,20,0.12370777832038582,0.9278331320794386,0.050975514689153345,1.1302392708239188,0.06090053800146076,-0.2350350524966497,0.4824506091374213,0.7366304080265083,1.271512171515735,0.1072305921961249,0,True,0.12332204740730082,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,4267.0,1158680.0,0,1.050996309325924,0.22318161619466861,1.923128638059741
2021_10pct,0.21,210.0,3.0,20,20,0.052784464766098216,0.9172253316231362,-0.0463990302885693,1.0743530468270936,-0.0159877268579492,-0.30185690401766474,0.40742583354986117,0.7282086044626743,1.2569751314738797,0.10774156893522059,20,0.05278465086454527,0.917224502104267,-0.04639672467635635,1.0743395285626411,-0.01598706837626386,-0.3018563971891887,0.40742569891827923,0.7282079458864692,1.2569739946925962,0.10774155914056546,0,True,0.04939076199425643,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,4267.0,1158680.0,0,0.9845161280705961,0.716264272259837,1.2896809557972555
2021_10pct,0.21,210.0,5.0,20,20,0.025872784405955345,0.9077828207345823,-0.0424306610602702,1.1307464953698838,-0.036888099488892954,-0.3251176767209656,0.3768632455328763,0.7207119540326111,1.2440350163719778,0.10359201867662558,20,0.02588046218412544,0.9077806741006184,-0.0424309812967579,1.1307478598655458,-0.03687831592939988,-0.32510916895568004,0.3768700933239309,0.7207102497651108,1.2440320746024736,0.10359161458303773,0,True,0.016386277279472106,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,4267.0,1158680.0,0,0.9914967842037108,0.819756723123262,1.1714563217909255
2021_10pct_x10,0.065,65.0,0.0,20,20,-0.3590536067530199,1.1634438171584132,-0.1858154123486149,1.273184230561634,-0.3689757145755023,-0.8088943313761754,0.09078711787013555,0.9236877452614438,1.5943955041529956,0.09801191321969971,20,-0.44121753512907225,1.2093395142438654,-0.18586427493115124,1.2567504144653805,-0.39269035284013304,-0.9088036406030451,0.026368570344900533,0.9601255107408331,1.6572914446477736,0.1401542524188117,0,True,-0.44121753512907225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43742.0,11571613.0,0,,,
2021_10pct_x10,0.065,65.0,1.0,20,20,-0.5521126376756705,1.194972693735289,-0.37705473582632976,1.3707736755404458,-0.516475422455569,-1.0141438716098268,-0.09008140374151435,0.9487193252023216,1.637603004441186,0.13524406926448734,20,-0.46784111088610836,1.2087252785587241,-0.20760734764609867,1.2483741748462491,-0.420297478971374,-0.9351897246809657,-0.0004924970912509319,0.959637853351022,1.6564496896782286,0.1396799117332314,0,True,-0.4677329856342922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43742.0,11571613.0,0,0.7924243644168797,-0.8829505205757638,1.6270273979033976
2021_10pct_x10,0.065,65.0,3.0,20,20,-0.5207652960644955,1.1290521439286834,-0.4059771781676258,1.2333093403591948,-0.47370765192275577,-0.9573086229289434,-0.0842219692000476,0.8963833179802664,1.5472647975652842,0.14048980918066217,20,-0.5184378600246733,1.2020550214255035,-0.2651673583112834,1.2355461584175402,-0.47013564716577216,-0.9832074465747435,-0.05366827347460312,0.9543421659436603,1.6473086999476487,0.140633295216824,0,True,-0.517394742275393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43742.0,11571613.0,0,0.911651361133831,0.35561162897186666,1.1847503649359328
