truth_model,study_scenario,factor,scan_rows,scan_toys,scan_masses,ls_ratio_median,ls_ratio_min,ls_ratio_max,bound_rows,bound_row_fraction,toys_with_any_bound,total_toys,toy_any_bound_fraction,injection_rows,signal_strata,pull_mean_strata_median,pull_width_strata_median,sigma_A_over_anchor_median,sigmaA_ref_over_anchor_median,Ahat_minus_Ainj_over_anchor_sigma_median,injection_ls_ratio_median,injection_refit_bound_fraction,response_rows,positive_signal_strata,paired_response_mean,paired_response_median,paired_response_std,paired_response_candidate_prefit_sigma_units_median,paired_response_anchor_prefit_sigma_units_median,paired_response_anchor_fitted_sigma_units_median,adjacent_lml_comparisons,adjacent_lml_min_delta,adjacent_lml_median_delta,adjacent_lml_regressions
gengamma,2021_1pct_x10,9,110,10,11,9.0,6.901233132892901,9.000000000000002,99,0.9,10,10,1.0,120,12,-0.02482208964046028,1.2003078131785272,1.1123823757625728,1.1122376612964058,0.22072997217990428,9.0,0.7999999999999999,90.0,9,0.9695122684147777,0.9687009477448025,0.02965068329695443,2.6038535998964907,2.9061028432344074,2.9018021152460918,110,2.9706330971912394,44.45730008392093,0
gengamma,2021_1pct_x10,12,110,10,11,11.611114035026185,6.901400884231621,12.0,34,0.3090909090909091,8,10,0.8,120,12,-0.19224777293551998,1.1598879982925991,1.0000026973036646,1.0000074753171133,0.03953358660222746,11.430903463870266,0.225,90.0,9,0.9284640686573423,0.9719928037765997,0.1682014063227399,2.900968568784466,2.915978411329799,2.913250230626959,110,-6.601370387215866e-06,8.926639566560425,0
gengamma,2021_1pct_x10,15,110,10,11,11.61115871818411,6.901305706685529,13.362355158627992,0,0.0,0,10,0.0,120,12,-0.1732782542299386,1.2094114450906561,1.0,1.0,0.11220486981511646,11.430792483885892,0.0,90.0,9,0.923365772019643,0.9720209887617254,0.027050524285259017,2.916062966285176,2.916062966285176,2.913334702480033,110,-6.7377409322944e-06,1.9600508949224604e-06,0
gengamma,2021_1pct_x10,20,110,10,11,11.610452633260763,6.901322169392142,13.36228171197552,0,0.0,0,10,0.0,120,12,-0.1420372250793414,1.3411454417880544,0.9999991560009535,0.9999984658552876,0.11220220877189845,11.43092395818771,0.0,90.0,9,0.9000922902824607,0.9720304599091341,0.257177218548534,2.9232768340271074,2.916091379727402,2.9133630938376878,110,-7.847950428185868e-06,-4.161045126238605e-07,0
gengamma,2021_1pct_x10,25,110,10,11,11.611551789036579,6.9013113822215955,13.362331125775908,0,0.0,0,10,0.0,120,12,-0.17328511891289702,1.183459549831986,0.9999999617532824,0.9999997579759694,0.11222719682087992,11.430484259881869,0.0,90.0,9,0.9549130355597837,0.9720400947264906,0.1702084251870406,2.916120962694885,2.9161202841794713,2.9133919556763073,110,-1.411543894391798e-05,-4.619136007022462e-07,0
gengamma,2021_1pct_x100,6,110,10,11,6.0,3.776499158605783,6.000000000000001,107,0.9727272727272728,10,10,1.0,120,12,0.029663968542927667,1.1129631836724139,1.8097323644819465,1.8093333649887855,0.2588827240140356,6.000000000000006,0.9583333333333334,90.0,9,0.9698278784246079,0.9671677702670238,1.8858245295161005,1.6213169954178728,2.9015033108010715,2.903840694731084,0,,,0
gengamma,2021_1pct_x100,9,110,10,11,9.0,7.432895468717096,9.000000000000002,100,0.9090909090909091,10,10,1.0,120,12,0.21299565818737065,0.9877592614741963,1.211380115674962,1.2107893113893453,0.6382445041719749,9.000000000000009,0.9583333333333334,90.0,9,1.0661197201923862,0.9691658385696746,0.46985200529658955,2.4214925707029202,2.9074975157090237,2.909845909777814,110,4.38317895667069,47.68882249921012,0
gengamma,2021_1pct_x100,12,110,10,11,12.0,7.43256073837454,12.0,86,0.7818181818181819,10,10,1.0,120,12,0.03200062013677614,1.0376950966011933,1.034557026274869,1.034284559907849,0.4035942044105717,12.000000000000002,0.6,90.0,9,0.9355097941439456,0.9738234372513346,0.19482138509211666,2.78980271317182,2.9214703117540033,2.923831641349997,110,-0.0003842971468657197,13.404869347119643,0
gengamma,2021_1pct_x100,15,110,10,11,13.325918197507455,7.432938084155969,15.000000000000002,13,0.11818181818181818,3,10,0.3,120,12,-0.16970577743212029,1.0546239415507994,1.0,1.0,0.1672961132058992,13.15368572397109,0.09166666666666667,90.0,9,0.9266699218279386,0.973801423896393,0.2800233184333433,2.9214042716891786,2.9214042716891786,2.9207305486731827,110,-0.0010304336824447091,1.2443692967095785,0
gengamma,2021_1pct_x100,20,110,10,11,13.3256961546379,7.432729902501064,15.806814498423568,0,0.0,0,10,0.0,120,12,-0.1961878228212172,1.053722521160708,0.999992782510959,0.9999982051719103,0.2092847539506445,13.152821226199917,0.0,90.0,9,0.9264304259006817,0.9737863291407718,0.04590991408014373,2.921853876316944,2.921358987422315,2.9210363764426552,110,-0.0017434751828204753,8.432068284491834e-06,0
gengamma,2021_1pct_x100,25,110,10,11,13.324827350432638,7.432629571873343,15.811567376656344,0,0.0,0,10,0.0,120,12,-0.18327332745527353,1.0911452415570317,0.9999966593429307,0.9999761594921951,0.2444512016969169,13.152095520769345,0.0,90.0,9,0.9526541404426005,0.9739316381939169,0.08878081704473094,2.921812841794323,2.9217949145817506,2.921121094680136,110,-0.001552892592826538,-9.119437777371786e-06,0
