truth_model,study_scenario,background_toy_index,mass_mev,factor_previous,factor_current,lml_previous,lml_current,delta_lml,lml_tolerance,regression_beyond_tolerance
gengamma,2021_10pct_x10,2,50,6,9,2076.4854344232335,2085.424840262086,8.939405838852508,0.002085424840262086,False
gengamma,2021_10pct_x10,2,70,6,9,2024.372641334584,2051.796305259511,27.42366392492704,0.002051796305259511,False
gengamma,2021_10pct_x10,2,90,6,9,1989.560311575663,2031.7225519414903,42.1622403658273,0.00203172255194149,False
gengamma,2021_10pct_x10,2,110,6,9,1965.129947160301,2017.2709122446615,52.14096508436046,0.0020172709122446616,False
gengamma,2021_10pct_x10,2,130,6,9,1941.872378151984,1997.4793942098495,55.607016057865394,0.0019974793942098496,False
gengamma,2021_10pct_x10,2,150,6,9,1927.7189378217788,1984.394518497556,56.675580675777155,0.001984394518497556,False
gengamma,2021_10pct_x10,2,170,6,9,1913.9558266340448,1970.001048261533,56.04522162748822,0.001970001048261533,False
gengamma,2021_10pct_x10,2,190,6,9,1901.7795437888392,1955.4736041354931,53.69406034665394,0.001955473604135493,False
gengamma,2021_10pct_x10,2,210,6,9,1898.421712471233,1947.0066393297575,48.58492685852457,0.0019470066393297574,False
gengamma,2021_10pct_x10,2,230,6,9,1885.540167378256,1930.7622198398112,45.22205246155522,0.0019307622198398112,False
gengamma,2021_10pct_x10,2,250,6,9,1880.115079584071,1919.596600063768,39.48152047969688,0.0019195966000637677,False
gengamma,2021_10pct_x10,3,50,6,9,2088.6849079452154,2094.987189813693,6.302281868477621,0.002094987189813693,False
gengamma,2021_10pct_x10,3,70,6,9,2022.455062983736,2057.794926813265,35.33986382952912,0.002057794926813265,False
gengamma,2021_10pct_x10,3,90,6,9,1991.171292324128,2037.6613856459117,46.49009332178366,0.0020376613856459115,False
gengamma,2021_10pct_x10,3,110,6,9,1966.5089333525484,2017.369464761482,50.86053140893364,0.002017369464761482,False
gengamma,2021_10pct_x10,3,130,6,9,1952.0466036763264,2006.055174745078,54.00857106875151,0.002006055174745078,False
gengamma,2021_10pct_x10,3,150,6,9,1929.4094147200829,1984.115921897105,54.706507177022104,0.001984115921897105,False
gengamma,2021_10pct_x10,3,170,6,9,1914.048144338933,1967.289547388472,53.24140304953903,0.001967289547388472,False
gengamma,2021_10pct_x10,3,190,6,9,1909.4621233618425,1961.2909819770723,51.82885861522982,0.0019612909819770722,False
gengamma,2021_10pct_x10,3,210,6,9,1893.662263165941,1943.759753876154,50.097490710212924,0.001943759753876154,False
gengamma,2021_10pct_x10,3,230,6,9,1875.813418957864,1923.8038399594957,47.9904210016316,0.0019238038399594956,False
gengamma,2021_10pct_x10,3,250,6,9,1872.85633510699,1917.3039684172315,44.4476333102416,0.0019173039684172314,False
gengamma,2021_10pct_x10,4,50,6,9,2051.994878137803,2062.756202683657,10.761324545854222,0.002062756202683657,False
gengamma,2021_10pct_x10,4,70,6,9,1990.1241901237856,2023.441995284267,33.317805160481385,0.002023441995284267,False
gengamma,2021_10pct_x10,4,90,6,9,1951.4945707247823,1997.8831021768533,46.38853145207099,0.001997883102176853,False
gengamma,2021_10pct_x10,4,110,6,9,1937.036163421667,1991.6480318062872,54.611868384620266,0.001991648031806287,False
gengamma,2021_10pct_x10,4,130,6,9,1922.4871677520623,1980.4539826100308,57.96681485796853,0.0019804539826100307,False
gengamma,2021_10pct_x10,4,150,6,9,1898.2740195123667,1957.4337651028616,59.15974559049482,0.0019574337651028615,False
gengamma,2021_10pct_x10,4,170,6,9,1894.800969431933,1952.0036489675697,57.20267953563666,0.0019520036489675697,False
gengamma,2021_10pct_x10,4,190,6,9,1881.954688635435,1938.2211444171312,56.266455781696095,0.0019382211444171312,False
gengamma,2021_10pct_x10,4,210,6,9,1869.334024491466,1921.5100733893348,52.176048897868895,0.0019215100733893347,False
gengamma,2021_10pct_x10,4,230,6,9,1864.642617604284,1912.6467482030353,48.00413059875132,0.0019126467482030352,False
gengamma,2021_10pct_x10,4,250,6,9,1843.5239759289727,1887.678243914959,44.15426798598628,0.001887678243914959,False
