truth_model,study_scenario,factor,mass_mev,anchor_nsigma,injection_rows,injection_toys,sigma_A_over_anchor_median,sigmaA_ref_over_anchor_median,Ahat_minus_Ainj_over_anchor_sigma_median,pull_mean,pull_width,refit_ls_ratio_median,refit_ls_ratio_max,refit_bound_rows,Nsig_win_median,Nsig_train_median,refit_bound_row_fraction,response_rows,paired_response_mean,paired_response_median,paired_response_std,paired_response_candidate_prefit_sigma_units_median,paired_response_anchor_prefit_sigma_units_median,paired_response_anchor_fitted_sigma_units_median
gengamma,2021_10pct,9,220,0.0,10,10,1.121519281296584,1.116935314482666,0.8341529629732805,0.4084329470347793,1.313680445828611,9.0,9.0,9,0.0,0.0,0.9,,,,,,,
gengamma,2021_10pct,9,220,1.0,10,10,1.117574432863019,1.116935314482666,0.8069352335257427,0.37367368683181923,1.3051313884589215,9.0,9.0,10,1925.0,42.5,1.0,10.0,0.9751672044782819,0.9624702559491592,0.03970445104074302,0.8611405990723715,0.9624702559491592,0.9626990848089962
gengamma,2021_10pct,9,220,3.0,10,10,1.117778875372477,1.116935314482666,0.7985097511623764,0.3432420994109192,1.324365212909741,9.0,9.0,10,5908.5,127.0,1.0,10.0,0.9804350066613738,0.9778077048519664,0.017745044743229185,2.625772847074556,2.9334231145558993,2.9290063250039657
gengamma,2021_10pct,9,220,5.0,10,10,1.1179795949075917,1.116935314482666,0.8059527131681283,0.29145943076625797,1.2763347037418178,9.0,9.0,10,9802.5,214.5,1.0,10.0,0.9767224363828563,0.9757893558354648,0.01637990496313991,4.374586383590316,4.878946779177324,4.868749378981283
gengamma,2021_10pct,12,60,0.0,10,10,0.9999967772386259,0.9999938516801998,-1.243590539798367,-0.8458897771341395,1.086938912674352,8.864327417384775,9.63878818113772,0,0.0,0.0,0.0,,,,,,,
gengamma,2021_10pct,12,60,1.0,10,10,0.9999994175640341,0.9999938516801998,-1.3192375879659886,-0.9216355266822331,1.0729820430150097,8.862126812205211,9.63424575518086,0,6706.0,241.5,0.0,10.0,0.9238015295620364,0.92392132528417,0.02763212187776159,0.9239339949762524,0.92392132528417,0.9240355321295028
gengamma,2021_10pct,12,60,3.0,10,10,0.9999953395460586,0.9999938516801998,-1.4256252821494049,-1.258158885959102,0.8358714184464183,8.937213753590125,9.621698707450758,0,19911.5,720.0,0.0,10.0,0.8673838920199237,0.9263431327874414,0.19208790612798682,2.779068284975181,2.779029398362324,2.778037106168757
gengamma,2021_10pct,12,60,5.0,10,10,1.000000596002695,0.9999938516801998,-1.361100121346607,-1.1342183391378704,1.0176978316627345,8.738171706568412,9.609610550069098,0,33197.0,1214.5,0.0,10.0,0.7228078127002951,0.9268809835571996,0.6515761332123386,4.634455101506294,4.634404917785998,4.653042834900338
gengamma,2021_10pct,12,120,0.0,10,10,1.007254099524291,1.007279212859896,-0.020493223861811474,-0.16869891294562364,1.6458401350679641,12.000000000000043,12.000000000000043,8,0.0,0.0,0.8,,,,,,,
gengamma,2021_10pct,12,120,1.0,10,10,1.007162124796888,1.007279212859896,-0.035016783775151536,-0.1839414908754865,1.648920068609676,12.000000000000043,12.000000000000043,8,4968.0,94.0,0.8,10.0,0.9845016401655439,0.9822483145701861,0.02473329687768741,0.9724569186493708,0.9822483145701861,0.9820828247524338
gengamma,2021_10pct,12,120,3.0,10,10,1.0069884487343277,1.007279212859896,-0.0906859816025234,-0.21924844581693786,1.6417344821314228,12.000000000000043,12.000000000000043,8,14941.5,295.0,0.8,10.0,0.9829482721049692,0.9845669887789401,0.008007134317581203,2.920143403812795,2.9537009663368203,2.9521058185341773
