factor,truth_model,study_scenario,background_toy_index,mass_mev,injection_toy,anchor_nsigma,inj_nsigma,strength,anchor_strength,A_hat,sigmaA_ref,injection_anchor_sigmaA_ref,anchor_sigma_A,sigma_A_over_anchor,sigmaA_ref_over_anchor,Ahat_minus_Ainj_over_anchor_sigma,A_hat_zero,delta_A_hat,paired_response,paired_response_candidate_prefit_sigma_units,paired_response_anchor_prefit_sigma_units,paired_response_anchor_fitted_sigma_units
6,gengamma,2021_10pct,1,120,0,3.0,1.6560964003052,15257.93177516764,15257.93177516764,8109.322508905098,9213.19059226007,5085.977258389213,5090.695164606487,1.8103851049922444,1.8114887511663773,-1.4042501142012758,-6889.084909576569,14998.407418481667,0.982990856132392,1.6279276183737816,2.948972568397177,2.946239547549308
6,gengamma,2021_10pct,1,120,0,5.0,2.7601606671753336,25429.886291946063,25429.886291946063,18500.16655664959,9213.19059226007,5085.977258389213,5093.512499427003,1.8099441719446514,1.8114887511663773,-1.3604992107265927,-6889.084909576569,25389.25146622616,0.9984020838609581,2.7557501618989053,4.99201041930479,4.984625338424582
6,gengamma,2021_10pct,1,220,0,1.0,0.6069108751037635,1997.2592343766191,1997.2592343766191,-3001.2412545839825,3290.8608435054784,1997.2592343766191,1995.740149634304,1.6478030139570996,1.647688385595381,-2.504584822766891,-4922.930592388353,1921.6893378043706,0.9621632008146227,0.5839473101990408,0.9621632008146227,0.9628955644132817
6,gengamma,2021_10pct,1,220,0,3.0,1.8207326253112903,5991.777703129857,5991.777703129857,701.8519651859428,3290.8608435054784,1997.2592343766191,1997.373038528712,1.6479269734640565,1.647688385595381,-2.6484415459220054,-4922.930592388353,5624.782557574295,0.9387502067435081,1.709213128435624,2.816250620230524,2.816090158960779
6,gengamma,2021_10pct,1,220,0,5.0,3.0345543755188173,9986.296171883096,9986.296171883096,4876.462091442584,3290.8608435054784,1997.2592343766191,1998.7862513582024,1.6482307006633086,1.647688385595381,-2.5564684953022416,-4922.930592388353,9799.392683830938,0.9812840031143485,2.977759665277267,4.906420015571743,4.902671647442101
6,gengamma,2021_10pct,2,60,0,1.0,0.7315537141413545,7359.607127014328,7359.607127014328,15720.550458204018,10060.241626484678,7359.607127014328,7350.047111296558,1.3697229335420316,1.3669536230483477,1.1375360191010815,9271.88576671982,6448.664691484197,0.8762240402498651,0.6410049510647325,0.8762240402498651,0.8773637221417271
6,gengamma,2021_10pct,2,60,0,3.0,2.194661142424063,22078.82138104298,22078.82138104298,29292.705088840437,10060.241626484678,7359.607127014328,7327.930779414961,1.374938927702109,1.3669536230483477,0.9844366609005265,9271.88576671982,20020.819322120617,0.9067884094261762,1.9900932865681513,2.7203652282785282,2.732124514380172
6,gengamma,2021_10pct,2,60,0,5.0,3.657768570706773,36798.03563507164,36798.03563507164,43365.171085968046,10060.241626484678,7359.607127014328,7303.819489848488,1.3805922810072029,1.3669536230483477,0.8991371514621915,9271.88576671982,34093.28531924823,0.9264974265842182,3.388913167800459,4.63248713292109,4.667870744428196
6,gengamma,2021_10pct,2,120,0,1.0,0.5481771228155247,5039.133902004896,5039.133902004896,-3321.234690262951,9192.528641332396,5039.133902004896,5039.620329360014,1.8241198767890494,1.8242278971144243,-1.6589282616314744,-8261.999132185801,4940.764441922851,0.9804788953826157,0.537476099852186,0.9804788953826157,0.9803842589368797
6,gengamma,2021_10pct,2,120,0,3.0,1.644531368446574,15117.401706014689,15117.401706014689,6703.070122671396,9192.528641332396,5039.133902004896,5043.512054096082,1.8232888306403972,1.8242278971144243,-1.668347669856287,-8261.999132185801,14965.069254857197,0.9899233708199416,1.6279600356717638,2.969770112459825,2.967192126110482
6,gengamma,2021_10pct,2,120,0,5.0,2.740885614077623,25195.669510024483,25195.669510024483,16393.928552182897,9192.528641332396,5039.133902004896,5047.917317652386,1.8222228100298956,1.8242278971144243,-1.7436380994320595,-8261.999132185801,24655.927684368697,0.9785779923235998,2.682170341412718,4.892889961618,4.884376294783554
6,gengamma,2021_10pct,2,220,0,1.0,0.6098238659840812,2009.042787276421,2009.042787276421,5421.237443414909,3294.464023697073,2009.042787276421,2009.613665188402,1.6380164475978805,1.6398177503044853,1.697935635712645,3531.89568364712,1889.3417597677885,0.9404188759608717,0.5734898745828629,0.9404188759608717,0.9401517279146597
6,gengamma,2021_10pct,2,220,0,3.0,1.829471597952244,6027.128361829263,6027.128361829263,9254.587812552663,3294.464023697073,2009.042787276421,2011.8141978477008,1.6376723836888618,1.6398177503044853,1.604253242757822,3531.89568364712,5722.692128905543,0.9494890079242775,1.7370631725653185,2.8484670237728325,2.844543067161893
6,gengamma,2021_10pct,2,220,0,5.0,3.0491193299204062,10045.213936382104,10045.213936382104,13361.78073001223,3294.464023697073,2009.042787276421,2013.7698308002764,1.6375307364009442,1.6398177503044853,1.6469443244723327,3531.89568364712,9829.885046365109,0.9785640314501307,2.9837585038594336,4.892820157250653,4.881334945046174
6,gengamma,2021_10pct,3,60,0,1.0,0.6556027142768286,6517.271509438631,6517.271509438631,26134.037208084927,9940.885489816184,6517.271509438631,6517.438908716072,1.5266783029445512,1.5253140022506824,3.0098886960661635,20466.545660171676,5667.4915479132505,0.8696110849003778,0.5701193876259053,0.8696110849003778,0.8695887490918944
6,gengamma,2021_10pct,3,60,0,3.0,1.966808142830486,19551.814528315896,19551.814528315896,38583.92497733363,9940.885489816184,6517.271509438631,6524.402136693794,1.5257658333622073,1.5253140022506824,2.9170658169550157,20466.545660171676,18117.37931716195,0.9266341643597056,1.822511619887592,2.779902493079117,2.7768642915598756
6,gengamma,2021_10pct,3,60,0,5.0,3.2780135713841427,32586.35754719315,32586.35754719315,50161.776780678185,9940.885489816184,6517.271509438631,6530.339131785768,1.5250849900856305,1.5253140022506824,2.691348623525301,20466.545660171676,29695.23112050651,0.9112780118950217,2.987181690295841,4.556390059475108,4.547272434285681
6,gengamma,2021_10pct,3,120,0,1.0,0.5638705522847028,5177.6077177698535,5177.6077177698535,36977.47340825298,9182.263015493736,5177.6077177698535,5179.009239163633,1.7734652798516761,1.7734566842481463,6.140144614922245,31869.43618752083,5108.0372207321525,0.9865631965900138,0.5562939345249729,0.9865631965900138,0.986296217065073
6,gengamma,2021_10pct,3,120,0,3.0,1.6916116568541084,15532.82315330956,15532.82315330956,47169.48957117343,9182.263015493736,5177.6077177698535,5179.69243124729,1.7737949146881145,1.7734566842481463,6.107827219046988,31869.43618752083,15300.053383652597,0.9850143295034318,1.666261721956339,2.955042988510295,2.953853648018302
6,gengamma,2021_10pct,3,120,0,5.0,2.819352761423514,25888.038588849267,25888.038588849267,56854.29425580398,9182.263015493736,5177.6077177698535,5179.653787552171,1.7743652816380193,1.7734566842481463,5.97844121191523,31869.43618752083,24984.85806828315,0.9651120529094411,2.7209913314533494,4.825560264547206,4.823654068989548
6,gengamma,2021_10pct,3,220,0,1.0,0.6167281209931847,2010.9867087905704,2010.9867087905704,3526.1821157421905,3260.7345770970496,2010.9867087905704,2013.0010560449348,1.6216436593203158,1.6214600339442777,0.7527047253162481,1537.659248059574,1988.5228676826164,0.9888294432729174,0.6098389245324434,0.9888294432729174,0.9878399525480567
6,gengamma,2021_10pct,3,220,0,3.0,1.8501843629795545,6032.960126371711,6032.960126371711,7600.738296408711,3260.7345770970496,2010.9867087905704,2015.004552391463,1.6215034034813764,1.6214600339442777,0.7780519245856379,1537.659248059574,6063.079048349136,1.0049923953327269,1.8594212147579776,3.0149771859981804,3.0089654344221244
6,gengamma,2021_10pct,3,220,0,5.0,3.0836406049659235,10054.933543952851,10054.933543952851,11401.444122927653,3260.7345770970496,2010.9867087905704,2017.1867092209093,1.6213094536555792,1.6214600339442777,0.6675190614828407,1537.659248059574,9863.784874868079,0.98098956415284,3.0250192530695212,4.9049478207642,4.889872033054259
6,gengamma,2021_10pct,4,60,0,1.0,0.6936245959080234,6903.379457203143,6903.379457203143,15817.670829885132,9952.616296955175,6903.379457203143,6904.527471984472,1.4425600299141768,1.441702047331382,1.2910791373996633,9313.603143109854,6504.067686775277,0.9421570590312525,0.6535033093524444,0.9421570590312525,0.9420004067136986
6,gengamma,2021_10pct,4,60,0,3.0,2.08087378772407,20710.138371609428,20710.138371609428,28137.475344056667,9952.616296955175,6903.379457203143,6906.941712758076,1.4427871832437413,1.441702047331382,1.0753438035719804,9313.603143109854,18823.87220094681,0.9089206389249233,1.8913491326602874,2.7267619167747696,2.7253555891714734
6,gengamma,2021_10pct,4,60,0,5.0,3.468122979540117,34516.897286015716,34516.897286015716,42153.35866949628,9952.616296955175,6903.379457203143,6909.835842104946,1.4429273543725962,1.441702047331382,1.1051581481788526,9313.603143109854,32839.75552638643,0.9514109931222361,3.2996103282343117,4.7570549656111805,4.752610087533199
6,gengamma,2021_10pct,4,120,0,1.0,0.5504024519130807,5059.144011557535,5059.144011557535,-11858.328391293982,9191.717794811846,5059.144011557535,5059.2471242202255,1.8164056402802335,1.816852371431513,-3.3438715262320744,-16617.889062621234,4759.560671327252,0.9407837888097492,0.5178097040809638,0.9407837888097492,0.9407646146680048
6,gengamma,2021_10pct,4,120,0,3.0,1.6512073557392422,15177.432034672604,15177.432034672604,-1679.3544974334914,9191.717794811846,5059.144011557535,5062.0221620544835,1.8159848817185065,1.816852371431513,-3.3300499271746697,-16617.889062621234,14938.534565187743,0.9842596910373835,1.625216841798561,2.95277907311215,2.951100190190546
6,gengamma,2021_10pct,4,120,0,5.0,2.7520122595654035,25295.720057787676,25295.720057787676,8130.183143435462,9191.717794811846,5059.144011557535,5064.828016765353,1.8155796741071095,1.816852371431513,-3.389164816165854,-16617.889062621234,24748.072206056695,0.9783501774023476,2.692431682359248,4.891750887011738,4.886261117679969
6,gengamma,2021_10pct,4,220,0,1.0,0.6027620450552752,1977.371059222866,1977.371059222866,-2346.8667044862905,3280.5168730249675,1977.371059222866,1978.9551637698653,1.657547744329787,1.6590294763969367,-2.1851115390970155,-4147.629629063168,1800.7629245768776,0.9106853851115845,0.5489265851318096,0.9106853851115845,0.909956404038212
6,gengamma,2021_10pct,4,220,0,3.0,1.8082861351658257,5932.113177668598,5932.113177668598,1650.7657932715106,3280.5168730249675,1977.371059222866,1980.5773415160536,1.6576863086790643,1.6590294763969367,-2.161666345793841,-4147.629629063168,5798.395422334679,0.9774586641675519,1.767524950111893,2.9323759925026556,2.9276288791106926
6,gengamma,2021_10pct,4,220,0,5.0,3.013810225276376,9886.85529611433,9886.85529611433,5038.292409874969,3280.5168730249675,1977.371059222866,1982.0681825117013,1.6579608832479429,1.6590294763969367,-2.4462139743826588,-4147.629629063168,9185.922038938137,0.9291045295816487,2.8001447316037704,4.645522647908243,4.634513645891648
6,gengamma,2021_10pct,5,60,0,1.0,0.6882734641340804,6871.50118880297,6871.50118880297,-1021.7242929123944,9983.67879466054,6871.50118880297,6872.16779379623,1.4530121228221942,1.452910873526272,-1.148578689950045,-7367.970340922331,6346.246048009937,0.9235603507354506,0.6356620819375749,0.9235603507354506,0.9234707647474698
6,gengamma,2021_10pct,5,60,0,3.0,2.0648203924022415,20614.503566408912,20614.503566408912,12167.766459733351,9983.67879466054,6871.50118880297,6877.156459378032,1.4528355399150514,1.452910873526272,-1.228231051099204,-7367.970340922331,19535.736800655683,0.9476695248916367,1.9567673602543947,2.84300857467491,2.840670692320193
