variant,dataset,bin_center_MeV,observed,gp_mean_preprofile,in_extraction_window,null_profiled_background,standalone_profiled_background,standalone_profiled_total,shared_profiled_background,shared_profiled_total
common_0p5MeV,2015,82.750000000000014,3663,3697.7661293235733,False,,,,,
common_0p5MeV,2015,83.250000000000014,3444,3515.3883898863555,False,,,,,
common_0p5MeV,2015,83.750000000000014,3278,3342.125835339536,False,,,,,
common_0p5MeV,2015,84.25,3183,3177.4906968640071,False,,,,,
common_0p5MeV,2015,84.75,2963,3021.0269702471046,False,,,,,
common_0p5MeV,2015,85.25,2737,2872.308005009038,False,,,,,
common_0p5MeV,2015,85.75,2787,2730.9342551243953,False,,,,,
common_0p5MeV,2015,86.250000000000014,2578,2596.5311842352849,False,,,,,
common_0p5MeV,2015,86.750000000000014,2449,2468.7473206989062,False,,,,,
common_0p5MeV,2015,87.250000000000014,2467,2347.2524566134548,False,,,,,
common_0p5MeV,2015,87.750000000000014,2217,2231.7359823291176,False,,,,,
common_0p5MeV,2015,88.250000000000014,2149,2121.905353328872,False,,,,,
common_0p5MeV,2015,88.75,1989,2017.4846789501464,False,,,,,
common_0p5MeV,2015,89.25,1845,1918.2134300633243,False,,,,,
common_0p5MeV,2015,89.75,1894,1823.845255368147,False,,,,,
common_0p5MeV,2015,90.25,1735,1734.1469027039261,False,,,,,
common_0p5MeV,2015,90.750000000000014,1662,1648.897236437225,False,,,,,
common_0p5MeV,2015,91.250000000000014,1574,1567.8863450931428,False,,,,,
common_0p5MeV,2015,91.750000000000014,1472,1490.9147332494804,False,,,,,
common_0p5MeV,2015,92.250000000000014,1414,1417.7925901933231,False,,,,,
common_0p5MeV,2015,92.750000000000014,1450,1348.3391299409686,False,,,,,
common_0p5MeV,2015,93.25,1328,1282.3819962729613,False,,,,,
common_0p5MeV,2015,93.75,1249,1219.756727085776,False,,,,,
common_0p5MeV,2015,94.25,1194,1160.3062723466612,False,,,,,
common_0p5MeV,2015,94.750000000000014,1138,1103.8805607858831,False,,,,,
common_0p5MeV,2015,95.250000000000014,1027,1050.3361097769716,False,,,,,
common_0p5MeV,2015,95.750000000000014,1000,999.53567426641246,False,,,,,
common_0p5MeV,2015,96.250000000000014,939,951.34792987878973,False,,,,,
common_0p5MeV,2015,96.750000000000014,870,905.64718671061485,False,,,,,
common_0p5MeV,2015,97.25,825,862.31312954234954,False,,,,,
common_0p5MeV,2015,97.749999999999986,835,821.23058141675517,False,,,,,
common_0p5MeV,2015,98.249999999999986,779,782.28928732978761,False,,,,,
common_0p5MeV,2015,98.75,749,745.38371532624296,False,,,,,
common_0p5MeV,2015,99.25,721,710.4128724405266,False,,,,,
common_0p5MeV,2015,99.75,707,677.28013336107051,False,,,,,
common_0p5MeV,2015,100.25,689,645.89307976061525,False,,,,,
common_0p5MeV,2015,100.75,584,616.16334879636463,False,,,,,
common_0p5MeV,2015,101.25,580,588.00648906891206,False,,,,,
common_0p5MeV,2015,101.75,554,561.34182316989165,False,,,,,
common_0p5MeV,2015,102.25000000000001,545,536.09231538808604,False,,,,,
common_0p5MeV,2015,102.75000000000001,522,512.18444402306159,False,,,,,
common_0p5MeV,2015,103.25000000000001,471,489.54807747815607,False,,,,,
common_0p5MeV,2015,103.75000000000001,466,468.11635361268651,False,,,,,
common_0p5MeV,2015,104.25000000000001,461,447.82556191410237,False,,,,,
common_0p5MeV,2015,104.75000000000001,435,428.61502817386076,False,,,,,
common_0p5MeV,2015,105.25000000000001,429,410.42700150815898,False,,,,,
common_0p5MeV,2015,105.75000000000001,406,393.20654340091858,False,,,,,
common_0p5MeV,2015,106.25000000000001,345,376.90141891607459,False,,,,,
common_0p5MeV,2015,106.75000000000001,340,361.4619898058238,False,,,,,
common_0p5MeV,2015,107.25000000000001,320,346.84110971118912,False,,,,,
common_0p5MeV,2015,107.75,321,332.99402138330765,False,,,,,
common_0p5MeV,2015,108.25,298,319.87825601746897,False,,,,,
common_0p5MeV,2015,108.75,289,307.4535347605111,False,,,,,
common_0p5MeV,2015,109.25,308,295.68167248663372,False,,,,,
