model,scenario,toy_index,status,accepted_rows,raw_primary_rows,excluded_rows,success_marker_sha256,optimizer_attempts_sha256,accepted_rows_sha256,raw_primary_rows_sha256,exclusions_sha256
knot_spline,2021_1pct_x10,1,pass,20,20,0,85422053138e12e732123905506ac5902fbb6981d44bdcdc75b598c043122cd4,4d896b101a7a2da4ab3da3fb84af5ed3c1e0e17dd4045f95937156b8e27b7c7e,0a29e068c917d0cdd342c9b9fa31cd4fb82ab3772efde7146eb071fc13cb4f11,f8ca99f865e041676db9a3de6bfd334c2703ada0fe84e4473beaff027d622be0,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,2,pass,20,20,0,67e45252ef27fcf279e680bc6e1c2b81ad37c5f1ac5ddc9f1799124a5bc98cfe,613f569decb879ea612369f92e95fc44aac096d45c065f62e51b70a28cff8c9c,b9e6e0e668c2fe223ec9803d2492728e7aa382a99f6da99819fb6bc7eaaaad9a,4dfa94b5b2a934b88b4faaa07631070b609d48f8d10449e91241dfbc88a49781,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,3,pass,20,20,0,faa8d69ad5ff7c459148a56a5368e9055471b5e94e926beb02e03ce1a9b66971,983fcacd7874253be6965b80a6e17192938271de3debd61e899a47c45877fcde,c3239b5ca2da6e96532a1d1c13ea13982cb969f0fffbb7779c7f1c1a13abce44,02f56fa5471f97dd458fbc1156bb2f4aeafdbafdb1fc4745e95c5cf8385b1d7c,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,4,pass,20,20,0,3194fb2bcafd5cca37a127848719a5bb2b0948b1ce63079ef0840069c31289d3,a0f944c70ef8190bca80565f047a298a278df8b7dfbbaaee4f69d2610971394f,9ad2731e61b3d5aa0a4d9cf5d6faa0661d835800ce71e15e2e095b3b5793ad54,a680647254b78ecc2e05bacf563f79ce9c4ce83e9b17d3e029b6162308046669,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,5,pass,20,20,0,7a4a380b408029c8c0d440f530f74cd0f91dec6ce954988a9a6c437ca7fed4c1,ec50d0a637951a68db8dfb9ad61e8d86d67e08e1a0533d84540bc378158353b7,281f9a07bf67eea81779ca334d1a22b0872156528fb51f16c4be471be1cfc797,10da4806edf499d59f2dc1a1d2b8c9c88b6a08f702762bb436a0a6f95c2fcbb4,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,6,pass,20,20,0,b4d3a708ef65ec860374806e9815922a38943ac77850af2aa9d6b295c0a02b9e,d941322a5e46981fb7389b7d105cc700b5130361dd812d2228a5736f4c8431e3,aa22d7d3932851b627c2e4035c8c50dff024cae3b0231d9b83db9a7f338da456,2bc0820c288a798a0ebd4acda56118d94969b6a321f4fa50dc647797b29a1c49,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,7,pass,20,20,0,ebe2f4335da5b6b5017b87ddf5030c0ede419088be10ee917c74365e56a326fb,812e835fbbb7e73b62e469708ed63c53664cfa113070a9e7eb959f10951cd6cb,e111a8eaba4e66bdae224dbef7b97c9f2cdd41edcdc3e4c47b9e7453da3763f8,5532af6032417dfe33232fee6a1a1161c543ed206e57623f4936e3f1c614886b,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,8,pass,20,20,0,70c992ed358fb2d5b5b2457976178b20a232e80481f8cc9901404650e00240d9,86a35acb9112e5fee26e4ae3a251d8adbb52dac927d1774db5be60c7f2e7f640,fe8dd11ea27797a6a7299c494a9b915f48daf2fdc5cfc6ddf28d129ae96df409,b5b795770c2a1ab3bdf3888ecb35fcca11ea5a4de7822792e9eff1eaa35d7687,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,9,pass,20,20,0,455ce40a158e638f6ecbe079138a4ace0ac3b12be2b00946572a31b00489b2c7,ba58b0a81fb563cd0fee8d66ebbf8207e4ac0946b15d6e8ca8da42f3d45a9d54,0a144a16c6c49c91b3a37e851d454fcb2c82f648aadcaea2f7b47491c109fe5a,47ccae99a90a66181a7d6bc3387bb0f9cf2578ca20652bc152dd82874364e0d8,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,10,pass,20,20,0,2c54d0dec1cf3c378643a7ce1cbfd2563fa94b55e0995bd2201705633f0c1255,f3126a8187f96790772cd86797ba3d30feb6f3c344def65446ec6921776d72a9,36b549c5bcc7f372ef6c8ba26bd44e7bf3dbfadb14c6b7a55d54fa4d72b8344e,765ebfd81a34c4759e52dc3e4432d5dec6c3656c7de9ef6b9d7deaf4872482c2,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
