dataset,variant,variant_label,variant_role,mode,nuisance_profile,lslb,ls_upper,const_lower,const_upper,n_groups,n_nonzero_groups,n_toy_rows,n_source_toys_median,rms_pull_mean_nonzero,median_abs_pull_mean_nonzero,pull_width_median_nonzero,pull_width_rmse_nonzero,cov1_abs_resid_mean_all,cov2_abs_resid_mean_all,sigma_ratio_median_all,eps2_95_exp_proxy_median_nonzero,eps2_95_obs_proxy_median_nonzero,eps_95_exp_proxy_median_nonzero,eps_95_obs_proxy_median_nonzero,success_rate_min,refit_ok_rate_min,fallback_rate_max,ls_hi_median,refit_ls_opt_mean,refit_const_opt_mean,nuisance_pull_norm_median_all,profile_shift_abs_fraction_observed_median_all,score_lower_is_better,eps2_95_exp_proxy_median_nonzero_ratio_vs_profiled_nominal,eps2_95_obs_proxy_median_nonzero_ratio_vs_profiled_nominal,eps_95_exp_proxy_median_nonzero_ratio_vs_profiled_nominal,eps_95_obs_proxy_median_nonzero_ratio_vs_profiled_nominal,eps2_exp_reach_loss_pct_vs_nominal,rank_within_dataset
2016,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,beta_profiled,True,0.9,8.0,,,15,12,150,10.0,1.9782525812926146,1.5582183204609916,2.7832248983348267,2.035748000306967,0.4693666666666666,0.5411666666666667,0.4050387061132149,5.4399038602366406e-05,0.00021252867052532523,0.007375505687213662,0.014555498951619027,1.0,1.0,0.0,0.3282532244372333,0.11146191522444764,1.0,0.4223568033007752,0.006710691604971149,1.541267836584397,0.3804961287232354,0.6835262281537613,0.6168564113145741,0.8256138146582079,-61.950387127676464,4.0
2016,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,profiled,True,0.9,8.0,0.0001,10000.0,15,12,150,10.0,3.0631921391751935,2.458280512702232,1.305652469048313,0.3978025207280556,0.45167333333333326,0.4939,1.0281280247766627,0.00035326196346019466,0.00035908815708153964,0.018795208247294283,0.018949422096797924,1.0,1.0,0.0,0.3282532244372333,0.09035750092752703,13.218662971965076,,,1.6039167757138513,2.470904136822851,1.154884999647059,1.571952514311738,1.0748449582462214,147.0904136822851,5.0
2016,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,profiled,True,0.9,8.0,0.01,100.0,15,12,150,10.0,3.065026324016668,2.4323606087141596,1.305587698703563,0.44529838476880707,0.44500666666666666,0.4872333333333333,1.0282180928424953,0.0003537738424221039,0.00035862928981833704,0.018808809102755123,0.01893730050273188,1.0,1.0,0.0,0.3282532244372333,0.0903600293793388,13.218920993009183,,,1.6098281864488255,2.474484493542112,1.1534092090684758,1.5730900329099444,1.0741573998499157,147.4484493542112,6.0
2016,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,0.9,8.0,,,15,12,150,10.0,8.596831364402174,6.6272770356537,14.81331816754929,14.732078251555166,0.6493666666666668,0.8811666666666668,0.9960139818763344,9.744287785666778e-06,2.6708254775734404e-05,0.003121584119661152,0.005168001787875281,1.0,1.0,0.0,0.3282532244372333,0.11146191522444764,1.0,,,7.729187013579699,0.06815678870196118,0.08589802308696996,0.26107622437454714,0.2931382623454176,-93.18432112980388,7.0
2021,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,profiled,True,1.1,9.0,0.01,100.0,15,12,150,10.0,0.10683898755988101,0.10086955060818427,0.8677063755918282,0.22982663643964518,0.11910000000000001,0.047899999999999984,1.0132681592645278,6.382463322884028e-05,0.00013934569735103692,0.007986577728522671,0.011776001329355145,1.0,1.0,0.0,0.1847058027303512,0.08667618490255086,20.504891162050566,,,0.13060567346273885,1.3676219519063872,0.8680838453767333,1.169096920381444,0.9303976585931064,36.76219519063872,1.0
2021,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,profiled,True,1.1,9.0,0.0001,10000.0,15,12,150,10.0,0.1269410536123869,0.08659320133960546,0.8516183864955338,0.21727761176833874,0.15679333333333334,0.046699999999999985,1.013456509503833,6.378015622513641e-05,0.00014151162572268572,0.00798380417888988,0.01186294355513818,1.0,1.0,0.0,0.1847058027303512,0.08667655348446462,20.504650162925135,,,0.1362471847689135,1.366668907234711,0.8815769597348673,1.1686909206598561,0.9372667851360666,36.66689072347109,2.0
2021,profiled_lsub6,"profiled nuisance, ls upper=6 sigma",upper_bound_stress,profiled,True,1.1,6.0,,,15,12,150,10.0,0.30129484571075993,0.19877547239669807,0.871430191786105,0.2820873398682131,0.10551333333333336,0.045499999999999985,1.0477575069760094,9.871798313317044e-05,0.00032697302370090147,0.009935494798333621,0.018062060251150067,1.0,1.0,0.0,0.1231372018202341,0.058066113444264156,1.0,,,0.22115525850842133,2.115309935221723,2.036948432169328,1.454384689666859,1.427046252546396,111.53099352217231,3.0
2021,profiled_lsub12,"profiled nuisance, ls upper=12 sigma",upper_bound_stress,profiled,True,1.1,12.0,,,15,12,150,10.0,0.16708489667508708,0.15093526606510155,0.5728487077503445,0.38987685939273015,0.27909999999999996,0.045499999999999985,1.0069440370305012,3.161557501733771e-05,0.00010040217036750878,0.00562275751403696,0.01000913071460481,1.0,1.0,0.0,0.2462744036404682,0.08211788514717305,1.0,,,0.22226893891525404,0.6774524541461256,0.6254768090702613,0.8230745028920148,0.7908008432545425,-32.25475458538744,4.0
2021,profiled_nominal,"profiled nuisance, nominal bounds",profile_nominal,profiled,True,1.1,9.0,,,15,12,150,10.0,0.37378672819090764,0.224963838603695,0.7591293763461726,0.2594228750452587,0.08602000000000004,0.046699999999999985,1.0149503777197855,4.666833048407301e-05,0.00016052101198883996,0.0068314077210269875,0.012656955034863408,1.0,1.0,0.0,0.1847058027303512,0.07111617464250468,1.0,,,0.23797002382531526,1.0,1.0,1.0,1.0,0.0,5.0
2021,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,beta_profiled,True,1.1,9.0,,,15,12,150,10.0,0.3336364610188587,0.2755860195303204,1.5841231092527848,0.7577812529323112,0.23834,0.18783333333333338,0.865672496604634,3.979999935513104e-05,0.00014118206578041028,0.006308719977399015,0.011867418112687817,1.0,1.0,0.0,0.1847058027303512,0.07111617464250468,1.0,0.35869035889497614,0.0039921539456315505,0.3965124972812345,0.8528267230111007,0.8795238955397677,0.9234875497155373,0.9376203107302805,-14.717327698889926,6.0
2021,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,9.0,,,15,12,150,10.0,2.8453971632141615,2.8985882946281762,14.068923689438435,11.015549124453411,0.6560333333333334,0.8478333333333333,1.006699996447478,6.423093084131566e-06,3.206108803407647e-05,0.0025343820884424525,0.005660099424224934,1.0,1.0,0.0,0.1847058027303512,0.07111617464250468,1.0,,,4.328355755492277,0.1376328018917163,0.19973140984374982,0.37098972743811737,0.4471928207561983,-86.23671981082836,7.0
