mass_GeV,mass_MeV,dataset_set,n_active_datasets,hps_v4p2_eps2_obs_ee_channel,N_eff_BR,BR_ee_minimal,dimuon_correction_applied,hps_v4p2_eps2_obs_minimal_visible,density_2015_counts_per_GeV,density_2016_counts_per_GeV,density_2021_10pct_counts_per_GeV,density_current_counts_per_GeV,density_2021_100pct_equivalent_counts_per_GeV,full2021_projection_scale_eps2,hps_v4p2_projected_full2021_eps2_minimal_visible,gp_state_sha256_by_dataset,babar_visible2014_eps2_90_log_interp,hps_v4p2_observed_over_babar,hps_v4p2_projected_full2021_over_babar,hps_v4p2_observed_below_babar_on_grid,hps_v4p2_projected_full2021_below_babar_on_grid
0.0589999999999999,59,2015+2016+2021,3,1.997579847592649e-06,1,1,False,1.997579847592649e-06,102278331.26874143,1413278098.1817381,1152048029.9981143,2667604459.4485941,13036036729.431623,0.45236388961856183,9.0363298968066471e-07,"{""2015"": ""7f2810d00906e06fc6e9a7bcfb9ab80e8c7aad1b1a37f2d590e6c01f3727b8d3"", ""2016"": ""ff95117598ab10d290c3f38174b6af47a9d3da3e2abc4d9d42072f4e29a5b42c"", ""2021"": ""e37ad2480aafa817403ad3950f1889d98367d65f2a31ecbda9113af00659fc54""}",1.7154261576312408e-06,1.1644802305865631,0.52676880649205748,False,True
0.059999999999999901,60,2015+2016+2021,3,2.0616705652776222e-06,1,1,False,2.0616705652776222e-06,91732194.018182248,1413684184.887007,1229048236.8518496,2734464615.7570391,13795898747.423685,0.44520614985134954,9.1786841462910557e-07,"{""2015"": ""2fc68b31b25316e135cce370bea882f9c3c2e32bdf4e07652211cc4d2600dbba"", ""2016"": ""22994e1d90ec0ec60d9780f2767cf1d1ff3697c5e5855fc2869aa98d33e29ab8"", ""2021"": ""34501b85e44609ca5b59c1a0dca6ed374191033ceabc7207964400d067ae4459""}",1.8572619141354697e-06,1.1100591411401994,0.49420515633432399,False,True
0.060999999999999902,61,2015+2016+2021,3,2.3283196999228549e-06,1,1,False,2.3283196999228549e-06,82218394.661297798,1410663005.976922,1303030703.663672,2795912104.3018918,14523188437.274939,0.43876378166490071,1.0215823564630387e-06,"{""2015"": ""516c8e03a53a960095557fe1fe8e3c2e1b0149a0b63279831d7815dd564fa6ce"", ""2016"": ""ef433aaf68006ec46e99ea0d1947283f99dcd8ebe786da80a868e6148bc9bcaf"", ""2021"": ""76d6b6909bfc4209a4a18498e7f99964c3fef5d817794f5720a04fe8d4bfb138""}",1.8215365648743596e-06,1.2782173824127712,0.56083549249723808,False,True
0.062,62,2015+2016+2021,3,3.0381449391717667e-06,1,1,False,3.0381449391717667e-06,73678076.679561928,1405313761.3065102,1373583173.6839688,2852575011.6700411,15214823574.82576,0.43299718840572976,1.3155082166304719e-06,"{""2015"": ""59b3f2d09cee13d468e081d4f4c94896ab2e1fa1b7aafe79f0ebf39b3a5a6a7e"", ""2016"": ""81de1595546eab07023d709994777ccb10e476711b9f4ac719b181c77ffd04f6"", ""2021"": ""acf0181153b59e093ffec171e37d973554940081f24f05e4960cd7db4ac22e0b""}",1.409804552307913e-06,2.1550114405562018,0.93311389474301687,False,True
0.063,63,2015+2016+2021,3,4.6094029289380804e-06,1,1,False,4.6094029289380804e-06,66010914.499727249,1397200537.1588354,1439911588.8123605,2903123040.4709234,15862327339.782169,0.42780836026453872,1.9719411088275624e-06,"{""2015"": ""d3b2f910eda4e5045cb19e793ffab21bd5a648e374391d311fa0f01526904b4b"", ""2016"": ""7afbf801261e9b33dc1b50fde81ac9c9f4ea0429a2f6747bb5e7cc1983ee2fc3"", ""2021"": ""f34eb4ed3d9706d2fe58cb26f7f312f0721a13f5b4931f38980b0590e31934b2""}",9.223241939099904e-07,4.9975951616291567,2.1380129913625621,False,False
0.064000000000000001,64,2015+2016+2021,3,6.7341164199213838e-06,1,1,False,6.7341164199213838e-06,59126397.218958229,1386360877.900275,1501175724.9416599,2946663000.0608931,16457244524.535831,0.42314252564933702,2.8494910299422055e-06,"{""2015"": ""fefb7d9381514ca6223c6c7b8013bea8a04f7141ca6fb1e9c2fb524e27cbda02"", ""2016"": ""a391a2921ac166788fd728e2293c02d9641a253103c00e060d6858b58b1dfc7d"", ""2021"": ""809e121ef77a01244075e645d23acb3f88e1cba3d665053a9211b761a9f47a14""}",7.8124395726517174e-07,8.6197356885740017,3.6473767296929305,False,False
0.065000000000000002,65,2015+2016+2021,3,8.4782887691013899e-06,1,1,False,8.4782887691013899e-06,52929794.734104469,1373486827.9119611,1556935082.4369991,2983351705.0830646,16995767447.016056,0.4189689491644929,3.5521397363035313e-06,"{""2015"": ""2c1561bcc11251efc8c218267db6364814d4aa7117a6d87bb2334cf5017907b0"", ""2016"": ""9739e8f136c598fb4680fb3bb9852b57d99fca14530b7a8f6807365413ade411"", ""2021"": ""c02fb8a3fc4bbe27ec9021f61d0eb0bd2f405538aa2a6379fa7dde71dc0102b4""}",7.9652097703900892e-07,10.644150014251505,4.4595683462201752,False,False
0.066000000000000003,66,2015+2016+2021,3,8.1026231676845568e-06,1,1,False,8.1026231676845568e-06,47337423.573393308,1358842351.8140266,1607531440.5617692,3013711215.9491892,17481494181.005112,0.41520401284865421,3.3642416538231019e-06,"{""2015"": ""7bb584113d1fdd81809c4bd1cd22a2f5e837412fc36f5221c52a2b8cc3eb32ba"", ""2016"": ""29c946f2a933137950daa0616b59fa6a2f4ddd1eb68d0e14dbf3e0b8067c5ea1"", ""2021"": ""3e1332a932784c52a38d73acbf3c753834f35dcb778a5a6b0f7d518f5e6c1a10""}",8.0986158923693679e-07,10.004948098994255,4.1540945990449289,False,False
0.067000000000000004,67,2015+2016+2021,3,6.5925794879799443e-06,1,1,False,6.5925794879799443e-06,42337863.641424,1342062244.3715439,1652683428.7291,3037083536.7420678,17911234395.303967,0.41178034216114667,2.7146946372849384e-06,"{""2015"": ""b913a5a250e55fee36a822e73b359a794dcafc1a971000115afb165a12f88177"", ""2016"": ""63adfd24029cfa79f390face76d3c7388edb87ee40092292526402aa658b9ee1"", ""2021"": ""c06007e5f88070042f711ce09fe76cc2f073a0334ab125b7d1c7c7e1f13b65ac""}",8.0074465215864408e-07,8.2330609017590017,3.3902126351598803,False,False
0.068000000000000005,68,2015+2016+2021,3,4.45319175224651e-06,1,1,False,4.45319175224651e-06,37899955.476686701,1323365139.4716449,1692047220.3328238,3053312315.2811556,18281737298.276569,0.40867388152616674,1.8199031585708932e-06,"{""2015"": ""3e4e93bc1df447f369f1a5b26a144c4ef6b4b5580d1708fdc4402c9ee7fb1a79"", ""2016"": ""b57659171f93690b4e17e6be699f1f2f83ae0ea9fed26d5cb944bdafc4764e53"", ""2021"": ""ce98206e958c861e64ed912c6215f0bab9c93d83c91af1183d234c8665a23a6c""}",8.878871201183417e-07,5.0154931312135353,2.0497010457008633,False,False
