method,mass_MeV,asimov_r,response_sd,toy_r_mean,toy_r_sd,z_mean,z_sd,z_skew,z_excess_kurtosis,normality_KS,normality_p,normality_holm_p
profiled,66,8.987000526031471,0.980225984740507,9.017590240796638,1.024890484136295,0.031206798474399867,1.045565512535981,0.0010133267713316324,-0.11723248536496778,0.024981540652579293,0.5519835700275001,1.0
profiled,67,8.0122315640541,0.9767233117556281,8.038783155383946,1.0322353134021534,0.027184353040700257,1.0568349306076708,-0.058408745944084114,-0.16575147030914517,0.02643445937845268,0.4788652832897269,1.0
profiled,68,6.345107368122638,0.9755914419839803,6.351371059705414,1.009793887223502,0.006420404395960983,1.035058164481196,-0.11493395432914053,0.04560729476201297,0.026765377014093705,0.46287000334235173,1.0
profiled,69,3.652371482634545,0.9758493203889718,3.6365343338226856,0.9869356905236052,-0.01622909242335332,1.0113607397197495,-0.09299251194549979,0.13759927249530834,0.01651346749209632,0.9437189511944659,1.0
profiled,70,-0.08464989671747514,0.9758553284728162,-0.1236850589324601,0.9753336586179548,-0.04000097255816983,0.999465422958055,-0.010690837480083438,0.13269684685853234,0.03509277802038657,0.16630046453078717,1.0
profiled,71,-4.34712294566344,0.975463305745411,-4.399030248894277,0.9695354554189722,-0.0532129736968141,0.9939230411933241,0.04460713068998874,-0.1367681371394398,0.03451935359435132,0.18016672314925086,1.0
profiled,72,-7.160215369020897,0.9779350133398793,-7.210305545990077,0.9574199747476551,-0.05122035338330933,0.979022083970426,0.004599987263924937,-0.19959553431016097,0.03820910148044937,0.10512054496464218,1.0
profiled,73,-9.635880549201715,0.9803807555860368,-9.665117543266234,0.957104737558248,-0.029822080755801696,0.9762581855109189,-0.012061388936503666,-0.06129475708183474,0.02260997386345165,0.677429221672994,1.0
profiled,74,-11.43844229479664,0.9790972357542234,-11.441041120550377,0.955724314026955,-0.002654308130829939,0.9761280893523681,-0.020555512421193307,-0.004363128847239661,0.0200255172463657,0.8096825933992052,1.0
profiled,75,-10.831120507857815,0.9789990101824114,-10.810892370170816,0.9587755739072578,0.020662061428673942,0.9793427408354728,-0.07628422479487898,0.04723275281818484,0.03077473472821235,0.2938421381572356,1.0
profiled,76,-8.700091018061123,0.9793535499525367,-8.666629487096776,0.9681079330377873,0.03416695734238921,0.9885173062217476,-0.0705654004676758,-0.07693371222052736,0.03994422151763227,0.08005349661357741,1.0
profiled,77,-5.599486469840698,0.9797907413645813,-5.574685589209667,0.9615699569613593,0.02531242599464562,0.9814033919346437,-0.017208336925877452,-0.2005306475534363,0.02758718199797,0.42437872787609576,1.0
profiled,78,-1.839116112526774,0.9802235294226622,-1.8280848431119756,0.9534126956712975,0.01125383046180846,0.9726482450720644,0.049292795222179046,-0.23936317328357282,0.016291473790752742,0.9494371170497454,1.0
profiled,79,2.2187027767888994,0.9812762736662021,2.2033872833609807,0.9431218715605639,-0.015607728260561475,0.9611175739905671,0.09821631670841963,-0.18087480675276346,0.024515237897435815,0.5762628339617308,1.0
profiled,80,5.424543353669543,0.9815286322995821,5.389259736077414,0.9460465929856344,-0.03594761928591308,0.9638502248978532,0.1293067551067771,0.00453244124724117,0.03861036707450005,0.09880888820778722,1.0
profiled,81,7.484830856300552,0.9826277791339486,7.437034240039755,0.966842050386512,-0.04864162938984249,0.9839351898219798,0.05680992035686244,-0.022569352336347492,0.043719943391222316,0.04243996808166117,1.0
profiled,82,8.155927523006088,0.9832840611084567,8.112802849263607,0.9864323342988317,-0.0438577980139998,1.0032017941863371,-0.052225755545178755,0.08759921318222164,0.03828988139136458,0.10382373781242293,1.0
profiled,83,7.706822817228085,0.9825024950848191,7.689338099800181,0.9940281696416777,-0.017796104860165817,1.0117309366790601,-0.13323255478578128,0.1984970352055737,0.018609818312088577,0.8725671481811692,1.0
profiled,84,6.884834245294654,0.9828107433720794,6.903831919908568,0.9922850427020871,0.01932994194663878,1.009640003829731,-0.08303156008844215,-0.0023326341299063635,0.0245131799757643,0.5763706588647237,1.0
profiled,85,4.464011516990753,0.9833456259500999,4.51609290931026,0.9851009355772643,0.05296346568805538,1.0017850383230906,-0.030820792847798935,-0.17745616424233512,0.04809234042674626,0.018948476891146343,1.0
