method,threshold,gp_p,gp_low,gp_high,direct_p,direct_low,direct_high,gp_k,direct_k
profiled,3.6,0.0173,0.016733069182079376,0.01788098245822968,0.018,0.010701947929414705,0.028299041249019177,3460,18
profiled,3.7,0.012065,0.011591104994985495,0.012553114884099678,0.013,0.006939617502851474,0.022127803636778486,2413,13
profiled,3.8000000000000003,0.008295,0.007902143597552987,0.008702206125506285,0.009,0.004123395660342473,0.017015783069894586,1659,9
profiled,3.9000000000000004,0.005525,0.005204823676779378,0.005859633383115851,0.005,0.00162541951756276,0.011629470559812147,1105,5
profiled,4.0,0.003765,0.0035013053855458753,0.004043233682490637,0.002,0.00024230111687723182,0.007205838911457497,753,2
profiled,4.1000000000000005,0.002515,0.002300228050426783,0.002744386813031353,0.002,0.00024230111687723182,0.007205838911457497,503,2
profiled,4.2,0.001805,0.001623726757644151,0.0020009476173811843,0.001,2.531748749129404e-05,0.005558924279826672,361,1
profiled,4.3,0.001215,0.0010671017045878687,0.0013776453020950482,0.0,0.0,0.003682083896865671,243,0
profiled,4.4,0.000775,0.000657832673234014,0.0009070046331948639,0.0,0.0,0.003682083896865671,155,0
profiled,4.5,0.00046,0.000370840533223472,0.0005641197849251569,0.0,0.0,0.003682083896865671,92,0
profiled,4.6000000000000005,0.0003,0.0002289391680744542,0.00038614283066452823,0.0,0.0,0.003682083896865671,60,0
profiled,4.7,0.0002,0.0001428866557865073,0.000272333383492291,0.0,0.0,0.003682083896865671,40,0
profiled,4.800000000000001,0.00015,0.00010120658638048496,0.00021412746019623606,0.0,0.0,0.003682083896865671,30,0
profiled,4.9,0.000105,6.499779251497361e-05,0.0001604991993776173,0.0,0.0,0.003682083896865671,21,0
profiled,5.0,8.5e-05,4.951638709882219e-05,0.00013608975734795084,0.0,0.0,0.003682083896865671,17,0
profiled,5.1000000000000005,5e-05,2.3977195520032403e-05,9.194985144442981e-05,0.0,0.0,0.003682083896865671,10,0
profiled,5.2,3.5e-05,1.4071927328447341e-05,7.211203862894598e-05,0.0,0.0,0.003682083896865671,7,0
profiled,5.300000000000001,2e-05,5.4493528907159655e-06,5.1207144334463475e-05,0.0,0.0,0.003682083896865671,4,0
profiled,5.4,1.5e-05,3.0933712969053215e-06,4.383573331190015e-05,0.0,0.0,0.003682083896865671,3,0
profiled,5.5,1e-05,1.2110486870274128e-06,3.612296650749235e-05,0.0,0.0,0.003682083896865671,2,0
profiled,5.6000000000000005,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
profiled,5.7,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
profiled,5.800000000000001,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
profiled,5.9,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
profiled,6.0,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
fixed,0.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,0.1,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,0.2,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,0.30000000000000004,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,0.4,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,0.5,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,0.6000000000000001,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,0.7000000000000001,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,0.8,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,0.9,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,200000,1000
fixed,1.1,0.999995,0.9999721421014378,0.9999998734109681,1.0,0.9963179161031344,1.0,199999,1000
fixed,1.2000000000000002,0.999885,0.9998274485014351,0.999927098512465,1.0,0.9963179161031344,1.0,199977,1000
fixed,1.3,0.99955,0.9994469021241423,0.9996381318137103,1.0,0.9963179161031344,1.0,199910,1000
fixed,1.4000000000000001,0.998335,0.9981463890748362,0.9985089220205439,0.998,0.9927941610885425,0.9997576988831227,199667,998
fixed,1.5,0.9951,0.9947841794922743,0.9954013362511882,0.994,0.9869865767290255,0.9977950175148487,199020,994
fixed,1.6,0.987125,0.9866213015936482,0.9876145052018342,0.986,0.9766218439896855,0.9923254984349792,197425,986
fixed,1.7000000000000002,0.97265,0.9719258042040959,0.9733604525785765,0.968,0.9551240971649907,0.9780111503943576,194530,968
fixed,1.8,0.94739,0.9464025626699781,0.9483644447368669,0.94,0.9234395095960652,0.9539049645775157,189478,940
fixed,1.9000000000000001,0.909425,0.9081587323557727,0.9106793864913597,0.904,0.8840333566371231,0.9215479637525775,181885,904
fixed,2.0,0.85836,0.8568241751051832,0.8598854304333667,0.858,0.8348129616464028,0.8790551042902568,171672,858
fixed,2.1,0.79359,0.7918094842050374,0.7953620025796792,0.788,0.7613374671308145,0.8129547104495868,158718,788
fixed,2.2,0.718365,0.7163880620373744,0.7203356072259506,0.72,0.691051213980937,0.7476471169965966,143673,720
fixed,2.3000000000000003,0.637165,0.6350532859102269,0.6392727378963414,0.634,0.6032841412036333,0.6639242512151973,127433,634
fixed,2.4000000000000004,0.5512,0.5490169837695102,0.5533815321021401,0.553,0.5215668818773278,0.5841202272039959,110240,553
fixed,2.5,0.464875,0.4626871297626215,0.46706388839728685,0.457,0.42579062032187653,0.48846322441830353,92975,457
fixed,2.6,0.38239,0.3802593941386313,0.38452401512994006,0.382,0.3517708101081597,0.4129261498273326,76478,382
fixed,2.7,0.30973,0.30770382693293286,0.31176168903458396,0.308,0.2794866299005828,0.3376486619974949,61946,308
fixed,2.8000000000000003,0.24528,0.24339556928786651,0.24717181599894356,0.245,0.21862615839386043,0.27288410446227324,49056,245
fixed,2.9000000000000004,0.19204,0.19031564202263448,0.19377328833630098,0.188,0.16423072340131878,0.21362154016312884,38408,188
fixed,3.0,0.14672,0.14517194297902805,0.14827830381144042,0.149,0.12748860044831295,0.17260045358082526,29344,149
fixed,3.1,0.11043,0.10905953242256752,0.11181177005360302,0.115,0.09588337997326378,0.13641556786283288,22086,115
fixed,3.2,0.082285,0.08108422475810942,0.08349789837661188,0.084,0.06755274197058321,0.10294299899173501,16457,84
fixed,3.3000000000000003,0.06054,0.05949868894624691,0.061594070605608404,0.065,0.05052030968961793,0.08210106992137105,12108,65
fixed,3.4000000000000004,0.04376,0.042867607697917025,0.04466564598691189,0.047,0.03473506226679597,0.06201263069330515,8752,47
fixed,3.5,0.03102,0.030264481803062893,0.03178915098338047,0.031,0.021158171970208625,0.043715085006238906,6204,31
fixed,3.6,0.02173,0.02109545125846374,0.022378462964305866,0.025,0.01624253569688223,0.03668482305192304,4346,25
fixed,3.7,0.015065,0.01453568431264855,0.015608438097748317,0.02,0.012258267972406327,0.03072003268260911,3013,20
fixed,3.8000000000000003,0.01042,0.009979573543630712,0.010874701614835131,0.014,0.00767450156502078,0.023378156010314503,2084,14
fixed,3.9000000000000004,0.00695,0.006590568606472028,0.007323831215572256,0.011,0.005503594192313586,0.019596628222016514,1390,11
fixed,4.0,0.00465,0.004356539673543838,0.004957955961607755,0.007,0.002818858759620524,0.014369194978918632,930,7
fixed,4.1000000000000005,0.003035,0.00279865272247149,0.003285927663572102,0.006,0.0022049824851513764,0.013013423270974496,607,6
fixed,4.2,0.00198,0.0017899299929675094,0.002184727805385828,0.003,0.0006190999316495711,0.008742023238478303,396,3
fixed,4.3,0.00125,0.0010999198338498197,0.0014148218069432077,0.001,2.531748749129404e-05,0.005558924279826672,250,1
fixed,4.4,0.00075,0.0006348157970213193,0.0008800285791582665,0.001,2.531748749129404e-05,0.005558924279826672,150,1
fixed,4.5,0.000445,0.00035738630733840316,0.0005475826945166482,0.001,2.531748749129404e-05,0.005558924279826672,89,1
fixed,4.6000000000000005,0.0003,0.0002289391680744542,0.00038614283066452823,0.001,2.531748749129404e-05,0.005558924279826672,60,1
fixed,4.7,0.0002,0.0001428866557865073,0.000272333383492291,0.001,2.531748749129404e-05,0.005558924279826672,40,1
fixed,4.800000000000001,0.00014,9.303093563823561e-05,0.00020233267283567474,0.0,0.0,0.003682083896865671,28,0
fixed,4.9,6.5e-05,3.461020184123893e-05,0.00011114941464963615,0.0,0.0,0.003682083896865671,13,0
fixed,5.0,3e-05,1.1009548282571499e-05,6.529621770560541e-05,0.0,0.0,0.003682083896865671,6,0
fixed,5.1000000000000005,1.5e-05,3.0933712969053215e-06,4.383573331190015e-05,0.0,0.0,0.003682083896865671,3,0
fixed,5.2,1.5e-05,3.0933712969053215e-06,4.383573331190015e-05,0.0,0.0,0.003682083896865671,3,0
fixed,5.300000000000001,5e-06,1.265890319090572e-07,2.785789856219694e-05,0.0,0.0,0.003682083896865671,1,0
fixed,5.4,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
fixed,5.5,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
fixed,5.6000000000000005,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
fixed,5.7,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
fixed,5.800000000000001,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
fixed,5.9,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
fixed,6.0,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671,0,0
