group,scope_key,scope_label,dataset_set,source_state,source_file,mass_GeV,mass_MeV,A90_events,eps2_90,p0_local_asymptotic,Z_local_asymptotic,gp_support,edge_diagnostic,yield_coordinate,limit_method,pvalue_method,limit_coordinate
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0759999999999999,76.0,14452.454864115845,2.078973644731062e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0769999999999999,77.0,19707.277510592827,2.8238831689959415e-06,0.225268073316401,0.7545214894939807,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.078,78.0,25855.636343367372,3.695138163161103e-06,0.0589424039807404,1.5637137467216953,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.079,79.0,30676.087863331908,4.3778293441685295e-06,0.0176232831929328,2.10551427109012,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.08,80.0,30307.28455432813,4.323953699857836e-06,0.0166061023537095,2.1295085929792177,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.081,81.0,28501.061790184795,4.069829196469043e-06,0.0271482054887598,1.9244643035713913,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.082,82.0,22884.147174220256,3.273910151697193e-06,0.1009110763561428,1.276377367768554,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.083,83.0,16167.010795827593,2.3191684817982414e-06,0.3699030816406341,0.3321100478074628,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.084,84.0,12465.176158613516,1.7947630630210993e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.085,85.0,12249.20479145736,1.7716423407635917e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
