method,mass_MeV,observed_r,asimov_r,response_sd,z_standardized,p_asymptotic,p_local_common_truth,p_global_gp,p_global_gp_low,p_global_gp_high,p_global_direct,p_global_direct_low,p_global_direct_high,p_global_raw_ordering,parent_envelope_p
fixed,78,7.5523982300199,0.07498333583341758,2.0427717091943056,3.6604261066135813,2.1365776322739718e-14,0.00012589808162997984,0.015145,0.014614289274365274,0.015689830580308917,0.019,0.011477036993100946,0.0295124016250978,0.941655,0.0003940823467679
fixed,79,5.8510625862799035,2.5015800874679734,2.0182724162559675,1.6595789903453408,2.442211844351554e-09,0.04849958889909659,0.960815,0.9599554152467152,0.9616611954963034,0.973,0.9609582531940298,0.9821330940747504,0.994255,0.0472174359017335
fixed,80,4.036997365832572,4.6792389950614055,2.116983216102797,-0.3033758720161944,2.7069838254953156e-05,0.619198284445239,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,0.999955,0.5981808178807647
fixed,81,4.898869392889762,5.572058807639498,1.972788467417553,-0.3412375051193215,4.819484347440375e-07,0.6335376045681216,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,0.9994,0.6400524155677393
fixed,82,1.064067958946572,5.725652872285044,2.0921062515344193,-2.2281778996260413,0.14364895726060567,0.9870656728940663,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.9884422852787158
fixed,83,-3.0938051601629524,4.804294086781263,2.073143172102505,-3.8097220458412693,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,84,-2.17201989991369,4.33514061554842,2.0358763748358593,-3.1962454085586334,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,85,-4.217113519633733,2.5707698836394397,1.9983933467769093,-3.3966703373091933,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,86,-4.280728134921776,1.0546359139776127,2.068716231541189,-2.5790700375201068,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,87,-5.519644560647671,-0.24084244504070382,1.9475130743467912,-2.710534879144528,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,88,-4.7032768865693955,-1.9228207621728373,1.9209159690958721,-1.4474636939507823,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,89,-2.988811398003417,-3.1161857307510927,1.9125389169178868,0.0665996030830804,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,90,-0.3112558454718518,-4.6019667222755425,1.9118953042972493,2.2442185339122513,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,91,1.0405818389586428,-5.287529490586478,1.9887886779783752,3.1818922742348437,0.1490348317763579,0.0007315811502785244,0.075585,0.07443018787754976,0.07675213104473871,0.082,0.06574586027183187,0.1007628674153114,1.0,0.1682331811954934
fixed,92,0.8738944258369984,-4.8613612391070316,1.876898108503128,3.055709651451477,0.19108787529766336,0.0011226428423229621,0.10987,0.10850259662900957,0.11124872215496863,0.112,0.09311853992161025,0.1331991655692402,1.0,0.223905411718348
fixed,93,0.459966929361777,-4.341625563684733,1.946760691463389,2.466452355495801,0.322769979071599,0.006822944047834133,0.438915,0.436738506735451,0.4410932639342734,0.431,0.4000486224245833,0.46235875955960853,1.0,0.3529666712232955
fixed,94,2.3633617585946856,-2.73491082260589,1.9324919118567727,2.6381857279299368,0.009054990912009809,0.0041675458950352386,0.312585,0.3105536818331969,0.3146217513449828,0.309,0.2804580317273358,0.33867132471628786,1.0,0.1110898761208443
fixed,95,2.568625328160448,-1.8406274561972897,1.906852870325255,2.3123193472213956,0.00510513920343783,0.010380045637083384,0.56229,0.5601123751582933,0.5644658192418386,0.558,0.5265866448912514,0.5890709382229895,1.0,0.0930660659722442
fixed,96,2.3558557583241395,-0.17141856248257814,1.8863804875771344,1.339747912709141,0.009240045982441006,0.09016365744941779,0.997385,0.9971513078623899,0.9976040843470134,0.998,0.9927941610885425,0.9997576988831227,1.0,0.149930996170021
fixed,97,0.6251972019302879,1.3075225480521497,1.8654488748457507,-0.3657700595939846,0.26592081906055065,0.6427316685029038,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.6626271037839979
fixed,98,1.2937585762405734,2.022064668199491,1.84466060017469,-0.39481847874343223,0.09787441258327267,0.6535115717598393,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.6678933383958973
fixed,99,0.457619039536143,2.9369043525593623,1.8323449570414239,-1.3530669012380565,0.3236130811510552,0.9119828707538292,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.9031100159694744
fixed,100,1.90273612572771,3.6726701076318697,1.8737333653291948,-0.9446029059706696,0.028537492776493235,0.8275691785561068,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.8491343877763959
fixed,101,1.3785776394769214,3.559646086778724,1.7974442786392906,-1.213427572259945,0.0840125073508583,0.8875168050168196,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.9066343454928792
fixed,102,-0.5732091461644425,3.4610931008886494,1.8726805592435272,-2.1542928008409272,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,103,1.2839193614282265,3.263375727263431,1.8390898676337664,-1.076323892960184,0.09958508599685606,0.8591087867148628,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.8721150651667338
fixed,104,1.446030214321275,2.9894019641662815,1.8211511714635555,-0.8474704209232045,0.07408436372905669,0.8016335163610964,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.7953595668202114
fixed,105,1.3183163900299708,2.191987380689537,1.805713631127085,-0.4838369581970984,0.09369887826529238,0.6857492081444346,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.682425929688785
fixed,106,0.5386190565728396,1.4116288140189162,1.8660440568149765,-0.4678398423969461,0.2950748678048464,0.6800504369584209,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.6676068035488195
fixed,107,-0.5907649544919761,0.4571305242819133,1.7915671580056434,-0.5849043805538372,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,108,-1.6144619948973609,-0.12329583740598414,1.8337571297264403,-0.8131753836528116,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,109,-0.650081731533375,-1.0012492775016448,1.8185767101813062,0.19310021073197378,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,110,-1.7109892340441544,-1.4707609374438806,1.743952936625731,-0.13774930019905066,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
