method,threshold,gp_p,gp_low,gp_high,direct_p,direct_low,direct_high
fixed,1.3,0.99821,0.9980148244693003,0.9983904996575923,0.999,0.9944410757201734,0.9999746825125088
fixed,1.4000000000000001,0.994965,0.9946450171855723,0.9952705045739468,0.998,0.9927941610885425,0.9997576988831227
fixed,1.5,0.98802,0.9875335515220831,0.9884922257810563,0.995,0.9883705294401879,0.9983745804824372
fixed,1.6,0.97374,0.9730297835344736,0.9744364402881945,0.981,0.9704875983749022,0.988522963006899
fixed,1.7000000000000002,0.949855,0.9488894807594446,0.9508074540510548,0.954,0.9391164472862573,0.9661285014523221
fixed,1.8,0.913515,0.9122746386540549,0.9147433608408468,0.911,0.8916189999399975,0.9279175354602401
fixed,1.9000000000000001,0.865625,0.8641224896688571,0.8671169046308824,0.868,0.8454345533915462,0.8883719870272047
fixed,2.0,0.803475,0.8017265883512711,0.8052146114947945,0.813,0.7874249204685702,0.836716780075399
fixed,2.1,0.73207,0.7301231703575151,0.7340101014005243,0.755,0.7271158955377268,0.7813738416061395
fixed,2.2,0.654255,0.6521658592614143,0.6563396690565847,0.669,0.6388689622688157,0.6981321639231706
fixed,2.3000000000000003,0.572805,0.5706335062422969,0.5749743833502843,0.575,0.5436774991081754,0.6058796781660467
fixed,2.4000000000000004,0.49191,0.4897166110459615,0.4941036234560887,0.485,0.4536073588353027,0.516481185708403
fixed,2.5,0.41252,0.4103612741387608,0.41468126167341246,0.405,0.37439275436596126,0.4361682363380342
fixed,2.6,0.338505,0.3364309950620295,0.3405836865374077,0.336,0.30674385946862914,0.36622538293723245
fixed,2.7,0.27374,0.27178668332907446,0.27569987639252796,0.272,0.24462450126903892,0.3007247779363795
fixed,2.8000000000000003,0.21684,0.215035570637028,0.2186526398664824,0.22,0.19468003933887507,0.24697979236956033
fixed,2.9000000000000004,0.16779,0.1661546296449061,0.16943500492474756,0.168,0.1453322492747273,0.1926410554145053
fixed,3.0,0.12829,0.12682729418973687,0.12976348849187147,0.13,0.10976931245370448,0.1524364946004402
fixed,3.1,0.09668,0.09538819516544665,0.0979835079400601,0.103,0.08485136534991762,0.12352292640142576
fixed,3.2,0.07125,0.07012632757875047,0.07238611814712093,0.079,0.0630412028094599,0.09748709490690115
fixed,3.3000000000000003,0.052495,0.05152156757521192,0.05348142840293072,0.059,0.04521335440279661,0.07544907308424083
fixed,3.4000000000000004,0.038115,0.037280043929859584,0.038963377111995726,0.045,0.03300962543114874,0.05975283269340776
fixed,3.5,0.02694,0.026234781931654575,0.027658973673698,0.03,0.020330485683109627,0.042551402470029046
fixed,3.6,0.018855,0.018263389418207227,0.01946061362657516,0.021,0.013045192290387683,0.0319223351804155
fixed,3.7,0.01317,0.012674936834086948,0.013679246729259424,0.017,0.009933512592716534,0.027079496864851366
fixed,3.8000000000000003,0.00908,0.008668912609633638,0.00950540904261101,0.012,0.006215525559595244,0.02086767959103641
fixed,3.9000000000000004,0.00613,0.005792593365661493,0.0064818387192897165,0.011,0.005503594192313586,0.019596628222016514
