dataset,mass_GeV,mass_MeV,eps2_observed_raw,p0_analytic,Z_analytic,eps2_observed_v3_review,dimuon_factor,eps2_observed_dimuon_v3_review
2015,0.065,65.0,2.140362827142069e-05,0.2240526912723166,0.7585774228414265,2.140362827142069e-05,1.0,2.140362827142069e-05
2015,0.066,66.0,1.8390762282227346e-05,0.4382273549243055,0.1554650438049067,1.8390762282227346e-05,1.0,1.8390762282227346e-05
2015,0.067,67.0,1.5337077521002352e-05,0.5,0.0,1.5337077521002352e-05,1.0,1.5337077521002352e-05
2015,0.068,68.0,1.4181574466202073e-05,0.5,0.0,1.4181574466202073e-05,1.0,1.4181574466202073e-05
2015,0.069,69.0,1.3810523229523368e-05,0.5,0.0,1.3810523229523368e-05,1.0,1.3810523229523368e-05
2015,0.07,70.0,1.3839729164430196e-05,0.4999827823003121,4.315837287515549e-05,1.3839729164430196e-05,1.0,1.3839729164430196e-05
2015,0.071,71.0,1.4975195012571483e-05,0.5,0.0,1.4975195012571483e-05,1.0,1.4975195012571483e-05
2015,0.072,72.0,1.7688864932379866e-05,0.5,0.0,1.7688864932379866e-05,1.0,1.7688864932379866e-05
2015,0.073,73.0,2.307996143227785e-05,0.5,0.0,2.307996143227785e-05,1.0,2.307996143227785e-05
2015,0.074,74.0,3.571696454571687e-05,0.1950775331152638,0.8593361845787335,3.571696454571687e-05,1.0,3.571696454571687e-05
2015,0.075,75.0,4.692711730843709e-05,0.0907710339007164,1.336022045293396,4.692711730843709e-05,1.0,4.692711730843709e-05
2015,0.076,76.0,6.270144849237432e-05,0.0338377146242467,1.827161908418632,6.270144849237432e-05,1.0,6.270144849237432e-05
2015,0.077,77.0,7.19435197076267e-05,0.0311970883320998,1.86348417714555,7.19435197076267e-05,1.0,7.19435197076267e-05
2015,0.078,78.0,7.823515627699284e-05,0.0402817195187366,1.7474261828192204,7.823515627699284e-05,1.0,7.823515627699284e-05
2015,0.079,79.0,7.284441086123529e-05,0.094631112249807,1.31276477065361,7.284441086123529e-05,1.0,7.284441086123529e-05
2015,0.08,80.0,5.882784272948351e-05,0.2491499370322903,0.6771672030308675,5.882784272948351e-05,1.0,5.882784272948351e-05
2015,0.081,81.0,6.104151499636774e-05,0.3316323525587646,0.4354102038947842,6.104151499636774e-05,1.0,6.104151499636774e-05
2015,0.082,82.0,5.210962053985458e-05,0.5,0.0,5.210962053985458e-05,1.0,5.210962053985458e-05
2015,0.083,83.0,4.828274042402859e-05,0.5,0.0,4.828274042402859e-05,1.0,4.828274042402859e-05
2015,0.084,84.0,4.552143040407599e-05,0.4999780516533323,5.501634636633284e-05,4.552143040407599e-05,1.0,4.552143040407599e-05
2015,0.085,85.0,4.5862682357502014e-05,0.5,0.0,4.5862682357502014e-05,1.0,4.5862682357502014e-05
2015,0.086,86.0,4.732582179658683e-05,0.5,0.0,4.732582179658683e-05,1.0,4.732582179658683e-05
2015,0.087,87.0,5.752303649075604e-05,0.5,0.0,5.752303649075604e-05,1.0,5.752303649075604e-05
2015,0.088,88.0,6.915144472906585e-05,0.5,0.0,6.915144472906585e-05,1.0,6.915144472906585e-05
2015,0.089,89.0,8.038453326791037e-05,0.5,0.0,8.038453326791037e-05,1.0,8.038453326791037e-05
2015,0.09,90.0,7.731171150995219e-05,0.5,0.0,7.731171150995219e-05,1.0,7.731171150995219e-05
2016,0.039,39.0,7.96520376897974e-05,0.5,0.0,7.96520376897974e-05,1.0,7.96520376897974e-05
2016,0.04,40.0,0.0001221415243675,0.0415873563851607,1.732555453334086,0.0001221415243675,1.0,0.0001221415243675
2016,0.041,41.0,9.943846779965111e-05,0.0277096973185426,1.9155735838766776,9.943846779965111e-05,1.0,9.943846779965111e-05
2016,0.042,42.0,8.31093957872339e-05,0.0879829463704367,1.3532809498562737,8.31093957872339e-05,1.0,8.31093957872339e-05
2016,0.043,43.0,5.150422845737324e-05,0.441856705839663,0.1462634582420167,5.150422845737324e-05,1.0,5.150422845737324e-05
2016,0.044,44.0,0.0002280653217622,0.3690080572868582,0.3344816777481453,3.2662566483440356e-05,1.0,3.2662566483440356e-05
2016,0.045,45.0,2.071370218016409e-05,0.4999827823003121,4.315837287515549e-05,2.071370218016409e-05,1.0,2.071370218016409e-05
2016,0.046,46.0,1.8244546852492007e-05,0.5,0.0,1.8244546852492007e-05,1.0,1.8244546852492007e-05
2016,0.047,47.0,1.970378089235408e-05,0.5,0.0,1.970378089235408e-05,1.0,1.970378089235408e-05
2016,0.048,48.0,2.5848152706919728e-05,0.4310055085325885,0.1738147944793087,2.5848152706919728e-05,1.0,2.5848152706919728e-05
2016,0.049,49.0,3.224955449705424e-05,0.1685137248447316,0.960055169091758,3.224955449705424e-05,1.0,3.224955449705424e-05
2016,0.05,50.0,3.383176465450033e-05,0.0835456479403307,1.3816106053144082,3.383176465450033e-05,1.0,3.383176465450033e-05
2016,0.051,51.0,3.331137755228992e-05,0.0586157506302856,1.5665004587738969,3.331137755228992e-05,1.0,3.331137755228992e-05
2016,0.052,52.0,2.671825167173966e-05,0.1578181976503548,1.0034653329924414,2.671825167173966e-05,1.0,2.671825167173966e-05
2016,0.053,53.0,2.268523071688809e-05,0.2656903495674534,0.6258997490659683,2.268523071688809e-05,1.0,2.268523071688809e-05
2016,0.054,54.0,1.7390832888993713e-05,0.499975650495596,6.103515625e-05,1.7390832888993713e-05,1.0,1.7390832888993713e-05
2016,0.055,55.0,1.4768165789488488e-05,0.5,0.0,1.4768165789488488e-05,1.0,1.4768165789488488e-05
2016,0.056,56.0,1.2696120512330477e-05,0.5,0.0,1.2696120512330477e-05,1.0,1.2696120512330477e-05
2016,0.057,57.0,1.1826106409714958e-05,0.5,0.0,1.1826106409714958e-05,1.0,1.1826106409714958e-05
2016,0.058,58.0,1.1484197194495024e-05,0.5,0.0,1.1484197194495024e-05,1.0,1.1484197194495024e-05
2016,0.059,59.0,1.1751339632677942e-05,0.499975650495596,6.103515625e-05,1.1751339632677942e-05,1.0,1.1751339632677942e-05
2016,0.06,60.0,1.2021696985548368e-05,0.5,0.0,1.2021696985548368e-05,1.0,1.2021696985548368e-05
2016,0.061,61.0,1.3555617712332192e-05,0.5,0.0,1.3555617712332192e-05,1.0,1.3555617712332192e-05
2016,0.062,62.0,1.5842527850001232e-05,0.4388780657783425,0.1538143338540137,1.5842527850001232e-05,1.0,1.5842527850001232e-05
2016,0.063,63.0,1.880689417601912e-05,0.2574218317572647,0.6513142314013362,1.880689417601912e-05,1.0,1.880689417601912e-05
2016,0.064,64.0,2.1808993945353925e-05,0.1416352465667201,1.073001388527242,2.1808993945353925e-05,1.0,2.1808993945353925e-05
2016,0.065,65.0,2.446102174264416e-05,0.0728539785843181,1.4548602395490051,2.446102174264416e-05,1.0,2.446102174264416e-05
2016,0.066,66.0,2.489210315280784e-05,0.0607905973074103,1.5481707379238092,2.489210315280784e-05,1.0,2.489210315280784e-05
2016,0.067,67.0,2.3525844952513467e-05,0.0844186490472114,1.3759494045114262,2.3525844952513467e-05,1.0,2.3525844952513467e-05
2016,0.068,68.0,1.9556012836708076e-05,0.1953239911158418,0.8584428369976236,1.9556012836708076e-05,1.0,1.9556012836708076e-05
