mass_GeV,mass_MeV,dataset_set,band_eps2_obs_raw,scan_eps2_obs,eps2_obs_used,band_A_obs_raw,scan_A_obs,A_obs_used,scan_over_band,hard_mismatch,plotted_value_changed,observed_source_used,repair_type,column,raw_value,corrected_value,raw_over_log_linear_neighbors,detection_min_band_ratio,correction
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_hi2,0.0001148859711362,2.9549637515656582e-05,3.8878978151704504,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_lo1,4.390140715940892e-05,1.1175483148807575e-05,3.928367711251321,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_lo2,3.720866138676488e-05,9.504888869081472e-06,3.9146866311926307,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_mean,6.314901954367107e-05,1.6169656278030384e-05,3.905402715917423,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_med,5.8031347493547867e-05,1.4870595892213265e-05,3.9024224660650617,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_mean,6.314901954367107e-05,1.6169656278030384e-05,3.905402715917423,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q02,3.720866138676488e-05,9.504888869081472e-06,3.9146866311926307,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q16,4.390140715940892e-05,1.1175483148807575e-05,3.928367711251321,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q50,5.8031347493547867e-05,1.4870595892213265e-05,3.9024224660650617,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q84,8.334811521180173e-05,2.1458097122084846e-05,3.8842267670612403,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q97,0.0001148859711362,2.9549637515656582e-05,3.8878978151704504,3.8842267670612403,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_hi1,0.0002052880741997,3.768882208312193e-05,5.446922001089376,5.402171159640592,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_hi2,0.0002834677592093,5.205095372553405e-05,5.4459666715048565,5.402171159640592,log_linear_neighbors_same_dataset_set
