stage,region,support_lower_MeV,anchor_GeV,block,seed,success,lml,const_opt,length_opt,warning_text,error_text
development,low,30.0,0.039,L3,9049,True,51.848804856286286,128.02500270769173,0.4692516599370444,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,30.0,0.039,L4,1961,True,48.92966675512306,124.26398304041422,0.4747491801459177,,
development,low,30.0,0.039,L4,5813,True,48.92966675515613,124.26531681880995,0.47475027477337955,,
development,low,30.0,0.039,L4,9049,True,48.92966675466247,124.26483682948343,0.474750867765236,,
development,low,30.0,0.065,L1,1961,True,52.35407679153364,119.30582413432116,0.44442148966492967,,
development,low,30.0,0.065,L1,5813,True,52.35407679208144,119.30559997629025,0.4444213160413392,,
development,low,30.0,0.065,L1,9049,True,52.35407679144144,119.3069999376974,0.44442189338342986,,
development,low,30.0,0.065,L2,1961,True,51.83813025125254,115.96187242560934,0.4362788538296615,,
development,low,30.0,0.065,L2,5813,True,51.838130251123815,115.96353114875997,0.4362809640873584,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,30.0,0.065,L2,9049,True,51.838130251726994,115.96103413042522,0.43627777597316186,,
development,low,30.0,0.065,L3,1961,True,51.84880485610423,128.02473654544988,0.46925123429101445,,
development,low,30.0,0.065,L3,5813,True,51.84880485603751,128.0245221011337,0.46925123342667086,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,30.0,0.065,L3,9049,True,51.848804855984106,128.02444903926903,0.46925091351747433,,
development,low,30.0,0.065,L4,1961,True,48.929666754936314,124.26409996457156,0.4747490868319796,,
development,low,30.0,0.065,L4,5813,True,48.929666754940165,124.26398333025824,0.4747494587114606,,
development,low,30.0,0.065,L4,9049,True,48.92966675494092,124.26402154725902,0.4747491406680619,,
development,low,30.0,0.1,L1,1961,True,52.354076791664525,119.30551928068692,0.4444210897408415,,
development,low,30.0,0.1,L1,5813,True,52.35407679185859,119.30496585892392,0.4444201372613738,,
development,low,30.0,0.1,L1,9049,True,52.35407679195457,119.30642500287168,0.44442224821569654,,
development,low,30.0,0.1,L2,1961,True,51.8381302510938,115.96051252567852,0.4362771805715826,,
development,low,30.0,0.1,L2,5813,True,51.83813025090775,115.96179139992202,0.4362787057803204,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,30.0,0.1,L2,9049,True,51.83813025089768,115.96102294895456,0.4362778151349829,,
development,low,30.0,0.1,L3,1961,True,51.84880485582075,128.02447594538694,0.4692510246631082,,
development,low,30.0,0.1,L3,5813,True,51.848804856135324,128.02352529008928,0.46924995692628396,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,30.0,0.1,L3,9049,True,51.848804856033375,128.0256457351205,0.46925220980920757,,
development,low,30.0,0.1,L4,1961,True,48.92966675506862,124.2650918431826,0.4747512651149548,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,30.0,0.1,L4,5813,True,48.92966675502141,124.26515239500769,0.4747516538472314,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,30.0,0.1,L4,9049,True,48.92966675471626,124.26221234832657,0.47474616949485676,,
development,low,30.0,0.14,L1,1961,True,52.35407679196362,119.30523449934448,0.44442060503673875,,
development,low,30.0,0.14,L1,5813,True,52.354076791519475,119.30286232804363,0.44441889400309875,,
development,low,30.0,0.14,L1,9049,True,52.35407679137906,119.30543952346815,0.4444211187357324,,
development,low,30.0,0.14,L2,1961,True,51.838130251243754,115.95996060644056,0.43627859190241713,,
development,low,30.0,0.14,L2,5813,True,51.838130251531155,115.96302024406282,0.4362806883068285,,
development,low,30.0,0.14,L2,9049,True,51.83813025058943,115.96194884670105,0.4362788485866107,,
development,low,30.0,0.14,L3,1961,True,51.848804856109645,128.02464359336284,0.46925136073921,,
development,low,30.0,0.14,L3,5813,True,51.84880485620001,128.0242816054193,0.46925101288184007,,
development,low,30.0,0.14,L3,9049,True,51.848804856310174,128.02489608331732,0.4692515412251956,,
development,low,30.0,0.14,L4,1961,True,48.92966675469321,124.26791378172611,0.4747514369755645,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
