stage,region,support_lower_MeV,support_upper_MeV,anchor_GeV,block,block_low_GeV,block_high_GeV,selected_seed,selected_lml,selected_const,selected_length,length_lower,length_upper,sigma_x,all_repeats_success,n_reproduced_branches,reproduction_pass,const_at_bound,length_at_bound,covariance_ok,min_eigenvalue,max_diagonal,median_diagonal,jitter_relative_median_diag,nlpd_per_bin,mahalanobis_per_bin,poisson_deviance_per_bin,max_abs_marginal_standardized_residual,cell_mahalanobis_guard_pass,cell_marginal_residual_guard_pass,technical_pass,n_train,n_score,train_center_min_GeV,train_center_max_GeV,score_center_min_GeV,score_center_max_GeV,train_centers_sha256,score_centers_sha256,train_counts_sha256,score_counts_sha256,n_forbidden_search_train_centers,n_forbidden_search_score_centers,training_mask_definition
development,low,30.0,210,0.039,L1,0.03525,0.036,5813,52.35407679161014,119.30557602235996,0.4444212068492785,0.03949706576213592,0.5266275434951456,0.04388562862459547,True,3,True,False,False,True,3483.746060976564,4646.457962144244,4164.3209160826345,0.0,5.191477171702544,0.22093664036648772,0.2581127867306782,0.7143368764870923,True,True,True,32,3,0.030125,0.038625,0.035375,0.035875,60885f1f2e4f99fe244cfb78e4b569dc8ce7ed7c1546250e2d93b10281d6cb08,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,25165041e4c689ade978ab960d76764f063b38a21b7c8a3c0c66107858ed5abf,3316d8f7feb9815535d88e90877477b51e0db0463892d01e29a909e559cf28f8,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,30.0,210,0.039,L2,0.036,0.03675,1961,51.838130251394816,115.96142242687495,0.43627887581129304,0.03949706576213592,0.5266275434951456,0.04388562862459547,True,3,True,False,False,True,4746.822071813215,6398.020373768568,5801.872417556417,0.0,5.317797929975004,0.14924854265050647,0.20059366811381926,0.5674022704227606,True,True,True,32,3,0.030125,0.038625,0.036125,0.036625,98136cab54457cf7cbddfbb153ff8acb4e2812acecca0952d67002fdee2513d1,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,a33130bd0ed6e598fe93aa274334b8b127ef48332db2663c0f2ce89f6b318dfe,026f08b3f517f523a1be18ee8ed8857cd9a935160a0272cab4dbcbcb3b2e9f98,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,30.0,210,0.039,L3,0.03675,0.03775,9049,51.848804856286286,128.02500270769173,0.4692516599370444,0.03949706576213592,0.5266275434951456,0.04388562862459547,True,3,True,False,False,True,6237.632354831051,9041.32244893139,8166.185511919815,0.0,6.416438076651465,2.024432703559106,2.174038664526609,2.318460543354445,True,True,True,31,4,0.030125,0.038625,0.036875,0.037625,456469590684c229f93d0d195ce3b03fe1fb90ddbd4dd7baa340c01506334658,dd89f434f3f35a01bfaa5c19c145addb6faff04ccf895f87e00772141c57346d,5b1d912496e207849a64c70727a78130e1162b3a27ef03d6b264564af72f852a,a96e0c18c533ddeada71d94f8e977bf1860885abb48b39d40d10050503467f49,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,30.0,210,0.039,L4,0.03775,0.03875,5813,48.92966675515613,124.26531681880995,0.47475027477337955,0.03949706576213592,0.5266275434951456,0.04388562862459547,True,3,True,False,False,True,8327.450498471386,53941.43205567556,28331.900214351142,0.0,5.964986663754976,0.3893597522393021,1.9757196981429566,1.0477108575769232,True,True,True,31,4,0.030125,0.037625,0.037875,0.038625,6a81ed37f7d4761da5e3086b1538da2dd700f6aa517519378adfad0d909c4561,4b2619be737f92a26a5ec8b9d57d1f3dd2f4cc9f1e1ca47cb017c349d65376cb,42599eb151305ceb84251d7a9aa2b309ed10789ba243875f648abe324de50e01,852ae2ad2615b28da41206c9dce91f924c1e4d35e45e0c09a5f5650aefae0964,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,30.0,210,0.065,L1,0.03525,0.036,5813,52.35407679208144,119.30559997629025,0.4444213160413392,0.036155241837688604,0.4820698911691814,0.040172490930765116,True,3,True,False,False,True,3483.7460578482987,4646.4579476966255,4164.320899308219,0.0,5.191477162952035,0.2209366262609447,0.25811276885583617,0.7143368648486976,True,True,True,32,3,0.030125,0.038625,0.035375,0.035875,60885f1f2e4f99fe244cfb78e4b569dc8ce7ed7c1546250e2d93b10281d6cb08,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,25165041e4c689ade978ab960d76764f063b38a21b7c8a3c0c66107858ed5abf,3316d8f7feb9815535d88e90877477b51e0db0463892d01e29a909e559cf28f8,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,30.0,210,0.065,L2,0.036,0.03675,9049,51.838130251726994,115.96103413042522,0.43627777597316186,0.036155241837688604,0.4820698911691814,0.040172490930765116,True,3,True,False,False,True,4746.822046562627,6398.020647798663,5801.872607353526,0.0,5.317798166310238,0.14924898933966887,0.200594337980777,0.5674029199233857,True,True,True,32,3,0.030125,0.038625,0.036125,0.036625,98136cab54457cf7cbddfbb153ff8acb4e2812acecca0952d67002fdee2513d1,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,a33130bd0ed6e598fe93aa274334b8b127ef48332db2663c0f2ce89f6b318dfe,026f08b3f517f523a1be18ee8ed8857cd9a935160a0272cab4dbcbcb3b2e9f98,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,30.0,210,0.065,L3,0.03675,0.03775,1961,51.84880485610423,128.02473654544988,0.46925123429101445,0.036155241837688604,0.4820698911691814,0.040172490930765116,True,3,True,False,False,True,6237.632330734951,9041.32277593871,8166.185866567703,0.0,6.416437973618022,2.0244324713108357,2.174038275764392,2.318460142997563,True,True,True,31,4,0.030125,0.038625,0.036875,0.037625,456469590684c229f93d0d195ce3b03fe1fb90ddbd4dd7baa340c01506334658,dd89f434f3f35a01bfaa5c19c145addb6faff04ccf895f87e00772141c57346d,5b1d912496e207849a64c70727a78130e1162b3a27ef03d6b264564af72f852a,a96e0c18c533ddeada71d94f8e977bf1860885abb48b39d40d10050503467f49,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,30.0,210,0.065,L4,0.03775,0.03875,9049,48.92966675494092,124.26402154725902,0.4747491406680619,0.036155241837688604,0.4820698911691814,0.040172490930765116,True,3,True,False,False,True,8327.450582102018,53941.465540178164,28331.912283681388,0.0,5.964986612713352,0.3893594783856029,1.9757168005303676,1.0477104330201568,True,True,True,31,4,0.030125,0.037625,0.037875,0.038625,6a81ed37f7d4761da5e3086b1538da2dd700f6aa517519378adfad0d909c4561,4b2619be737f92a26a5ec8b9d57d1f3dd2f4cc9f1e1ca47cb017c349d65376cb,42599eb151305ceb84251d7a9aa2b309ed10789ba243875f648abe324de50e01,852ae2ad2615b28da41206c9dce91f924c1e4d35e45e0c09a5f5650aefae0964,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,30.0,210,0.1,L1,0.03525,0.036,9049,52.35407679195457,119.30642500287168,0.44442224821569654,0.036673552630478015,0.48898070173970687,0.04074839181164224,True,3,True,False,False,True,3483.7460352088196,4646.4578515765525,4164.320792566043,0.0,5.191477145431546,0.2209366128928997,0.2581127506142824,0.7143368856441451,True,True,True,32,3,0.030125,0.038625,0.035375,0.035875,60885f1f2e4f99fe244cfb78e4b569dc8ce7ed7c1546250e2d93b10281d6cb08,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,25165041e4c689ade978ab960d76764f063b38a21b7c8a3c0c66107858ed5abf,3316d8f7feb9815535d88e90877477b51e0db0463892d01e29a909e559cf28f8,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,30.0,210,0.1,L2,0.036,0.03675,1961,51.8381302510938,115.96051252567852,0.4362771805715826,0.036673552630478015,0.48898070173970687,0.04074839181164224,True,3,True,False,False,True,4746.822044485577,6398.02074449854,5801.872679936491,0.0,5.317798224244381,0.14924909512671528,0.20059449974521115,0.5674030693737966,True,True,True,32,3,0.030125,0.038625,0.036125,0.036625,98136cab54457cf7cbddfbb153ff8acb4e2812acecca0952d67002fdee2513d1,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,a33130bd0ed6e598fe93aa274334b8b127ef48332db2663c0f2ce89f6b318dfe,026f08b3f517f523a1be18ee8ed8857cd9a935160a0272cab4dbcbcb3b2e9f98,0,0,"[edge,38.75) minus held-out low block; low only"
