method,mass_MeV,sigma_MeV,r,p0,Ahat_window,sigma_A_window,Ahat_total,sigma_A_total,signal_fraction_in_fit,fit_low_MeV,fit_high_MeV,support_low_MeV,support_high_MeV,nfit,nleft,nright,left_events,right_events,count_min_fit,nll_fit,nll_null,max_score,min_lambda,kernel_constant,kernel_ls_logmass,kernel_ls_sigma,kernel_upper_factor,kernel_at_boundary,log_marginal_likelihood,covariance_load_relative,warning_count
gp_ceiling32,15.75,0.7459722676695749,-0.5965123701406767,0.5,-528.0219608234205,885.1135335069257,-538.2374845808723,902.2376287159238,0.9810204156155964,13.999999999999998,17.499999999999996,11.999999999999998,27.999999999999996,14,8,42,1184.0,5971436.0,921.0,2.4925892888179257,2.6705027926833496,1.7448961697752452e-07,899.6820939361729,99.66043809248659,0.39296054988682044,8.491692490708417,32.0,False,149.735010858418,1e-09,0
gp_ceiling32,16.0,0.7592770386359999,-0.5628360134107874,0.5,-545.2082757538597,968.6136441320868,-557.003622906731,989.5691847899176,0.9788235719342053,14.249999999999998,17.75,11.999999999999998,27.999999999999996,14,9,41,2105.0,5932797.0,1445.0,4.41925006364741,4.577642252643484,7.982503547054876e-14,1421.9370133175985,142.2597800046876,0.42378730992509356,9.140589584395695,32.0,False,149.7144320040348,1e-09,0
gp_ceiling32,16.25,0.772581809602425,-0.6216513431146032,0.5,-687.1474181678279,1105.2862729854912,-703.6872801380882,1131.8908732640568,0.9764954370540638,14.499999999999998,18.0,11.999999999999998,27.999999999999996,14,10,40,3550.0,5889455.0,2180.0,4.555980702429891,4.749205898627986,5.007105841059456e-14,2151.0704538639975,122.41647741365861,0.40557284241618335,8.731780795616126,32.0,False,148.15510212159998,1e-08,1
gp_ceiling32,16.5,0.78588658056885,-0.08300652368736036,0.5,-99.48059485886958,1198.4566876927436,-102.13211665807688,1230.3999429309258,0.9740383154097922,14.75,18.25,11.999999999999998,27.999999999999996,14,11,39,5730.0,5839953.0,3107.0,6.447510382514204,6.450955424001534,3.5360603334311236e-14,3140.353038648242,149.68976620054744,0.416522122832024,8.95169298319855,32.0,False,148.19601144209096,1e-08,0
gp_ceiling32,16.75,0.799191351535275,0.6230537204035885,0.26662461026107553,810.2759471089523,1300.574928263545,834.084926100037,1338.7907499892694,0.9714549702961193,15.0,18.5,11.999999999999998,27.999999999999996,14,12,38,8837.0,5785234.0,4456.0,6.212399243909768,6.406497213164145,5.1236792586450974e-14,4422.855276948577,155.37449269609255,0.42312789583458116,9.07812491564331,32.0,False,146.658476180707,1e-08,0
gp_ceiling32,17.0,0.8124961225016999,0.941107262426833,0.1733249471049838,1378.6087439246198,1465.0049186959784,1423.0820980667022,1512.265378094763,0.9687485674912918,15.249999999999998,18.75,11.999999999999998,27.999999999999996,14,13,37,13293.0,5724154.0,5946.0,6.499828917206806,6.942670356903069,1.0669243266647754e-13,6047.567892996383,145.83958326232346,0.4114336352149406,8.812614843196561,32.0,False,145.84911480663706,1e-08,0
gp_ceiling32,17.25,0.8258008934681249,1.577358691263831,0.05735650737989419,2455.245056671456,1556.7734066213366,2541.8651599232303,1611.6957749017427,0.9659226206733994,15.499999999999998,19.0,11.999999999999998,27.999999999999996,14,14,36,19239.0,5657496.0,8044.0,5.7347842045841855,6.978814425036958,2.400024623483432e-13,8037.287375968316,171.29086745935874,0.428451460413415,9.16239839795304,32.0,False,144.59878593871585,1e-08,0
gp_ceiling32,17.5,0.8391056644345499,1.4553438592822618,0.07278704509608408,2613.826562796905,1796.1537236110466,2659.4341245605706,1827.49405546496,0.9828506518200741,15.499999999999998,19.5,11.999999999999998,27.999999999999996,16,14,34,19239.0,5505309.0,8044.0,7.702176315541579,8.761189189916873,1.2767629786747392e-07,8031.518361409964,197.1444820045132,0.45391794927701734,9.691890444083304,32.0,False,137.06307287241427,1e-08,1
gp_ceiling32,17.75,0.8524104354009749,0.8885653123970491,0.18711837012317678,1735.5472712806156,1953.2848393029844,1769.0918571403433,1991.0378478696462,0.9810385279179618,15.75,19.749999999999996,11.999999999999998,27.999999999999996,16,15,33,27283.0,5419476.0,10473.0,8.899364030216072,9.294138187413704,5.10702591327572e-14,10428.189820462785,212.77429793557076,0.4671878716495042,9.960162040477583,32.0,False,136.0892531743956,1e-08,0
gp_ceiling32,18.0,0.8657152063674,-1.231506958537917,0.5,-2252.4756171765075,1828.8801540827687,-2300.4997064340273,1867.8729418808773,0.9791244966807837,16.0,19.999999999999996,11.999999999999998,27.999999999999996,16,16,32,37756.0,5327406.0,13308.0,13.289119273853787,14.047423968317442,3.4432456885724605e-12,13211.993504608048,629.4005449702804,0.6118393612188844,13.024923629956607,32.0,False,135.64971387052998,1e-07,0
gp_ceiling32,18.25,0.879019977333825,-2.691800461878909,0.5,-5034.598528820784,1869.9577252309127,-5152.54159093406,1913.7643046182404,0.9771097311818311,16.249999999999996,20.249999999999996,11.999999999999998,27.999999999999996,16,17,31,51064.0,5229061.0,16475.0,12.47456123957441,16.097456102860164,1.888300626973205e-11,16420.58526838348,802.1377952034958,0.6543232171560996,13.909496929584396,32.0,False,135.66053615040707,1e-06,0
gp_ceiling32,18.5,0.8923247483002499,-3.5806894235295497,0.5,-7081.573859080929,1977.1785684428037,-7263.1846221013075,2027.884374184275,0.9749957115962946,16.499999999999996,20.499999999999996,11.999999999999998,27.999999999999996,16,18,30,67539.0,5124142.0,20115.0,9.448733009174621,15.85940138306281,7.344458374802798e-12,20049.316640337012,966.6639310442324,0.6715426243472352,14.25580024383438,32.0,False,134.34890887570495,1e-06,1
gp_ceiling32,18.75,0.9056295192666749,-2.6063665108395977,0.5,-6284.785089055395,2411.019658733044,-6460.615948261301,2478.4733030741395,0.9727841957153904,16.749999999999996,20.749999999999996,11.999999999999998,27.999999999999996,16,19,29,87654.0,5013279.0,24011.0,7.491855751156275,10.888428945569364,4.973799150320701e-14,24093.028017008895,237.51386216883793,0.4810426893776146,10.19805678562655,32.0,False,133.28731893193932,1e-07,0
gp_ceiling32,19.0,0.9189342902330999,-2.2777936217176844,0.5,-5883.231352160625,2582.59306147072,-6062.204670049198,2661.157921715027,0.9704771897965099,16.999999999999996,20.999999999999996,11.999999999999998,27.999999999999996,16,20,28,111665.0,4896879.0,28510.0,7.017449631910805,9.611621523479688,2.919703745440927e-08,28491.087830621807,175.97766676934447,0.4457297364705615,9.437074175105792,32.0,False,131.92245563196172,1e-07,0
gp_ceiling32,19.25,0.9322390611995248,-1.824667349551825,0.5,-4936.999071883763,2705.4697747152277,-5099.80040780622,2794.684718288918,0.968076920094116,17.249999999999996,21.249999999999996,11.999999999999998,27.999999999999996,16,21,27,140175.0,4774389.0,33345.0,8.832859494181845,10.497564962442086,1.8144349134274762e-08,33230.36097075635,150.36486418470142,0.43413590683451475,9.179920532389707,32.0,False,132.18379760255596,1e-07,0
gp_ceiling32,19.5,0.94554383216595,-1.3883779866319104,0.5,-4181.889156979367,3011.959980222218,-4255.649091316429,3065.0847671373067,0.9826677593113662,17.249999999999996,21.75,11.999999999999998,27.999999999999996,18,21,25,140175.0,4514237.0,33345.0,9.990938071053101,10.95473478793514,4.086340815723233e-08,33229.88733818108,158.3523445692827,0.435131160764406,9.189581402397197,32.0,False,123.07504807985086,1e-07,0
