source,lower_edge_MeV,family,fit_ok,native_pearson_chi2ndf,native_poisson_deviance_ndf,rebin5_pearson_chi2ndf,rebin5_poisson_deviance_ndf,rebin5_max_abs_pearson_residual,minimum_normalized_free_parameter_bound_distance,aggregate_validation_pass,audit_gate_pass,root_path_at_audit,root_sha256,metadata_path_at_audit,metadata_sha256
1pct,30,fSigPow,True,284.53022330924296,301.82412729056,1429.7565479779364,1518.92856501459,99.88290214523468,0.0,False,False,/tmp/v4p8_common_family_1pct_0030.root,6a17fd03326fb51ed6f1c44b18f8f465a2aa52b21b50a21a875407b728b061d5,/tmp/v4p8_common_family_1pct_0030.root.metadata.json,bc0344b01e9851b0b7281c5a1d9a78a8c5d109bff8a57b75b26febd259abadc0
1pct,30,fShiftSigPow,False,33893445.55049529,100.32635913745409,507.54992458848756,502.55610001404915,93.11724027723245,5.4459237e-10,True,False,/tmp/v4p8_common_family_1pct_0030.root,6a17fd03326fb51ed6f1c44b18f8f465a2aa52b21b50a21a875407b728b061d5,/tmp/v4p8_common_family_1pct_0030.root.metadata.json,bc0344b01e9851b0b7281c5a1d9a78a8c5d109bff8a57b75b26febd259abadc0
1pct,30,fShiftSigPowTail,False,708544850.7367454,40.966638641807805,371.2637046611559,203.09247059007825,273.815883924687,1.4492175e-09,True,False,/tmp/v4p8_common_family_1pct_0030.root,6a17fd03326fb51ed6f1c44b18f8f465a2aa52b21b50a21a875407b728b061d5,/tmp/v4p8_common_family_1pct_0030.root.metadata.json,bc0344b01e9851b0b7281c5a1d9a78a8c5d109bff8a57b75b26febd259abadc0
1pct,30,fGenGammaThresh,False,3.2995256622098106,2.4011974433438037,11.501625218258573,8.148361265640768,33.02829147385474,8.900941e-07,True,False,/tmp/v4p8_common_family_1pct_0030.root,6a17fd03326fb51ed6f1c44b18f8f465a2aa52b21b50a21a875407b728b061d5,/tmp/v4p8_common_family_1pct_0030.root.metadata.json,bc0344b01e9851b0b7281c5a1d9a78a8c5d109bff8a57b75b26febd259abadc0
1pct,30,fGenGammaShift,False,1681.1858028121933,2322.552682436304,8480.982741168378,11716.276255673265,251.25467083884075,1.13626e-10,False,False,/tmp/v4p8_common_family_1pct_0030.root,6a17fd03326fb51ed6f1c44b18f8f465a2aa52b21b50a21a875407b728b061d5,/tmp/v4p8_common_family_1pct_0030.root.metadata.json,bc0344b01e9851b0b7281c5a1d9a78a8c5d109bff8a57b75b26febd259abadc0
1pct,30,fEndpoint,False,18.02388059164534,17.98594095968934,86.96391278919083,87.05081985254085,22.33080064939027,2.9402683e-09,True,False,/tmp/v4p8_common_family_1pct_0030.root,6a17fd03326fb51ed6f1c44b18f8f465a2aa52b21b50a21a875407b728b061d5,/tmp/v4p8_common_family_1pct_0030.root.metadata.json,bc0344b01e9851b0b7281c5a1d9a78a8c5d109bff8a57b75b26febd259abadc0
1pct,30,fLogPolyThresh,False,8498.677235837838,7831.035452206319,42885.871435794674,39516.804109997975,471.24420367444117,8.32667269999e-16,False,False,/tmp/v4p8_common_family_1pct_0030.root,6a17fd03326fb51ed6f1c44b18f8f465a2aa52b21b50a21a875407b728b061d5,/tmp/v4p8_common_family_1pct_0030.root.metadata.json,bc0344b01e9851b0b7281c5a1d9a78a8c5d109bff8a57b75b26febd259abadc0
1pct,30,fBern5,False,1551.6278236850603,980.6631214095154,7527.898058827819,4907.410453932805,628.6569838874381,1.4488409999999e-14,False,False,/tmp/v4p8_common_family_1pct_0030.root,6a17fd03326fb51ed6f1c44b18f8f465a2aa52b21b50a21a875407b728b061d5,/tmp/v4p8_common_family_1pct_0030.root.metadata.json,bc0344b01e9851b0b7281c5a1d9a78a8c5d109bff8a57b75b26febd259abadc0
1pct,35,fSigPow,True,190.80310537199384,190.6916502739868,957.5360216396896,958.4103587524181,85.16864926566251,0.0,True,False,/tmp/v4p8_common_family_1pct_0035.root,67313cd9daa5a9b0fe72147dd98cc218c711b1c49d2e3586a5a7d315115fb5d6,/tmp/v4p8_common_family_1pct_0035.root.metadata.json,8434944f66687e3d2b667a51c67e71bc044f41bb75a3cde627f38359d0b5e5d4
1pct,35,fShiftSigPow,False,50.59461092749817,47.18851907997889,250.67450846245384,234.59024805863757,35.00622695133001,1.5206653e-10,True,False,/tmp/v4p8_common_family_1pct_0035.root,67313cd9daa5a9b0fe72147dd98cc218c711b1c49d2e3586a5a7d315115fb5d6,/tmp/v4p8_common_family_1pct_0035.root.metadata.json,8434944f66687e3d2b667a51c67e71bc044f41bb75a3cde627f38359d0b5e5d4
1pct,35,fShiftSigPowTail,False,13.796929183850976,8.614479061132272,60.35341668672571,39.49210889536228,87.60826846001913,3.0838243e-10,True,False,/tmp/v4p8_common_family_1pct_0035.root,67313cd9daa5a9b0fe72147dd98cc218c711b1c49d2e3586a5a7d315115fb5d6,/tmp/v4p8_common_family_1pct_0035.root.metadata.json,8434944f66687e3d2b667a51c67e71bc044f41bb75a3cde627f38359d0b5e5d4
1pct,35,fGenGammaThresh,False,1.601734359815167,1.5671065244130855,4.095052861785021,3.953363117243546,12.413466313015252,7.0060208e-06,True,False,/tmp/v4p8_common_family_1pct_0035.root,67313cd9daa5a9b0fe72147dd98cc218c711b1c49d2e3586a5a7d315115fb5d6,/tmp/v4p8_common_family_1pct_0035.root.metadata.json,8434944f66687e3d2b667a51c67e71bc044f41bb75a3cde627f38359d0b5e5d4
1pct,35,fGenGammaShift,False,1373.2018092883818,1894.13124188433,6927.790143297644,9555.807068109729,260.90206679693716,1.0530732e-10,False,False,/tmp/v4p8_common_family_1pct_0035.root,67313cd9daa5a9b0fe72147dd98cc218c711b1c49d2e3586a5a7d315115fb5d6,/tmp/v4p8_common_family_1pct_0035.root.metadata.json,8434944f66687e3d2b667a51c67e71bc044f41bb75a3cde627f38359d0b5e5d4
1pct,35,fEndpoint,False,15.750840595250036,16.009780017080686,75.5013466307199,77.0611588333546,22.9711947028085,1.0531742e-11,True,False,/tmp/v4p8_common_family_1pct_0035.root,67313cd9daa5a9b0fe72147dd98cc218c711b1c49d2e3586a5a7d315115fb5d6,/tmp/v4p8_common_family_1pct_0035.root.metadata.json,8434944f66687e3d2b667a51c67e71bc044f41bb75a3cde627f38359d0b5e5d4
1pct,35,fLogPolyThresh,False,4935.921877919227,5571.405239085611,24910.64502453445,28117.116259329163,311.0862438201903,1.4710454999999e-14,False,False,/tmp/v4p8_common_family_1pct_0035.root,67313cd9daa5a9b0fe72147dd98cc218c711b1c49d2e3586a5a7d315115fb5d6,/tmp/v4p8_common_family_1pct_0035.root.metadata.json,8434944f66687e3d2b667a51c67e71bc044f41bb75a3cde627f38359d0b5e5d4
1pct,35,fBern5,False,1272782272.9511604,833.8796414100665,69061558.3594176,4168.355032114539,167234.2394733062,3.402833599999901e-14,False,False,/tmp/v4p8_common_family_1pct_0035.root,67313cd9daa5a9b0fe72147dd98cc218c711b1c49d2e3586a5a7d315115fb5d6,/tmp/v4p8_common_family_1pct_0035.root.metadata.json,8434944f66687e3d2b667a51c67e71bc044f41bb75a3cde627f38359d0b5e5d4
