model,scenario,background_toy_index,mass_MeV,comparable,delta_lml_25_minus_20,abs_delta_lml_per_training_bin_20_to_25,abs_delta_ell_over_sigma_x_20_to_25,factor20_upper_exact,factor20_upper_near,factor20_top_branch_replicates,factor25_upper_exact,factor25_upper_near
knot_spline,2021_1pct_x100,1,210,True,2.0613334982044762e-05,5.4532632227631645e-08,0.000479165624591468,False,False,3,False,False
knot_spline,2021_1pct_x100,2,65,True,0.0002852099414667464,7.13024853666866e-07,0.0025308435870343834,False,False,3,False,False
knot_spline,2021_1pct_x100,2,120,True,-7.2390960212942446e-06,1.837334015556915e-08,0.0007352273607004028,False,False,3,False,False
knot_spline,2021_1pct_x100,2,210,True,-7.934275345178321e-06,2.0990146415815665e-08,0.004932081792995911,False,False,3,False,False
regional_blend,2021_10pct,0,65,True,3.487234607746359e-07,8.718086519365898e-10,3.334621591586935e-05,False,False,3,False,False
regional_blend,2021_10pct,0,120,True,4.543744580587372e-08,1.1532346651236986e-10,6.753627784053985e-06,False,False,2,False,False
regional_blend,2021_10pct,0,210,True,1.0810490493895486e-06,2.8599181200781707e-09,6.107889413868399e-06,False,False,3,False,False
regional_blend,2021_10pct,1,65,True,-5.431320460047573e-08,1.357830115011893e-10,1.648057347545047e-05,False,False,3,False,False
regional_blend,2021_10pct,1,120,True,3.34035576088354e-07,8.478060306811015e-10,6.072724990360135e-05,False,False,3,False,False
regional_blend,2021_10pct,1,210,True,2.5605140763218515e-07,6.77384676275622e-10,6.447017613573707e-08,False,False,3,False,False
regional_blend,2021_10pct,2,65,True,-2.2328458726406097e-07,5.582114681601524e-10,2.529372978732498e-06,False,False,3,False,False
regional_blend,2021_10pct,2,120,True,-6.289383236435242e-07,1.5962901615317873e-09,2.703954168446653e-05,False,False,3,False,False
regional_blend,2021_10pct,2,210,True,2.4992164071591105e-07,6.611683616823044e-10,1.2494730552792256e-05,False,False,3,False,False
regional_blend,2021_10pct_x10,0,65,True,6.638872491748771e-07,1.6597181229371927e-09,8.635174136138106e-07,False,False,3,False,False
regional_blend,2021_10pct_x10,0,120,True,-2.8126646611781325e-07,7.138742794868356e-10,0.0002851158930028017,False,False,3,False,False
regional_blend,2021_10pct_x10,0,210,True,-5.030959073337726e-06,1.3309415537930493e-08,0.00015496128435645476,False,False,3,False,False
regional_blend,2021_10pct_x10,1,65,True,-1.0935733371297829e-05,2.7339333428244573e-08,0.00037056477328360944,False,False,2,False,False
regional_blend,2021_10pct_x10,1,120,True,-7.437915655827965e-06,1.887795851732986e-08,0.0003009784785316695,False,False,3,False,False
regional_blend,2021_10pct_x10,1,210,True,-3.2324987842002884e-06,8.551584085185949e-09,2.835398642958328e-06,False,False,3,False,False
regional_blend,2021_10pct_x10,2,65,True,2.539333536333288e-06,6.3483338408332206e-09,7.050950909965167e-07,False,False,3,False,False
regional_blend,2021_10pct_x10,2,120,True,-1.7803899936552625e-06,4.51875632907427e-09,2.9816787767027585e-05,False,False,3,False,False
regional_blend,2021_10pct_x10,2,210,True,2.6627462830219883e-06,7.0443023360370065e-09,2.793093577837729e-05,False,False,4,False,False
regional_blend,2021_1pct,0,65,True,5.277343007037416e-09,1.319335751759354e-11,7.910184423731462e-05,False,False,3,False,False
regional_blend,2021_1pct,0,120,True,9.202904038829729e-08,2.3357624464034844e-10,3.5951756032001433e-06,False,False,3,False,False
regional_blend,2021_1pct,0,210,True,-5.578704076469876e-08,1.475847639277745e-10,0.00020276601264350468,False,False,3,False,False
regional_blend,2021_1pct,1,65,True,-7.333119356189854e-08,1.8332798390474635e-10,4.749229104164809e-05,False,False,3,False,False
regional_blend,2021_1pct,1,120,True,4.3774662117357366e-08,1.1110320334354662e-10,9.098443087957999e-06,False,False,3,False,False
regional_blend,2021_1pct,1,210,True,-2.2132780941319652e-08,5.855233053259167e-11,2.119571088225246e-05,False,False,3,False,False
regional_blend,2021_1pct,2,65,True,-4.465505298867356e-08,1.116376324716839e-10,1.749563361389491e-05,False,False,3,False,False
regional_blend,2021_1pct,2,120,True,2.0990682969568297e-08,5.327584510042715e-11,3.4027202730897497e-07,False,False,3,False,False
regional_blend,2021_1pct,2,210,True,-1.0517851478653029e-08,2.78250039117805e-11,6.728805207579073e-06,False,False,3,False,False
