scope_key,selected_scope_key,mass_MeV,mass_GeV,dataset_set,sigma_by_dataset_GeV,sigma_effective_GeV,next_mass_step_GeV,next_interval_sigma_mid_GeV,N_eff_next_interval_contribution,independence_width_sigma,p0_local_asymptotic,is_scope_scan_minimum,report_target_toys
final_total_search_window,all_2015_2016_2021,50,0.05,2015+2016+2021,"{""2015"":0.0025687258900698,""2016"":0.0021218125,""2021"":0.0019941875000000003}",0.0019941875000000003,0.000999999999999994,0.0019978366875,0.22246285055491644,2.25,0.0706215424417923,False,300
final_total_search_window,all_2015_2016_2021,51,0.051,2015+2016+2021,"{""2015"":0.0026219449739354997,""2016"":0.00215652060689,""2021"":0.002001485875}",0.002001485875,0.0010000000000000009,0.0020052209374999998,0.22164362845650015,2.25,0.1118988428955194,False,300
final_total_search_window,all_2015_2016_2021,52,0.052,2015+2016+2021,"{""2015"":0.0026751640578012,""2016"":0.0021914098662399995,""2021"":0.002008956}",0.002008956,0.0010000000000000009,0.0020127769375000003,0.2208115743796596,2.25,0.1857208171919668,False,300
final_total_search_window,all_2015_2016_2021,53,0.053,2015+2016+2021,"{""2015"":0.0027283831416668996,""2016"":0.0022264874860900004,""2021"":0.002016597875}",0.002016597875,0.0010000000000000009,0.0020205046875,0.2199670444686582,2.25,0.3338639147995363,False,300
final_total_search_window,all_2015_2016_2021,54,0.054,2015+2016+2021,"{""2015"":0.0027816022255325997,""2016"":0.0022617604078400003,""2021"":0.0020244115}",0.0020244115,0.0010000000000000009,0.0020284041875,0.2191103958389185,2.25,0.4441320102137384,False,300
final_total_search_window,all_2015_2016_2021,55,0.055,2015+2016+2021,"{""2015"":0.0028348213093983,""2016"":0.0022972353062500005,""2021"":0.002032396875}",0.002032396875,0.0010000000000000009,0.0020364754375,0.21824198625741825,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,56,0.056,2015+2016+2021,"{""2015"":0.002888040393264,""2016"":0.0023329185894400005,""2021"":0.002040554}",0.002040554,0.0010000000000000009,0.0020447184375,0.2173621738295911,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,57,0.057,2015+2016+2021,"{""2015"":0.0029412594771297,""2016"":0.00236881639889,""2021"":0.002048882875}",0.002048882875,0.0010000000000000009,0.0020531331875000003,0.21647131669310896,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,58,0.058,2015+2016+2021,"{""2015"":0.0029944785609954,""2016"":0.0024049346094400003,""2021"":0.0020573835}",0.0020573835,0.000999999999999994,0.0020617196875,0.2155697727188928,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,59,0.059,2015+2016+2021,"{""2015"":0.0030476976448610997,""2016"":0.0024412788292900002,""2021"":0.002066055875}",0.002066055875,0.0010000000000000009,0.0020704779375,0.21465789921967948,2.25,0.4998622584051908,False,300
final_total_search_window,all_2015_2016_2021,60,0.06,2015+2016+2021,"{""2015"":0.0031009167287268,""2016"":0.0024778544,""2021"":0.0020749}",0.0020749,0.0010000000000000009,0.0020794079375,0.21373605266640705,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,61,0.061,2015+2016+2021,"{""2015"":0.0031541358125924995,""2016"":0.00251466639649,""2021"":0.002083915875}",0.002083915875,0.0010000000000000009,0.0020885096875,0.2128045884127338,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,62,0.062,2015+2016+2021,"{""2015"":0.0032073548964581997,""2016"":0.0025517196270400003,""2021"":0.0020931035}",0.0020931035,0.0010000000000000009,0.0020977831875,0.211863860427876,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,63,0.063,2015+2016+2021,"{""2015"":0.0032605739803239,""2016"":0.00258901863329,""2021"":0.0021024628750000002}",0.0021024628750000002,0.0010000000000000009,0.0021072284375000003,0.21091422103800495,2.25,0.4327047016002195,False,300
final_total_search_window,all_2015_2016_2021,64,0.064,2015+2016+2021,"{""2015"":0.0033137930641896,""2016"":0.0026265676902400004,""2021"":0.0021119940000000003}",0.0021119940000000003,0.0010000000000000009,0.0021168454375,0.20995602067637723,2.25,0.0491167958864395,False,300
