scope_key,mass_MeV,scope_label,dataset_set,n_toys,toy_id_min,toy_id_max,eps2_observed,n_strong,n_weak,p0_local_asymptotic,Z_local_asymptotic,pvalue_method,p_strong,p_weak,p_two,empirical_p_resolution,diagnostic_definition
all_2015_2016_2021,74,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,1.3894398453086273e-06,7,93,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.070000000000000007,0.93000000000000005,0.14000000000000001,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,75,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,1.7936324476854336e-06,22,78,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.22,0.78000000000000003,0.44,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,76,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,2.3843112385204307e-06,61,39,0.43418954954741668,0.1657177215722658,fixed-mass local asymptotic one-sided profile LRT,0.60999999999999999,0.39000000000000001,0.78000000000000003,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,77,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,3.0447470441180402e-06,81,19,0.18812348396915909,0.88483251861929468,fixed-mass local asymptotic one-sided profile LRT,0.81000000000000005,0.19,0.38,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,78,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,3.7303595678789029e-06,91,9,0.063099522192666804,1.5292638626530466,fixed-mass local asymptotic one-sided profile LRT,0.91000000000000003,0.089999999999999997,0.17999999999999999,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,79,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,4.1418599127285707e-06,98,2,0.0311304781958761,1.8644327568190029,fixed-mass local asymptotic one-sided profile LRT,0.97999999999999998,0.02,0.040000000000000001,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,80,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,3.9026189083612495e-06,94,6,0.048749892184723101,1.6570974017530742,fixed-mass local asymptotic one-sided profile LRT,0.93999999999999995,0.059999999999999998,0.12,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,81,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,3.507550391398093e-06,94,6,0.083987820425694595,1.3787377014026649,fixed-mass local asymptotic one-sided profile LRT,0.93999999999999995,0.059999999999999998,0.12,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,82,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,2.3693916456611577e-06,67,33,0.3957622986964634,0.2643313602295298,fixed-mass local asymptotic one-sided profile LRT,0.67000000000000004,0.33000000000000002,0.66000000000000003,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,83,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,1.6675718483913278e-06,24,76,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.23999999999999999,0.76000000000000001,0.47999999999999998,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,84,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,1.3221588689556129e-06,10,90,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.10000000000000001,0.90000000000000002,0.20000000000000001,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,85,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,1.4258924495463958e-06,12,88,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.12,0.88,0.23999999999999999,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,86,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,1.4294969238380709e-06,22,78,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.22,0.78000000000000003,0.44,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,87,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,1.4429256312202808e-06,13,87,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.13,0.87,0.26000000000000001,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,88,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,1.6837251761833967e-06,24,76,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.23999999999999999,0.76000000000000001,0.47999999999999998,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,89,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,2.1550917797488058e-06,49,51,0.43198979729826359,0.17131053829078929,fixed-mass local asymptotic one-sided profile LRT,0.48999999999999999,0.51000000000000001,0.97999999999999998,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,90,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,3.1940498774718471e-06,87,13,0.10604445803099739,1.2478420226752991,fixed-mass local asymptotic one-sided profile LRT,0.87,0.13,0.26000000000000001,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
individual_2015_full,19,2015 full,2015,100,0,99,6.0287203111420068e-06,1,99,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.01,0.98999999999999999,0.02,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
individual_2015_full,20,2015 full,2015,100,0,99,1.3250739100729953e-05,48,52,0.48337914502860518,0.041674364888798603,fixed-mass local asymptotic one-sided profile LRT,0.47999999999999998,0.52000000000000002,0.95999999999999996,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
individual_2015_full,21,2015 full,2015,100,0,99,2.62940119494728e-05,100,0,0.0059409128074690001,2.515634723312826,fixed-mass local asymptotic one-sided profile LRT,1,0,0,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
individual_2015_full,22,2015 full,2015,100,0,99,1.6849498786461963e-05,94,6,0.077045792451907194,1.425227031378324,fixed-mass local asymptotic one-sided profile LRT,0.93999999999999995,0.059999999999999998,0.12,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
individual_2015_full,23,2015 full,2015,100,0,99,5.9671222119670213e-06,13,87,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.13,0.87,0.26000000000000001,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
