dataset,latent_clip_fallback,latent_draw_attempts,latent_minimum_before_fallback,mass_GeV,mass_MeV,observation_max,observation_min,observation_sha256,observation_sum,seed_descriptor,toy_id
2015,False,1,43769.69839081788,0.02,20,143026,43677,9c99e4eea797fc2fa30650b4cf4b3720640ceaeafefd9c9998e9273b525ff9e9,1701962,"[491204,20,33,0]",33
2015,False,1,44091.266347117875,0.02,20,143602,44255,270cf075e907f7caf754af02636463cc4ef9bdaa6569236e66906d2956bc0357,1711515,"[491204,20,34,0]",34
2015,False,1,43973.46331433665,0.02,20,143514,43806,4133365e517c2b20c896e407f21d735fdcbe79411de7bde73537f323983b834e,1705652,"[491204,20,35,0]",35
2015,False,1,43901.82176094,0.02,20,142429,43781,2eccd2a3ebee2d92ff4e0a723262d7a1e28612a286875d64b8d3a36ecc6118af,1699933,"[491204,20,36,0]",36
2015,False,1,43852.54744588239,0.02,20,143654,44044,eff6656a0039b00f96c15129bd19a89d897bd7e2f50c39762c551528b57d6652,1705568,"[491204,20,37,0]",37
2015,False,1,44150.76356306577,0.02,20,144029,44070,68e78740f030b2c7a7553f52e9de2a4204bcaf90d0129ff18b6e58fa48268e22,1711948,"[491204,20,38,0]",38
2015,False,1,43748.288258046705,0.02,20,142974,43639,1efe416c7f84cd618b95cd499f513aacfdd5baa5c4ba8276110a853cd0d2192e,1704042,"[491204,20,39,0]",39
2015,False,1,43843.01127857207,0.02,20,144405,44037,00c690e4456e8f21e1150577b5c2acd34b2a1dea55135ff3c89820b11d72bbed,1707683,"[491204,20,40,0]",40
2015,False,1,44060.89791426881,0.02,20,144208,44187,f7c866b618656f10af391d6c431e3ef8a4a0c8288e7dd9cc302cec6756b9348a,1712933,"[491204,20,41,0]",41
2015,False,1,43940.83725053391,0.02,20,143333,44136,648c09f8df1d80807f2bf24435dc294c988f3b915a6a6eabc2d2809695e52bcd,1706064,"[491204,20,42,0]",42
2015,False,1,43879.389696298706,0.02,20,143147,43926,5f5f9830f04c5aaa20073dd77d415bc9bec7496b97806470ce85353748c13441,1706338,"[491204,20,43,0]",43
2015,False,1,43697.951974301075,0.02,20,143071,43551,6ca1865157819cf719a6d2263cb1e47ef0a333f66b7130e5b084588cbae56301,1699378,"[491204,20,44,0]",44
2015,False,1,44035.04674181153,0.02,20,142726,43852,32477fe405f0d1a9e14bd7c0b7e2ffd86f85b1c0b192a3269dbc6fbc2bf65bdf,1708650,"[491204,20,45,0]",45
2015,False,1,43777.61187230573,0.02,20,142699,43953,04bcfe2969c7d77adaff18085d20ca902948db3a049b6cf6e83e6cc669a493e1,1698876,"[491204,20,46,0]",46
2015,False,1,44126.9143877352,0.02,20,143446,43793,4545cd04fff26c13da66b702833eaf0f92a1fa68fe9eb6f9d4cd22c26949e5e3,1707267,"[491204,20,47,0]",47
2015,False,1,43810.54503065836,0.02,20,143538,43679,615abecdefa8ffac0abc278b148050291a5dc3acb9b174fd434edd30156a72fb,1704572,"[491204,20,48,0]",48
2015,False,1,44070.562759171364,0.02,20,142806,44275,1e3de4816a9723a81f31e42faceb4aae301b2350406d7c79dc0ef8ec71420821,1700357,"[491204,20,49,0]",49
2015,False,1,67088.70661534554,0.021,21,160891,67506,35ffaec521256044d0542f73ab7da86b6321b2dcf9ae31a8b2d4dc411d003c23,2104555,"[491204,21,0,0]",0
2015,False,1,66982.25078420536,0.021,21,160598,67105,3bf259ba7449c29ee392429249049aa01fed3db56d166546d5c3d1e7e68eb855,2102554,"[491204,21,1,0]",1
2015,False,1,67162.31676580058,0.021,21,161673,67125,c12a02e8b384e20344bb9eeee662a646810df8a772bc36f1d7f812750d626063,2107960,"[491204,21,2,0]",2
2015,False,1,67018.26263625213,0.021,21,161300,66749,c49f4cc42ce195b4eafe8c56b6db67389e6f6630decf9f12235f101c979597f6,2102308,"[491204,21,3,0]",3
2015,False,1,67062.93735036196,0.021,21,161379,66490,17ea9e51b76e9a4d3cace082a72e8ea03af344905a06ca5a75ae65e82d7cf3d3,2109573,"[491204,21,4,0]",4
2015,False,1,67024.07099083906,0.021,21,161576,66973,0030ef75e8b155784f666d302413b8cbb097f6311972a0133e7ec66372b925e5,2103851,"[491204,21,5,0]",5
2015,False,1,66828.705796736,0.021,21,161178,67106,d440830898419894f223a705537aac326ec02c54c6dcabb94ae4e7684afd1007,2097589,"[491204,21,6,0]",6
2015,False,1,67213.08331680085,0.021,21,161880,67247,3a490d714752b5d6e8659f472306c2952d300604fcdb69559477c4f8a1dad207,2109725,"[491204,21,7,0]",7
2015,False,1,66924.47583819988,0.021,21,161618,67108,2dd59ea331235a102765e8b9fe8c25fd1f86b5239d83b246fe644bc9bf0391ca,2103959,"[491204,21,8,0]",8
2015,False,1,67065.61573585836,0.021,21,162365,66944,b88d5ca9a021df03255656ded254caae82469085f34fd375621c0824e643dc46,2107811,"[491204,21,9,0]",9
2015,False,1,66998.31000424338,0.021,21,161100,67104,9027409af76436e20175885b1bb84c13afb4a53be692749b5107d920396070fc,2102858,"[491204,21,10,0]",10
2015,False,1,66954.43568246227,0.021,21,161921,66984,d403f3cb00cf0e007e864dc82953bc138f333059bb21a7b9949f81083bc7b211,2100413,"[491204,21,11,0]",11
2015,False,1,67123.36421276648,0.021,21,161181,66906,9092cb0f1f8e88307a7744db4326a3092d9ccf837f7cb74901ea417e08393a13,2106448,"[491204,21,12,0]",12
2015,False,1,67118.99359230706,0.021,21,161901,67518,f7d7a53312672a090cfb4d1fe3b5299c203e965c43caeaf6197d1cee386c54c2,2108193,"[491204,21,13,0]",13
2015,False,1,67022.27781208062,0.021,21,161326,66908,956df3a55bfc3020f269da647e18445b65f3bff40fc823907d5cd4553a5a133f,2106315,"[491204,21,14,0]",14
2015,False,1,67114.29388442294,0.021,21,161282,67424,8a292f82e98a790e19eb7ce1a161005d396834a2b07ebfd1a43067ecc4d458de,2106503,"[491204,21,15,0]",15
2015,False,1,67023.32703722845,0.021,21,161745,66787,a9be8a84908389eb47de6a7a7cde364fcddfcadfcfa6521005573a4371653340,2109614,"[491204,21,16,0]",16
2015,False,1,66658.83905514168,0.021,21,160974,66870,13d5cfb1d07b8a614ba2411dfff8bac17f2b9bd2074a628296c0a6ef4d9e4bc5,2099507,"[491204,21,17,0]",17
2015,False,1,67088.65801150123,0.021,21,161131,66745,350364393eee409c31e63675d71774df0aafc149bc8d3d4cc7825b22573991d6,2107028,"[491204,21,18,0]",18
2015,False,1,66953.43005256171,0.021,21,160465,67104,04301138b3881d87078fa03027c9cb93db28761d3d305f48d94809c95d4744d0,2097989,"[491204,21,19,0]",19
2015,False,1,67085.60584329022,0.021,21,160966,66906,3dcdd278a5388936e4a829eed02d8745868ebfdf7f88fb960b7da4bac2ba47fd,2103113,"[491204,21,20,0]",20
2015,False,1,66808.12417796084,0.021,21,160460,66706,d4e3408f18fbd16907634bde52b935c49b0e44935f5a18d5b97a847e113eefa8,2093315,"[491204,21,21,0]",21
2015,False,1,67155.03840117656,0.021,21,161129,67318,b351117e45fde2b0b01f2b62397f7b4b06ad59f354174b262c622b690c3c52b5,2106127,"[491204,21,22,0]",22
2015,False,1,66898.32025280994,0.021,21,161331,67035,1610855368ac765c70bedc5771236fbbb109f0b62f5ae78c1a361ebf810a9350,2101642,"[491204,21,23,0]",23
2015,False,1,66941.89906729445,0.021,21,162129,66747,2bb99993b46f1ccb65d08d0fe961d9e6e5381e2cc7edc34e989fa63370705d00,2103861,"[491204,21,24,0]",24
2015,False,1,67019.01140612835,0.021,21,161182,66847,1a8df7de8ca139b8770ca115fa7c6eb80d29cecb13f899f998ebbdcbaa4dcd1e,2103582,"[491204,21,25,0]",25
2015,False,1,67024.35986026279,0.021,21,162259,66652,4443be6102d54971dbf00f953336399bdb9f4cf073628b8b1618dc04fb485d77,2113864,"[491204,21,26,0]",26
2015,False,1,67176.2392233297,0.021,21,161569,67544,23f8a0aeefa750ec409aa884c0120998517840e2343ba5a95c4f3704463f25ab,2111215,"[491204,21,27,0]",27
2015,False,1,66930.35808576432,0.021,21,161339,66911,1c20b567b0da3727c05d0fe9d3fd61f562bb3043294fdae1da23df7a1f817d85,2104207,"[491204,21,28,0]",28
2015,False,1,67019.00106153803,0.021,21,161025,67230,8e59c546e2688876da189d0a5f9c18913c5421f929c563aa0febe5889239d174,2103731,"[491204,21,29,0]",29
2015,False,1,66913.46093192833,0.021,21,160513,66824,42487dbc7057a1b159cf594246d02b400982c626c62b5916325d902874137840,2094180,"[491204,21,30,0]",30
2015,False,1,66927.82147847401,0.021,21,161240,67214,e12f46b034a66e89eb89f4cf51c0022edce21384f3a235cf83f0637ad0b27a62,2099512,"[491204,21,31,0]",31
